Time,Miami,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:14.0,T. Rozier misses 2-pt jump shot from 4 ft,86-76, ,,3,86,76,10,1966.0
3:13.0, ,86-76,Defensive rebound by J. Landale,,3,86,76,10,1967.0
3:07.0, ,86-76,C. Whitmore misses 2-pt layup from 3 ft,,3,86,76,10,1973.0
3:03.0,Defensive rebound by D. Robinson,86-76, ,,3,86,76,10,1977.0
3:01.0,Personal foul by F. VanVleet (drawn by K. Love),86-76, ,,3,86,76,10,1979.0
3:01.0, ,86-76,Technical foul by F. VanVleet,,3,86,76,10,1979.0
3:01.0,J. Butler makes technical free throw,87-76, ,,3,87,76,11,1979.0
3:01.0,T. Herro enters the game for D. Robinson,87-76, ,,3,87,76,11,1979.0
3:01.0, ,87-76,R. Bullock enters the game for J. Smith,,3,87,76,11,1979.0
2:47.0,J. Butler makes 2-pt layup from 3 ft,89-76, ,,3,89,76,13,1993.0
2:29.0, ,89-76,Personal foul by K. Love (drawn by J. Landale),,3,89,76,13,2011.0
2:29.0,Miami full timeout,89-76, ,,3,89,76,13,2011.0
2:29.0,H. Highsmith enters the game for T. Rozier,89-76, ,,3,89,76,13,2011.0
2:29.0, ,89-76,J. Green enters the game for F. VanVleet,,3,89,76,13,2011.0
2:24.0, ,89-76,D. Brooks misses 3-pt jump shot from 27 ft,,3,89,76,13,2016.0
2:21.0,Defensive rebound by J. Butler,89-76, ,,3,89,76,13,2019.0
2:08.0,J. Butler misses 2-pt jump shot from 3 ft,89-76, ,,3,89,76,13,2032.0
2:06.0,Offensive rebound by C. Martin,89-76, ,,3,89,76,13,2034.0
2:02.0,Turnover by C. Martin (bad pass; steal by J. Landale),89-76, ,,3,89,76,13,2038.0
1:58.0, ,89-79,C. Whitmore makes 3-pt jump shot from 26 ft (assist by J. Green),,3,89,79,10,2042.0
1:45.0,Turnover by C. Martin (bad pass; steal by J. Green),89-79, ,,3,89,79,10,2055.0
1:42.0, ,89-81,J. Green makes 2-pt dunk from 2 ft,,3,89,81,8,2058.0
1:32.0,Personal foul by D. Brooks (drawn by K. Love),89-81, ,,3,89,81,8,2068.0
1:20.0,T. Herro misses 2-pt jump shot from 13 ft,89-81, ,,3,89,81,8,2080.0
1:18.0,Offensive rebound by H. Highsmith,89-81, ,,3,89,81,8,2082.0
1:14.0,T. Herro makes 2-pt jump shot from 10 ft (assist by H. Highsmith),91-81, ,,3,91,81,10,2086.0
1:03.0, ,91-81,Turnover by J. Green (bad pass; steal by K. Love),,3,91,81,10,2097.0
0:59.0,H. Highsmith makes 2-pt layup from 3 ft (assist by T. Herro),93-81, ,,3,93,81,12,2101.0
0:47.0, ,93-81,C. Whitmore misses 3-pt jump shot from 26 ft,,3,93,81,12,2113.0
0:44.0, ,93-81,Offensive rebound by D. Brooks,,3,93,81,12,2116.0
0:42.0, ,93-83,J. Landale makes 2-pt dunk from 2 ft (assist by C. Whitmore),,3,93,83,10,2118.0
0:19.0,J. Butler misses 2-pt jump shot from 21 ft,93-83, ,,3,93,83,10,2141.0
0:17.0, ,93-83,Defensive rebound by Team,,3,93,83,10,2143.0
0:17.0,B. Adebayo enters the game for J. Butler,93-83, ,,3,93,83,10,2143.0
0:17.0,J. Jaquez enters the game for K. Love,93-83, ,,3,93,83,10,2143.0
0:17.0, ,93-83,F. VanVleet enters the game for R. Bullock,,3,93,83,10,2143.0
0:01.0, ,93-83,F. VanVleet misses 3-pt jump shot from 25 ft,,3,93,83,10,2159.0
0:01.0, ,93-83,Offensive rebound by Team,,3,93,83,10,2159.0
0:00.0,End of 3rd quarter,93-83,,,3,93,83,10,2160.0
12:00.0,Start of 4th quarter,93-83,,,4,93,83,10,2160.0
11:44.0, ,93-85,C. Whitmore makes 2-pt layup from 3 ft (assist by J. Green),,4,93,85,8,2176.0
11:17.0,C. Martin misses 2-pt layup from 5 ft,93-85, ,,4,93,85,8,2203.0
11:17.0, ,93-85,Defensive rebound by J. Landale,,4,93,85,8,2203.0
11:16.0, ,93-85,Personal foul by H. Highsmith (drawn by J. Landale),,4,93,85,8,2204.0
11:01.0, ,93-85,R. Bullock misses 3-pt jump shot from 23 ft,,4,93,85,8,2219.0
11:01.0,Defensive rebound by T. Herro,93-85, ,,4,93,85,8,2219.0
10:52.0,T. Herro makes 2-pt layup from 5 ft,95-85, ,,4,95,85,10,2228.0
10:34.0, ,95-88,J. Green makes 3-pt jump shot from 26 ft,,4,95,88,7,2246.0
10:18.0,T. Herro misses 3-pt jump shot from 26 ft,95-88, ,,4,95,88,7,2262.0
10:18.0, ,95-88,Defensive rebound by J. Green,,4,95,88,7,2262.0
10:11.0, ,95-91,J. Green makes 3-pt jump shot from 26 ft,,4,95,91,4,2269.0
9:53.0,H. Highsmith makes 2-pt dunk from 3 ft (assist by B. Adebayo),97-91, ,,4,97,91,6,2287.0
9:42.0, ,97-91,J. Smith misses 3-pt jump shot from 26 ft,,4,97,91,6,2298.0
9:38.0, ,97-91,Offensive rebound by J. Landale,,4,97,91,6,2302.0
9:37.0, ,97-91,J. Landale misses 2-pt layup from 4 ft,,4,97,91,6,2303.0
9:37.0,Defensive rebound by Team,97-91, ,,4,97,91,6,2303.0
9:37.0, ,97-91,F. VanVleet enters the game for R. Bullock,,4,97,91,6,2303.0
9:22.0,J. Jaquez misses 3-pt jump shot from 25 ft,97-91, ,,4,97,91,6,2318.0
9:22.0,Offensive rebound by B. Adebayo,97-91, ,,4,97,91,6,2318.0
9:15.0,T. Herro makes 2-pt layup from 4 ft (assist by B. Adebayo),99-91, ,,4,99,91,8,2325.0
9:04.0, ,99-91,Shooting foul by J. Jaquez (drawn by C. Whitmore),,4,99,91,8,2336.0
9:04.0, ,99-92,C. Whitmore makes free throw 1 of 2,,4,99,92,7,2336.0
9:04.0, ,99-92,J. Green enters the game for J. Smith,,4,99,92,7,2336.0
9:04.0, ,99-93,C. Whitmore makes free throw 2 of 2,,4,99,93,6,2336.0
8:53.0,T. Herro misses 2-pt jump shot from 3 ft,99-93, ,,4,99,93,6,2347.0
8:53.0, ,99-93,Defensive rebound by J. Green,,4,99,93,6,2347.0
8:41.0, ,99-93,C. Whitmore misses 3-pt jump shot from 26 ft,,4,99,93,6,2359.0
8:40.0,Defensive rebound by B. Adebayo,99-93, ,,4,99,93,6,2360.0
8:29.0,C. Martin makes 3-pt jump shot from 22 ft (assist by B. Adebayo),102-93, ,,4,102,93,9,2371.0
8:01.0, ,102-96,J. Green makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,4,102,96,6,2399.0
7:39.0,T. Herro misses 3-pt jump shot from 25 ft,102-96, ,,4,102,96,6,2421.0
7:38.0, ,102-96,Defensive rebound by J. Landale,,4,102,96,6,2422.0
7:26.0,Violation by Team (kicked ball),102-96, ,,4,102,96,6,2434.0
7:26.0, ,102-96,D. Brooks enters the game for J. Landale,,4,102,96,6,2434.0
7:21.0, ,102-96,J. Green misses 2-pt jump shot from 4 ft,,4,102,96,6,2439.0
7:20.0,Defensive rebound by H. Highsmith,102-96, ,,4,102,96,6,2440.0
7:16.0,T. Herro makes 3-pt jump shot from 26 ft (assist by H. Highsmith),105-96, ,,4,105,96,9,2444.0
7:16.0, ,105-96,Houston full timeout,,4,105,96,9,2444.0
7:16.0, ,105-96,Technical foul by J. Green,,4,105,96,9,2444.0
7:16.0,T. Herro misses technical free throw,105-96, ,,4,105,96,9,2444.0
7:16.0, ,105-96,Defensive rebound by Team,,4,105,96,9,2444.0
6:52.0, ,105-96,F. VanVleet misses 3-pt jump shot from 26 ft,,4,105,96,9,2468.0
6:51.0,Defensive rebound by T. Herro,105-96, ,,4,105,96,9,2469.0
6:35.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by T. Herro),108-96, ,,4,108,96,12,2485.0
6:17.0, ,108-96,D. Brooks misses 2-pt jump shot from 9 ft,,4,108,96,12,2503.0
6:15.0,Defensive rebound by B. Adebayo,108-96, ,,4,108,96,12,2505.0
6:09.0,Shooting foul by J. Green (drawn by T. Herro),108-96, ,,4,108,96,12,2511.0
6:09.0,T. Herro makes free throw 1 of 2,109-96, ,,4,109,96,13,2511.0
6:09.0, ,109-96,J. Landale enters the game for C. Whitmore,,4,109,96,13,2511.0
6:09.0,T. Herro makes free throw 2 of 2,110-96, ,,4,110,96,14,2511.0
5:51.0, ,110-96,J. Green misses 3-pt jump shot from 26 ft,,4,110,96,14,2529.0
5:51.0,Defensive rebound by C. Martin,110-96, ,,4,110,96,14,2529.0
5:36.0,B. Adebayo misses 2-pt jump shot from 7 ft,110-96, ,,4,110,96,14,2544.0
5:36.0, ,110-96,Defensive rebound by Team,,4,110,96,14,2544.0
5:36.0, ,110-96,Houston full timeout,,4,110,96,14,2544.0
5:36.0, ,110-96,C. Whitmore enters the game for J. Landale,,4,110,96,14,2544.0
5:36.0, ,110-96,Instant Replay (Challenge: Ruling Stands),,4,110,96,14,2544.0
5:36.0, ,110-96,J. Landale enters the game for C. Whitmore,,4,110,96,14,2544.0
5:36.0, ,110-96,Technical foul by I. Udoka,,4,110,96,14,2544.0
5:36.0, ,110-96,J. Smith enters the game for J. Green,,4,110,96,14,2544.0
5:36.0,T. Herro misses technical free throw,110-96, ,,4,110,96,14,2544.0
5:36.0,Offensive rebound by Team,110-96, ,,4,110,96,14,2544.0
5:20.0, ,110-96,F. VanVleet misses 3-pt jump shot from 26 ft,,4,110,96,14,2560.0
5:19.0,Defensive rebound by T. Herro,110-96, ,,4,110,96,14,2561.0
5:05.0,J. Jaquez makes 2-pt layup from 2 ft (assist by H. Highsmith),112-96, ,,4,112,96,16,2575.0
4:54.0, ,112-96,J. Green misses 3-pt jump shot from 25 ft,,4,112,96,16,2586.0
4:51.0, ,112-96,Offensive rebound by J. Landale,,4,112,96,16,2589.0
4:44.0, ,112-96,J. Smith misses 3-pt jump shot from 25 ft,,4,112,96,16,2596.0
4:41.0,Defensive rebound by H. Highsmith,112-96, ,,4,112,96,16,2599.0
4:23.0,B. Adebayo makes 2-pt jump shot from 12 ft,114-96, ,,4,114,96,18,2617.0
4:03.0, ,114-98,J. Landale makes 2-pt layup from 4 ft (assist by D. Brooks),,4,114,98,16,2637.0
3:42.0,C. Martin misses 3-pt jump shot from 25 ft,114-98, ,,4,114,98,16,2658.0
3:40.0, ,114-98,Defensive rebound by J. Smith,,4,114,98,16,2660.0
3:32.0, ,114-98,J. Green misses 3-pt jump shot from 27 ft,,4,114,98,16,2668.0
3:29.0,Defensive rebound by B. Adebayo,114-98, ,,4,114,98,16,2671.0
3:24.0,Miami full timeout,114-98, ,,4,114,98,16,2676.0
3:24.0, ,114-98,A. Holiday enters the game for J. Green,,4,114,98,16,2676.0
3:24.0, ,114-98,J. Williams enters the game for J. Landale,,4,114,98,16,2676.0
3:09.0,B. Adebayo misses 2-pt jump shot from 7 ft,114-98, ,,4,114,98,16,2691.0
3:09.0,Offensive rebound by J. Jaquez,114-98, ,,4,114,98,16,2691.0
3:08.0,J. Jaquez misses 2-pt layup from 4 ft,114-98, ,,4,114,98,16,2692.0
3:05.0, ,114-98,Defensive rebound by J. Williams,,4,114,98,16,2695.0
2:58.0, ,114-98,Personal foul by C. Martin (drawn by A. Holiday),,4,114,98,16,2702.0
2:40.0, ,114-98,D. Brooks misses 2-pt jump shot from 17 ft,,4,114,98,16,2720.0
2:37.0,Defensive rebound by B. Adebayo,114-98, ,,4,114,98,16,2723.0
2:20.0,J. Jaquez makes 2-pt jump shot from 4 ft,116-98, ,,4,116,98,18,2740.0
2:20.0, ,116-98,Violation by Team (def goaltending),,4,116,98,18,2740.0
2:05.0, ,116-98,J. Smith misses 2-pt jump shot from 10 ft (block by H. Highsmith),,4,116,98,18,2755.0
2:03.0,Defensive rebound by T. Herro,116-98, ,,4,116,98,18,2757.0
1:46.0,B. Adebayo misses 2-pt jump shot from 17 ft,116-98, ,,4,116,98,18,2774.0
1:46.0, ,116-98,Defensive rebound by J. Smith,,4,116,98,18,2774.0
1:35.0, ,116-100,J. Smith makes 2-pt layup from 1 ft (assist by F. VanVleet),,4,116,100,16,2785.0
1:28.0,Personal take foul by A. Holiday (drawn by T. Herro),116-100, ,,4,116,100,16,2792.0
1:28.0,J. Cain enters the game for B. Adebayo,116-100, ,,4,116,100,16,2792.0
1:28.0,N. Jović enters the game for T. Herro,116-100, ,,4,116,100,16,2792.0
1:28.0, ,116-100,R. Bullock enters the game for D. Brooks,,4,116,100,16,2792.0
1:28.0, ,116-100,N. Hinton enters the game for J. Smith,,4,116,100,16,2792.0
1:28.0, ,116-100,J. Samuels enters the game for F. VanVleet,,4,116,100,16,2792.0
1:15.0,C. Martin misses 2-pt jump shot from 22 ft,116-100, ,,4,116,100,16,2805.0
1:12.0, ,116-100,Defensive rebound by N. Hinton,,4,116,100,16,2808.0
1:08.0, ,116-100,N. Hinton misses 3-pt jump shot from 25 ft,,4,116,100,16,2812.0
1:07.0,Defensive rebound by C. Martin,116-100, ,,4,116,100,16,2813.0
0:58.0,N. Jović misses 3-pt jump shot from 27 ft,116-100, ,,4,116,100,16,2822.0
0:56.0, ,116-100,Defensive rebound by R. Bullock,,4,116,100,16,2824.0
0:47.0, ,116-100,R. Bullock misses 3-pt jump shot from 26 ft,,4,116,100,16,2833.0
0:43.0, ,116-100,Offensive rebound by N. Hinton,,4,116,100,16,2837.0
0:42.0, ,116-100,Turnover by N. Hinton (bad pass; steal by J. Jaquez),,4,116,100,16,2838.0
0:38.0,Turnover by J. Jaquez (bad pass; steal by R. Bullock),116-100, ,,4,116,100,16,2842.0
0:34.0, ,116-100,J. Samuels misses 2-pt layup from 5 ft,,4,116,100,16,2846.0
0:32.0, ,116-100,Offensive rebound by J. Williams,,4,116,100,16,2848.0
0:32.0, ,116-102,J. Williams makes 2-pt layup at rim,,4,116,102,14,2848.0
0:11.0,J. Jaquez makes 3-pt jump shot from 27 ft,119-102, ,,4,119,102,17,2869.0
0:07.0, ,119-102,A. Holiday misses 2-pt layup from 3 ft (block by C. Martin),,4,119,102,17,2873.0
0:06.0, ,119-102,Offensive rebound by N. Hinton,,4,119,102,17,2874.0
0:05.0, ,119-102,N. Hinton misses 2-pt layup from 3 ft,,4,119,102,17,2875.0
0:05.0, ,119-102,Offensive rebound by J. Samuels,,4,119,102,17,2875.0
0:04.0, ,119-104,J. Samuels makes 2-pt layup from 3 ft,,4,119,104,15,2876.0
0:00.0,End of 4th quarter,119-104,,,4,119,104,15,2880.0
