Time,Chicago,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. O. Robinson (C. White gains possession),0-0,,,1,0,0,0,0.0
11:44.0,A. Caruso makes 3-pt jump shot from 23 ft (assist by C. White),3-0, ,,1,0,3,-3,16.0
11:19.0, ,3-0,K. Lowry misses 3-pt jump shot from 25 ft,,1,0,3,-3,41.0
11:16.0,Defensive rebound by D. DeRozan,3-0, ,,1,0,3,-3,44.0
11:13.0,A. Caruso misses 3-pt jump shot from 27 ft,3-0, ,,1,0,3,-3,47.0
11:09.0, ,3-0,Defensive rebound by C. Martin,,1,0,3,-3,51.0
11:04.0, ,3-0,K. Lowry misses 2-pt layup from 3 ft,,1,0,3,-3,56.0
11:02.0,Defensive rebound by N. Vučević,3-0, ,,1,0,3,-3,58.0
10:54.0,P. Williams makes 2-pt jump shot from 17 ft (assist by N. Vučević),5-0, ,,1,0,5,-5,66.0
10:36.0, ,5-0,Turnover by J. Butler (bad pass; steal by C. White),,1,0,5,-5,84.0
10:30.0,C. White makes 3-pt jump shot from 27 ft,8-0, ,,1,0,8,-8,90.0
10:04.0, ,8-0,O. Robinson misses 2-pt hook shot from 3 ft,,1,0,8,-8,116.0
10:01.0,Defensive rebound by N. Vučević,8-0, ,,1,0,8,-8,119.0
9:56.0,Personal foul by D. Robinson (drawn by A. Caruso),8-0, ,,1,0,8,-8,124.0
9:45.0,C. White misses 3-pt jump shot from 25 ft,8-0, ,,1,0,8,-8,135.0
9:42.0, ,8-0,Defensive rebound by J. Butler,,1,0,8,-8,138.0
9:30.0, ,8-3,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),,1,3,8,-5,150.0
9:13.0,A. Caruso makes 3-pt jump shot from 25 ft (assist by D. DeRozan),11-3, ,,1,3,11,-8,167.0
8:55.0, ,11-3,Turnover by D. Robinson (bad pass; steal by N. Vučević),,1,3,11,-8,185.0
8:50.0,A. Caruso misses 2-pt layup from 3 ft,11-3, ,,1,3,11,-8,190.0
8:47.0, ,11-3,Defensive rebound by C. Martin,,1,3,11,-8,193.0
8:43.0, ,11-3,K. Lowry misses 3-pt jump shot from 23 ft,,1,3,11,-8,197.0
8:43.0,Defensive rebound by C. White,11-3, ,,1,3,11,-8,197.0
8:28.0,D. DeRozan misses 2-pt jump shot from 20 ft,11-3, ,,1,3,11,-8,212.0
8:25.0, ,11-3,Defensive rebound by Team,,1,3,11,-8,215.0
8:10.0, ,11-3,O. Robinson misses 3-pt jump shot from 26 ft,,1,3,11,-8,230.0
