Time,Washington,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Kuzma vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,J. Butler misses 2-pt layup from 3 ft,,1,0,0,0,19.0
11:39.0,Defensive rebound by K. Kuzma,0-0, ,,1,0,0,0,21.0
11:30.0,C. Kispert misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,30.0
11:27.0, ,0-0,Defensive rebound by N. Jović,,1,0,0,0,33.0
11:17.0, ,0-2,T. Rozier makes 2-pt jump shot from 11 ft (assist by B. Adebayo),,1,2,0,2,43.0
11:02.0,Turnover by C. Kispert (lost ball; steal by T. Rozier),0-2, ,,1,2,0,2,58.0
10:52.0, ,0-2,D. Robinson misses 2-pt jump shot from 5 ft,,1,2,0,2,68.0
10:49.0,Defensive rebound by T. Jones,0-2, ,,1,2,0,2,71.0
10:41.0,K. Kuzma makes 2-pt layup at rim (assist by C. Kispert),2-2, ,Tie,1,2,2,0,79.0
10:23.0, ,2-2,B. Adebayo misses 2-pt hook shot from 2 ft (block by D. Avdija),,1,2,2,0,97.0
10:20.0,Defensive rebound by D. Avdija,2-2, ,,1,2,2,0,100.0
10:09.0,C. Kispert makes 3-pt jump shot from 26 ft (assist by B. Coulibaly),5-2, ,Lead change,1,2,5,-3,111.0
9:56.0, ,5-2,T. Rozier misses 2-pt layup from 2 ft,,1,2,5,-3,124.0
9:56.0, ,5-2,Offensive rebound by B. Adebayo,,1,2,5,-3,124.0
9:51.0, ,5-4,B. Adebayo makes 2-pt layup at rim,,1,4,5,-1,129.0
9:39.0,C. Kispert makes 2-pt layup from 1 ft (assist by K. Kuzma),7-4, ,,1,4,7,-3,141.0
9:32.0, ,7-4,D. Robinson misses 3-pt jump shot from 28 ft,,1,4,7,-3,148.0
9:30.0,Defensive rebound by D. Avdija,7-4, ,,1,4,7,-3,150.0
9:24.0,D. Avdija misses 2-pt jump shot from 5 ft (block by N. Jović),7-4, ,,1,4,7,-3,156.0
9:18.0,Offensive rebound by D. Avdija,7-4, ,,1,4,7,-3,162.0
9:18.0,D. Avdija makes 2-pt layup from 2 ft,9-4, ,,1,4,9,-5,162.0
9:06.0, ,9-4,D. Robinson misses 2-pt jump shot from 4 ft,,1,4,9,-5,174.0
9:05.0, ,9-4,Offensive rebound by B. Adebayo,,1,4,9,-5,175.0
9:04.0, ,9-4,B. Adebayo misses 2-pt layup from 1 ft,,1,4,9,-5,176.0
9:03.0, ,9-4,Offensive rebound by D. Robinson,,1,4,9,-5,177.0
8:53.0, ,9-6,T. Rozier makes 2-pt layup from 2 ft,,1,6,9,-3,187.0
8:40.0,Shooting foul by N. Jović (drawn by K. Kuzma),9-6, ,,1,6,9,-3,200.0
8:40.0,K. Kuzma makes free throw 1 of 2,10-6, ,,1,6,10,-4,200.0
8:40.0,K. Kuzma makes free throw 2 of 2,11-6, ,,1,6,11,-5,200.0
8:23.0, ,11-9,N. Jović makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,9,11,-2,217.0
8:13.0,C. Kispert misses 2-pt layup from 3 ft (block by J. Butler),11-9, ,,1,9,11,-2,227.0
8:13.0,Offensive rebound by Team,11-9, ,,1,9,11,-2,227.0
8:09.0,K. Kuzma misses 3-pt jump shot from 24 ft,11-9, ,,1,9,11,-2,231.0
8:05.0, ,11-9,Defensive rebound by B. Adebayo,,1,9,11,-2,235.0
7:48.0, ,11-11,B. Adebayo makes 2-pt layup from 2 ft (assist by N. Jović),Tie,1,11,11,0,252.0
7:33.0,B. Coulibaly makes 2-pt layup from 2 ft (assist by D. Avdija),13-11, ,,1,11,13,-2,267.0
7:09.0, ,13-11,D. Robinson misses 3-pt jump shot from 27 ft,,1,11,13,-2,291.0
7:06.0,Defensive rebound by D. Avdija,13-11, ,,1,11,13,-2,294.0
6:59.0,D. Avdija makes 2-pt dunk from 1 ft (assist by T. Jones),15-11, ,,1,11,15,-4,301.0
6:42.0, ,15-11,Turnover by T. Rozier (bad pass; steal by D. Avdija),,1,11,15,-4,318.0
6:37.0,Shooting foul by B. Adebayo (drawn by K. Kuzma),15-11, ,,1,11,15,-4,323.0
6:37.0, ,15-11,Miami full timeout,,1,11,15,-4,323.0
6:37.0,J. Poole enters the game for D. Avdija,15-11, ,,1,11,15,-4,323.0
6:37.0,K. Kuzma misses free throw 1 of 2,15-11, ,,1,11,15,-4,323.0
6:37.0,Offensive rebound by Team,15-11, ,,1,11,15,-4,323.0
6:37.0,K. Kuzma makes free throw 2 of 2,16-11, ,,1,11,16,-5,323.0
6:24.0, ,16-13,J. Butler makes 2-pt layup from 2 ft (assist by N. Jović),,1,13,16,-3,336.0
6:19.0,Turnover by B. Coulibaly (bad pass; steal by B. Adebayo),16-13, ,,1,13,16,-3,341.0
6:14.0, ,16-13,N. Jović misses 3-pt jump shot from 24 ft,,1,13,16,-3,346.0
6:11.0, ,16-13,Offensive rebound by B. Adebayo,,1,13,16,-3,349.0
6:09.0, ,16-13,B. Adebayo misses 2-pt layup from 1 ft,,1,13,16,-3,351.0
6:08.0, ,16-13,Offensive rebound by B. Adebayo,,1,13,16,-3,352.0
6:06.0, ,16-15,B. Adebayo makes 2-pt dunk from 1 ft,,1,15,16,-1,354.0
5:46.0,K. Kuzma misses 2-pt layup from 3 ft,16-15, ,,1,15,16,-1,374.0
5:44.0, ,16-15,Defensive rebound by B. Adebayo,,1,15,16,-1,376.0
5:30.0, ,16-15,J. Butler misses 2-pt layup from 2 ft,,1,15,16,-1,390.0
5:27.0,Defensive rebound by J. Poole,16-15, ,,1,15,16,-1,393.0
5:17.0,J. Poole makes 3-pt jump shot from 27 ft (assist by K. Kuzma),19-15, ,,1,15,19,-4,403.0
5:04.0, ,19-15,Turnover by D. Robinson (bad pass),,1,15,19,-4,416.0
5:04.0,D. Avdija enters the game for B. Coulibaly,19-15, ,,1,15,19,-4,416.0
5:04.0,P. Baldwin enters the game for K. Kuzma,19-15, ,,1,15,19,-4,416.0
5:04.0, ,19-15,J. Jaquez enters the game for J. Butler,,1,15,19,-4,416.0
5:04.0, ,19-15,C. Martin enters the game for N. Jović,,1,15,19,-4,416.0
4:44.0,P. Baldwin misses 3-pt jump shot from 24 ft,19-15, ,,1,15,19,-4,436.0
4:38.0,Offensive rebound by D. Avdija,19-15, ,,1,15,19,-4,442.0
4:38.0,D. Avdija misses 2-pt layup at rim,19-15, ,,1,15,19,-4,442.0
4:37.0, ,19-15,Defensive rebound by C. Martin,,1,15,19,-4,443.0
4:35.0, ,19-15,C. Martin misses 2-pt layup from 1 ft,,1,15,19,-4,445.0
4:29.0, ,19-15,Offensive rebound by B. Adebayo,,1,15,19,-4,451.0
4:29.0, ,19-17,B. Adebayo makes 2-pt dunk at rim,,1,17,19,-2,451.0
4:25.0,Turnover by T. Jones (bad pass; steal by J. Jaquez),19-17, ,,1,17,19,-2,455.0
4:04.0, ,19-17,C. Martin misses 2-pt jump shot from 21 ft,,1,17,19,-2,476.0
3:59.0,Defensive rebound by C. Kispert,19-17, ,,1,17,19,-2,481.0
3:52.0,D. Avdija makes 2-pt layup from 3 ft,21-17, ,,1,17,21,-4,488.0
3:52.0,Shooting foul by D. Robinson (drawn by D. Avdija),21-17, ,,1,17,21,-4,488.0
3:52.0,D. Avdija makes free throw 1 of 1,22-17, ,,1,17,22,-5,488.0
3:42.0, ,22-17,Turnover by D. Robinson (bad pass),,1,17,22,-5,498.0
3:42.0,L. Shamet enters the game for T. Jones,22-17, ,,1,17,22,-5,498.0
3:25.0,J. Poole misses 3-pt jump shot from 26 ft,22-17, ,,1,17,22,-5,515.0
3:22.0, ,22-17,Defensive rebound by B. Adebayo,,1,17,22,-5,518.0
3:18.0, ,22-19,T. Rozier makes 2-pt jump shot from 7 ft,,1,19,22,-3,522.0
3:02.0,D. Avdija misses 3-pt jump shot from 26 ft,22-19, ,,1,19,22,-3,538.0
2:59.0, ,22-19,Defensive rebound by T. Rozier,,1,19,22,-3,541.0
2:58.0, ,22-19,Shooting foul by D. Avdija (drawn by B. Adebayo),,1,19,22,-3,542.0
2:58.0,Washington full timeout,22-19, ,,1,19,22,-3,542.0
2:58.0, ,22-19,B. Adebayo misses free throw 1 of 2,,1,19,22,-3,542.0
2:58.0, ,22-19,Offensive rebound by Team,,1,19,22,-3,542.0
2:58.0, ,22-19,B. Adebayo misses free throw 2 of 2,,1,19,22,-3,542.0
2:55.0,Defensive rebound by P. Baldwin,22-19, ,,1,19,22,-3,545.0
2:33.0,D. Avdija misses 3-pt jump shot from 24 ft,22-19, ,,1,19,22,-3,567.0
2:31.0, ,22-19,Defensive rebound by T. Rozier,,1,19,22,-3,569.0
2:08.0, ,22-22,D. Robinson makes 3-pt jump shot from 24 ft (assist by C. Martin),Tie,1,22,22,0,592.0
1:53.0,P. Baldwin makes 3-pt jump shot from 26 ft (assist by J. Poole),25-22, ,,1,22,25,-3,607.0
1:30.0, ,25-24,J. Jaquez makes 2-pt hook shot from 5 ft,,1,24,25,-1,630.0
1:15.0,Turnover by D. Avdija (bad pass),25-24, ,,1,24,25,-1,645.0
1:15.0,J. Davis enters the game for C. Kispert,25-24, ,,1,24,25,-1,645.0
1:15.0, ,25-24,J. Butler enters the game for B. Adebayo,,1,24,25,-1,645.0
1:15.0, ,25-24,N. Jović enters the game for D. Robinson,,1,24,25,-1,645.0
1:15.0, ,25-24,P. Mills enters the game for T. Rozier,,1,24,25,-1,645.0
0:54.0, ,25-26,J. Butler makes 2-pt jump shot from 10 ft (assist by J. Jaquez),Lead change,1,26,25,1,666.0
0:43.0,D. Avdija misses 2-pt jump shot from 7 ft (block by J. Jaquez),25-26, ,,1,26,25,1,677.0
0:39.0, ,25-26,Defensive rebound by N. Jović,,1,26,25,1,681.0
0:36.0, ,25-26,P. Mills misses 3-pt jump shot from 26 ft,,1,26,25,1,684.0
0:34.0,Defensive rebound by D. Avdija,25-26, ,,1,26,25,1,686.0
0:14.0,P. Baldwin misses 3-pt jump shot from 26 ft,25-26, ,,1,26,25,1,706.0
0:11.0, ,25-26,Defensive rebound by P. Mills,,1,26,25,1,709.0
0:06.0, ,25-26,Personal foul by L. Shamet (drawn by J. Jaquez),,1,26,25,1,714.0
0:06.0,A. Gill enters the game for P. Baldwin,25-26, ,,1,26,25,1,714.0
0:02.0, ,25-26,Shooting foul by D. Avdija (drawn by J. Butler),,1,26,25,1,718.0
0:02.0, ,25-26,J. Butler misses free throw 1 of 2,,1,26,25,1,718.0
0:02.0, ,25-26,Offensive rebound by Team,,1,26,25,1,718.0
0:02.0, ,25-26,H. Highsmith enters the game for P. Mills,,1,26,25,1,718.0
0:02.0, ,25-27,J. Butler makes free throw 2 of 2,,1,27,25,2,718.0
0:00.0,End of 1st quarter,25-27,,,1,27,25,2,720.0
12:00.0,Start of 2nd quarter,25-27,,,2,27,25,2,720.0
11:44.0,J. Poole misses 3-pt jump shot from 25 ft,25-27, ,,2,27,25,2,736.0
11:38.0, ,25-27,Defensive rebound by P. Mills,,2,27,25,2,742.0
11:18.0, ,25-29,J. Butler makes 2-pt hook shot from 5 ft,,2,29,25,4,762.0
11:09.0,Personal foul by N. Jović (drawn by P. Baldwin),25-29, ,,2,29,25,4,771.0
10:59.0,P. Baldwin makes 2-pt dunk at rim (assist by J. Poole),27-29, ,,2,29,27,2,781.0
10:38.0, ,27-29,P. Mills misses 2-pt jump shot from 17 ft,,2,29,27,2,802.0
10:34.0,Defensive rebound by J. Davis,27-29, ,,2,29,27,2,806.0
10:31.0,K. Kuzma misses 3-pt jump shot from 28 ft,27-29, ,,2,29,27,2,809.0
10:29.0, ,27-29,Defensive rebound by J. Jaquez,,2,29,27,2,811.0
10:18.0, ,27-32,C. Martin makes 3-pt jump shot from 24 ft (assist by J. Butler),,2,32,27,5,822.0
10:07.0,Turnover by J. Poole (bad pass),27-32, ,,2,32,27,5,833.0
10:07.0,B. Coulibaly enters the game for J. Davis,27-32, ,,2,32,27,5,833.0
9:46.0, ,27-32,Turnover by N. Jović (bad pass; steal by J. Poole),,2,32,27,5,854.0
9:37.0,B. Coulibaly misses 2-pt layup from 4 ft (block by J. Jaquez),27-32, ,,2,32,27,5,863.0
9:33.0, ,27-32,Defensive rebound by N. Jović,,2,32,27,5,867.0
9:27.0, ,27-32,N. Jović misses 3-pt jump shot from 23 ft,,2,32,27,5,873.0
