Time,Portland,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:17.0, ,58-104,H. Highsmith misses 2-pt layup from 5 ft (block by J. Minaya),,3,104,58,46,2083.0
1:11.0,Defensive rebound by D. Banton,58-104, ,,3,104,58,46,2089.0
1:10.0,D. Reath misses 3-pt jump shot from 27 ft,58-104, ,,3,104,58,46,2090.0
1:06.0,Offensive rebound by J. Minaya,58-104, ,,3,104,58,46,2094.0
1:06.0,J. Minaya makes 2-pt layup at rim,60-104, ,,3,104,60,44,2094.0
0:59.0, ,60-104,Turnover by B. Adebayo (bad pass),,3,104,60,44,2101.0
0:59.0, ,60-104,T. Bryant enters the game for B. Adebayo,,3,104,60,44,2101.0
0:37.0,K. Murray makes 3-pt jump shot from 24 ft (assist by D. Banton),63-104, ,,3,104,63,41,2123.0
0:28.0, ,63-107,H. Highsmith makes 3-pt jump shot from 23 ft (assist by J. Jaquez),,3,107,63,44,2132.0
0:04.0,Turnover by Team (shot clock),63-107, ,,3,107,63,44,2156.0
0:00.0, ,63-107,D. Wright misses 2-pt jump shot from 18 ft,,3,107,63,44,2160.0
0:00.0, ,63-107,Offensive rebound by Team,,3,107,63,44,2160.0
0:00.0,End of 3rd quarter,63-107,,,3,107,63,44,2160.0
12:00.0,Start of 4th quarter,63-107,,,4,107,63,44,2160.0
11:48.0,Personal foul by J. Cain (drawn by S. Henderson),63-107, ,,4,107,63,44,2172.0
11:42.0,Turnover by J. Minaya (out of bounds lost ball),63-107, ,,4,107,63,44,2178.0
11:30.0, ,63-109,J. Jaquez makes 2-pt layup from 4 ft,,4,109,63,46,2190.0
11:16.0,D. Reath makes 2-pt layup from 6 ft (assist by S. Henderson),65-109, ,,4,109,65,44,2204.0
10:56.0, ,65-109,Turnover by H. Highsmith (bad pass; steal by S. Henderson),,4,109,65,44,2224.0
10:45.0,Turnover by D. Reath (off goaltending),65-109, ,,4,109,65,44,2235.0
10:26.0, ,65-109,J. Jaquez misses 2-pt jump shot from 15 ft,,4,109,65,44,2254.0
10:23.0,Defensive rebound by D. Banton,65-109, ,,4,109,65,44,2257.0
10:16.0,D. Banton misses 2-pt layup from 8 ft (block by J. Cain),65-109, ,,4,109,65,44,2264.0
10:13.0, ,65-109,Defensive rebound by T. Bryant,,4,109,65,44,2267.0
10:12.0, ,65-109,Personal foul by J. Minaya (drawn by H. Highsmith),,4,109,65,44,2268.0
10:12.0,R. Rupert enters the game for J. Walker,65-109, ,,4,109,65,44,2268.0
10:05.0, ,65-109,D. Wright misses 3-pt jump shot from 26 ft,,4,109,65,44,2275.0
10:02.0,Defensive rebound by D. Banton,65-109, ,,4,109,65,44,2278.0
9:55.0,D. Reath makes 2-pt layup from 6 ft (assist by D. Banton),67-109, ,,4,109,67,42,2285.0
9:41.0, ,67-109,J. Cain misses 3-pt jump shot from 26 ft,,4,109,67,42,2299.0
9:39.0,Defensive rebound by D. Reath,67-109, ,,4,109,67,42,2301.0
9:24.0,S. Henderson misses 3-pt jump shot from 26 ft,67-109, ,,4,109,67,42,2316.0
9:24.0,Offensive rebound by Team,67-109, ,,4,109,67,42,2316.0
9:22.0,D. Reath misses 3-pt jump shot from 27 ft,67-109, ,,4,109,67,42,2318.0
9:22.0, ,67-109,Defensive rebound by J. Jaquez,,4,109,67,42,2318.0
9:12.0, ,67-109,J. Jaquez misses 2-pt layup from 4 ft,,4,109,67,42,2328.0
9:11.0, ,67-109,Offensive rebound by T. Bryant,,4,109,67,42,2329.0
9:11.0, ,67-109,Shooting foul by J. Minaya (drawn by T. Bryant),,4,109,67,42,2329.0
9:11.0, ,67-110,T. Bryant makes free throw 1 of 2,,4,110,67,43,2329.0
9:11.0,I. Badji enters the game for J. Minaya,67-110, ,,4,110,67,43,2329.0
9:11.0,K. Murray enters the game for D. Reath,67-110, ,,4,110,67,43,2329.0
9:11.0, ,67-111,T. Bryant makes free throw 2 of 2,,4,111,67,44,2329.0
9:01.0,S. Henderson misses 3-pt jump shot from 24 ft,67-111, ,,4,111,67,44,2339.0
9:00.0, ,67-111,Defensive rebound by T. Bryant,,4,111,67,44,2340.0
8:39.0, ,67-114,T. Bryant makes 3-pt jump shot from 26 ft (assist by J. Cain),,4,114,67,47,2361.0
8:35.0,Turnover by D. Banton (bad pass; steal by T. Bryant),67-114, ,,4,114,67,47,2365.0
8:35.0,Loose ball foul by I. Badji (drawn by T. Bryant),67-114, ,,4,114,67,47,2365.0
8:17.0, ,67-116,T. Bryant makes 2-pt layup from 4 ft,,4,116,67,49,2383.0
8:00.0,S. Henderson makes 3-pt jump shot from 25 ft (assist by K. Murray),70-116, ,,4,116,70,46,2400.0
7:45.0, ,70-116,Turnover by J. Cain (bad pass),,4,116,70,46,2415.0
7:37.0,Shooting foul by J. Cain (drawn by S. Henderson),70-116, ,,4,116,70,46,2423.0
7:37.0,S. Henderson makes free throw 1 of 2,71-116, ,,4,116,71,45,2423.0
7:37.0,S. Henderson misses free throw 2 of 2,71-116, ,,4,116,71,45,2423.0
7:29.0, ,71-116,Defensive rebound by T. Bryant,,4,116,71,45,2431.0
7:22.0, ,71-116,T. Bryant misses 2-pt jump shot from 13 ft,,4,116,71,45,2438.0
7:20.0,Defensive rebound by S. Henderson,71-116, ,,4,116,71,45,2440.0
7:08.0,D. Banton misses 3-pt jump shot from 26 ft,71-116, ,,4,116,71,45,2452.0
7:05.0, ,71-116,Defensive rebound by T. Bryant,,4,116,71,45,2455.0
6:50.0, ,71-116,D. Wright misses 2-pt jump shot from 7 ft,,4,116,71,45,2470.0
6:47.0, ,71-116,Offensive rebound by T. Bryant,,4,116,71,45,2473.0
6:46.0, ,71-116,T. Bryant misses 2-pt layup from 4 ft,,4,116,71,45,2474.0
6:45.0, ,71-116,Offensive rebound by T. Bryant,,4,116,71,45,2475.0
6:43.0, ,71-116,T. Bryant misses 2-pt layup from 4 ft,,4,116,71,45,2477.0
6:42.0, ,71-116,Offensive rebound by T. Bryant,,4,116,71,45,2478.0
6:41.0, ,71-118,T. Bryant makes 2-pt layup from 4 ft,,4,118,71,47,2479.0
6:34.0,R. Rupert misses 3-pt jump shot from 27 ft,71-118, ,,4,118,71,47,2486.0
6:31.0, ,71-118,Defensive rebound by H. Highsmith,,4,118,71,47,2489.0
6:28.0, ,71-120,H. Highsmith makes 2-pt layup from 3 ft,,4,120,71,49,2492.0
6:28.0, ,71-120,Shooting foul by D. Banton (drawn by H. Highsmith),,4,120,71,49,2492.0
6:28.0, ,71-120,Miami full timeout,,4,120,71,49,2492.0
6:28.0, ,71-120,P. Mills enters the game for J. Jaquez,,4,120,71,49,2492.0
6:28.0, ,71-120,H. Highsmith misses free throw 1 of 1,,4,120,71,49,2492.0
6:27.0,Defensive rebound by R. Rupert,71-120, ,,4,120,71,49,2493.0
6:14.0,D. Banton misses 2-pt layup from 5 ft,71-120, ,,4,120,71,49,2506.0
6:14.0,Offensive rebound by I. Badji,71-120, ,,4,120,71,49,2506.0
6:14.0,Personal foul by J. Cain (drawn by I. Badji),71-120, ,,4,120,71,49,2506.0
6:04.0,Turnover by D. Banton (bad pass),71-120, ,,4,120,71,49,2516.0
5:50.0, ,71-123,H. Highsmith makes 3-pt jump shot from 25 ft,,4,123,71,52,2530.0
5:37.0,K. Murray misses 3-pt jump shot from 26 ft,71-123, ,,4,123,71,52,2543.0
5:34.0, ,71-123,Defensive rebound by H. Highsmith,,4,123,71,52,2546.0
5:23.0, ,71-126,D. Wright makes 3-pt jump shot from 25 ft (assist by T. Bryant),,4,126,71,55,2557.0
5:10.0,S. Henderson makes 2-pt jump shot from 13 ft,73-126, ,,4,126,73,53,2570.0
4:56.0, ,73-128,P. Mills makes 2-pt jump shot from 18 ft (assist by H. Highsmith),,4,128,73,55,2584.0
4:56.0,J. Walker enters the game for D. Banton,73-128, ,,4,128,73,55,2584.0
4:35.0,S. Henderson makes 2-pt jump shot from 12 ft,75-128, ,,4,128,75,53,2605.0
4:16.0, ,75-128,J. Cain misses 2-pt jump shot from 15 ft,,4,128,75,53,2624.0
4:16.0,Defensive rebound by R. Rupert,75-128, ,,4,128,75,53,2624.0
4:08.0,R. Rupert misses 2-pt layup from 7 ft,75-128, ,,4,128,75,53,2632.0
4:06.0,Offensive rebound by Team,75-128, ,,4,128,75,53,2634.0
3:58.0,S. Henderson misses 2-pt layup from 6 ft,75-128, ,,4,128,75,53,2642.0
3:54.0,Offensive rebound by S. Henderson,75-128, ,,4,128,75,53,2646.0
3:45.0,Shooting foul by D. Wright (drawn by I. Badji),75-128, ,,4,128,75,53,2655.0
3:45.0,I. Badji misses free throw 1 of 2,75-128, ,,4,128,75,53,2655.0
3:45.0,Offensive rebound by Team,75-128, ,,4,128,75,53,2655.0
3:45.0,I. Badji makes free throw 2 of 2,76-128, ,,4,128,76,52,2655.0
3:33.0, ,76-128,D. Wright misses 2-pt layup from 4 ft,,4,128,76,52,2667.0
3:26.0, ,76-128,Offensive rebound by T. Bryant,,4,128,76,52,2674.0
3:26.0, ,76-130,T. Bryant makes 2-pt dunk at rim,,4,130,76,54,2674.0
3:24.0,R. Rupert misses 2-pt jump shot from 9 ft,76-130, ,,4,130,76,54,2676.0
3:22.0,Offensive rebound by R. Rupert,76-130, ,,4,130,76,54,2678.0
3:20.0,R. Rupert makes 2-pt layup from 7 ft,78-130, ,,4,130,78,52,2680.0
3:04.0, ,78-130,Shooting foul by I. Badji (drawn by T. Bryant),,4,130,78,52,2696.0
3:04.0, ,78-130,T. Bryant misses free throw 1 of 2,,4,130,78,52,2696.0
3:04.0, ,78-130,Offensive rebound by Team,,4,130,78,52,2696.0
3:04.0, ,78-131,T. Bryant makes free throw 2 of 2,,4,131,78,53,2696.0
2:52.0,S. Henderson misses 3-pt jump shot from 27 ft,78-131, ,,4,131,78,53,2708.0
2:47.0, ,78-131,Defensive rebound by T. Bryant,,4,131,78,53,2713.0
2:43.0, ,78-131,Personal foul by R. Rupert (drawn by P. Mills),,4,131,78,53,2717.0
2:43.0,Portland full timeout,78-131, ,,4,131,78,53,2717.0
2:43.0, ,78-132,P. Mills makes free throw 1 of 2,,4,132,78,54,2717.0
2:43.0, ,78-133,P. Mills makes free throw 2 of 2,,4,133,78,55,2717.0
2:29.0,Turnover by K. Murray (bad pass; steal by T. Bryant),78-133, ,,4,133,78,55,2731.0
2:21.0, ,78-135,T. Bryant makes 2-pt dunk from 3 ft (assist by J. Cain),,4,135,78,57,2739.0
2:04.0,Turnover by S. Henderson (bad pass; steal by D. Wright),78-135, ,,4,135,78,57,2756.0
2:00.0, ,78-137,T. Bryant makes 2-pt dunk from 3 ft (assist by J. Cain),,4,137,78,59,2760.0
1:44.0,J. Walker misses 2-pt jump shot from 8 ft,78-137, ,,4,137,78,59,2776.0
1:40.0, ,78-137,Defensive rebound by H. Highsmith,,4,137,78,59,2780.0
1:31.0, ,78-137,T. Bryant misses 3-pt jump shot from 27 ft,,4,137,78,59,2789.0
1:27.0,Defensive rebound by I. Badji,78-137, ,,4,137,78,59,2793.0
1:18.0,R. Rupert makes 2-pt layup from 4 ft (assist by J. Walker),80-137, ,,4,137,80,57,2802.0
1:02.0, ,80-137,J. Cain misses 2-pt jump shot from 7 ft,,4,137,80,57,2818.0
1:00.0,Defensive rebound by I. Badji,80-137, ,,4,137,80,57,2820.0
0:55.0,Turnover by S. Henderson (lost ball; steal by D. Wright),80-137, ,,4,137,80,57,2825.0
0:52.0, ,80-139,D. Wright makes 2-pt layup from 2 ft,,4,139,80,59,2828.0
0:37.0,I. Badji makes 2-pt jump shot from 18 ft (assist by R. Rupert),82-139, ,,4,139,82,57,2843.0
0:20.0, ,82-142,J. Cain makes 3-pt jump shot from 26 ft,,4,142,82,60,2860.0
0:16.0,Turnover by R. Rupert (lost ball; steal by H. Highsmith),82-142, ,,4,142,82,60,2864.0
0:00.0,End of 4th quarter,82-142,,,4,142,82,60,2880.0
