Time,Portland,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:58.0, ,15-26,J. Jaquez enters the game for P. Mills,,1,26,15,11,542.0
2:58.0, ,15-26,B. Adebayo misses free throw 1 of 2,,1,26,15,11,542.0
2:58.0, ,15-26,Offensive rebound by Team,,1,26,15,11,542.0
2:58.0, ,15-27,B. Adebayo makes free throw 2 of 2,,1,27,15,12,542.0
2:37.0,D. Banton makes 2-pt layup from 4 ft (assist by D. Ayton),17-27, ,,1,27,17,10,563.0
2:25.0, ,17-27,Offensive foul by B. Adebayo (drawn by K. Murray),,1,27,17,10,575.0
2:25.0, ,17-27,Turnover by B. Adebayo (offensive foul),,1,27,17,10,575.0
2:25.0, ,17-27,T. Bryant enters the game for B. Adebayo,,1,27,17,10,575.0
2:13.0,D. Banton makes 2-pt layup from 5 ft (assist by M. Thybulle),19-27, ,,1,27,19,8,587.0
1:55.0, ,19-27,T. Rozier misses 3-pt jump shot from 26 ft,,1,27,19,8,605.0
1:53.0,Defensive rebound by D. Banton,19-27, ,,1,27,19,8,607.0
1:53.0,D. Reath enters the game for D. Ayton,19-27, ,,1,27,19,8,607.0
1:53.0, ,19-27,H. Highsmith enters the game for N. Jović,,1,27,19,8,607.0
1:32.0,D. Reath misses 3-pt jump shot from 26 ft (block by T. Bryant),19-27, ,,1,27,19,8,628.0
1:28.0, ,19-27,Defensive rebound by T. Rozier,,1,27,19,8,632.0
1:25.0, ,19-29,J. Jaquez makes 2-pt layup from 5 ft (assist by T. Rozier),,1,29,19,10,635.0
1:13.0,M. Thybulle misses 3-pt jump shot from 25 ft,19-29, ,,1,29,19,10,647.0
1:11.0, ,19-29,Defensive rebound by Team,,1,29,19,10,649.0
0:54.0, ,19-29,C. Martin misses 3-pt jump shot from 25 ft,,1,29,19,10,666.0
0:52.0,Defensive rebound by M. Thybulle,19-29, ,,1,29,19,10,668.0
0:44.0,K. Murray misses 3-pt jump shot from 23 ft,19-29, ,,1,29,19,10,676.0
0:40.0, ,19-29,Defensive rebound by H. Highsmith,,1,29,19,10,680.0
0:30.0, ,19-29,T. Rozier misses 2-pt layup from 5 ft,,1,29,19,10,690.0
0:30.0,Defensive rebound by D. Banton,19-29, ,,1,29,19,10,690.0
0:06.0,D. Banton misses 2-pt jump shot from 14 ft,19-29, ,,1,29,19,10,714.0
0:02.0, ,19-29,Defensive rebound by T. Bryant,,1,29,19,10,718.0
0:01.0, ,19-29,T. Rozier misses 3-pt jump shot from 26 ft,,1,29,19,10,719.0
0:01.0, ,19-29,Offensive rebound by Team,,1,29,19,10,719.0
0:00.0,End of 1st quarter,19-29,,,1,29,19,10,720.0
12:00.0,Start of 2nd quarter,19-29,,,2,29,19,10,720.0
11:40.0, ,19-29,H. Highsmith misses 3-pt jump shot from 25 ft,,2,29,19,10,740.0
11:36.0,Defensive rebound by J. Minaya,19-29, ,,2,29,19,10,744.0
11:34.0,J. Minaya misses 2-pt layup from 4 ft,19-29, ,,2,29,19,10,746.0
11:30.0, ,19-29,Defensive rebound by J. Butler,,2,29,19,10,750.0
11:13.0, ,19-29,T. Bryant misses 3-pt jump shot from 26 ft,,2,29,19,10,767.0
11:10.0,Defensive rebound by D. Banton,19-29, ,,2,29,19,10,770.0
11:04.0,M. Thybulle misses 3-pt jump shot from 25 ft,19-29, ,,2,29,19,10,776.0
11:04.0, ,19-29,Defensive rebound by C. Martin,,2,29,19,10,776.0
10:48.0, ,19-31,J. Jaquez makes 2-pt layup from 4 ft (assist by J. Butler),,2,31,19,12,792.0
10:27.0,D. Reath misses 3-pt jump shot from 23 ft,19-31, ,,2,31,19,12,813.0
10:25.0, ,19-31,Defensive rebound by H. Highsmith,,2,31,19,12,815.0
10:19.0, ,19-34,H. Highsmith makes 3-pt jump shot from 24 ft (assist by J. Jaquez),,2,34,19,15,821.0
10:04.0,D. Banton misses 3-pt jump shot from 27 ft,19-34, ,,2,34,19,15,836.0
10:02.0, ,19-34,Defensive rebound by J. Jaquez,,2,34,19,15,838.0
9:59.0, ,19-34,Shooting foul by D. Banton (drawn by H. Highsmith),,2,34,19,15,841.0
9:59.0, ,19-35,H. Highsmith makes free throw 1 of 2,,2,35,19,16,841.0
9:59.0,S. Henderson enters the game for J. Minaya,19-35, ,,2,35,19,16,841.0
9:59.0, ,19-35,H. Highsmith misses free throw 2 of 2,,2,35,19,16,841.0
9:56.0,Defensive rebound by D. Reath,19-35, ,,2,35,19,16,844.0
9:36.0,D. Banton misses 3-pt jump shot from 26 ft,19-35, ,,2,35,19,16,864.0
9:33.0, ,19-35,Defensive rebound by C. Martin,,2,35,19,16,867.0
9:25.0, ,19-37,T. Bryant makes 2-pt jump shot from 14 ft (assist by C. Martin),,2,37,19,18,875.0
9:06.0,D. Reath misses 2-pt jump shot from 7 ft,19-37, ,,2,37,19,18,894.0
9:03.0, ,19-37,Defensive rebound by J. Butler,,2,37,19,18,897.0
9:00.0, ,19-40,C. Martin makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,40,19,21,900.0
9:00.0,Portland full timeout,19-40, ,,2,40,19,21,900.0
9:00.0,Instant Replay,19-40, ,,2,40,19,21,900.0
9:00.0,D. Ayton enters the game for D. Reath,19-40, ,,2,40,19,21,900.0
9:00.0,K. Murray enters the game for M. Thybulle,19-40, ,,2,40,19,21,900.0
8:53.0,S. Henderson misses 2-pt layup from 4 ft (block by T. Bryant),19-40, ,,2,40,19,21,907.0
8:49.0, ,19-40,Defensive rebound by J. Butler,,2,40,19,21,911.0
8:46.0, ,19-42,T. Bryant makes 2-pt layup from 7 ft (assist by J. Butler),,2,42,19,23,914.0
8:30.0,D. Banton makes 2-pt jump shot from 6 ft,21-42, ,,2,42,21,21,930.0
8:30.0,Shooting foul by J. Jaquez (drawn by D. Banton),21-42, ,,2,42,21,21,930.0
8:30.0,D. Banton makes free throw 1 of 1,22-42, ,,2,42,22,20,930.0
8:17.0, ,22-44,T. Bryant makes 2-pt layup from 4 ft (assist by C. Martin),,2,44,22,22,943.0
8:07.0,Shooting foul by J. Butler (drawn by J. Walker),22-44, ,,2,44,22,22,953.0
8:07.0,J. Walker makes free throw 1 of 2,23-44, ,,2,44,23,21,953.0
8:07.0,J. Walker misses free throw 2 of 2,23-44, ,,2,44,23,21,953.0
8:04.0, ,23-44,Defensive rebound by J. Jaquez,,2,44,23,21,956.0
7:55.0, ,23-47,H. Highsmith makes 3-pt jump shot from 23 ft (assist by J. Butler),,2,47,23,24,965.0
