Time,LA Clippers,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:12.0,N. Powell misses 3-pt jump shot from 27 ft,83-76, ,,4,76,83,-7,2448.0
7:04.0, ,83-76,Defensive rebound by B. Adebayo,,4,76,83,-7,2456.0
7:04.0, ,83-76,Turnover by B. Adebayo (lost ball; steal by A. Coffey),,4,76,83,-7,2456.0
6:57.0,P. George misses 3-pt jump shot from 25 ft,83-76, ,,4,76,83,-7,2463.0
6:52.0, ,83-76,Defensive rebound by C. Martin,,4,76,83,-7,2468.0
6:45.0, ,83-76,B. Adebayo misses 2-pt hook shot from 3 ft,,4,76,83,-7,2475.0
6:44.0,Defensive rebound by J. Harden,83-76, ,,4,76,83,-7,2476.0
6:38.0,N. Powell makes 2-pt jump shot from 16 ft (assist by J. Harden),85-76, ,,4,76,85,-9,2482.0
6:15.0, ,85-78,J. Butler makes 2-pt jump shot from 7 ft,,4,78,85,-7,2505.0
5:53.0,J. Harden makes 3-pt jump shot from 27 ft,88-78, ,,4,78,88,-10,2527.0
5:35.0, ,88-78,J. Butler misses 2-pt layup from 7 ft (block by J. Harden),,4,78,88,-10,2545.0
5:31.0, ,88-78,Offensive rebound by B. Adebayo,,4,78,88,-10,2549.0
5:28.0, ,88-78,J. Richardson misses 3-pt jump shot from 22 ft,,4,78,88,-10,2552.0
5:25.0,Defensive rebound by P. George,88-78, ,,4,78,88,-10,2555.0
5:19.0,J. Harden makes 3-pt jump shot from 24 ft,91-78, ,,4,78,91,-13,2561.0
5:19.0,Shooting foul by T. Rozier (drawn by J. Harden),91-78, ,,4,78,91,-13,2561.0
5:19.0,Instant Replay (Request: Ruling Stands),91-78, ,,4,78,91,-13,2561.0
5:19.0,K. Leonard enters the game for A. Coffey,91-78, ,,4,78,91,-13,2561.0
5:19.0,J. Harden misses free throw 1 of 1,91-78, ,,4,78,91,-13,2561.0
5:18.0, ,91-78,Defensive rebound by B. Adebayo,,4,78,91,-13,2562.0
4:57.0, ,91-78,B. Adebayo misses 2-pt hook shot from 5 ft,,4,78,91,-13,2583.0
4:55.0,Defensive rebound by P. George,91-78, ,,4,78,91,-13,2585.0
4:33.0,P. George misses 3-pt jump shot from 25 ft,91-78, ,,4,78,91,-13,2607.0
4:28.0, ,91-78,Defensive rebound by J. Butler,,4,78,91,-13,2612.0
4:18.0, ,91-80,T. Rozier makes 2-pt layup from 2 ft,,4,80,91,-11,2622.0
4:18.0, ,91-80,Shooting foul by P. George (drawn by T. Rozier),,4,80,91,-11,2622.0
4:18.0, ,91-81,T. Rozier makes free throw 1 of 1,,4,81,91,-10,2622.0
4:02.0,Turnover by K. Leonard (bad pass; steal by B. Adebayo),91-81, ,,4,81,91,-10,2638.0
3:55.0, ,91-81,B. Adebayo misses 2-pt layup from 4 ft (block by K. Leonard),,4,81,91,-10,2645.0
3:52.0,Defensive rebound by K. Leonard,91-81, ,,4,81,91,-10,2648.0
3:34.0,Turnover by P. George (bad pass; steal by B. Adebayo),91-81, ,,4,81,91,-10,2666.0
3:29.0, ,91-81,J. Richardson misses 3-pt jump shot from 27 ft,,4,81,91,-10,2671.0
3:25.0, ,91-81,Offensive rebound by C. Martin,,4,81,91,-10,2675.0
3:23.0, ,91-81,T. Rozier misses 3-pt jump shot from 24 ft,,4,81,91,-10,2677.0
3:23.0, ,91-81,Offensive rebound by Team,,4,81,91,-10,2677.0
3:11.0, ,91-81,J. Butler misses 3-pt jump shot from 24 ft,,4,81,91,-10,2689.0
3:07.0,Defensive rebound by K. Leonard,91-81, ,,4,81,91,-10,2693.0
2:55.0,Shooting foul by T. Rozier (drawn by M. Plumlee),91-81, ,,4,81,91,-10,2705.0
2:55.0,M. Plumlee makes free throw 1 of 2,92-81, ,,4,81,92,-11,2705.0
2:55.0,M. Plumlee misses free throw 2 of 2,92-81, ,,4,81,92,-11,2705.0
2:52.0, ,92-81,Defensive rebound by B. Adebayo,,4,81,92,-11,2708.0
2:36.0, ,92-83,J. Richardson makes 2-pt jump shot from 11 ft (assist by B. Adebayo),,4,83,92,-9,2724.0
2:16.0,Offensive foul by K. Leonard (drawn by T. Rozier),92-83, ,,4,83,92,-9,2744.0
2:16.0,Turnover by K. Leonard (offensive foul),92-83, ,,4,83,92,-9,2744.0
2:02.0, ,92-83,T. Rozier misses 3-pt jump shot from 26 ft,,4,83,92,-9,2758.0
1:59.0,Defensive rebound by M. Plumlee,92-83, ,,4,83,92,-9,2761.0
1:40.0,M. Plumlee makes 2-pt layup from 1 ft (assist by K. Leonard),94-83, ,,4,83,94,-11,2780.0
1:25.0, ,94-85,C. Martin makes 2-pt layup from 2 ft (assist by J. Richardson),,4,85,94,-9,2795.0
1:17.0,LA Clippers full timeout,94-85, ,,4,85,94,-9,2803.0
1:17.0,A. Coffey enters the game for M. Plumlee,94-85, ,,4,85,94,-9,2803.0
1:10.0,Turnover by P. George (lost ball; steal by J. Butler),94-85, ,,4,85,94,-9,2810.0
1:10.0, ,94-87,B. Adebayo makes 2-pt dunk from 3 ft,,4,87,94,-7,2810.0
1:04.0,Shooting foul by B. Adebayo (drawn by K. Leonard),94-87, ,,4,87,94,-7,2816.0
1:04.0,K. Leonard makes free throw 1 of 2,95-87, ,,4,87,95,-8,2816.0
1:04.0,K. Leonard makes free throw 2 of 2,96-87, ,,4,87,96,-9,2816.0
0:57.0, ,96-89,T. Rozier makes 2-pt layup from 2 ft,,4,89,96,-7,2823.0
0:53.0,Turnover by J. Harden (bad pass; steal by J. Butler),96-89, ,,4,89,96,-7,2827.0
0:48.0, ,96-89,T. Rozier misses 3-pt jump shot from 22 ft,,4,89,96,-7,2832.0
0:46.0,Defensive rebound by J. Harden,96-89, ,,4,89,96,-7,2834.0
0:41.0,Personal foul by T. Rozier (drawn by P. George),96-89, ,,4,89,96,-7,2839.0
0:41.0,P. George makes free throw 1 of 2,97-89, ,,4,89,97,-8,2839.0
0:41.0,P. George makes free throw 2 of 2,98-89, ,,4,89,98,-9,2839.0
0:41.0, ,98-89,Miami full timeout,,4,89,98,-9,2839.0
0:37.0, ,98-92,J. Butler makes 3-pt jump shot from 27 ft,,4,92,98,-6,2843.0
0:21.0,Personal take foul by J. Butler (drawn by J. Harden),98-92, ,,4,92,98,-6,2859.0
0:21.0,J. Harden misses free throw 1 of 2,98-92, ,,4,92,98,-6,2859.0
0:21.0,Offensive rebound by Team,98-92, ,,4,92,98,-6,2859.0
0:21.0,J. Harden makes free throw 2 of 2,99-92, ,,4,92,99,-7,2859.0
0:13.0, ,99-94,J. Butler makes 2-pt layup from 1 ft (assist by T. Rozier),,4,94,99,-5,2867.0
0:13.0, ,99-94,Shooting foul by K. Leonard (drawn by J. Butler),,4,94,99,-5,2867.0
0:13.0, ,99-95,J. Butler makes free throw 1 of 1,,4,95,99,-4,2867.0
0:13.0,LA Clippers full timeout,99-95, ,,4,95,99,-4,2867.0
0:07.0,Personal take foul by T. Rozier (drawn by P. George),99-95, ,,4,95,99,-4,2873.0
0:07.0,P. George makes free throw 1 of 2,100-95, ,,4,95,100,-5,2873.0
0:07.0,P. George makes free throw 2 of 2,101-95, ,,4,95,101,-6,2873.0
0:07.0, ,101-95,Miami full timeout,,4,95,101,-6,2873.0
0:05.0, ,101-95,J. Butler misses 3-pt jump shot from 23 ft (block by A. Coffey),,4,95,101,-6,2875.0
0:05.0, ,101-95,Offensive rebound by J. Butler,,4,95,101,-6,2875.0
0:02.0, ,101-95,J. Butler misses 3-pt jump shot from 24 ft,,4,95,101,-6,2878.0
0:01.0,Defensive rebound by K. Leonard,101-95, ,,4,95,101,-6,2879.0
0:01.0,Personal take foul by C. Martin (drawn by K. Leonard),101-95, ,,4,95,101,-6,2879.0
0:01.0,K. Leonard makes free throw 1 of 2,102-95, ,,4,95,102,-7,2879.0
0:01.0,K. Leonard makes free throw 2 of 2,103-95, ,,4,95,103,-8,2879.0
0:00.0,End of 4th quarter,103-95,,,4,95,103,-8,2880.0
