Time,Denver,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:38.0, ,94-84,D. Robinson enters the game for J. Jaquez,,4,84,94,-10,2662.0
3:24.0, ,94-84,T. Rozier misses 3-pt jump shot from 25 ft,,4,84,94,-10,2676.0
3:18.0,Defensive rebound by N. Jokić,94-84, ,,4,84,94,-10,2682.0
3:04.0,Denver full timeout,94-84, ,,4,84,94,-10,2696.0
2:57.0,R. Jackson misses 2-pt layup from 3 ft,94-84, ,,4,84,94,-10,2703.0
2:54.0,Offensive rebound by A. Gordon,94-84, ,,4,84,94,-10,2706.0
2:44.0,A. Gordon misses 2-pt layup from 2 ft,94-84, ,,4,84,94,-10,2716.0
2:42.0,Offensive rebound by N. Jokić,94-84, ,,4,84,94,-10,2718.0
2:40.0,Personal foul by B. Adebayo (drawn by N. Jokić),94-84, ,,4,84,94,-10,2720.0
2:29.0,Shooting foul by C. Martin (drawn by A. Gordon),94-84, ,,4,84,94,-10,2731.0
2:29.0,A. Gordon makes free throw 1 of 2,95-84, ,,4,84,95,-11,2731.0
2:29.0,A. Gordon misses free throw 2 of 2,95-84, ,,4,84,95,-11,2731.0
2:26.0, ,95-84,Defensive rebound by B. Adebayo,,4,84,95,-11,2734.0
2:16.0, ,95-84,Shooting foul by A. Gordon (drawn by J. Butler),,4,84,95,-11,2744.0
2:16.0, ,95-85,J. Butler makes free throw 1 of 2,,4,85,95,-10,2744.0
2:16.0, ,95-86,J. Butler makes free throw 2 of 2,,4,86,95,-9,2744.0
2:16.0,Denver full timeout,95-86, ,,4,86,95,-9,2744.0
2:16.0,J. Murray enters the game for C. Braun,95-86, ,,4,86,95,-9,2744.0
1:54.0,N. Jokić makes 2-pt hook shot from 7 ft (assist by J. Murray),97-86, ,,4,86,97,-11,2766.0
1:42.0, ,97-86,T. Rozier misses 3-pt jump shot from 26 ft,,4,86,97,-11,2778.0
1:38.0,Defensive rebound by M. Porter,97-86, ,,4,86,97,-11,2782.0
1:19.0,M. Porter makes 3-pt jump shot from 25 ft (assist by J. Murray),100-86, ,,4,86,100,-14,2801.0
1:07.0, ,100-86,D. Robinson misses 3-pt jump shot from 24 ft,,4,86,100,-14,2813.0
1:04.0,Defensive rebound by M. Porter,100-86, ,,4,86,100,-14,2816.0
1:01.0,Turnover by M. Porter (traveling),100-86, ,,4,86,100,-14,2819.0
0:56.0, ,100-88,B. Adebayo makes 2-pt layup from 2 ft,,4,88,100,-12,2824.0
0:36.0,M. Porter misses 3-pt jump shot from 24 ft,100-88, ,,4,88,100,-12,2844.0
0:32.0, ,100-88,Defensive rebound by D. Robinson,,4,88,100,-12,2848.0
0:26.0, ,100-88,C. Martin misses 3-pt jump shot from 23 ft,,4,88,100,-12,2854.0
0:23.0,Defensive rebound by J. Murray,100-88, ,,4,88,100,-12,2857.0
0:03.0,Turnover by N. Jokić (lost ball; steal by B. Adebayo),100-88, ,,4,88,100,-12,2877.0
0:00.0,End of 4th quarter,100-88,,,4,88,100,-12,2880.0
