Time,Miami,Score,Indiana,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Turner (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:43.0,D. Robinson misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,17.0
11:41.0, ,0-0,Defensive rebound by P. Siakam,,1,0,0,0,19.0
11:34.0, ,0-0,P. Siakam misses 2-pt jump shot from 13 ft,,1,0,0,0,26.0
11:31.0,Defensive rebound by N. Jović,0-0, ,,1,0,0,0,29.0
11:24.0,N. Jović misses 3-pt jump shot from 22 ft,0-0, ,,1,0,0,0,36.0
11:21.0, ,0-0,Defensive rebound by M. Turner,,1,0,0,0,39.0
11:07.0, ,0-0,Turnover by T. Haliburton (discontinued dribble),,1,0,0,0,53.0
10:55.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),2-0, ,,1,2,0,2,65.0
10:33.0, ,2-2,A. Nembhard makes 2-pt layup from 4 ft,Tie,1,2,2,0,87.0
10:24.0,D. Robinson misses 3-pt jump shot from 26 ft,2-2, ,,1,2,2,0,96.0
10:21.0, ,2-2,Defensive rebound by M. Turner,,1,2,2,0,99.0
10:15.0, ,2-2,P. Siakam misses 3-pt jump shot from 23 ft,,1,2,2,0,105.0
10:10.0,Defensive rebound by J. Butler,2-2, ,,1,2,2,0,110.0
10:06.0,N. Jović makes 2-pt layup from 1 ft (assist by J. Butler),4-2, ,,1,4,2,2,114.0
9:54.0, ,4-4,M. Turner makes 2-pt layup from 2 ft (assist by A. Nembhard),Tie,1,4,4,0,126.0
9:36.0,Shooting foul by P. Siakam (drawn by B. Adebayo),4-4, ,,1,4,4,0,144.0
9:36.0,B. Adebayo misses free throw 1 of 2,4-4, ,,1,4,4,0,144.0
9:36.0,Offensive rebound by Team,4-4, ,,1,4,4,0,144.0
9:36.0,B. Adebayo makes free throw 2 of 2,5-4, ,,1,5,4,1,144.0
9:21.0, ,5-7,T. Haliburton makes 3-pt jump shot from 25 ft,Lead change,1,5,7,-2,159.0
9:06.0,T. Rozier misses 2-pt layup from 7 ft,5-7, ,,1,5,7,-2,174.0
9:03.0,Offensive rebound by B. Adebayo,5-7, ,,1,5,7,-2,177.0
9:03.0,B. Adebayo misses 2-pt layup at rim,5-7, ,,1,5,7,-2,177.0
9:03.0, ,5-7,Defensive rebound by M. Turner,,1,5,7,-2,177.0
