Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. I. Hartenstein (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:40.0,H. Highsmith misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,20.0
11:38.0,Offensive rebound by J. Butler,0-0, ,,1,0,0,0,22.0
11:37.0,J. Butler makes 2-pt layup from 1 ft,2-0, ,,1,2,0,2,23.0
11:21.0, ,2-0,Shooting foul by J. Butler (drawn by J. Brunson),,1,2,0,2,39.0
11:21.0, ,2-1,J. Brunson makes free throw 1 of 2,,1,2,1,1,39.0
11:21.0, ,2-2,J. Brunson makes free throw 2 of 2,Tie,1,2,2,0,39.0
11:04.0,T. Herro makes 3-pt jump shot from 25 ft (assist by H. Highsmith),5-2, ,,1,5,2,3,56.0
10:46.0, ,5-4,O. Anunoby makes 2-pt dunk from 1 ft (assist by J. Randle),,1,5,4,1,74.0
10:24.0,T. Rozier misses 2-pt layup from 2 ft,5-4, ,,1,5,4,1,96.0
10:23.0,Offensive rebound by Team,5-4, ,,1,5,4,1,97.0
10:23.0, ,5-4,Loose ball foul by I. Hartenstein (drawn by B. Adebayo),,1,5,4,1,97.0
10:14.0,T. Rozier misses 3-pt jump shot from 25 ft,5-4, ,,1,5,4,1,106.0
10:12.0,Offensive rebound by B. Adebayo,5-4, ,,1,5,4,1,108.0
10:00.0,Turnover by B. Adebayo (out of bounds lost ball),5-4, ,,1,5,4,1,120.0
9:47.0, ,5-4,J. Brunson misses 2-pt jump shot from 8 ft,,1,5,4,1,133.0
9:45.0, ,5-4,Offensive rebound by I. Hartenstein,,1,5,4,1,135.0
9:34.0, ,5-4,D. DiVincenzo misses 3-pt jump shot from 26 ft,,1,5,4,1,146.0
9:32.0,Defensive rebound by B. Adebayo,5-4, ,,1,5,4,1,148.0
9:25.0,T. Herro makes 3-pt jump shot from 23 ft (assist by T. Rozier),8-4, ,,1,8,4,4,155.0
9:06.0, ,8-4,Turnover by J. Randle (bad pass),,1,8,4,4,174.0
8:45.0,T. Rozier makes 2-pt jump shot from 17 ft,10-4, ,,1,10,4,6,195.0
8:37.0,Violation by Team (kicked ball),10-4, ,,1,10,4,6,203.0
8:22.0, ,10-4,D. DiVincenzo misses 2-pt jump shot from 8 ft,,1,10,4,6,218.0
8:20.0,Defensive rebound by T. Rozier,10-4, ,,1,10,4,6,220.0
8:15.0,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Rozier),13-4, ,,1,13,4,9,225.0
8:05.0, ,13-4,New York full timeout,,1,13,4,9,235.0
7:51.0, ,13-4,J. Randle misses 2-pt layup from 2 ft,,1,13,4,9,249.0
7:49.0, ,13-4,Offensive rebound by J. Randle,,1,13,4,9,251.0
7:43.0, ,13-4,J. Brunson misses 2-pt jump shot from 11 ft,,1,13,4,9,257.0
7:42.0, ,13-4,Offensive rebound by J. Randle,,1,13,4,9,258.0
7:37.0, ,13-4,D. DiVincenzo misses 3-pt jump shot from 24 ft,,1,13,4,9,263.0
7:35.0,Defensive rebound by B. Adebayo,13-4, ,,1,13,4,9,265.0
7:26.0,T. Herro misses 3-pt jump shot from 25 ft,13-4, ,,1,13,4,9,274.0
7:24.0, ,13-4,Defensive rebound by I. Hartenstein,,1,13,4,9,276.0
7:13.0, ,13-7,J. Brunson makes 3-pt jump shot from 23 ft (assist by D. DiVincenzo),,1,13,7,6,287.0
6:59.0,T. Rozier makes 2-pt layup from 2 ft,15-7, ,,1,15,7,8,301.0
6:39.0, ,15-9,I. Hartenstein makes 2-pt dunk from 1 ft (assist by O. Anunoby),,1,15,9,6,321.0
6:20.0,J. Butler misses 3-pt jump shot from 23 ft,15-9, ,,1,15,9,6,340.0
6:18.0, ,15-9,Defensive rebound by I. Hartenstein,,1,15,9,6,342.0
6:07.0, ,15-9,J. Brunson misses 3-pt jump shot from 28 ft,,1,15,9,6,353.0
6:05.0,Defensive rebound by H. Highsmith,15-9, ,,1,15,9,6,355.0
6:05.0,K. Love enters the game for B. Adebayo,15-9, ,,1,15,9,6,355.0
6:05.0,D. Robinson enters the game for T. Herro,15-9, ,,1,15,9,6,355.0
6:05.0, ,15-9,P. Achiuwa enters the game for I. Hartenstein,,1,15,9,6,355.0
5:51.0,Personal foul by J. Randle (drawn by H. Highsmith),15-9, ,,1,15,9,6,369.0
5:44.0,D. Robinson makes 2-pt layup from 2 ft (assist by K. Love),17-9, ,,1,17,9,8,376.0
5:27.0, ,17-9,J. Randle misses 2-pt jump shot from 6 ft,,1,17,9,8,393.0
5:26.0,Defensive rebound by Team,17-9, ,,1,17,9,8,394.0
5:17.0,T. Rozier misses 2-pt jump shot from 10 ft,17-9, ,,1,17,9,8,403.0
5:15.0, ,17-9,Defensive rebound by J. Brunson,,1,17,9,8,405.0
4:53.0, ,17-9,J. Randle misses 2-pt jump shot from 9 ft,,1,17,9,8,427.0
4:51.0,Defensive rebound by K. Love,17-9, ,,1,17,9,8,429.0
4:39.0,D. Robinson misses 2-pt layup from 4 ft (block by J. Brunson),17-9, ,,1,17,9,8,441.0
4:38.0, ,17-9,Defensive rebound by Team,,1,17,9,8,442.0
4:38.0, ,17-9,New York full timeout,,1,17,9,8,442.0
4:38.0, ,17-9,J. Hart enters the game for D. DiVincenzo,,1,17,9,8,442.0
4:38.0, ,17-9,Instant Replay (Challenge: Ruling Stands),,1,17,9,8,442.0
4:38.0,J. Jaquez enters the game for H. Highsmith,17-9, ,,1,17,9,8,442.0
4:20.0, ,17-9,O. Anunoby misses 2-pt layup from 6 ft,,1,17,9,8,460.0
4:18.0, ,17-9,Offensive rebound by P. Achiuwa,,1,17,9,8,462.0
4:18.0, ,17-9,P. Achiuwa misses 2-pt layup from 3 ft,,1,17,9,8,462.0
4:17.0, ,17-9,Offensive rebound by P. Achiuwa,,1,17,9,8,463.0
4:17.0, ,17-9,P. Achiuwa misses 2-pt layup at rim,,1,17,9,8,463.0
4:17.0,Defensive rebound by Team,17-9, ,,1,17,9,8,463.0
4:01.0,J. Butler makes 2-pt layup from 1 ft (assist by D. Robinson),19-9, ,,1,19,9,10,479.0
3:39.0, ,19-11,O. Anunoby makes 2-pt layup from 1 ft (assist by J. Brunson),,1,19,11,8,501.0
3:39.0, ,19-11,Shooting foul by J. Jaquez (drawn by O. Anunoby),,1,19,11,8,501.0
3:39.0, ,19-11,O. Anunoby misses free throw 1 of 1,,1,19,11,8,501.0
3:37.0,Defensive rebound by J. Jaquez,19-11, ,,1,19,11,8,503.0
3:23.0,D. Robinson misses 2-pt jump shot from 8 ft,19-11, ,,1,19,11,8,517.0
3:21.0, ,19-11,Defensive rebound by J. Brunson,,1,19,11,8,519.0
3:14.0, ,19-13,J. Brunson makes 2-pt layup from 1 ft,,1,19,13,6,526.0
