Time,Miami,Score,Orlando,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. W. Carter (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:45.0,B. Adebayo misses 2-pt jump shot from 13 ft,0-0, ,,1,0,0,0,15.0
11:45.0,Offensive rebound by Team,0-0, ,,1,0,0,0,15.0
11:45.0,Personal foul by A. Black (drawn by K. Lowry),0-0, ,,1,0,0,0,15.0
11:45.0, ,0-0,Personal foul by K. Lowry (drawn by A. Black),,1,0,0,0,15.0
11:34.0,T. Herro makes 2-pt jump shot from 14 ft,2-0, ,,1,2,0,2,26.0
11:21.0, ,2-0,Turnover by J. Suggs (lost ball; steal by C. Martin),,1,2,0,2,39.0
11:08.0,C. Martin misses 2-pt layup from 13 ft (block by F. Wagner),2-0, ,,1,2,0,2,52.0
11:08.0, ,2-0,Defensive rebound by F. Wagner,,1,2,0,2,52.0
11:03.0, ,2-0,F. Wagner misses 2-pt layup from 2 ft,,1,2,0,2,57.0
11:00.0,Defensive rebound by T. Herro,2-0, ,,1,2,0,2,60.0
10:57.0,B. Adebayo misses 2-pt layup from 1 ft,2-0, ,,1,2,0,2,63.0
10:54.0, ,2-0,Defensive rebound by P. Banchero,,1,2,0,2,66.0
10:46.0, ,2-2,J. Suggs makes 2-pt layup from 2 ft (assist by F. Wagner),Tie,1,2,2,0,74.0
10:22.0,B. Adebayo misses 2-pt jump shot from 12 ft,2-2, ,,1,2,2,0,98.0
10:17.0, ,2-2,Defensive rebound by F. Wagner,,1,2,2,0,103.0
10:12.0, ,2-2,F. Wagner misses 2-pt layup from 2 ft (block by J. Jaquez),,1,2,2,0,108.0
10:12.0,Defensive rebound by C. Martin,2-2, ,,1,2,2,0,108.0
9:56.0,T. Herro makes 3-pt jump shot from 26 ft,5-2, ,,1,5,2,3,124.0
9:35.0, ,5-2,Shooting foul by B. Adebayo (drawn by F. Wagner),,1,5,2,3,145.0
9:35.0, ,5-3,F. Wagner makes free throw 1 of 2,,1,5,3,2,145.0
9:35.0, ,5-4,F. Wagner makes free throw 2 of 2,,1,5,4,1,145.0
9:22.0,Shooting foul by A. Black (drawn by T. Herro),5-4, ,,1,5,4,1,158.0
9:22.0,T. Herro makes free throw 1 of 2,6-4, ,,1,6,4,2,158.0
9:22.0,T. Herro makes free throw 2 of 2,7-4, ,,1,7,4,3,158.0
9:04.0, ,7-4,A. Black misses 2-pt jump shot from 10 ft,,1,7,4,3,176.0
9:01.0,Defensive rebound by C. Martin,7-4, ,,1,7,4,3,179.0
8:58.0,T. Herro misses 3-pt jump shot from 25 ft,7-4, ,,1,7,4,3,182.0
8:53.0, ,7-4,Defensive rebound by W. Carter,,1,7,4,3,187.0
8:38.0, ,7-6,P. Banchero makes 2-pt jump shot from 17 ft,,1,7,6,1,202.0
