Time,Miami,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:14.0,D. Smith enters the game for T. Herro,79-78, ,,3,79,78,1,1906.0
4:14.0, ,79-78,A. Horford enters the game for J. Brown,,3,79,78,1,1906.0
4:14.0, ,79-78,J. Tatum enters the game for K. Porziņģis,,3,79,78,1,1906.0
3:58.0,K. Lowry makes 2-pt layup from 3 ft,81-78, ,,3,81,78,3,1922.0
3:41.0, ,81-78,Shooting foul by K. Lowry (drawn by J. Holiday),,3,81,78,3,1939.0
3:41.0, ,81-79,J. Holiday makes free throw 1 of 2,,3,81,79,2,1939.0
3:41.0,T. Bryant enters the game for B. Adebayo,81-79, ,,3,81,79,2,1939.0
3:41.0,D. Robinson enters the game for K. Love,81-79, ,,3,81,79,2,1939.0
3:41.0, ,81-79,P. Pritchard enters the game for D. White,,3,81,79,2,1939.0
3:41.0, ,81-80,J. Holiday makes free throw 2 of 2,,3,81,80,1,1939.0
3:25.0,J. Butler misses 2-pt jump shot from 11 ft,81-80, ,,3,81,80,1,1955.0
3:22.0, ,81-80,Defensive rebound by J. Holiday,,3,81,80,1,1958.0
3:08.0, ,81-80,A. Horford misses 3-pt jump shot from 27 ft,,3,81,80,1,1972.0
3:05.0,Defensive rebound by K. Lowry,81-80, ,,3,81,80,1,1975.0
2:43.0,T. Bryant misses 2-pt jump shot from 19 ft,81-80, ,,3,81,80,1,1997.0
2:41.0, ,81-80,Defensive rebound by J. Tatum,,3,81,80,1,1999.0
2:30.0, ,81-80,J. Tatum misses 2-pt jump shot from 9 ft,,3,81,80,1,2010.0
2:29.0,Defensive rebound by D. Robinson,81-80, ,,3,81,80,1,2011.0
2:23.0,Personal foul by P. Pritchard (drawn by D. Robinson),81-80, ,,3,81,80,1,2017.0
2:23.0,T. Herro enters the game for K. Lowry,81-80, ,,3,81,80,1,2017.0
2:10.0,J. Butler makes 2-pt jump shot from 14 ft,83-80, ,,3,83,80,3,2030.0
1:48.0, ,83-82,J. Tatum makes 2-pt layup from 3 ft,,3,83,82,1,2052.0
1:35.0,Turnover by T. Herro (traveling),83-82, ,,3,83,82,1,2065.0
1:35.0,J. Jaquez enters the game for J. Butler,83-82, ,,3,83,82,1,2065.0
1:18.0, ,83-82,Turnover by J. Tatum (bad pass; steal by D. Smith),,3,83,82,1,2082.0
1:14.0,J. Jaquez misses 2-pt dunk from 3 ft (block by J. Holiday),83-82, ,,3,83,82,1,2086.0
1:11.0, ,83-82,Defensive rebound by A. Horford,,3,83,82,1,2089.0
1:06.0, ,83-82,Offensive foul by A. Horford (drawn by T. Herro),,3,83,82,1,2094.0
1:06.0, ,83-82,Turnover by A. Horford (offensive foul),,3,83,82,1,2094.0
0:50.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by T. Herro),86-82, ,,3,86,82,4,2110.0
0:41.0, ,86-84,J. Holiday makes 2-pt jump shot from 12 ft,,3,86,84,2,2119.0
0:33.0,T. Herro makes 2-pt layup from 1 ft,88-84, ,,3,88,84,4,2127.0
0:17.0, ,88-84,J. Holiday misses 2-pt jump shot from 11 ft,,3,88,84,4,2143.0
0:15.0, ,88-84,Offensive rebound by O. Brissett,,3,88,84,4,2145.0
0:04.0, ,88-87,J. Tatum makes 3-pt jump shot from 28 ft (assist by J. Holiday),,3,88,87,1,2156.0
0:00.0,D. Smith misses 2-pt jump shot from 12 ft,88-87, ,,3,88,87,1,2160.0
0:00.0,Offensive rebound by Team,88-87, ,,3,88,87,1,2160.0
0:00.0,End of 3rd quarter,88-87,,,3,88,87,1,2160.0
12:00.0,Start of 4th quarter,88-87,,,4,88,87,1,2160.0
11:43.0, ,88-87,A. Horford misses 2-pt layup from 4 ft (block by T. Bryant),,4,88,87,1,2177.0
11:42.0, ,88-87,Offensive rebound by Team,,4,88,87,1,2178.0
11:40.0, ,88-87,Shooting foul by J. Jaquez (drawn by D. White),,4,88,87,1,2180.0
11:40.0, ,88-88,D. White makes free throw 1 of 2,Tie,4,88,88,0,2180.0
11:40.0, ,88-88,D. White misses free throw 2 of 2,,4,88,88,0,2180.0
11:39.0,Defensive rebound by J. Jaquez,88-88, ,,4,88,88,0,2181.0
11:32.0,T. Bryant misses 2-pt jump shot from 15 ft,88-88, ,,4,88,88,0,2188.0
11:30.0, ,88-88,Defensive rebound by A. Horford,,4,88,88,0,2190.0
11:17.0, ,88-88,J. Tatum misses 2-pt layup from 6 ft,,4,88,88,0,2203.0
11:15.0,Defensive rebound by T. Bryant,88-88, ,,4,88,88,0,2205.0
11:07.0,Shooting foul by J. Tatum (drawn by T. Herro),88-88, ,,4,88,88,0,2213.0
11:07.0,T. Herro makes free throw 1 of 2,89-88, ,,4,89,88,1,2213.0
11:07.0,T. Herro makes free throw 2 of 2,90-88, ,,4,90,88,2,2213.0
10:55.0, ,90-91,D. White makes 3-pt jump shot from 29 ft (assist by A. Horford),Lead change,4,90,91,-1,2225.0
10:38.0,J. Jaquez misses 3-pt jump shot from 23 ft,90-91, ,,4,90,91,-1,2242.0
10:35.0, ,90-91,Defensive rebound by J. Tatum,,4,90,91,-1,2245.0
10:13.0, ,90-91,D. White misses 3-pt jump shot from 24 ft,,4,90,91,-1,2267.0
10:10.0,Defensive rebound by T. Bryant,90-91, ,,4,90,91,-1,2270.0
10:05.0,Offensive foul by T. Bryant (drawn by D. White),90-91, ,,4,90,91,-1,2275.0
10:05.0,Turnover by T. Bryant (offensive foul),90-91, ,,4,90,91,-1,2275.0
9:51.0, ,90-93,D. White makes 2-pt jump shot from 14 ft,,4,90,93,-3,2289.0
9:36.0,T. Herro misses 3-pt jump shot from 26 ft,90-93, ,,4,90,93,-3,2304.0
9:32.0, ,90-93,Defensive rebound by S. Hauser,,4,90,93,-3,2308.0
9:27.0, ,90-96,D. White makes 3-pt jump shot from 28 ft,,4,90,96,-6,2313.0
9:27.0,Miami full timeout,90-96, ,,4,90,96,-6,2313.0
9:27.0,B. Adebayo enters the game for T. Bryant,90-96, ,,4,90,96,-6,2313.0
9:27.0, ,90-96,K. Porziņģis enters the game for P. Pritchard,,4,90,96,-6,2313.0
9:12.0,D. Smith makes 3-pt jump shot from 23 ft (assist by J. Jaquez),93-96, ,,4,93,96,-3,2328.0
8:48.0, ,93-96,J. Tatum misses 3-pt jump shot from 25 ft,,4,93,96,-3,2352.0
8:47.0,Defensive rebound by T. Herro,93-96, ,,4,93,96,-3,2353.0
8:35.0,Personal foul by S. Hauser (drawn by B. Adebayo),93-96, ,,4,93,96,-3,2365.0
8:35.0, ,93-96,J. Brown enters the game for S. Hauser,,4,93,96,-3,2365.0
8:26.0,B. Adebayo misses 2-pt jump shot from 16 ft,93-96, ,,4,93,96,-3,2374.0
8:23.0, ,93-96,Defensive rebound by A. Horford,,4,93,96,-3,2377.0
8:15.0, ,93-98,J. Brown makes 2-pt jump shot from 10 ft,,4,93,98,-5,2385.0
7:52.0,T. Herro misses 2-pt jump shot from 7 ft (block by K. Porziņģis),93-98, ,,4,93,98,-5,2408.0
7:49.0, ,93-98,Defensive rebound by K. Porziņģis,,4,93,98,-5,2411.0
7:42.0, ,93-98,D. White misses 2-pt jump shot from 13 ft,,4,93,98,-5,2418.0
7:40.0,Defensive rebound by J. Jaquez,93-98, ,,4,93,98,-5,2420.0
7:32.0,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Smith),95-98, ,,4,95,98,-3,2428.0
7:32.0,Shooting foul by J. Tatum (drawn by B. Adebayo),95-98, ,,4,95,98,-3,2428.0
7:32.0, ,95-98,J. Holiday enters the game for A. Horford,,4,95,98,-3,2428.0
7:32.0,B. Adebayo makes free throw 1 of 1,96-98, ,,4,96,98,-2,2428.0
7:17.0, ,96-98,J. Tatum misses 2-pt jump shot from 8 ft,,4,96,98,-2,2443.0
7:14.0,Defensive rebound by D. Smith,96-98, ,,4,96,98,-2,2446.0
7:03.0,B. Adebayo misses 2-pt jump shot from 15 ft,96-98, ,,4,96,98,-2,2457.0
6:59.0, ,96-98,Defensive rebound by K. Porziņģis,,4,96,98,-2,2461.0
6:53.0, ,96-101,J. Brown makes 3-pt jump shot from 28 ft,,4,96,101,-5,2467.0
6:39.0, ,96-101,Violation by Team (kicked ball),,4,96,101,-5,2481.0
6:39.0,J. Butler enters the game for J. Jaquez,96-101, ,,4,96,101,-5,2481.0
6:30.0,T. Herro misses 3-pt jump shot from 26 ft,96-101, ,,4,96,101,-5,2490.0
6:26.0, ,96-101,Defensive rebound by K. Porziņģis,,4,96,101,-5,2494.0
6:13.0, ,96-101,J. Brown misses 2-pt jump shot from 17 ft,,4,96,101,-5,2507.0
6:12.0, ,96-101,Offensive rebound by K. Porziņģis,,4,96,101,-5,2508.0
6:12.0, ,96-101,Personal foul by T. Herro (drawn by K. Porziņģis),,4,96,101,-5,2508.0
6:12.0, ,96-102,K. Porziņģis makes free throw 1 of 2,,4,96,102,-6,2508.0
6:12.0,K. Lowry enters the game for D. Smith,96-102, ,,4,96,102,-6,2508.0
6:12.0, ,96-102,K. Porziņģis misses free throw 2 of 2,,4,96,102,-6,2508.0
6:10.0,Defensive rebound by J. Butler,96-102, ,,4,96,102,-6,2510.0
5:55.0,Shooting foul by K. Porziņģis (drawn by B. Adebayo),96-102, ,,4,96,102,-6,2525.0
5:55.0,B. Adebayo makes free throw 1 of 2,97-102, ,,4,97,102,-5,2525.0
5:55.0,B. Adebayo makes free throw 2 of 2,98-102, ,,4,98,102,-4,2525.0
5:45.0, ,98-102,D. White misses 3-pt jump shot from 29 ft,,4,98,102,-4,2535.0
5:42.0,Defensive rebound by B. Adebayo,98-102, ,,4,98,102,-4,2538.0
5:32.0,B. Adebayo misses 2-pt jump shot from 7 ft,98-102, ,,4,98,102,-4,2548.0
5:30.0, ,98-102,Defensive rebound by K. Porziņģis,,4,98,102,-4,2550.0
5:12.0, ,98-104,J. Brown makes 2-pt jump shot from 17 ft,,4,98,104,-6,2568.0
4:59.0,Personal foul by K. Porziņģis (drawn by J. Butler),98-104, ,,4,98,104,-6,2581.0
4:59.0,J. Butler makes free throw 1 of 2,99-104, ,,4,99,104,-5,2581.0
4:59.0,J. Butler makes free throw 2 of 2,100-104, ,,4,100,104,-4,2581.0
4:46.0, ,100-106,J. Tatum makes 2-pt dunk from 4 ft,,4,100,106,-6,2594.0
4:46.0, ,100-106,Violation by Team (delay of game),,4,100,106,-6,2594.0
4:46.0,J. Butler makes technical free throw,101-106, ,,4,101,106,-5,2594.0
4:26.0,J. Butler misses 2-pt jump shot from 15 ft,101-106, ,,4,101,106,-5,2614.0
4:24.0, ,101-106,Defensive rebound by J. Holiday,,4,101,106,-5,2616.0
4:19.0, ,101-109,D. White makes 3-pt jump shot from 25 ft (assist by J. Holiday),,4,101,109,-8,2621.0
4:11.0,Shooting foul by J. Holiday (drawn by J. Butler),101-109, ,,4,101,109,-8,2629.0
4:11.0,J. Butler misses free throw 1 of 2,101-109, ,,4,101,109,-8,2629.0
4:11.0,Offensive rebound by Team,101-109, ,,4,101,109,-8,2629.0
4:11.0,K. Love enters the game for D. Robinson,101-109, ,,4,101,109,-8,2629.0
4:11.0,J. Butler makes free throw 2 of 2,102-109, ,,4,102,109,-7,2629.0
3:51.0, ,102-109,J. Brown misses 2-pt jump shot from 16 ft (block by B. Adebayo),,4,102,109,-7,2649.0
3:47.0,Defensive rebound by J. Butler,102-109, ,,4,102,109,-7,2653.0
3:44.0,J. Butler misses 2-pt dunk from 1 ft (block by D. White),102-109, ,,4,102,109,-7,2656.0
3:42.0, ,102-109,Defensive rebound by J. Holiday,,4,102,109,-7,2658.0
3:38.0, ,102-109,J. Holiday misses 2-pt layup from 5 ft (block by B. Adebayo),,4,102,109,-7,2662.0
3:38.0, ,102-109,Offensive rebound by Team,,4,102,109,-7,2662.0
3:38.0, ,102-109,Boston full timeout,,4,102,109,-7,2662.0
3:33.0, ,102-109,Turnover by D. White (bad pass; steal by B. Adebayo),,4,102,109,-7,2667.0
3:20.0,K. Love misses 3-pt jump shot from 27 ft,102-109, ,,4,102,109,-7,2680.0
3:18.0,Offensive rebound by J. Butler,102-109, ,,4,102,109,-7,2682.0
3:18.0,Personal foul by K. Porziņģis (drawn by J. Butler),102-109, ,,4,102,109,-7,2682.0
3:18.0, ,102-109,A. Horford enters the game for K. Porziņģis,,4,102,109,-7,2682.0
3:18.0,J. Butler makes free throw 1 of 2,103-109, ,,4,103,109,-6,2682.0
3:18.0,J. Butler makes free throw 2 of 2,104-109, ,,4,104,109,-5,2682.0
3:01.0, ,104-109,Personal foul by T. Herro (drawn by J. Holiday),,4,104,109,-5,2699.0
2:48.0, ,104-111,J. Brown makes 2-pt layup from 5 ft,,4,104,111,-7,2712.0
2:28.0,B. Adebayo misses 2-pt jump shot from 9 ft,104-111, ,,4,104,111,-7,2732.0
2:25.0, ,104-111,Defensive rebound by A. Horford,,4,104,111,-7,2735.0
2:18.0, ,104-111,Shooting foul by B. Adebayo (drawn by J. Tatum),,4,104,111,-7,2742.0
2:18.0, ,104-111,J. Tatum misses free throw 1 of 2,,4,104,111,-7,2742.0
2:18.0, ,104-111,Offensive rebound by Team,,4,104,111,-7,2742.0
2:18.0, ,104-112,J. Tatum makes free throw 2 of 2,,4,104,112,-8,2742.0
1:56.0,Personal foul by D. White (drawn by K. Love),104-112, ,,4,104,112,-8,2764.0
1:56.0,K. Love misses free throw 1 of 2,104-112, ,,4,104,112,-8,2764.0
1:56.0,Offensive rebound by Team,104-112, ,,4,104,112,-8,2764.0
1:56.0,K. Love makes free throw 2 of 2,105-112, ,,4,105,112,-7,2764.0
1:35.0, ,105-112,J. Tatum misses 3-pt jump shot from 24 ft,,4,105,112,-7,2785.0
1:33.0,Defensive rebound by K. Lowry,105-112, ,,4,105,112,-7,2787.0
1:29.0,T. Herro makes 3-pt jump shot from 25 ft (assist by K. Lowry),108-112, ,,4,108,112,-4,2791.0
1:10.0, ,108-114,J. Holiday makes 2-pt jump shot from 12 ft (assist by D. White),,4,108,114,-6,2810.0
1:02.0,B. Adebayo misses 2-pt layup from 2 ft,108-114, ,,4,108,114,-6,2818.0
1:00.0,Offensive rebound by K. Lowry,108-114, ,,4,108,114,-6,2820.0
0:59.0,K. Love makes 3-pt jump shot from 29 ft (assist by J. Butler),111-114, ,,4,111,114,-3,2821.0
0:47.0, ,111-114,Personal foul by J. Butler (drawn by D. White),,4,111,114,-3,2833.0
0:47.0,Miami full timeout,111-114, ,,4,111,114,-3,2833.0
0:47.0,Instant Replay (Challenge: Ruling Stands),111-114, ,,4,111,114,-3,2833.0
0:47.0, ,111-115,D. White makes free throw 1 of 2,,4,111,115,-4,2833.0
0:47.0, ,111-116,D. White makes free throw 2 of 2,,4,111,116,-5,2833.0
0:36.0,T. Herro misses 3-pt jump shot from 25 ft,111-116, ,,4,111,116,-5,2844.0
0:32.0, ,111-116,Defensive rebound by J. Brown,,4,111,116,-5,2848.0
0:17.0, ,111-119,J. Brown makes 3-pt jump shot from 29 ft (assist by J. Holiday),,4,111,119,-8,2863.0
0:09.0,K. Love misses 2-pt jump shot from 22 ft,111-119, ,,4,111,119,-8,2871.0
0:04.0, ,111-119,Defensive rebound by A. Horford,,4,111,119,-8,2876.0
0:00.0,End of 4th quarter,111-119,,,4,111,119,-8,2880.0
