Time,Chicago,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. B. Adebayo (C. White gains possession),0-0,,,1,0,0,0,0.0
11:36.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by A. Caruso),2-0, ,,1,0,2,-2,24.0
11:20.0, ,2-2,B. Adebayo makes 2-pt jump shot from 7 ft (assist by J. Jaquez),Tie,1,2,2,0,40.0
11:06.0,A. Caruso makes 3-pt jump shot from 26 ft (assist by A. Dosunmu),5-2, ,,1,2,5,-3,54.0
10:51.0, ,5-4,T. Herro makes 2-pt jump shot from 18 ft (assist by J. Jaquez),,1,4,5,-1,69.0
10:33.0,A. Dosunmu makes 3-pt jump shot from 26 ft (assist by D. DeRozan),8-4, ,,1,4,8,-4,87.0
10:12.0, ,8-6,J. Jaquez makes 2-pt jump shot from 9 ft (assist by T. Herro),,1,6,8,-2,108.0
9:51.0,N. Vučević misses 3-pt jump shot from 25 ft,8-6, ,,1,6,8,-2,129.0
9:47.0, ,8-6,Defensive rebound by T. Herro,,1,6,8,-2,133.0
9:42.0, ,8-6,T. Herro misses 3-pt jump shot from 27 ft,,1,6,8,-2,138.0
9:37.0,Defensive rebound by A. Caruso,8-6, ,,1,6,8,-2,143.0
9:25.0,D. DeRozan makes 3-pt jump shot from 25 ft (assist by N. Vučević),11-6, ,,1,6,11,-5,155.0
9:16.0, ,11-8,C. Martin makes 2-pt layup from 7 ft,,1,8,11,-3,164.0
8:54.0,Turnover by N. Vučević (out of bounds lost ball),11-8, ,,1,8,11,-3,186.0
8:33.0, ,11-11,N. Jović makes 3-pt jump shot from 25 ft (assist by T. Herro),Tie,1,11,11,0,207.0
8:09.0,C. White misses 3-pt jump shot from 27 ft,11-11, ,,1,11,11,0,231.0
8:06.0, ,11-11,Defensive rebound by J. Jaquez,,1,11,11,0,234.0
8:04.0, ,11-13,J. Jaquez makes 2-pt jump shot from 9 ft,Lead change,1,13,11,2,236.0
8:04.0, ,11-13,Shooting foul by C. White (drawn by J. Jaquez),,1,13,11,2,236.0
8:04.0, ,11-14,J. Jaquez makes free throw 1 of 1,,1,14,11,3,236.0
7:52.0,D. DeRozan misses 2-pt jump shot from 17 ft (block by B. Adebayo),11-14, ,,1,14,11,3,248.0
7:51.0, ,11-14,Defensive rebound by C. Martin,,1,14,11,3,249.0
7:44.0, ,11-17,J. Jaquez makes 3-pt jump shot from 22 ft (assist by C. Martin),,1,17,11,6,256.0
7:25.0,C. White misses 3-pt jump shot from 26 ft,11-17, ,,1,17,11,6,275.0
7:22.0, ,11-17,Defensive rebound by B. Adebayo,,1,17,11,6,278.0
7:19.0, ,11-19,N. Jović makes 2-pt layup from 4 ft (assist by B. Adebayo),,1,19,11,8,281.0
7:19.0,Chicago full timeout,11-19, ,,1,19,11,8,281.0
7:01.0,A. Dosunmu misses 3-pt jump shot from 25 ft,11-19, ,,1,19,11,8,299.0
6:58.0, ,11-19,Defensive rebound by B. Adebayo,,1,19,11,8,302.0
6:45.0, ,11-19,B. Adebayo misses 2-pt jump shot from 15 ft,,1,19,11,8,315.0
6:43.0, ,11-19,Offensive rebound by N. Jović,,1,19,11,8,317.0
6:40.0, ,11-21,T. Herro makes 2-pt jump shot from 9 ft (assist by J. Jaquez),,1,21,11,10,320.0
6:28.0,A. Dosunmu misses 3-pt jump shot from 23 ft,11-21, ,,1,21,11,10,332.0
6:25.0, ,11-21,Defensive rebound by B. Adebayo,,1,21,11,10,335.0
6:09.0, ,11-21,C. Martin misses 2-pt jump shot from 21 ft,,1,21,11,10,351.0
6:04.0,Defensive rebound by A. Dosunmu,11-21, ,,1,21,11,10,356.0
5:57.0,N. Vučević misses 2-pt jump shot from 9 ft,11-21, ,,1,21,11,10,363.0
5:55.0, ,11-21,Defensive rebound by J. Jaquez,,1,21,11,10,365.0
5:48.0, ,11-21,T. Herro misses 3-pt jump shot from 26 ft,,1,21,11,10,372.0
5:46.0, ,11-21,Offensive rebound by Team,,1,21,11,10,374.0
5:46.0,Loose ball foul by D. DeRozan (drawn by B. Adebayo),11-21, ,,1,21,11,10,374.0
5:46.0,D. Terry enters the game for D. DeRozan,11-21, ,,1,21,11,10,374.0
5:46.0, ,11-21,H. Highsmith enters the game for J. Jaquez,,1,21,11,10,374.0
5:40.0, ,11-21,T. Herro misses 2-pt layup from 6 ft (block by A. Caruso),,1,21,11,10,380.0
5:40.0, ,11-21,Offensive rebound by Team,,1,21,11,10,380.0
5:36.0, ,11-21,Shooting foul by N. Vučević (drawn by B. Adebayo),,1,21,11,10,384.0
5:36.0, ,11-22,B. Adebayo makes free throw 1 of 2,,1,22,11,11,384.0
5:36.0, ,11-23,B. Adebayo makes free throw 2 of 2,,1,23,11,12,384.0
5:20.0,A. Dosunmu misses 2-pt layup from 3 ft,11-23, ,,1,23,11,12,400.0
5:16.0, ,11-23,Defensive rebound by T. Herro,,1,23,11,12,404.0
5:13.0, ,11-23,T. Herro misses 3-pt jump shot from 27 ft,,1,23,11,12,407.0
5:11.0,Defensive rebound by N. Vučević,11-23, ,,1,23,11,12,409.0
5:02.0,C. White misses 2-pt jump shot from 13 ft,11-23, ,,1,23,11,12,418.0
5:01.0, ,11-23,Defensive rebound by T. Herro,,1,23,11,12,419.0
4:52.0, ,11-25,H. Highsmith makes 2-pt jump shot from 9 ft (assist by T. Herro),,1,25,11,14,428.0
4:46.0,Personal foul by C. Martin (drawn by C. White),11-25, ,,1,25,11,14,434.0
4:46.0,D. DeRozan enters the game for C. White,11-25, ,,1,25,11,14,434.0
4:46.0, ,11-25,K. Love enters the game for B. Adebayo,,1,25,11,14,434.0
4:33.0,A. Caruso misses 3-pt jump shot from 26 ft,11-25, ,,1,25,11,14,447.0
4:29.0, ,11-25,Defensive rebound by K. Love,,1,25,11,14,451.0
4:24.0, ,11-25,N. Jović misses 2-pt layup from 3 ft,,1,25,11,14,456.0
4:24.0,Defensive rebound by N. Vučević,11-25, ,,1,25,11,14,456.0
4:14.0,N. Vučević makes 2-pt layup from 2 ft (assist by A. Caruso),13-25, ,,1,25,13,12,466.0
4:01.0, ,13-25,H. Highsmith misses 2-pt hook shot from 10 ft (block by A. Dosunmu),,1,25,13,12,479.0
4:00.0, ,13-25,Offensive rebound by H. Highsmith,,1,25,13,12,480.0
3:59.0, ,13-25,H. Highsmith misses 2-pt jump shot from 8 ft (block by N. Vučević),,1,25,13,12,481.0
3:58.0,Defensive rebound by D. DeRozan,13-25, ,,1,25,13,12,482.0
3:49.0,A. Caruso misses 3-pt jump shot from 23 ft,13-25, ,,1,25,13,12,491.0
3:45.0,Offensive rebound by D. Terry,13-25, ,,1,25,13,12,495.0
3:34.0,Turnover by N. Vučević (bad pass; steal by C. Martin),13-25, ,,1,25,13,12,506.0
3:23.0, ,13-28,K. Love makes 3-pt jump shot from 25 ft (assist by T. Herro),,1,28,13,15,517.0
3:10.0,N. Vučević misses 3-pt jump shot from 24 ft,13-28, ,,1,28,13,15,530.0
3:07.0, ,13-28,Defensive rebound by T. Herro,,1,28,13,15,533.0
3:00.0, ,13-28,Shooting foul by D. Terry (drawn by T. Herro),,1,28,13,15,540.0
3:00.0, ,13-29,T. Herro makes free throw 1 of 2,,1,29,13,16,540.0
3:00.0,A. Drummond enters the game for A. Caruso,13-29, ,,1,29,13,16,540.0
3:00.0,J. Green enters the game for A. Dosunmu,13-29, ,,1,29,13,16,540.0
3:00.0,C. White enters the game for N. Vučević,13-29, ,,1,29,13,16,540.0
3:00.0, ,13-29,J. Jaquez enters the game for N. Jović,,1,29,13,16,540.0
3:00.0, ,13-29,D. Wright enters the game for C. Martin,,1,29,13,16,540.0
3:00.0, ,13-30,T. Herro makes free throw 2 of 2,,1,30,13,17,540.0
2:44.0,D. DeRozan misses 2-pt jump shot from 17 ft,13-30, ,,1,30,13,17,556.0
