Time,Charlotte,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:07.0, ,66-79,D. Robinson enters the game for K. Lowry,,3,79,66,13,1973.0
3:07.0, ,66-80,J. Butler makes free throw 2 of 2,,3,80,66,14,1973.0
2:50.0,Turnover by I. Smith (out of bounds lost ball),66-80, ,,3,80,66,14,1990.0
2:33.0, ,66-83,J. Jaquez makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,83,66,17,2007.0
2:23.0,T. Rozier misses 2-pt jump shot from 7 ft,66-83, ,,3,83,66,17,2017.0
2:21.0,Offensive rebound by B. McGowens,66-83, ,,3,83,66,17,2019.0
2:18.0,B. McGowens makes 2-pt layup at rim,68-83, ,,3,83,68,15,2022.0
2:00.0, ,68-83,J. Jaquez misses 2-pt jump shot from 11 ft,,3,83,68,15,2040.0
1:57.0, ,68-83,Offensive rebound by J. Cain,,3,83,68,15,2043.0
1:56.0, ,68-83,J. Cain misses 2-pt layup from 2 ft,,3,83,68,15,2044.0
1:56.0, ,68-83,Offensive rebound by J. Jaquez,,3,83,68,15,2044.0
1:51.0, ,68-83,K. Love misses 3-pt jump shot from 25 ft,,3,83,68,15,2049.0
1:49.0,Defensive rebound by I. Smith,68-83, ,,3,83,68,15,2051.0
1:47.0,T. Rozier misses 3-pt jump shot from 23 ft,68-83, ,,3,83,68,15,2053.0
1:44.0, ,68-83,Defensive rebound by J. Butler,,3,83,68,15,2056.0
1:40.0, ,68-86,J. Cain makes 3-pt jump shot from 26 ft (assist by J. Jaquez),,3,86,68,18,2060.0
1:19.0,M. Bridges misses 3-pt jump shot from 26 ft,68-86, ,,3,86,68,18,2081.0
1:18.0, ,68-86,Defensive rebound by D. Robinson,,3,86,68,18,2082.0
1:16.0, ,68-86,Turnover by D. Robinson (bad pass),,3,86,68,18,2084.0
0:56.0,J. Thor misses 3-pt jump shot from 25 ft,68-86, ,,3,86,68,18,2104.0
0:53.0, ,68-86,Defensive rebound by J. Butler,,3,86,68,18,2107.0
0:37.0, ,68-89,J. Cain makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,89,68,21,2123.0
0:19.0,M. Bridges misses 3-pt jump shot from 26 ft,68-89, ,,3,89,68,21,2141.0
0:16.0,Offensive rebound by M. Bridges,68-89, ,,3,89,68,21,2144.0
0:16.0,M. Bridges makes 2-pt layup from 2 ft,70-89, ,,3,89,70,19,2144.0
0:01.0, ,70-89,Shooting foul by J. Thor (drawn by J. Butler),,3,89,70,19,2159.0
0:01.0, ,70-90,J. Butler makes free throw 1 of 2,,3,90,70,20,2159.0
0:01.0, ,70-90,C. Martin enters the game for D. Robinson,,3,90,70,20,2159.0
0:01.0, ,70-91,J. Butler makes free throw 2 of 2,,3,91,70,21,2159.0
0:01.0, ,70-91,Instant Replay (Request: Ruling Stands),,3,91,70,21,2159.0
0:00.0,End of 3rd quarter,70-91,,,3,91,70,21,2160.0
12:00.0,Start of 4th quarter,70-91,,,4,91,70,21,2160.0
11:49.0,T. Rozier misses 2-pt jump shot from 2 ft,70-91, ,,4,91,70,21,2171.0
11:45.0, ,70-91,Defensive rebound by J. Jaquez,,4,91,70,21,2175.0
11:34.0, ,70-91,K. Love misses 3-pt jump shot from 26 ft,,4,91,70,21,2186.0
11:30.0, ,70-91,Offensive rebound by J. Cain,,4,91,70,21,2190.0
11:28.0, ,70-91,K. Love misses 3-pt jump shot from 26 ft,,4,91,70,21,2192.0
11:28.0,Defensive rebound by T. Rozier,70-91, ,,4,91,70,21,2192.0
11:14.0,N. Richards misses 2-pt jump shot from 16 ft,70-91, ,,4,91,70,21,2206.0
11:11.0, ,70-91,Defensive rebound by K. Love,,4,91,70,21,2209.0
11:08.0, ,70-91,Turnover by C. Martin (traveling),,4,91,70,21,2212.0
11:08.0,G. Hayward enters the game for B. McGowens,70-91, ,,4,91,70,21,2212.0
10:54.0,B. Miller makes 3-pt jump shot from 23 ft (assist by G. Hayward),73-91, ,,4,91,73,18,2226.0
10:34.0, ,73-91,K. Love misses 3-pt jump shot from 25 ft,,4,91,73,18,2246.0
10:30.0,Defensive rebound by B. Miller,73-91, ,,4,91,73,18,2250.0
10:20.0,B. Miller makes 2-pt jump shot from 17 ft,75-91, ,,4,91,75,16,2260.0
10:04.0, ,75-91,K. Love misses 3-pt jump shot from 25 ft,,4,91,75,16,2276.0
10:01.0,Defensive rebound by M. Bridges,75-91, ,,4,91,75,16,2279.0
