Time,Charlotte,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:51.0, ,21-20,Turnover by K. Love (bad pass; steal by T. Rozier),,1,20,21,-1,609.0
1:43.0,N. Richards misses 2-pt layup from 3 ft (block by K. Love),21-20, ,,1,20,21,-1,617.0
1:40.0, ,21-20,Defensive rebound by K. Love,,1,20,21,-1,620.0
1:38.0, ,21-20,J. Cain misses 3-pt jump shot from 24 ft,,1,20,21,-1,622.0
1:34.0,Defensive rebound by B. McGowens,21-20, ,,1,20,21,-1,626.0
1:29.0,B. McGowens misses 2-pt layup from 3 ft,21-20, ,,1,20,21,-1,631.0
1:25.0, ,21-20,Defensive rebound by K. Love,,1,20,21,-1,635.0
1:23.0, ,21-20,Offensive foul by J. Butler (drawn by I. Smith),,1,20,21,-1,637.0
1:23.0, ,21-20,Turnover by J. Butler (offensive foul),,1,20,21,-1,637.0
1:08.0,M. Bridges misses 2-pt jump shot from 8 ft (block by J. Cain),21-20, ,,1,20,21,-1,652.0
1:05.0, ,21-20,Defensive rebound by J. Butler,,1,20,21,-1,655.0
0:58.0, ,21-20,K. Love misses 2-pt jump shot from 17 ft,,1,20,21,-1,662.0
0:54.0, ,21-20,Offensive rebound by J. Butler,,1,20,21,-1,666.0
0:54.0, ,21-20,J. Butler misses 2-pt layup at rim,,1,20,21,-1,666.0
0:53.0,Defensive rebound by N. Richards,21-20, ,,1,20,21,-1,667.0
0:52.0,Turnover by N. Richards (lost ball; steal by J. Cain),21-20, ,,1,20,21,-1,668.0
0:50.0, ,21-20,J. Cain misses 2-pt layup from 1 ft,,1,20,21,-1,670.0
0:48.0,Defensive rebound by T. Rozier,21-20, ,,1,20,21,-1,672.0
0:47.0,M. Bridges makes 2-pt layup from 2 ft (assist by B. McGowens),23-20, ,,1,20,23,-3,673.0
0:35.0, ,23-22,J. Butler makes 2-pt layup from 2 ft (assist by J. Jaquez),,1,22,23,-1,685.0
0:15.0,M. Bridges misses 2-pt layup from 2 ft,23-22, ,,1,22,23,-1,705.0
0:12.0, ,23-22,Defensive rebound by K. Love,,1,22,23,-1,708.0
0:03.0, ,23-22,D. Robinson misses 3-pt jump shot from 33 ft,,1,22,23,-1,717.0
0:02.0,Defensive rebound by N. Richards,23-22, ,,1,22,23,-1,718.0
0:00.0,End of 1st quarter,23-22,,,1,22,23,-1,720.0
12:00.0,Start of 2nd quarter,23-22,,,2,22,23,-1,720.0
11:47.0, ,23-22,J. Jaquez misses 2-pt layup from 3 ft,,2,22,23,-1,733.0
11:42.0, ,23-22,Offensive rebound by T. Bryant,,2,22,23,-1,738.0
11:42.0, ,23-24,T. Bryant makes 2-pt layup at rim,Lead change,2,24,23,1,738.0
11:21.0,T. Rozier makes 2-pt jump shot from 14 ft,25-24, ,Lead change,2,24,25,-1,759.0
11:05.0, ,25-27,D. Robinson makes 3-pt jump shot from 22 ft (assist by C. Martin),Lead change,2,27,25,2,775.0
10:52.0,J. Thor misses 3-pt jump shot from 26 ft,25-27, ,,2,27,25,2,788.0
10:47.0, ,25-27,Defensive rebound by D. Robinson,,2,27,25,2,793.0
10:30.0, ,25-29,J. Cain makes 2-pt jump shot from 18 ft,,2,29,25,4,810.0
10:10.0,B. Miller misses 3-pt jump shot from 23 ft,25-29, ,,2,29,25,4,830.0
10:09.0,Offensive rebound by N. Richards,25-29, ,,2,29,25,4,831.0
10:08.0,N. Richards makes 2-pt layup from 2 ft,27-29, ,,2,29,27,2,832.0
10:08.0,Shooting foul by T. Bryant (drawn by N. Richards),27-29, ,,2,29,27,2,832.0
10:08.0,N. Richards misses free throw 1 of 1,27-29, ,,2,29,27,2,832.0
10:03.0, ,27-29,Defensive rebound by T. Bryant,,2,29,27,2,837.0
9:48.0, ,27-29,C. Martin misses 2-pt jump shot from 12 ft,,2,29,27,2,852.0
9:45.0, ,27-29,Offensive rebound by T. Bryant,,2,29,27,2,855.0
9:44.0, ,27-31,T. Bryant makes 2-pt dunk from 1 ft,,2,31,27,4,856.0
9:26.0,Shooting foul by D. Robinson (drawn by B. McGowens),27-31, ,,2,31,27,4,874.0
9:26.0,B. McGowens makes free throw 1 of 2,28-31, ,,2,31,28,3,874.0
9:26.0,B. McGowens makes free throw 2 of 2,29-31, ,,2,31,29,2,874.0
9:14.0, ,29-31,Turnover by J. Jaquez (bad pass; steal by B. Miller),,2,31,29,2,886.0
9:03.0,Turnover by J. Thor (lost ball; steal by J. Jaquez),29-31, ,,2,31,29,2,897.0
