Time,Washington,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:38.0, ,90-115,J. Richardson makes 3-pt jump shot from 26 ft (assist by T. Herro),,4,115,90,25,2482.0
6:36.0,Washington full timeout,90-115, ,,4,115,90,25,2484.0
6:36.0,J. Davis enters the game for D. Gafford,90-115, ,,4,115,90,25,2484.0
6:36.0,A. Gill enters the game for L. Shamet,90-115, ,,4,115,90,25,2484.0
6:36.0,E. Omoruyi enters the game for D. Wright,90-115, ,,4,115,90,25,2484.0
6:22.0,B. Coulibaly makes 2-pt layup from 2 ft,92-115, ,,4,115,92,23,2498.0
6:15.0, ,92-115,Offensive foul by T. Bryant (drawn by R. Rollins),,4,115,92,23,2505.0
6:15.0, ,92-115,Turnover by T. Bryant (offensive foul),,4,115,92,23,2505.0
6:08.0,Shooting foul by T. Bryant (drawn by R. Rollins),92-115, ,,4,115,92,23,2512.0
6:08.0,R. Rollins misses free throw 1 of 2,92-115, ,,4,115,92,23,2512.0
6:08.0,Offensive rebound by Team,92-115, ,,4,115,92,23,2512.0
6:08.0,R. Rollins makes free throw 2 of 2,93-115, ,,4,115,93,22,2512.0
5:53.0, ,93-115,T. Bryant misses 2-pt layup from 4 ft (block by A. Gill),,4,115,93,22,2527.0
5:50.0,Defensive rebound by R. Rollins,93-115, ,,4,115,93,22,2530.0
5:48.0,J. Davis makes 3-pt jump shot from 25 ft (assist by R. Rollins),96-115, ,,4,115,96,19,2532.0
5:32.0, ,96-115,Turnover by J. Richardson (bad pass),,4,115,96,19,2548.0
5:21.0,E. Omoruyi makes 2-pt layup from 2 ft (assist by R. Rollins),98-115, ,,4,115,98,17,2559.0
5:02.0, ,98-115,Turnover by T. Herro (bad pass; steal by E. Omoruyi),,4,115,98,17,2578.0
5:00.0,A. Gill makes 2-pt layup from 2 ft (assist by E. Omoruyi),100-115, ,,4,115,100,15,2580.0
5:00.0, ,100-115,Miami full timeout,,4,115,100,15,2580.0
5:00.0, ,100-115,B. Adebayo enters the game for T. Bryant,,4,115,100,15,2580.0
4:53.0, ,100-115,Personal foul by A. Gill (drawn by J. Richardson),,4,115,100,15,2587.0
4:45.0, ,100-115,Turnover by B. Adebayo (traveling),,4,115,100,15,2595.0
4:36.0,A. Gill makes 2-pt jump shot from 11 ft (assist by E. Omoruyi),102-115, ,,4,115,102,13,2604.0
4:26.0, ,102-115,Offensive foul by J. Richardson (drawn by E. Omoruyi),,4,115,102,13,2614.0
4:26.0, ,102-115,Turnover by J. Richardson (offensive foul),,4,115,102,13,2614.0
4:12.0,B. Coulibaly misses 3-pt jump shot from 26 ft,102-115, ,,4,115,102,13,2628.0
4:07.0,Offensive rebound by A. Gill,102-115, ,,4,115,102,13,2633.0
4:07.0,A. Gill misses 2-pt jump shot from 5 ft,102-115, ,,4,115,102,13,2633.0
4:06.0,Offensive rebound by Team,102-115, ,,4,115,102,13,2634.0
4:06.0,Washington full timeout,102-115, ,,4,115,102,13,2634.0
4:06.0,Instant Replay (Challenge: Ruling Stands),102-115, ,,4,115,102,13,2634.0
4:06.0, ,102-115,J. Butler enters the game for J. Jaquez,,4,115,102,13,2634.0
4:00.0,R. Rollins makes 2-pt layup from 2 ft,104-115, ,,4,115,104,11,2640.0
4:00.0,Shooting foul by T. Herro (drawn by R. Rollins),104-115, ,,4,115,104,11,2640.0
4:00.0,R. Rollins makes free throw 1 of 1,105-115, ,,4,115,105,10,2640.0
3:59.0, ,105-115,Personal foul by R. Rollins (drawn by T. Herro),,4,115,105,10,2641.0
3:59.0, ,105-115,K. Lowry enters the game for D. Robinson,,4,115,105,10,2641.0
3:46.0, ,105-117,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),,4,117,105,12,2654.0
3:37.0,Turnover by E. Omoruyi (bad pass; steal by T. Herro),105-117, ,,4,117,105,12,2663.0
3:19.0, ,105-117,Personal foul by E. Omoruyi (drawn by B. Adebayo),,4,117,105,12,2681.0
3:05.0, ,105-117,K. Lowry misses 3-pt jump shot from 25 ft,,4,117,105,12,2695.0
3:00.0,Defensive rebound by B. Coulibaly,105-117, ,,4,117,105,12,2700.0
2:47.0,R. Rollins misses 2-pt layup from 5 ft,105-117, ,,4,117,105,12,2713.0
2:45.0, ,105-117,Defensive rebound by B. Adebayo,,4,117,105,12,2715.0
2:38.0, ,105-117,T. Herro misses 2-pt layup from 5 ft,,4,117,105,12,2722.0
2:36.0,Defensive rebound by A. Gill,105-117, ,,4,117,105,12,2724.0
2:33.0,E. Omoruyi makes 2-pt dunk from 1 ft (assist by B. Coulibaly),107-117, ,,4,117,107,10,2727.0
2:04.0, ,107-119,T. Herro makes 2-pt jump shot from 16 ft (assist by J. Richardson),,4,119,107,12,2756.0
1:50.0,R. Rollins misses 2-pt jump shot from 15 ft,107-119, ,,4,119,107,12,2770.0
1:48.0, ,107-119,Defensive rebound by J. Butler,,4,119,107,12,2772.0
1:26.0, ,107-119,J. Butler misses 3-pt jump shot from 25 ft,,4,119,107,12,2794.0
1:22.0,Defensive rebound by B. Coulibaly,107-119, ,,4,119,107,12,2798.0
1:16.0,Turnover by A. Gill (bad pass; steal by T. Herro),107-119, ,,4,119,107,12,2804.0
1:15.0, ,107-121,T. Herro makes 2-pt dunk from 1 ft,,4,121,107,14,2805.0
1:09.0,Offensive foul by B. Coulibaly (drawn by J. Richardson),107-121, ,,4,121,107,14,2811.0
1:09.0,Turnover by B. Coulibaly (offensive foul),107-121, ,,4,121,107,14,2811.0
1:07.0, ,107-121,Turnover by J. Butler (bad pass; steal by J. Davis),,4,121,107,14,2813.0
1:05.0,J. Davis makes 2-pt layup from 2 ft,109-121, ,,4,121,109,12,2815.0
0:40.0, ,109-121,B. Adebayo misses 2-pt dunk from 3 ft (block by R. Rollins),,4,121,109,12,2840.0
0:40.0, ,109-121,Offensive rebound by K. Lowry,,4,121,109,12,2840.0
0:40.0, ,109-121,Turnover by Team (shot clock),,4,121,109,12,2840.0
0:37.0,Personal foul by T. Herro (drawn by A. Gill),109-121, ,,4,121,109,12,2843.0
0:37.0,A. Gill makes free throw 1 of 2,110-121, ,,4,121,110,11,2843.0
0:37.0,A. Gill makes free throw 2 of 2,111-121, ,,4,121,111,10,2843.0
0:13.0, ,111-121,Turnover by Team (shot clock),,4,121,111,10,2867.0
0:08.0,R. Rollins makes 3-pt jump shot from 27 ft,114-121, ,,4,121,114,7,2872.0
0:00.0,End of 4th quarter,114-121,,,4,121,114,7,2880.0
