Time,Milwaukee,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. B. Adebayo (G. Antetokounmpo gains possession),0-0,,,1,0,0,0,0.0
11:47.0,B. Lopez misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,13.0
11:43.0, ,0-0,Defensive rebound by D. Robinson,,1,0,0,0,17.0
11:37.0, ,0-0,B. Adebayo misses 2-pt jump shot from 12 ft,,1,0,0,0,23.0
11:31.0,Defensive rebound by G. Antetokounmpo,0-0, ,,1,0,0,0,29.0
11:21.0,M. Beasley makes 2-pt layup from 2 ft,2-0, ,,1,0,2,-2,39.0
10:58.0, ,2-0,K. Love misses 2-pt hook shot from 9 ft,,1,0,2,-2,62.0
10:56.0,Defensive rebound by M. Beasley,2-0, ,,1,0,2,-2,64.0
10:48.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by D. Lillard),4-0, ,,1,0,4,-4,72.0
10:39.0, ,4-0,D. Robinson misses 3-pt jump shot from 23 ft,,1,0,4,-4,81.0
10:35.0,Defensive rebound by K. Middleton,4-0, ,,1,0,4,-4,85.0
10:28.0,K. Middleton misses 2-pt jump shot from 7 ft,4-0, ,,1,0,4,-4,92.0
10:25.0, ,4-0,Defensive rebound by D. Robinson,,1,0,4,-4,95.0
10:23.0, ,4-2,B. Adebayo makes 2-pt layup from 5 ft (assist by D. Robinson),,1,2,4,-2,97.0
10:23.0, ,4-2,Shooting foul by D. Lillard (drawn by B. Adebayo),,1,2,4,-2,97.0
10:23.0, ,4-2,B. Adebayo misses free throw 1 of 1,,1,2,4,-2,97.0
10:23.0,Defensive rebound by K. Middleton,4-2, ,,1,2,4,-2,97.0
10:08.0,D. Lillard misses 2-pt layup from 4 ft,4-2, ,,1,2,4,-2,112.0
10:04.0,Offensive rebound by D. Lillard,4-2, ,,1,2,4,-2,116.0
10:01.0,D. Lillard makes 2-pt jump shot from 17 ft,6-2, ,,1,2,6,-4,119.0
9:51.0, ,6-2,B. Adebayo misses 2-pt jump shot from 16 ft,,1,2,6,-4,129.0
9:51.0,Defensive rebound by Team,6-2, ,,1,2,6,-4,129.0
9:51.0, ,6-2,Loose ball foul by K. Lowry (drawn by G. Antetokounmpo),,1,2,6,-4,129.0
9:32.0,G. Antetokounmpo makes 2-pt layup from 2 ft,8-2, ,,1,2,8,-6,148.0
9:22.0, ,8-2,B. Adebayo misses 2-pt dunk from 2 ft,,1,2,8,-6,158.0
9:22.0,Defensive rebound by Team,8-2, ,,1,2,8,-6,158.0
9:12.0,Turnover by G. Antetokounmpo (step out of bounds),8-2, ,,1,2,8,-6,168.0
8:58.0, ,8-2,D. Robinson misses 2-pt jump shot from 15 ft,,1,2,8,-6,182.0
8:56.0,Defensive rebound by M. Beasley,8-2, ,,1,2,8,-6,184.0
8:46.0,K. Middleton makes 2-pt layup from 1 ft (assist by B. Lopez),10-2, ,,1,2,10,-8,194.0
8:29.0, ,10-2,B. Adebayo misses 2-pt jump shot from 14 ft,,1,2,10,-8,211.0
8:29.0,Defensive rebound by M. Beasley,10-2, ,,1,2,10,-8,211.0
8:12.0,B. Lopez makes 2-pt jump shot from 13 ft (assist by D. Lillard),12-2, ,,1,2,12,-10,228.0
8:11.0, ,12-2,Miami full timeout,,1,2,12,-10,229.0
7:55.0, ,12-2,K. Lowry misses 2-pt jump shot from 12 ft,,1,2,12,-10,245.0
7:54.0,Defensive rebound by K. Middleton,12-2, ,,1,2,12,-10,246.0
7:47.0,K. Middleton misses 2-pt layup from 4 ft,12-2, ,,1,2,12,-10,253.0
7:44.0, ,12-2,Defensive rebound by K. Lowry,,1,2,12,-10,256.0
7:41.0, ,12-2,J. Richardson misses 3-pt jump shot from 24 ft,,1,2,12,-10,259.0
7:38.0,Defensive rebound by M. Beasley,12-2, ,,1,2,12,-10,262.0
7:26.0,G. Antetokounmpo misses 2-pt jump shot from 16 ft,12-2, ,,1,2,12,-10,274.0
7:22.0, ,12-2,Defensive rebound by B. Adebayo,,1,2,12,-10,278.0
7:20.0, ,12-2,Turnover by B. Adebayo (bad pass; steal by G. Antetokounmpo),,1,2,12,-10,280.0
7:20.0,P. Connaughton enters the game for G. Antetokounmpo,12-2, ,,1,2,12,-10,280.0
7:20.0,B. Portis enters the game for K. Middleton,12-2, ,,1,2,12,-10,280.0
7:01.0,P. Connaughton makes 3-pt jump shot from 25 ft (assist by D. Lillard),15-2, ,,1,2,15,-13,299.0
6:44.0, ,15-2,K. Love misses 2-pt jump shot from 12 ft,,1,2,15,-13,316.0
6:42.0,Defensive rebound by B. Portis,15-2, ,,1,2,15,-13,318.0
6:31.0,B. Portis misses 3-pt jump shot from 27 ft,15-2, ,,1,2,15,-13,329.0
6:29.0, ,15-2,Defensive rebound by K. Love,,1,2,15,-13,331.0
6:24.0, ,15-4,K. Lowry makes 2-pt jump shot from 3 ft (assist by K. Love),,1,4,15,-11,336.0
6:08.0,M. Beasley misses 2-pt jump shot from 6 ft (block by D. Robinson),15-4, ,,1,4,15,-11,352.0
6:05.0, ,15-4,Defensive rebound by K. Lowry,,1,4,15,-11,355.0
6:02.0, ,15-7,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),,1,7,15,-8,358.0
5:44.0,D. Lillard misses 3-pt jump shot from 29 ft,15-7, ,,1,7,15,-8,376.0
5:41.0, ,15-7,Defensive rebound by K. Love,,1,7,15,-8,379.0
5:36.0, ,15-7,Turnover by K. Lowry (out of bounds lost ball),,1,7,15,-8,384.0
5:36.0, ,15-7,J. Jaquez enters the game for B. Adebayo,,1,7,15,-8,384.0
5:36.0, ,15-7,C. Martin enters the game for D. Robinson,,1,7,15,-8,384.0
5:20.0,M. Beasley makes 2-pt jump shot from 19 ft (assist by P. Connaughton),17-7, ,,1,7,17,-10,400.0
5:05.0, ,17-9,C. Martin makes 2-pt dunk from 1 ft (assist by K. Love),,1,9,17,-8,415.0
4:49.0,B. Lopez makes 2-pt layup from 2 ft (assist by D. Lillard),19-9, ,,1,9,19,-10,431.0
4:33.0, ,19-11,J. Richardson makes 2-pt layup from 2 ft (assist by K. Lowry),,1,11,19,-8,447.0
4:21.0,B. Lopez misses 3-pt jump shot from 26 ft,19-11, ,,1,11,19,-8,459.0
4:19.0, ,19-11,Defensive rebound by C. Martin,,1,11,19,-8,461.0
4:06.0, ,19-11,C. Martin misses 2-pt layup from 3 ft,,1,11,19,-8,474.0
4:05.0, ,19-11,Offensive rebound by Team,,1,11,19,-8,475.0
4:05.0,M. Beauchamp enters the game for M. Beasley,19-11, ,,1,11,19,-8,475.0
4:05.0, ,19-11,Away from play foul by M. Beauchamp (drawn by J. Richardson),,1,11,19,-8,475.0
4:05.0, ,19-12,J. Richardson makes free throw 1 of 1,,1,12,19,-7,475.0
4:03.0, ,19-14,J. Richardson makes 2-pt layup from 2 ft (assist by K. Lowry),,1,14,19,-5,477.0
4:03.0, ,19-14,Shooting foul by M. Beauchamp (drawn by J. Richardson),,1,14,19,-5,477.0
4:03.0, ,19-15,J. Richardson makes free throw 1 of 1,,1,15,19,-4,477.0
3:54.0,D. Lillard misses 2-pt layup from 2 ft (block by K. Lowry),19-15, ,,1,15,19,-4,486.0
3:53.0,Offensive rebound by D. Lillard,19-15, ,,1,15,19,-4,487.0
3:43.0,B. Lopez misses 2-pt layup from 2 ft,19-15, ,,1,15,19,-4,497.0
3:43.0, ,19-15,Defensive rebound by Team,,1,15,19,-4,497.0
3:43.0,G. Antetokounmpo enters the game for B. Lopez,19-15, ,,1,15,19,-4,497.0
3:43.0, ,19-15,B. Adebayo enters the game for K. Love,,1,15,19,-4,497.0
3:25.0, ,19-18,C. Martin makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,1,18,19,-1,515.0
3:22.0,Milwaukee full timeout,19-18, ,,1,18,19,-1,518.0
3:11.0,D. Lillard makes 3-pt jump shot from 27 ft,22-18, ,,1,18,22,-4,529.0
2:52.0, ,22-20,B. Adebayo makes 2-pt jump shot from 8 ft,,1,20,22,-2,548.0
2:36.0,M. Beauchamp misses 2-pt jump shot from 17 ft,22-20, ,,1,20,22,-2,564.0
2:34.0, ,22-20,Defensive rebound by K. Lowry,,1,20,22,-2,566.0
2:28.0, ,22-20,J. Jaquez misses 3-pt jump shot from 27 ft,,1,20,22,-2,572.0
2:24.0,Defensive rebound by G. Antetokounmpo,22-20, ,,1,20,22,-2,576.0
2:18.0,P. Connaughton misses 3-pt jump shot from 27 ft,22-20, ,,1,20,22,-2,582.0
2:18.0,Offensive rebound by Team,22-20, ,,1,20,22,-2,582.0
2:18.0, ,22-20,Loose ball foul by K. Lowry (drawn by M. Beauchamp),,1,20,22,-2,582.0
2:18.0, ,22-20,D. Robinson enters the game for K. Lowry,,1,20,22,-2,582.0
2:09.0,D. Lillard misses 2-pt layup from 6 ft (block by J. Jaquez),22-20, ,,1,20,22,-2,591.0
2:06.0, ,22-20,Defensive rebound by B. Adebayo,,1,20,22,-2,594.0
1:59.0, ,22-20,J. Richardson misses 2-pt jump shot from 8 ft,,1,20,22,-2,601.0
1:59.0,Defensive rebound by Team,22-20, ,,1,20,22,-2,601.0
1:47.0,B. Portis makes 2-pt hook shot from 9 ft,24-20, ,,1,20,24,-4,613.0
1:27.0, ,24-20,D. Robinson misses 3-pt jump shot from 27 ft,,1,20,24,-4,633.0
1:23.0,Defensive rebound by G. Antetokounmpo,24-20, ,,1,20,24,-4,637.0
1:19.0,P. Connaughton misses 3-pt jump shot from 25 ft,24-20, ,,1,20,24,-4,641.0
1:14.0, ,24-20,Defensive rebound by J. Richardson,,1,20,24,-4,646.0
1:10.0, ,24-20,B. Adebayo misses 2-pt layup from 1 ft,,1,20,24,-4,650.0
1:08.0,Defensive rebound by P. Connaughton,24-20, ,,1,20,24,-4,652.0
1:01.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by D. Lillard),26-20, ,,1,20,26,-6,659.0
1:01.0, ,26-20,J. Cain enters the game for J. Richardson,,1,20,26,-6,659.0
0:41.0, ,26-20,C. Martin misses 3-pt jump shot from 26 ft,,1,20,26,-6,679.0
0:37.0,Defensive rebound by M. Beauchamp,26-20, ,,1,20,26,-6,683.0
