Time,LA Lakers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Davis vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:36.0, ,0-0,B. Adebayo misses 2-pt jump shot from 8 ft,,1,0,0,0,24.0
11:33.0,Defensive rebound by D. Russell,0-0, ,,1,0,0,0,27.0
11:18.0,A. Reaves misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,42.0
11:14.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,46.0
10:57.0, ,0-3,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,3,0,3,63.0
10:41.0,A. Reaves makes 3-pt jump shot from 31 ft (assist by L. James),3-3, ,Tie,1,3,3,0,79.0
10:30.0, ,3-5,B. Adebayo makes 2-pt jump shot from 18 ft (assist by K. Lowry),,1,5,3,2,90.0
10:12.0,D. Russell makes 3-pt jump shot from 26 ft (assist by A. Reaves),6-5, ,Lead change,1,5,6,-1,108.0
10:00.0, ,6-8,B. Adebayo makes 3-pt jump shot from 25 ft (assist by T. Herro),Lead change,1,8,6,2,120.0
9:44.0,L. James misses 2-pt jump shot from 6 ft,6-8, ,,1,8,6,2,136.0
9:42.0, ,6-8,Defensive rebound by K. Lowry,,1,8,6,2,138.0
9:36.0, ,6-8,B. Adebayo misses 2-pt jump shot from 13 ft,,1,8,6,2,144.0
9:31.0,Defensive rebound by A. Davis,6-8, ,,1,8,6,2,149.0
9:13.0,T. Prince misses 3-pt jump shot from 23 ft,6-8, ,,1,8,6,2,167.0
9:10.0, ,6-8,Defensive rebound by B. Adebayo,,1,8,6,2,170.0
8:57.0, ,6-10,T. Herro makes 2-pt layup from 2 ft (assist by B. Adebayo),,1,10,6,4,183.0
8:43.0,D. Russell makes 2-pt jump shot from 18 ft,8-10, ,,1,10,8,2,197.0
8:29.0, ,8-12,B. Adebayo makes 2-pt dunk from 1 ft,,1,12,8,4,211.0
8:28.0, ,8-12,Technical foul by B. Adebayo,,1,12,8,4,212.0
8:28.0,A. Reaves makes technical free throw,9-12, ,,1,12,9,3,212.0
8:17.0,D. Russell misses 3-pt jump shot from 25 ft,9-12, ,,1,12,9,3,223.0
8:13.0, ,9-12,Defensive rebound by T. Herro,,1,12,9,3,227.0
7:59.0, ,9-12,Personal foul by T. Prince (drawn by T. Herro),,1,12,9,3,241.0
7:50.0, ,9-12,T. Herro misses 2-pt layup from 3 ft (block by A. Davis),,1,12,9,3,250.0
7:47.0,Defensive rebound by T. Prince,9-12, ,,1,12,9,3,253.0
7:46.0,Shooting foul by K. Lowry (drawn by L. James),9-12, ,,1,12,9,3,254.0
7:46.0,L. James makes free throw 1 of 2,10-12, ,,1,12,10,2,254.0
7:46.0,L. James makes free throw 2 of 2,11-12, ,,1,12,11,1,254.0
7:35.0, ,11-12,B. Adebayo misses 2-pt jump shot from 12 ft,,1,12,11,1,265.0
7:33.0, ,11-12,Offensive rebound by K. Lowry,,1,12,11,1,267.0
7:32.0, ,11-12,Shooting foul by D. Russell (drawn by B. Adebayo),,1,12,11,1,268.0
7:32.0, ,11-13,B. Adebayo makes free throw 1 of 2,,1,13,11,2,268.0
7:32.0, ,11-13,Technical foul by K. Lowry,,1,13,11,2,268.0
7:32.0,A. Davis makes technical free throw,12-13, ,,1,13,12,1,268.0
7:32.0, ,12-14,B. Adebayo makes free throw 2 of 2,,1,14,12,2,268.0
7:20.0,T. Prince makes 2-pt dunk from 2 ft (assist by D. Russell),14-14, ,Tie,1,14,14,0,280.0
7:11.0, ,14-14,T. Herro misses 3-pt jump shot from 24 ft,,1,14,14,0,289.0
7:09.0,Defensive rebound by A. Davis,14-14, ,,1,14,14,0,291.0
7:06.0,A. Reaves makes 2-pt layup from 1 ft (assist by A. Davis),16-14, ,Lead change,1,14,16,-2,294.0
6:48.0, ,16-14,B. Adebayo misses 2-pt jump shot from 8 ft (block by D. Russell),,1,14,16,-2,312.0
6:44.0,Defensive rebound by L. James,16-14, ,,1,14,16,-2,316.0
6:42.0,T. Prince misses 2-pt layup from 3 ft (block by H. Highsmith),16-14, ,,1,14,16,-2,318.0
6:39.0, ,16-14,Defensive rebound by H. Highsmith,,1,14,16,-2,321.0
6:34.0, ,16-14,H. Highsmith misses 3-pt jump shot from 28 ft,,1,14,16,-2,326.0
6:31.0,Defensive rebound by A. Davis,16-14, ,,1,14,16,-2,329.0
6:27.0,L. James makes 2-pt layup at rim (assist by A. Davis),18-14, ,,1,14,18,-4,333.0
6:27.0,Shooting foul by H. Highsmith (drawn by L. James),18-14, ,,1,14,18,-4,333.0
6:27.0, ,18-14,Miami full timeout,,1,14,18,-4,333.0
6:27.0,L. James makes free throw 1 of 1,19-14, ,,1,14,19,-5,333.0
6:13.0, ,19-16,J. Butler makes 2-pt jump shot from 14 ft,,1,16,19,-3,347.0
5:57.0,L. James makes 2-pt layup from 2 ft,21-16, ,,1,16,21,-5,363.0
5:41.0, ,21-16,K. Lowry misses 3-pt jump shot from 25 ft,,1,16,21,-5,379.0
5:39.0,Defensive rebound by L. James,21-16, ,,1,16,21,-5,381.0
5:35.0,D. Russell misses 2-pt jump shot from 19 ft,21-16, ,,1,16,21,-5,385.0
5:35.0,Offensive rebound by A. Reaves,21-16, ,,1,16,21,-5,385.0
5:29.0,A. Reaves makes 2-pt layup at rim,23-16, ,,1,16,23,-7,391.0
5:16.0, ,23-18,T. Herro makes 2-pt jump shot from 16 ft (assist by B. Adebayo),,1,18,23,-5,404.0
5:01.0,Offensive foul by D. Russell (drawn by H. Highsmith),23-18, ,,1,18,23,-5,419.0
5:01.0,Turnover by D. Russell (offensive foul),23-18, ,,1,18,23,-5,419.0
5:01.0,M. Christie enters the game for T. Prince,23-18, ,,1,18,23,-5,419.0
5:01.0,C. Reddish enters the game for A. Reaves,23-18, ,,1,18,23,-5,419.0
5:01.0, ,23-18,D. Robinson enters the game for T. Herro,,1,18,23,-5,419.0
4:45.0, ,23-21,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),,1,21,23,-2,435.0
4:22.0,L. James makes 2-pt jump shot from 11 ft,25-21, ,,1,21,25,-4,458.0
4:07.0, ,25-21,J. Butler misses 2-pt jump shot from 14 ft,,1,21,25,-4,473.0
4:05.0,Defensive rebound by A. Davis,25-21, ,,1,21,25,-4,475.0
3:55.0,A. Davis misses 2-pt jump shot from 9 ft (block by B. Adebayo),25-21, ,,1,21,25,-4,485.0
3:52.0, ,25-21,Defensive rebound by B. Adebayo,,1,21,25,-4,488.0
3:49.0, ,25-23,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),,1,23,25,-2,491.0
3:34.0,D. Russell misses 2-pt jump shot from 18 ft,25-23, ,,1,23,25,-2,506.0
3:31.0, ,25-23,Defensive rebound by D. Robinson,,1,23,25,-2,509.0
3:24.0, ,25-23,Shooting foul by A. Davis (drawn by B. Adebayo),,1,23,25,-2,516.0
3:24.0, ,25-23,B. Adebayo misses free throw 1 of 2,,1,23,25,-2,516.0
3:24.0, ,25-23,Offensive rebound by Team,,1,23,25,-2,516.0
3:24.0,C. Wood enters the game for L. James,25-23, ,,1,23,25,-2,516.0
3:24.0, ,25-23,J. Jaquez enters the game for H. Highsmith,,1,23,25,-2,516.0
3:24.0, ,25-23,J. Richardson enters the game for K. Lowry,,1,23,25,-2,516.0
3:24.0, ,25-23,B. Adebayo misses free throw 2 of 2,,1,23,25,-2,516.0
3:22.0,Defensive rebound by C. Wood,25-23, ,,1,23,25,-2,518.0
3:07.0,M. Christie misses 3-pt jump shot from 26 ft,25-23, ,,1,23,25,-2,533.0
3:03.0, ,25-23,Defensive rebound by B. Adebayo,,1,23,25,-2,537.0
2:54.0, ,25-26,J. Jaquez makes 3-pt jump shot from 23 ft (assist by J. Butler),Lead change,1,26,25,1,546.0
2:42.0,A. Davis makes 2-pt jump shot from 4 ft (assist by D. Russell),27-26, ,Lead change,1,26,27,-1,558.0
2:21.0, ,27-28,D. Robinson makes 2-pt layup from 4 ft (assist by B. Adebayo),Lead change,1,28,27,1,579.0
1:59.0,Turnover by D. Russell (bad pass; steal by B. Adebayo),27-28, ,,1,28,27,1,601.0
1:58.0,LA Lakers full timeout,27-28, ,,1,28,27,1,602.0
1:58.0,A. Reaves enters the game for D. Russell,27-28, ,,1,28,27,1,602.0
1:58.0, ,27-28,T. Bryant enters the game for B. Adebayo,,1,28,27,1,602.0
1:42.0, ,27-28,Turnover by J. Butler (out of bounds lost ball),,1,28,27,1,618.0
1:24.0,A. Davis makes 2-pt layup from 2 ft (assist by C. Reddish),29-28, ,Lead change,1,28,29,-1,636.0
1:12.0, ,29-28,Turnover by J. Jaquez (traveling),,1,28,29,-1,648.0
1:12.0, ,29-28,T. Herro enters the game for J. Butler,,1,28,29,-1,648.0
0:59.0,A. Davis makes 2-pt dunk from 1 ft (assist by C. Reddish),31-28, ,,1,28,31,-3,661.0
0:50.0, ,31-28,Personal foul by M. Christie (drawn by D. Robinson),,1,28,31,-3,670.0
0:33.0, ,31-31,D. Robinson makes 3-pt jump shot from 27 ft (assist by T. Herro),Tie,1,31,31,0,687.0
0:22.0,Personal foul by J. Richardson (drawn by A. Reaves),31-31, ,,1,31,31,0,698.0
0:22.0, ,31-31,H. Highsmith enters the game for J. Jaquez,,1,31,31,0,698.0
0:13.0,M. Christie makes 2-pt dunk from 1 ft (assist by A. Davis),33-31, ,,1,31,33,-2,707.0
0:00.0, ,33-31,Personal foul by M. Christie (drawn by T. Herro),,1,31,33,-2,720.0
0:00.0, ,33-32,T. Herro makes free throw 1 of 2,,1,32,33,-1,720.0
0:00.0, ,33-33,T. Herro makes free throw 2 of 2,Tie,1,33,33,0,720.0
0:00.0,End of 1st quarter,33-33,,,1,33,33,0,720.0
12:00.0,Start of 2nd quarter,33-33,,,2,33,33,0,720.0
11:44.0,Turnover by L. James (bad pass; steal by T. Herro),33-33, ,,2,33,33,0,736.0
11:37.0, ,33-36,J. Richardson makes 3-pt jump shot from 24 ft (assist by T. Herro),Lead change,2,36,33,3,743.0
11:22.0,L. James makes 2-pt layup from 1 ft (assist by A. Reaves),35-36, ,,2,36,35,1,758.0
11:04.0, ,35-38,D. Robinson makes 2-pt layup from 1 ft,,2,38,35,3,776.0
10:52.0,L. James misses 3-pt jump shot from 30 ft,35-38, ,,2,38,35,3,788.0
10:49.0, ,35-38,Defensive rebound by T. Bryant,,2,38,35,3,791.0
10:40.0, ,35-38,T. Herro misses 3-pt jump shot from 27 ft,,2,38,35,3,800.0
10:38.0,Defensive rebound by L. James,35-38, ,,2,38,35,3,802.0
10:29.0,L. James misses 2-pt layup from 3 ft,35-38, ,,2,38,35,3,811.0
10:27.0, ,35-38,Defensive rebound by T. Bryant,,2,38,35,3,813.0
10:21.0, ,35-38,D. Robinson misses 3-pt jump shot from 24 ft,,2,38,35,3,819.0
10:18.0,Defensive rebound by L. James,35-38, ,,2,38,35,3,822.0
