Time,Miami,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:59.0, ,80-70,P. Washington makes free throw 1 of 1,,3,80,70,10,1921.0
3:43.0,J. Jaquez misses 2-pt layup from 6 ft,80-70, ,,3,80,70,10,1937.0
3:41.0, ,80-70,Defensive rebound by N. Richards,,3,80,70,10,1939.0
3:29.0, ,80-70,Personal foul by J. Jaquez (drawn by N. Richards),,3,80,70,10,1951.0
3:29.0, ,80-71,N. Richards makes free throw 1 of 2,,3,80,71,9,1951.0
3:29.0, ,80-71,L. Ball enters the game for T. Maledon,,3,80,71,9,1951.0
3:29.0, ,80-71,J. Thor enters the game for P. Washington,,3,80,71,9,1951.0
3:29.0, ,80-72,N. Richards makes free throw 2 of 2,,3,80,72,8,1951.0
3:07.0,J. Butler misses 2-pt jump shot from 12 ft,80-72, ,,3,80,72,8,1973.0
3:07.0, ,80-72,Defensive rebound by Team,,3,80,72,8,1973.0
2:54.0, ,80-72,L. Ball misses 2-pt layup from 8 ft,,3,80,72,8,1986.0
2:54.0, ,80-72,Offensive rebound by Team,,3,80,72,8,1986.0
2:54.0, ,80-72,Away from play foul by J. Richardson (drawn by L. Ball),,3,80,72,8,1986.0
2:54.0, ,80-73,L. Ball makes free throw 1 of 1,,3,80,73,7,1986.0
2:40.0, ,80-73,J. Thor misses 3-pt jump shot from 23 ft,,3,80,73,7,2000.0
2:37.0, ,80-73,Offensive rebound by J. Thor,,3,80,73,7,2003.0
2:34.0, ,80-73,Offensive foul by N. Richards (drawn by K. Love),,3,80,73,7,2006.0
2:34.0, ,80-73,Turnover by N. Richards (offensive foul),,3,80,73,7,2006.0
2:18.0,K. Love misses 3-pt jump shot from 28 ft,80-73, ,,3,80,73,7,2022.0
2:11.0,Offensive rebound by J. Butler,80-73, ,,3,80,73,7,2029.0
2:11.0,J. Butler makes 2-pt layup at rim,82-73, ,,3,82,73,9,2029.0
1:56.0, ,82-73,Turnover by I. Smith (step out of bounds),,3,82,73,9,2044.0
1:47.0,Shooting foul by B. McGowens (drawn by J. Butler),82-73, ,,3,82,73,9,2053.0
1:47.0,J. Butler misses free throw 1 of 2,82-73, ,,3,82,73,9,2053.0
1:47.0,Offensive rebound by Team,82-73, ,,3,82,73,9,2053.0
1:47.0,J. Butler makes free throw 2 of 2,83-73, ,,3,83,73,10,2053.0
1:30.0, ,83-73,Turnover by L. Ball (lost ball; steal by J. Richardson),,3,83,73,10,2070.0
1:07.0,J. Richardson makes 2-pt hook shot from 7 ft,85-73, ,,3,85,73,12,2093.0
0:53.0, ,85-76,B. McGowens makes 3-pt jump shot from 26 ft (assist by L. Ball),,3,85,76,9,2107.0
0:46.0,Shooting foul by I. Smith (drawn by J. Butler),85-76, ,,3,85,76,9,2114.0
0:46.0,J. Butler makes free throw 1 of 2,86-76, ,,3,86,76,10,2114.0
0:46.0,B. Adebayo enters the game for K. Love,86-76, ,,3,86,76,10,2114.0
0:46.0,D. Robinson enters the game for K. Lowry,86-76, ,,3,86,76,10,2114.0
0:46.0,J. Butler makes free throw 2 of 2,87-76, ,,3,87,76,11,2114.0
0:31.0, ,87-76,Shooting foul by B. Adebayo (drawn by N. Richards),,3,87,76,11,2129.0
0:31.0, ,87-77,N. Richards makes free throw 1 of 2,,3,87,77,10,2129.0
0:31.0,K. Love enters the game for J. Butler,87-77, ,,3,87,77,10,2129.0
0:31.0, ,87-78,N. Richards makes free throw 2 of 2,,3,87,78,9,2129.0
0:07.0,D. Robinson misses 3-pt jump shot from 33 ft,87-78, ,,3,87,78,9,2153.0
0:07.0,Offensive rebound by Team,87-78, ,,3,87,78,9,2153.0
0:07.0,H. Highsmith enters the game for K. Love,87-78, ,,3,87,78,9,2153.0
0:07.0,Turnover by Team (shot clock),87-78, ,,3,87,78,9,2153.0
0:03.0, ,87-78,Shooting foul by B. Adebayo (drawn by L. Ball),,3,87,78,9,2157.0
0:03.0, ,87-79,L. Ball makes free throw 1 of 2,,3,87,79,8,2157.0
0:03.0, ,87-80,L. Ball makes free throw 2 of 2,,3,87,80,7,2157.0
0:00.0, ,87-80,Instant Replay (Request: Ruling Stands),,3,87,80,7,2160.0
0:00.0,End of 3rd quarter,87-80,,,3,87,80,7,2160.0
12:00.0,Start of 4th quarter,87-80,,,4,87,80,7,2160.0
11:39.0,D. Robinson misses 2-pt jump shot from 9 ft,87-80, ,,4,87,80,7,2181.0
11:36.0, ,87-80,Defensive rebound by N. Richards,,4,87,80,7,2184.0
11:14.0, ,87-83,L. Ball makes 3-pt jump shot from 23 ft,,4,87,83,4,2206.0
11:08.0,Personal foul by L. Ball (drawn by B. Adebayo),87-83, ,,4,87,83,4,2212.0
11:02.0,D. Robinson makes 2-pt layup from 2 ft (assist by B. Adebayo),89-83, ,,4,89,83,6,2218.0
10:52.0, ,89-83,Turnover by L. Ball (bad pass; steal by D. Robinson),,4,89,83,6,2228.0
10:46.0,J. Jaquez makes 2-pt dunk from 3 ft (assist by D. Robinson),91-83, ,,4,91,83,8,2234.0
10:46.0, ,91-83,Violation by Team (def goaltending),,4,91,83,8,2234.0
10:36.0, ,91-83,L. Ball misses 2-pt jump shot from 5 ft,,4,91,83,8,2244.0
10:33.0,Defensive rebound by H. Highsmith,91-83, ,,4,91,83,8,2247.0
10:30.0,J. Richardson misses 3-pt jump shot from 25 ft,91-83, ,,4,91,83,8,2250.0
10:25.0,Offensive rebound by J. Jaquez,91-83, ,,4,91,83,8,2255.0
10:23.0,D. Robinson misses 3-pt jump shot from 26 ft,91-83, ,,4,91,83,8,2257.0
10:20.0, ,91-83,Defensive rebound by N. Richards,,4,91,83,8,2260.0
10:08.0, ,91-83,B. McGowens misses 3-pt jump shot from 30 ft,,4,91,83,8,2272.0
10:05.0,Defensive rebound by B. Adebayo,91-83, ,,4,91,83,8,2275.0
9:49.0,J. Jaquez makes 2-pt dunk from 1 ft (assist by J. Richardson),93-83, ,,4,93,83,10,2291.0
9:49.0, ,93-83,Charlotte full timeout,,4,93,83,10,2291.0
9:49.0, ,93-83,N. Smith enters the game for I. Smith,,4,93,83,10,2291.0
9:49.0, ,93-83,P. Washington enters the game for J. Thor,,4,93,83,10,2291.0
9:41.0, ,93-83,Turnover by L. Ball (lost ball; steal by H. Highsmith),,4,93,83,10,2299.0
9:37.0,J. Richardson misses 2-pt dunk from 1 ft,93-83, ,,4,93,83,10,2303.0
9:31.0,Offensive rebound by J. Jaquez,93-83, ,,4,93,83,10,2309.0
9:31.0,J. Jaquez makes 2-pt dunk at rim,95-83, ,,4,95,83,12,2309.0
9:21.0, ,95-83,L. Ball misses 3-pt jump shot from 30 ft,,4,95,83,12,2319.0
9:18.0,Defensive rebound by B. Adebayo,95-83, ,,4,95,83,12,2322.0
9:12.0,J. Richardson misses 3-pt jump shot from 24 ft,95-83, ,,4,95,83,12,2328.0
9:12.0,Offensive rebound by H. Highsmith,95-83, ,,4,95,83,12,2328.0
9:12.0,Personal foul by L. Ball (drawn by H. Highsmith),95-83, ,,4,95,83,12,2328.0
9:07.0,B. Adebayo misses 2-pt dunk from 2 ft,95-83, ,,4,95,83,12,2333.0
9:05.0, ,95-83,Defensive rebound by N. Richards,,4,95,83,12,2335.0
8:59.0, ,95-85,L. Ball makes 2-pt layup from 2 ft,,4,95,85,10,2341.0
8:37.0,J. Richardson misses 2-pt jump shot from 6 ft,95-85, ,,4,95,85,10,2363.0
8:35.0, ,95-85,Defensive rebound by N. Richards,,4,95,85,10,2365.0
8:25.0, ,95-87,N. Richards makes 2-pt dunk from 1 ft (assist by L. Ball),,4,95,87,8,2375.0
8:08.0,Turnover by J. Richardson (bad pass; steal by N. Richards),95-87, ,,4,95,87,8,2392.0
8:00.0, ,95-90,P. Washington makes 3-pt jump shot from 22 ft (assist by B. McGowens),,4,95,90,5,2400.0
8:00.0,Miami full timeout,95-90, ,,4,95,90,5,2400.0
7:36.0,H. Highsmith misses 3-pt jump shot from 24 ft,95-90, ,,4,95,90,5,2424.0
7:33.0, ,95-90,Defensive rebound by N. Richards,,4,95,90,5,2427.0
7:19.0, ,95-90,P. Washington misses 3-pt jump shot from 25 ft,,4,95,90,5,2441.0
7:15.0,Defensive rebound by D. Robinson,95-90, ,,4,95,90,5,2445.0
7:06.0,B. Adebayo misses 2-pt jump shot from 14 ft,95-90, ,,4,95,90,5,2454.0
7:04.0, ,95-90,Defensive rebound by P. Washington,,4,95,90,5,2456.0
6:51.0, ,95-90,L. Ball misses 2-pt jump shot from 11 ft,,4,95,90,5,2469.0
6:50.0,Defensive rebound by D. Robinson,95-90, ,,4,95,90,5,2470.0
6:38.0,Shooting foul by N. Richards (drawn by B. Adebayo),95-90, ,,4,95,90,5,2482.0
6:38.0,B. Adebayo makes free throw 1 of 2,96-90, ,,4,96,90,6,2482.0
6:38.0,J. Butler enters the game for H. Highsmith,96-90, ,,4,96,90,6,2482.0
6:38.0,B. Adebayo makes free throw 2 of 2,97-90, ,,4,97,90,7,2482.0
6:17.0, ,97-93,N. Smith makes 3-pt jump shot from 26 ft (assist by P. Washington),,4,97,93,4,2503.0
5:51.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by D. Robinson),99-93, ,,4,99,93,6,2529.0
5:27.0, ,99-93,L. Ball misses 2-pt layup from 3 ft,,4,99,93,6,2553.0
5:24.0,Defensive rebound by B. Adebayo,99-93, ,,4,99,93,6,2556.0
5:21.0,Turnover by J. Butler (bad pass; steal by B. McGowens),99-93, ,,4,99,93,6,2559.0
4:59.0, ,99-95,P. Washington makes 2-pt hook shot from 4 ft (assist by L. Ball),,4,99,95,4,2581.0
4:41.0,D. Robinson makes 3-pt jump shot from 26 ft,102-95, ,,4,102,95,7,2599.0
4:13.0, ,102-95,L. Ball misses 3-pt jump shot from 27 ft,,4,102,95,7,2627.0
4:13.0, ,102-95,Offensive rebound by P. Washington,,4,102,95,7,2627.0
4:13.0, ,102-97,P. Washington makes 2-pt layup at rim,,4,102,97,5,2627.0
4:13.0, ,102-97,Shooting foul by D. Robinson (drawn by P. Washington),,4,102,97,5,2627.0
4:13.0, ,102-98,P. Washington makes free throw 1 of 1,,4,102,98,4,2627.0
3:49.0,J. Jaquez makes 3-pt jump shot from 26 ft (assist by J. Butler),105-98, ,,4,105,98,7,2651.0
3:34.0, ,105-101,B. McGowens makes 3-pt jump shot from 23 ft (assist by N. Richards),,4,105,101,4,2666.0
3:33.0,Miami full timeout,105-101, ,,4,105,101,4,2667.0
3:13.0,D. Robinson misses 3-pt jump shot from 27 ft,105-101, ,,4,105,101,4,2687.0
3:10.0, ,105-101,Defensive rebound by N. Richards,,4,105,101,4,2690.0
2:56.0, ,105-101,Turnover by L. Ball (bad pass; steal by B. Adebayo),,4,105,101,4,2704.0
2:38.0,J. Jaquez misses 2-pt layup from 4 ft,105-101, ,,4,105,101,4,2722.0
2:34.0,Offensive rebound by J. Jaquez,105-101, ,,4,105,101,4,2726.0
2:34.0,J. Jaquez misses 2-pt layup at rim,105-101, ,,4,105,101,4,2726.0
2:33.0, ,105-101,Defensive rebound by N. Richards,,4,105,101,4,2727.0
2:28.0, ,105-101,P. Washington misses 2-pt jump shot from 20 ft,,4,105,101,4,2732.0
2:25.0,Defensive rebound by B. Adebayo,105-101, ,,4,105,101,4,2735.0
2:01.0,J. Butler misses 2-pt jump shot from 18 ft,105-101, ,,4,105,101,4,2759.0
1:59.0, ,105-101,Defensive rebound by N. Richards,,4,105,101,4,2761.0
1:51.0, ,105-101,P. Washington misses 3-pt jump shot from 24 ft,,4,105,101,4,2769.0
1:49.0,Defensive rebound by D. Robinson,105-101, ,,4,105,101,4,2771.0
1:43.0,Shooting foul by B. McGowens (drawn by J. Butler),105-101, ,,4,105,101,4,2777.0
1:43.0,J. Butler misses free throw 1 of 2,105-101, ,,4,105,101,4,2777.0
1:43.0,Offensive rebound by Team,105-101, ,,4,105,101,4,2777.0
1:43.0,J. Butler makes free throw 2 of 2,106-101, ,,4,106,101,5,2777.0
1:24.0, ,106-101,P. Washington misses 2-pt layup from 3 ft (block by J. Richardson),,4,106,101,5,2796.0
1:21.0,Defensive rebound by J. Richardson,106-101, ,,4,106,101,5,2799.0
1:11.0,J. Butler makes 2-pt jump shot from 17 ft,108-101, ,,4,108,101,7,2809.0
1:11.0, ,108-101,Charlotte full timeout,,4,108,101,7,2809.0
1:05.0, ,108-103,L. Ball makes 2-pt layup from 3 ft,,4,108,103,5,2815.0
0:51.0,Shooting foul by N. Smith (drawn by J. Butler),108-103, ,,4,108,103,5,2829.0
0:51.0,J. Butler misses free throw 1 of 2,108-103, ,,4,108,103,5,2829.0
0:51.0,Offensive rebound by Team,108-103, ,,4,108,103,5,2829.0
0:51.0,J. Butler makes free throw 2 of 2,109-103, ,,4,109,103,6,2829.0
0:42.0, ,109-103,Shooting foul by B. Adebayo (drawn by L. Ball),,4,109,103,6,2838.0
0:42.0, ,109-104,L. Ball makes free throw 1 of 2,,4,109,104,5,2838.0
0:42.0, ,109-105,L. Ball makes free throw 2 of 2,,4,109,105,4,2838.0
0:19.0,J. Jaquez misses 3-pt jump shot from 27 ft,109-105, ,,4,109,105,4,2861.0
0:14.0,Offensive rebound by J. Richardson,109-105, ,,4,109,105,4,2866.0
0:13.0,Personal take foul by L. Ball (drawn by J. Butler),109-105, ,,4,109,105,4,2867.0
0:13.0,J. Butler makes free throw 1 of 2,110-105, ,,4,110,105,5,2867.0
0:13.0,H. Highsmith enters the game for D. Robinson,110-105, ,,4,110,105,5,2867.0
0:13.0,J. Butler makes free throw 2 of 2,111-105, ,,4,111,105,6,2867.0
0:13.0, ,111-105,Charlotte full timeout,,4,111,105,6,2867.0
0:10.0, ,111-105,P. Washington misses 3-pt jump shot from 23 ft,,4,111,105,6,2870.0
0:07.0,Defensive rebound by J. Richardson,111-105, ,,4,111,105,6,2873.0
0:00.0,End of 4th quarter,111-105,,,4,111,105,6,2880.0
