Time,Miami,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:49.0,Defensive rebound by B. Adebayo,26-32, ,,2,26,32,-6,791.0
10:39.0,J. Richardson makes 2-pt layup from 2 ft (assist by D. Robinson),28-32, ,,2,28,32,-4,801.0
10:25.0, ,28-32,B. McGowens misses 3-pt jump shot from 27 ft,,2,28,32,-4,815.0
10:21.0, ,28-32,Offensive rebound by I. Smith,,2,28,32,-4,819.0
10:17.0, ,28-32,I. Smith misses 2-pt jump shot from 15 ft,,2,28,32,-4,823.0
10:15.0,Defensive rebound by D. Robinson,28-32, ,,2,28,32,-4,825.0
10:01.0,J. Richardson misses 3-pt jump shot from 26 ft,28-32, ,,2,28,32,-4,839.0
9:57.0, ,28-32,Defensive rebound by L. Ball,,2,28,32,-4,843.0
9:53.0, ,28-32,L. Ball misses 3-pt jump shot from 28 ft,,2,28,32,-4,847.0
9:50.0,Defensive rebound by J. Richardson,28-32, ,,2,28,32,-4,850.0
9:44.0,K. Love misses 3-pt jump shot from 24 ft,28-32, ,,2,28,32,-4,856.0
9:39.0, ,28-32,Defensive rebound by B. McGowens,,2,28,32,-4,861.0
9:29.0, ,28-34,L. Ball makes 2-pt layup from 3 ft,,2,28,34,-6,871.0
9:07.0,D. Robinson misses 3-pt jump shot from 23 ft,28-34, ,,2,28,34,-6,893.0
9:04.0, ,28-34,Defensive rebound by B. McGowens,,2,28,34,-6,896.0
8:50.0, ,28-34,L. Ball misses 3-pt jump shot from 27 ft,,2,28,34,-6,910.0
8:43.0,Defensive rebound by J. Richardson,28-34, ,,2,28,34,-6,917.0
8:41.0,Personal foul by N. Richards (drawn by B. Adebayo),28-34, ,,2,28,34,-6,919.0
8:41.0,H. Highsmith enters the game for K. Love,28-34, ,,2,28,34,-6,919.0
8:41.0, ,28-34,N. Smith enters the game for I. Smith,,2,28,34,-6,919.0
8:41.0, ,28-34,P. Washington enters the game for J. Thor,,2,28,34,-6,919.0
8:30.0,H. Highsmith misses 3-pt jump shot from 23 ft,28-34, ,,2,28,34,-6,930.0
8:28.0, ,28-34,Defensive rebound by L. Ball,,2,28,34,-6,932.0
8:21.0, ,28-36,N. Richards makes 2-pt dunk from 2 ft (assist by L. Ball),,2,28,36,-8,939.0
8:05.0,Shooting foul by L. Ball (drawn by J. Richardson),28-36, ,,2,28,36,-8,955.0
8:05.0,J. Richardson makes free throw 1 of 2,29-36, ,,2,29,36,-7,955.0
