Time,Miami,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:13.0, ,83-84,C. Thomas makes free throw 2 of 2,Lead change,4,83,84,-1,2807.0
0:52.0,T. Herro makes 2-pt jump shot from 11 ft (assist by J. Butler),85-84, ,Lead change,4,85,84,1,2828.0
0:37.0, ,85-84,Shooting foul by J. Butler (drawn by C. Thomas),,4,85,84,1,2843.0
0:37.0, ,85-85,C. Thomas makes free throw 1 of 2,Tie,4,85,85,0,2843.0
0:37.0, ,85-86,C. Thomas makes free throw 2 of 2,Lead change,4,85,86,-1,2843.0
0:24.0,T. Herro makes 2-pt jump shot from 13 ft,87-86, ,Lead change,4,87,86,1,2856.0
0:07.0, ,87-86,C. Thomas misses 3-pt jump shot from 24 ft,,4,87,86,1,2873.0
0:05.0,Defensive rebound by Team,87-86, ,,4,87,86,1,2875.0
0:05.0, ,87-86,Loose ball foul by N. Claxton (drawn by B. Adebayo),,4,87,86,1,2875.0
0:05.0,B. Adebayo misses free throw 1 of 2,87-86, ,,4,87,86,1,2875.0
0:05.0,Offensive rebound by Team,87-86, ,,4,87,86,1,2875.0
0:05.0, ,87-86,D. Finney-Smith enters the game for C. Thomas,,4,87,86,1,2875.0
0:05.0,B. Adebayo makes free throw 2 of 2,88-86, ,,4,88,86,2,2875.0
0:05.0, ,88-86,Brooklyn full timeout,,4,88,86,2,2875.0
0:05.0, ,88-86,C. Johnson enters the game for N. Claxton,,4,88,86,2,2875.0
0:05.0, ,88-86,C. Thomas enters the game for D. Smith,,4,88,86,2,2875.0
0:04.0, ,88-86,Shooting foul by T. Herro (drawn by M. Bridges),,4,88,86,2,2876.0
0:04.0,Miami full timeout,88-86, ,,4,88,86,2,2876.0
0:04.0,Instant Replay (Challenge: Stands),88-86, ,,4,88,86,2,2876.0
0:04.0, ,88-86,N. Claxton enters the game for C. Johnson,,4,88,86,2,2876.0
0:04.0, ,88-86,D. Smith enters the game for C. Thomas,,4,88,86,2,2876.0
0:04.0, ,88-87,M. Bridges makes free throw 1 of 2,,4,88,87,1,2876.0
0:04.0, ,88-88,M. Bridges makes free throw 2 of 2,Tie,4,88,88,0,2876.0
0:04.0,Miami full timeout,88-88, ,,4,88,88,0,2876.0
0:04.0,K. Lowry enters the game for C. Martin,88-88, ,,4,88,88,0,2876.0
0:04.0,D. Robinson enters the game for J. Richardson,88-88, ,,4,88,88,0,2876.0
0:00.0,J. Butler misses 2-pt jump shot from 19 ft,88-88, ,,4,88,88,0,2880.0
0:00.0,Offensive rebound by Team,88-88, ,,4,88,88,0,2880.0
0:00.0,End of 4th quarter,88-88,,,4,88,88,0,2880.0
5:00.0,Start of 1st overtime,88-88,,,5,88,88,0,2880.0
5:00.0,Jump ball: B. Adebayo vs. N. Claxton (N. Claxton gains possession),88-88,,,5,88,88,0,2880.0
4:36.0, ,88-90,C. Thomas makes 2-pt layup from 1 ft (assist by M. Bridges),Lead change,5,88,90,-2,2904.0
4:12.0,B. Adebayo misses 2-pt jump shot from 14 ft,88-90, ,,5,88,90,-2,2928.0
4:09.0, ,88-90,Defensive rebound by M. Bridges,,5,88,90,-2,2931.0
3:51.0, ,88-93,R. O'Neale makes 3-pt jump shot from 26 ft (assist by D. Smith),,5,88,93,-5,2949.0
3:23.0,C. Martin misses 2-pt jump shot from 12 ft (block by M. Bridges),88-93, ,,5,88,93,-5,2977.0
3:22.0,Offensive rebound by Team,88-93, ,,5,88,93,-5,2978.0
3:22.0,Turnover by Team (shot clock),88-93, ,,5,88,93,-5,2978.0
2:57.0, ,88-93,C. Thomas misses 3-pt jump shot from 27 ft,,5,88,93,-5,3003.0
2:52.0,Defensive rebound by B. Adebayo,88-93, ,,5,88,93,-5,3008.0
2:47.0,T. Herro misses 3-pt jump shot from 26 ft,88-93, ,,5,88,93,-5,3013.0
2:40.0,Offensive rebound by T. Herro,88-93, ,,5,88,93,-5,3020.0
2:35.0,C. Martin misses 3-pt jump shot from 25 ft,88-93, ,,5,88,93,-5,3025.0
2:32.0,Offensive rebound by J. Richardson,88-93, ,,5,88,93,-5,3028.0
2:30.0,T. Herro misses 3-pt jump shot from 26 ft,88-93, ,,5,88,93,-5,3030.0
2:27.0, ,88-93,Defensive rebound by D. Smith,,5,88,93,-5,3033.0
2:12.0, ,88-93,C. Thomas misses 3-pt jump shot from 24 ft,,5,88,93,-5,3048.0
2:10.0,Defensive rebound by Team,88-93, ,,5,88,93,-5,3050.0
2:10.0, ,88-93,Loose ball foul by R. O'Neale (drawn by J. Butler),,5,88,93,-5,3050.0
1:55.0,J. Richardson misses 2-pt layup from 2 ft (block by N. Claxton),88-93, ,,5,88,93,-5,3065.0
1:52.0, ,88-93,Defensive rebound by R. O'Neale,,5,88,93,-5,3068.0
1:35.0, ,88-93,C. Thomas misses 2-pt layup from 3 ft,,5,88,93,-5,3085.0
1:33.0,Defensive rebound by J. Richardson,88-93, ,,5,88,93,-5,3087.0
1:29.0,T. Herro makes 3-pt jump shot from 26 ft (assist by J. Richardson),91-93, ,,5,91,93,-2,3091.0
1:10.0, ,91-93,M. Bridges misses 2-pt jump shot from 6 ft,,5,91,93,-2,3110.0
1:08.0, ,91-93,Offensive rebound by Team,,5,91,93,-2,3112.0
1:08.0,Loose ball foul by J. Richardson (drawn by N. Claxton),91-93, ,,5,91,93,-2,3112.0
1:08.0, ,91-93,Brooklyn full timeout,,5,91,93,-2,3112.0
1:02.0, ,91-95,M. Bridges makes 2-pt jump shot from 10 ft,,5,91,95,-4,3118.0
0:49.0,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),94-95, ,,5,94,95,-1,3131.0
0:25.0, ,94-95,Turnover by N. Claxton (off goaltending),,5,94,95,-1,3155.0
0:25.0, ,94-95,Instant Replay (Request: Stands),,5,94,95,-1,3155.0
0:11.0,Shooting foul by D. Smith (drawn by J. Butler),94-95, ,,5,94,95,-1,3169.0
0:11.0,J. Butler makes free throw 1 of 2,95-95, ,Tie,5,95,95,0,3169.0
0:11.0, ,95-95,D. Finney-Smith enters the game for D. Smith,,5,95,95,0,3169.0
0:11.0,J. Butler makes free throw 2 of 2,96-95, ,Lead change,5,96,95,1,3169.0
0:01.0, ,96-95,M. Bridges misses 2-pt jump shot from 10 ft,,5,96,95,1,3179.0
0:01.0,Defensive rebound by T. Herro,96-95, ,,5,96,95,1,3179.0
0:00.0,End of 1st overtime,96-95,,,5,96,95,1,3180.0
