Time,Miami,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:57.0, ,95-90,M. Thybulle makes 2-pt layup from 6 ft (assist by J. Grant),,4,95,90,5,2523.0
5:40.0,T. Rozier makes 2-pt jump shot from 18 ft (assist by J. Jaquez),97-90, ,,4,97,90,7,2540.0
5:25.0, ,97-90,Personal foul by J. Jaquez (drawn by A. Hagans),,4,97,90,7,2555.0
5:25.0, ,97-90,T. Camara enters the game for J. Walker,,4,97,90,7,2555.0
5:15.0, ,97-90,A. Simons misses 2-pt layup from 7 ft,,4,97,90,7,2565.0
5:13.0,Defensive rebound by C. Martin,97-90, ,,4,97,90,7,2567.0
5:02.0,B. Adebayo misses 2-pt layup from 4 ft,97-90, ,,4,97,90,7,2578.0
5:00.0, ,97-90,Defensive rebound by A. Hagans,,4,97,90,7,2580.0
4:58.0, ,97-90,Personal foul by D. Robinson (drawn by M. Thybulle),,4,97,90,7,2582.0
4:49.0, ,97-90,A. Simons misses 3-pt jump shot from 29 ft,,4,97,90,7,2591.0
4:47.0,Defensive rebound by D. Robinson,97-90, ,,4,97,90,7,2593.0
4:35.0,Shooting foul by T. Camara (drawn by B. Adebayo),97-90, ,,4,97,90,7,2605.0
4:35.0,B. Adebayo misses free throw 1 of 2,97-90, ,,4,97,90,7,2605.0
4:35.0,Offensive rebound by Team,97-90, ,,4,97,90,7,2605.0
4:35.0,B. Adebayo makes free throw 2 of 2,98-90, ,,4,98,90,8,2605.0
4:21.0, ,98-90,A. Simons misses 3-pt jump shot from 26 ft,,4,98,90,8,2619.0
4:18.0,Defensive rebound by B. Adebayo,98-90, ,,4,98,90,8,2622.0
4:03.0,J. Jaquez makes 3-pt jump shot from 25 ft (assist by B. Adebayo),101-90, ,,4,101,90,11,2637.0
3:44.0, ,101-90,A. Hagans misses 2-pt layup from 2 ft,,4,101,90,11,2656.0
3:41.0,Defensive rebound by B. Adebayo,101-90, ,,4,101,90,11,2659.0
3:32.0,Turnover by D. Robinson (bad pass; steal by J. Grant),101-90, ,,4,101,90,11,2668.0
3:28.0, ,101-92,A. Simons makes 2-pt dunk from 1 ft (assist by T. Camara),,4,101,92,9,2672.0
3:27.0,Miami full timeout,101-92, ,,4,101,92,9,2673.0
3:27.0,J. Butler enters the game for J. Jaquez,101-92, ,,4,101,92,9,2673.0
3:04.0,T. Rozier makes 2-pt jump shot from 16 ft,103-92, ,,4,103,92,11,2696.0
2:50.0, ,103-92,Offensive foul by T. Camara (drawn by T. Rozier),,4,103,92,11,2710.0
2:50.0, ,103-92,Turnover by T. Camara (offensive foul),,4,103,92,11,2710.0
2:34.0,T. Rozier misses 2-pt jump shot from 21 ft,103-92, ,,4,103,92,11,2726.0
2:30.0, ,103-92,Defensive rebound by A. Hagans,,4,103,92,11,2730.0
2:22.0, ,103-94,A. Simons makes 2-pt layup from 4 ft,,4,103,94,9,2738.0
1:52.0,D. Robinson misses 3-pt jump shot from 26 ft,103-94, ,,4,103,94,9,2768.0
1:50.0, ,103-94,Defensive rebound by Team,,4,103,94,9,2770.0
1:31.0, ,103-94,M. Thybulle misses 3-pt jump shot from 26 ft,,4,103,94,9,2789.0
1:29.0,Defensive rebound by T. Rozier,103-94, ,,4,103,94,9,2791.0
1:09.0,C. Martin makes 3-pt jump shot from 24 ft (assist by T. Rozier),106-94, ,,4,106,94,12,2811.0
1:09.0, ,106-94,Portland full timeout,,4,106,94,12,2811.0
1:09.0, ,106-94,K. Murray enters the game for A. Hagans,,4,106,94,12,2811.0
1:05.0, ,106-94,J. Grant misses 3-pt jump shot from 27 ft,,4,106,94,12,2815.0
1:00.0,Defensive rebound by J. Butler,106-94, ,,4,106,94,12,2820.0
0:41.0,J. Butler misses 2-pt layup from 2 ft,106-94, ,,4,106,94,12,2839.0
0:38.0, ,106-94,Defensive rebound by J. Grant,,4,106,94,12,2842.0
0:34.0, ,106-94,Shooting foul by D. Robinson (drawn by J. Grant),,4,106,94,12,2846.0
0:34.0, ,106-95,J. Grant makes free throw 1 of 2,,4,106,95,11,2846.0
0:34.0, ,106-96,J. Grant makes free throw 2 of 2,,4,106,96,10,2846.0
0:24.0,Turnover by J. Butler (bad pass),106-96, ,,4,106,96,10,2856.0
0:20.0, ,106-96,Offensive foul by T. Camara (drawn by T. Rozier),,4,106,96,10,2860.0
0:20.0, ,106-96,Turnover by T. Camara (offensive foul),,4,106,96,10,2860.0
0:00.0,End of 4th quarter,106-96,,,4,106,96,10,2880.0
