Time,Miami,Score,Toronto,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. S. Barnes (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:41.0,B. Adebayo misses 2-pt jump shot from 13 ft,0-0, ,,1,0,0,0,19.0
11:39.0, ,0-0,Defensive rebound by R. Barrett,,1,0,0,0,21.0
11:34.0, ,0-3,G. Trent makes 3-pt jump shot from 27 ft (assist by J. Porter),,1,0,3,-3,26.0
11:09.0,K. Lowry misses 2-pt jump shot from 13 ft,0-3, ,,1,0,3,-3,51.0
11:05.0, ,0-3,Defensive rebound by S. Barnes,,1,0,3,-3,55.0
11:00.0, ,0-3,J. Porter misses 2-pt layup from 2 ft,,1,0,3,-3,60.0
10:58.0, ,0-3,Offensive rebound by J. Porter,,1,0,3,-3,62.0
10:58.0, ,0-3,J. Porter misses 2-pt layup at rim,,1,0,3,-3,62.0
10:57.0, ,0-3,Offensive rebound by J. Porter,,1,0,3,-3,63.0
10:51.0, ,0-3,Turnover by S. Barnes (bad pass),,1,0,3,-3,69.0
10:38.0,T. Herro misses 3-pt jump shot from 25 ft,0-3, ,,1,0,3,-3,82.0
10:34.0, ,0-3,Defensive rebound by J. Porter,,1,0,3,-3,86.0
10:32.0, ,0-3,Shooting foul by T. Herro (drawn by I. Quickley),,1,0,3,-3,88.0
10:32.0, ,0-4,I. Quickley makes free throw 1 of 2,,1,0,4,-4,88.0
10:32.0, ,0-5,I. Quickley makes free throw 2 of 2,,1,0,5,-5,88.0
10:13.0,Turnover by N. Jović (out of bounds lost ball),0-5, ,,1,0,5,-5,107.0
9:57.0, ,0-8,I. Quickley makes 3-pt jump shot from 27 ft (assist by S. Barnes),,1,0,8,-8,123.0
9:46.0,T. Herro misses 2-pt layup from 4 ft (block by J. Porter),0-8, ,,1,0,8,-8,134.0
9:45.0,Offensive rebound by Team,0-8, ,,1,0,8,-8,135.0
9:39.0,J. Butler misses 2-pt jump shot from 12 ft,0-8, ,,1,0,8,-8,141.0
9:37.0, ,0-8,Defensive rebound by I. Quickley,,1,0,8,-8,143.0
9:26.0, ,0-10,S. Barnes makes 2-pt layup from 5 ft (assist by I. Quickley),,1,0,10,-10,154.0
9:09.0,B. Adebayo makes 2-pt jump shot from 9 ft,2-10, ,,1,2,10,-8,171.0
8:58.0, ,2-10,I. Quickley misses 3-pt jump shot from 23 ft,,1,2,10,-8,182.0
8:55.0, ,2-10,Offensive rebound by R. Barrett,,1,2,10,-8,185.0
8:52.0, ,2-13,I. Quickley makes 3-pt jump shot from 23 ft (assist by R. Barrett),,1,2,13,-11,188.0
8:51.0,Miami full timeout,2-13, ,,1,2,13,-11,189.0
8:37.0,Personal foul by J. Porter (drawn by K. Lowry),2-13, ,,1,2,13,-11,203.0
8:25.0,K. Lowry makes 2-pt jump shot from 9 ft,4-13, ,,1,4,13,-9,215.0
8:00.0, ,4-15,I. Quickley makes 2-pt layup from 7 ft,,1,4,15,-11,240.0
8:00.0,Violation by Team (def goaltending),4-15, ,,1,4,15,-11,240.0
7:46.0,Shooting foul by J. Porter (drawn by J. Butler),4-15, ,,1,4,15,-11,254.0
7:46.0,J. Butler makes free throw 1 of 2,5-15, ,,1,5,15,-10,254.0
7:46.0, ,5-15,T. Young enters the game for J. Porter,,1,5,15,-10,254.0
7:46.0,J. Butler makes free throw 2 of 2,6-15, ,,1,6,15,-9,254.0
7:33.0, ,6-15,S. Barnes misses 3-pt jump shot from 26 ft,,1,6,15,-9,267.0
7:30.0,Defensive rebound by J. Butler,6-15, ,,1,6,15,-9,270.0
7:12.0,J. Butler makes 2-pt layup from 1 ft (assist by T. Herro),8-15, ,,1,8,15,-7,288.0
7:12.0,Shooting foul by R. Barrett (drawn by J. Butler),8-15, ,,1,8,15,-7,288.0
7:12.0,J. Butler makes free throw 1 of 1,9-15, ,,1,9,15,-6,288.0
7:03.0, ,9-18,G. Trent makes 3-pt jump shot from 23 ft (assist by I. Quickley),,1,9,18,-9,297.0
6:44.0,T. Herro misses 3-pt jump shot from 26 ft,9-18, ,,1,9,18,-9,316.0
6:44.0, ,9-18,Defensive rebound by Team,,1,9,18,-9,316.0
6:35.0, ,9-20,R. Barrett makes 2-pt dunk from 1 ft (assist by I. Quickley),,1,9,20,-11,325.0
