Time,Miami,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: T. Bryant vs. J. Allen (D. Garland gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,M. Strus misses 2-pt jump shot from 3 ft,,1,0,0,0,19.0
11:39.0,Defensive rebound by T. Bryant,0-0, ,,1,0,0,0,21.0
11:33.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Butler),3-0, ,,1,3,0,3,27.0
11:12.0, ,3-0,C. Porter misses 3-pt jump shot from 23 ft,,1,3,0,3,48.0
11:10.0,Defensive rebound by H. Highsmith,3-0, ,,1,3,0,3,50.0
10:53.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by T. Bryant),6-0, ,,1,6,0,6,67.0
10:35.0, ,6-0,D. Garland misses 2-pt jump shot from 10 ft,,1,6,0,6,85.0
10:32.0,Defensive rebound by T. Bryant,6-0, ,,1,6,0,6,88.0
10:24.0,J. Butler misses 3-pt jump shot from 25 ft,6-0, ,,1,6,0,6,96.0
10:22.0, ,6-0,Defensive rebound by J. Allen,,1,6,0,6,98.0
10:14.0, ,6-2,J. Allen makes 2-pt dunk from 2 ft (assist by M. Strus),,1,6,2,4,106.0
9:53.0,J. Butler makes 3-pt jump shot from 23 ft (assist by K. Lowry),9-2, ,,1,9,2,7,127.0
9:37.0, ,9-2,Turnover by J. Allen (bad pass; steal by J. Butler),,1,9,2,7,143.0
9:31.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Butler),11-2, ,,1,11,2,9,149.0
9:31.0, ,11-2,Cleveland full timeout,,1,11,2,9,149.0
9:09.0, ,11-2,Turnover by E. Mobley (step out of bounds),,1,11,2,9,171.0
8:49.0,Shooting foul by J. Allen (drawn by T. Bryant),11-2, ,,1,11,2,9,191.0
8:49.0,T. Bryant makes free throw 1 of 2,12-2, ,,1,12,2,10,191.0
8:49.0,T. Bryant makes free throw 2 of 2,13-2, ,,1,13,2,11,191.0
8:34.0, ,13-2,Personal foul by H. Highsmith (drawn by E. Mobley),,1,13,2,11,206.0
8:30.0, ,13-2,Personal foul by D. Robinson (drawn by J. Allen),,1,13,2,11,210.0
8:24.0, ,13-2,M. Strus misses 3-pt jump shot from 25 ft,,1,13,2,11,216.0
8:22.0,Defensive rebound by T. Bryant,13-2, ,,1,13,2,11,218.0
8:12.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by H. Highsmith),16-2, ,,1,16,2,14,228.0
7:59.0, ,16-4,D. Garland makes 2-pt jump shot from 19 ft,,1,16,4,12,241.0
7:43.0,H. Highsmith misses 2-pt hook shot from 3 ft,16-4, ,,1,16,4,12,257.0
7:40.0, ,16-4,Defensive rebound by E. Mobley,,1,16,4,12,260.0
7:33.0, ,16-7,C. Porter makes 3-pt jump shot from 24 ft (assist by E. Mobley),,1,16,7,9,267.0
7:26.0,J. Butler misses 3-pt jump shot from 25 ft,16-7, ,,1,16,7,9,274.0
7:26.0, ,16-7,Defensive rebound by E. Mobley,,1,16,7,9,274.0
7:16.0, ,16-7,Turnover by C. Porter (bad pass; steal by T. Bryant),,1,16,7,9,284.0
7:11.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by H. Highsmith),19-7, ,,1,19,7,12,289.0
6:53.0, ,19-9,D. Garland makes 2-pt jump shot from 8 ft,,1,19,9,10,307.0
6:29.0,J. Butler misses 2-pt jump shot from 11 ft,19-9, ,,1,19,9,10,331.0
6:27.0, ,19-9,Defensive rebound by M. Strus,,1,19,9,10,333.0
6:26.0, ,19-9,M. Strus misses 2-pt layup from 2 ft (block by T. Bryant),,1,19,9,10,334.0
6:24.0, ,19-9,Offensive rebound by E. Mobley,,1,19,9,10,336.0
6:23.0, ,19-11,E. Mobley makes 2-pt layup at rim,,1,19,11,8,337.0
6:03.0,D. Robinson misses 3-pt jump shot from 23 ft,19-11, ,,1,19,11,8,357.0
6:01.0, ,19-11,Defensive rebound by E. Mobley,,1,19,11,8,359.0
6:00.0, ,19-11,Personal foul by D. Robinson (drawn by M. Strus),,1,19,11,8,360.0
6:00.0,J. Jaquez enters the game for D. Robinson,19-11, ,,1,19,11,8,360.0
6:00.0, ,19-11,C. LeVert enters the game for J. Allen,,1,19,11,8,360.0
6:00.0, ,19-11,T. Thompson enters the game for C. Porter,,1,19,11,8,360.0
5:53.0, ,19-11,D. Garland misses 2-pt jump shot from 5 ft (block by H. Highsmith),,1,19,11,8,367.0
5:51.0, ,19-11,Offensive rebound by T. Thompson,,1,19,11,8,369.0
5:47.0, ,19-13,E. Mobley makes 2-pt layup from 1 ft (assist by C. LeVert),,1,19,13,6,373.0
5:47.0, ,19-13,Shooting foul by T. Bryant (drawn by E. Mobley),,1,19,13,6,373.0
5:47.0, ,19-14,E. Mobley makes free throw 1 of 1,,1,19,14,5,373.0
5:26.0,J. Butler misses 2-pt jump shot from 11 ft,19-14, ,,1,19,14,5,394.0
