Time,New Orleans,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:59.0,J. Alvarado misses 2-pt layup from 8 ft (block by O. Robinson),102-78, ,,4,78,102,-24,2701.0
2:59.0,Offensive rebound by C. Zeller,102-78, ,,4,78,102,-24,2701.0
2:59.0,Shooting foul by D. Wright (drawn by C. Zeller),102-78, ,,4,78,102,-24,2701.0
2:59.0,C. Zeller misses free throw 1 of 2,102-78, ,,4,78,102,-24,2701.0
2:59.0,Offensive rebound by Team,102-78, ,,4,78,102,-24,2701.0
2:59.0,C. Zeller makes free throw 2 of 2,103-78, ,,4,78,103,-25,2701.0
2:40.0, ,103-78,J. Cain misses 3-pt jump shot from 25 ft,,4,78,103,-25,2720.0
2:37.0,Defensive rebound by C. Zeller,103-78, ,,4,78,103,-25,2723.0
2:25.0,M. Ryan misses 2-pt jump shot from 15 ft,103-78, ,,4,78,103,-25,2735.0
2:20.0, ,103-78,Defensive rebound by O. Robinson,,4,78,103,-25,2740.0
2:11.0, ,103-80,D. Wright makes 2-pt layup from 3 ft (assist by O. Robinson),,4,80,103,-23,2749.0
1:56.0,J. Robinson-Earl makes 2-pt layup from 4 ft (assist by M. Ryan),105-80, ,,4,80,105,-25,2764.0
1:40.0, ,105-80,J. Cain misses 2-pt jump shot from 8 ft,,4,80,105,-25,2780.0
1:40.0, ,105-80,Offensive rebound by J. Cain,,4,80,105,-25,2780.0
1:40.0, ,105-82,J. Cain makes 2-pt layup from 4 ft,,4,82,105,-23,2780.0
1:30.0,J. Hawkins makes 3-pt jump shot from 26 ft (assist by J. Alvarado),108-82, ,,4,82,108,-26,2790.0
1:12.0, ,108-85,C. Swider makes 3-pt jump shot from 26 ft (assist by J. Cain),,4,85,108,-23,2808.0
0:58.0,J. Hawkins misses 2-pt jump shot from 17 ft,108-85, ,,4,85,108,-23,2822.0
0:55.0,Offensive rebound by J. Alvarado,108-85, ,,4,85,108,-23,2825.0
0:54.0,M. Ryan makes 3-pt jump shot from 23 ft (assist by J. Alvarado),111-85, ,,4,85,111,-26,2826.0
0:45.0, ,111-85,Turnover by J. Cain (lost ball; steal by C. Zeller),,4,85,111,-26,2835.0
0:42.0,J. Hawkins misses 2-pt dunk from 3 ft,111-85, ,,4,85,111,-26,2838.0
0:40.0, ,111-85,Defensive rebound by H. Highsmith,,4,85,111,-26,2840.0
0:34.0, ,111-88,C. Swider makes 3-pt jump shot from 24 ft (assist by H. Highsmith),,4,88,111,-23,2846.0
0:10.0,Turnover by Team (shot clock),111-88, ,,4,88,111,-23,2870.0
0:00.0,End of 4th quarter,111-88,,,4,88,111,-23,2880.0
