Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:07.0, ,8-10,K. Love enters the game for B. Adebayo,,1,10,8,2,293.0
7:07.0,J. Green makes free throw 2 of 2,9-10, ,,1,10,9,1,293.0
6:48.0, ,9-10,N. Jović misses 2-pt layup from 5 ft,,1,10,9,1,312.0
6:45.0, ,9-10,Offensive rebound by K. Love,,1,10,9,1,315.0
6:45.0, ,9-10,K. Love misses 2-pt layup at rim,,1,10,9,1,315.0
6:43.0, ,9-10,Offensive rebound by N. Jović,,1,10,9,1,317.0
6:42.0, ,9-10,T. Herro misses 3-pt jump shot from 23 ft,,1,10,9,1,318.0
6:39.0,Defensive rebound by J. Green,9-10, ,,1,10,9,1,321.0
6:37.0,Shooting foul by J. Jaquez (drawn by F. VanVleet),9-10, ,,1,10,9,1,323.0
6:37.0, ,9-10,Miami full timeout,,1,10,9,1,323.0
6:37.0,F. VanVleet makes free throw 1 of 2,10-10, ,Tie,1,10,10,0,323.0
6:37.0,F. VanVleet makes free throw 2 of 2,11-10, ,Lead change,1,10,11,-1,323.0
6:13.0, ,11-12,K. Love makes 2-pt hook shot from 9 ft,Lead change,1,12,11,1,347.0
6:01.0,Turnover by F. VanVleet (bad pass; steal by K. Love),11-12, ,,1,12,11,1,359.0
5:55.0, ,11-14,J. Jaquez makes 2-pt layup from 5 ft (assist by N. Jović),,1,14,11,3,365.0
5:38.0,Personal foul by N. Jović (drawn by A. Sengun),11-14, ,,1,14,11,3,382.0
5:38.0,J. Green enters the game for J. Smith,11-14, ,,1,14,11,3,382.0
5:34.0,Shooting foul by K. Love (drawn by A. Sengun),11-14, ,,1,14,11,3,386.0
5:34.0,A. Sengun makes free throw 1 of 2,12-14, ,,1,14,12,2,386.0
5:34.0,A. Sengun makes free throw 2 of 2,13-14, ,,1,14,13,1,386.0
5:20.0, ,13-14,Turnover by J. Jaquez (bad pass; steal by A. Sengun),,1,14,13,1,400.0
5:14.0,J. Green misses 2-pt layup from 7 ft (block by N. Jović),13-14, ,,1,14,13,1,406.0
5:11.0, ,13-14,Defensive rebound by K. Love,,1,14,13,1,409.0
5:11.0, ,13-14,Shooting foul by J. Tate (drawn by J. Jaquez),,1,14,13,1,409.0
5:11.0, ,13-14,J. Jaquez misses free throw 1 of 2,,1,14,13,1,409.0
5:11.0, ,13-14,Offensive rebound by Team,,1,14,13,1,409.0
5:11.0, ,13-14,J. Richardson enters the game for K. Lowry,,1,14,13,1,409.0
5:11.0, ,13-15,J. Jaquez makes free throw 2 of 2,,1,15,13,2,409.0
5:01.0,Turnover by A. Sengun (traveling),13-15, ,,1,15,13,2,419.0
5:01.0, ,13-15,K. Lowry enters the game for J. Jaquez,,1,15,13,2,419.0
4:47.0, ,13-18,J. Richardson makes 3-pt jump shot from 26 ft (assist by T. Herro),,1,18,13,5,433.0
4:34.0,J. Green makes 3-pt jump shot from 25 ft (assist by F. VanVleet),16-18, ,,1,18,16,2,446.0
4:13.0, ,16-21,T. Herro makes 3-pt jump shot from 26 ft (assist by N. Jović),,1,21,16,5,467.0
3:51.0,J. Tate misses 3-pt jump shot from 23 ft,16-21, ,,1,21,16,5,489.0
3:48.0, ,16-21,Defensive rebound by N. Jović,,1,21,16,5,492.0
3:45.0, ,16-21,T. Herro misses 3-pt jump shot from 27 ft (block by J. Green),,1,21,16,5,495.0
3:41.0, ,16-21,Offensive rebound by N. Jović,,1,21,16,5,499.0
3:41.0, ,16-23,T. Herro makes 2-pt jump shot from 15 ft (assist by N. Jović),,1,23,16,7,499.0
3:41.0,Houston full timeout,16-23, ,,1,23,16,7,499.0
3:41.0,A. Holiday enters the game for J. Green,16-23, ,,1,23,16,7,499.0
3:41.0,A. Thompson enters the game for J. Tate,16-23, ,,1,23,16,7,499.0
3:41.0, ,16-23,D. Robinson enters the game for K. Lowry,,1,23,16,7,499.0
3:25.0,J. Green makes 2-pt dunk from 6 ft (assist by F. VanVleet),18-23, ,,1,23,18,5,515.0
3:05.0, ,18-23,Turnover by N. Jović (bad pass; steal by A. Sengun),,1,23,18,5,535.0
3:00.0,A. Thompson misses 2-pt layup from 6 ft (block by J. Richardson),18-23, ,,1,23,18,5,540.0
2:56.0, ,18-23,Defensive rebound by N. Jović,,1,23,18,5,544.0
2:53.0, ,18-26,D. Robinson makes 3-pt jump shot from 26 ft (assist by N. Jović),,1,26,18,8,547.0
2:37.0,F. VanVleet makes 3-pt jump shot from 28 ft (assist by A. Sengun),21-26, ,,1,26,21,5,563.0
2:25.0, ,21-26,Personal foul by A. Thompson (drawn by N. Jović),,1,26,21,5,575.0
2:25.0,J. Smith enters the game for A. Sengun,21-26, ,,1,26,21,5,575.0
2:25.0,C. Whitmore enters the game for F. VanVleet,21-26, ,,1,26,21,5,575.0
2:22.0, ,21-29,K. Love makes 3-pt jump shot from 27 ft (assist by J. Richardson),,1,29,21,8,578.0
2:06.0,C. Whitmore makes 3-pt jump shot from 26 ft (assist by J. Green),24-29, ,,1,29,24,5,594.0
1:55.0, ,24-32,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Love),,1,32,24,8,605.0
1:45.0,A. Holiday misses 3-pt jump shot from 27 ft,24-32, ,,1,32,24,8,615.0
