Time,Miami,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:05.0,B. Adebayo misses free throw 1 of 2,105-95, ,,4,105,95,10,2455.0
7:05.0,Offensive rebound by Team,105-95, ,,4,105,95,10,2455.0
7:05.0,B. Adebayo makes free throw 2 of 2,106-95, ,,4,106,95,11,2455.0
6:52.0, ,106-95,K. Huerter misses 3-pt jump shot from 26 ft,,4,106,95,11,2468.0
6:50.0,Defensive rebound by D. Robinson,106-95, ,,4,106,95,11,2470.0
6:40.0,D. Robinson misses 2-pt jump shot from 6 ft (block by D. Fox),106-95, ,,4,106,95,11,2480.0
6:37.0, ,106-95,Defensive rebound by K. Huerter,,4,106,95,11,2483.0
6:31.0, ,106-98,K. Murray makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,4,106,98,8,2489.0
6:12.0,H. Highsmith misses 3-pt jump shot from 28 ft,106-98, ,,4,106,98,8,2508.0
6:08.0, ,106-98,Defensive rebound by D. Sabonis,,4,106,98,8,2512.0
5:58.0, ,106-100,D. Fox makes 2-pt jump shot from 15 ft,,4,106,100,6,2522.0
5:47.0, ,106-100,Violation by Team (kicked ball),,4,106,100,6,2533.0
5:38.0,Shooting foul by K. Murray (drawn by D. Wright),106-100, ,,4,106,100,6,2542.0
5:38.0,D. Wright makes free throw 1 of 2,107-100, ,,4,107,100,7,2542.0
5:38.0,J. Jaquez enters the game for H. Highsmith,107-100, ,,4,107,100,7,2542.0
5:38.0,D. Wright makes free throw 2 of 2,108-100, ,,4,108,100,8,2542.0
5:20.0, ,108-102,D. Fox makes 2-pt jump shot from 14 ft,,4,108,102,6,2560.0
5:06.0,Turnover by B. Adebayo (lost ball; steal by D. Fox),108-102, ,,4,108,102,6,2574.0
5:01.0, ,108-104,K. Huerter makes 2-pt layup from 6 ft (assist by D. Fox),,4,108,104,4,2579.0
5:01.0,Miami full timeout,108-104, ,,4,108,104,4,2579.0
4:43.0,D. Robinson misses 2-pt layup from 8 ft,108-104, ,,4,108,104,4,2597.0
4:42.0,Offensive rebound by Team,108-104, ,,4,108,104,4,2598.0
4:37.0,D. Robinson misses 3-pt jump shot from 24 ft,108-104, ,,4,108,104,4,2603.0
4:34.0,Offensive rebound by C. Martin,108-104, ,,4,108,104,4,2606.0
4:24.0,B. Adebayo makes 2-pt jump shot from 10 ft,110-104, ,,4,110,104,6,2616.0
4:07.0, ,110-106,D. Fox makes 2-pt jump shot from 14 ft,,4,110,106,4,2633.0
3:46.0,Turnover by B. Adebayo (lost ball; steal by D. Fox),110-106, ,,4,110,106,4,2654.0
3:41.0, ,110-108,D. Fox makes 2-pt layup from 5 ft,,4,110,108,2,2659.0
3:24.0,Personal foul by K. Huerter (drawn by D. Wright),110-108, ,,4,110,108,2,2676.0
3:11.0,J. Jaquez makes 2-pt jump shot from 13 ft,112-108, ,,4,112,108,4,2689.0
2:51.0, ,112-108,D. Fox misses 2-pt layup from 5 ft,,4,112,108,4,2709.0
2:50.0,Defensive rebound by J. Jaquez,112-108, ,,4,112,108,4,2710.0
2:33.0,J. Jaquez makes 2-pt jump shot from 11 ft,114-108, ,,4,114,108,6,2727.0
2:13.0, ,114-108,Turnover by D. Fox (lost ball; steal by C. Martin),,4,114,108,6,2747.0
2:11.0,C. Martin misses 2-pt layup from 5 ft (block by K. Murray),114-108, ,,4,114,108,6,2749.0
2:10.0,Offensive rebound by Team,114-108, ,,4,114,108,6,2750.0
1:53.0,J. Jaquez misses 2-pt jump shot from 12 ft,114-108, ,,4,114,108,6,2767.0
1:48.0, ,114-108,Defensive rebound by D. Sabonis,,4,114,108,6,2772.0
1:48.0, ,114-108,Turnover by D. Sabonis (lost ball; steal by B. Adebayo),,4,114,108,6,2772.0
1:41.0,Turnover by D. Robinson (bad pass; steal by K. Murray),114-108, ,,4,114,108,6,2779.0
1:38.0, ,114-110,K. Murray makes 2-pt dunk from 4 ft,,4,114,110,4,2782.0
1:16.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by D. Robinson),116-110, ,,4,116,110,6,2804.0
1:07.0, ,116-110,K. Huerter misses 3-pt jump shot from 28 ft,,4,116,110,6,2813.0
1:06.0,Defensive rebound by Team,116-110, ,,4,116,110,6,2814.0
0:49.0,C. Martin makes 2-pt dunk from 2 ft (assist by D. Wright),118-110, ,,4,118,110,8,2831.0
0:42.0, ,118-110,T. Lyles misses 2-pt layup from 6 ft (block by B. Adebayo),,4,118,110,8,2838.0
0:38.0,Defensive rebound by J. Jaquez,118-110, ,,4,118,110,8,2842.0
0:29.0,Personal foul by T. Lyles (drawn by J. Jaquez),118-110, ,,4,118,110,8,2851.0
0:29.0,J. Jaquez misses free throw 1 of 2,118-110, ,,4,118,110,8,2851.0
0:29.0,Offensive rebound by Team,118-110, ,,4,118,110,8,2851.0
0:29.0,H. Highsmith enters the game for D. Robinson,118-110, ,,4,118,110,8,2851.0
0:29.0,J. Jaquez makes free throw 2 of 2,119-110, ,,4,119,110,9,2851.0
0:29.0, ,119-110,Sacramento full timeout,,4,119,110,9,2851.0
0:21.0, ,119-110,K. Murray misses 3-pt jump shot from 25 ft,,4,119,110,9,2859.0
0:19.0, ,119-110,Offensive rebound by D. Sabonis,,4,119,110,9,2861.0
0:17.0, ,119-110,D. Fox misses 3-pt jump shot from 27 ft,,4,119,110,9,2863.0
0:17.0,Defensive rebound by Team,119-110, ,,4,119,110,9,2863.0
0:15.0, ,119-110,Sacramento full timeout,,4,119,110,9,2865.0
0:15.0,D. Robinson enters the game for H. Highsmith,119-110, ,,4,119,110,9,2865.0
0:15.0, ,119-110,Instant Replay (Challenge: Stands),,4,119,110,9,2865.0
0:11.0,Personal take foul by T. Lyles (drawn by D. Wright),119-110, ,,4,119,110,9,2869.0
0:11.0,D. Wright makes free throw 1 of 2,120-110, ,,4,120,110,10,2869.0
0:11.0,D. Wright makes free throw 2 of 2,121-110, ,,4,121,110,11,2869.0
0:00.0, ,121-110,K. Huerter misses 3-pt jump shot from 30 ft,,4,121,110,11,2880.0
0:00.0,Defensive rebound by B. Adebayo,121-110, ,,4,121,110,11,2880.0
0:00.0,End of 4th quarter,121-110,,,4,121,110,11,2880.0
