Time,Miami,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. M. Bamba (T. Maxey gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-2,T. Maxey makes 2-pt jump shot from 16 ft (assist by M. Bamba),,1,0,2,-2,18.0
11:28.0,J. Jaquez makes 2-pt layup from 1 ft (assist by B. Adebayo),2-2, ,Tie,1,2,2,0,32.0
11:08.0, ,2-2,K. Lowry misses 2-pt jump shot from 8 ft,,1,2,2,0,52.0
11:07.0,Defensive rebound by D. Robinson,2-2, ,,1,2,2,0,53.0
10:53.0,Turnover by T. Rozier (bad pass),2-2, ,,1,2,2,0,67.0
10:39.0, ,2-2,T. Maxey misses 3-pt jump shot from 28 ft,,1,2,2,0,81.0
10:37.0,Defensive rebound by B. Adebayo,2-2, ,,1,2,2,0,83.0
10:33.0,T. Rozier makes 2-pt layup from 1 ft (assist by B. Adebayo),4-2, ,Lead change,1,4,2,2,87.0
10:11.0, ,4-5,M. Bamba makes 3-pt jump shot from 25 ft (assist by T. Maxey),Lead change,1,4,5,-1,109.0
9:55.0,D. Robinson misses 2-pt layup from 4 ft,4-5, ,,1,4,5,-1,125.0
9:53.0, ,4-5,Defensive rebound by M. Bamba,,1,4,5,-1,127.0
9:49.0, ,4-5,M. Bamba misses 3-pt jump shot from 27 ft,,1,4,5,-1,131.0
9:47.0,Defensive rebound by B. Adebayo,4-5, ,,1,4,5,-1,133.0
9:34.0,T. Rozier misses 3-pt jump shot from 28 ft,4-5, ,,1,4,5,-1,146.0
9:32.0, ,4-5,Defensive rebound by N. Batum,,1,4,5,-1,148.0
9:14.0, ,4-5,M. Bamba misses 2-pt layup from 1 ft,,1,4,5,-1,166.0
9:12.0,Defensive rebound by B. Adebayo,4-5, ,,1,4,5,-1,168.0
8:57.0,H. Highsmith makes 3-pt jump shot from 28 ft (assist by B. Adebayo),7-5, ,Lead change,1,7,5,2,183.0
8:41.0, ,7-5,T. Maxey misses 2-pt jump shot from 8 ft,,1,7,5,2,199.0
8:40.0,Defensive rebound by T. Rozier,7-5, ,,1,7,5,2,200.0
8:28.0,T. Rozier misses 2-pt layup from 4 ft (block by M. Bamba),7-5, ,,1,7,5,2,212.0
8:25.0, ,7-5,Defensive rebound by M. Bamba,,1,7,5,2,215.0
8:20.0, ,7-5,Shooting foul by B. Adebayo (drawn by T. Maxey),,1,7,5,2,220.0
8:20.0, ,7-6,T. Maxey makes free throw 1 of 2,,1,7,6,1,220.0
8:20.0, ,7-7,T. Maxey makes free throw 2 of 2,Tie,1,7,7,0,220.0
8:11.0,B. Adebayo makes 2-pt jump shot from 16 ft (assist by J. Jaquez),9-7, ,,1,9,7,2,229.0
7:57.0, ,9-9,K. Oubre makes 2-pt layup from 3 ft,Tie,1,9,9,0,243.0
7:50.0,Personal foul by M. Bamba (drawn by B. Adebayo),9-9, ,,1,9,9,0,250.0
7:41.0,Turnover by J. Jaquez (bad pass; steal by M. Bamba),9-9, ,,1,9,9,0,259.0
7:36.0, ,9-11,T. Maxey makes 2-pt layup from 1 ft,Lead change,1,9,11,-2,264.0
7:36.0, ,9-11,Shooting foul by D. Robinson (drawn by T. Maxey),,1,9,11,-2,264.0
7:36.0, ,9-12,T. Maxey makes free throw 1 of 1,,1,9,12,-3,264.0
7:17.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by B. Adebayo),12-12, ,Tie,1,12,12,0,283.0
7:05.0, ,12-14,T. Maxey makes 2-pt jump shot from 20 ft,,1,12,14,-2,295.0
6:47.0,D. Robinson misses 3-pt jump shot from 29 ft,12-14, ,,1,12,14,-2,313.0
6:44.0, ,12-14,Defensive rebound by T. Maxey,,1,12,14,-2,316.0
6:32.0, ,12-14,K. Oubre misses 3-pt jump shot from 27 ft,,1,12,14,-2,328.0
6:30.0,Defensive rebound by T. Rozier,12-14, ,,1,12,14,-2,330.0
6:19.0,B. Adebayo makes 2-pt layup from 2 ft,14-14, ,Tie,1,14,14,0,341.0
6:04.0, ,14-14,K. Lowry misses 2-pt jump shot from 13 ft,,1,14,14,0,356.0
6:01.0,Defensive rebound by H. Highsmith,14-14, ,,1,14,14,0,359.0
5:54.0,B. Adebayo makes 3-pt jump shot from 23 ft (assist by H. Highsmith),17-14, ,Lead change,1,17,14,3,366.0
5:53.0, ,17-14,Philadelphia full timeout,,1,17,14,3,367.0
5:53.0,C. Martin enters the game for J. Jaquez,17-14, ,,1,17,14,3,367.0
5:53.0, ,17-14,B. Hield enters the game for M. Bamba,,1,17,14,3,367.0
5:53.0, ,17-14,P. Reed enters the game for K. Oubre,,1,17,14,3,367.0
5:52.0, ,17-14,Turnover by B. Hield (bad pass),,1,17,14,3,368.0
5:46.0,T. Rozier misses 2-pt jump shot from 19 ft,17-14, ,,1,17,14,3,374.0
5:43.0, ,17-14,Defensive rebound by P. Reed,,1,17,14,3,377.0
5:28.0, ,17-14,P. Reed misses 3-pt jump shot from 23 ft,,1,17,14,3,392.0
5:25.0,Defensive rebound by B. Adebayo,17-14, ,,1,17,14,3,395.0
5:09.0,C. Martin misses 3-pt jump shot from 28 ft,17-14, ,,1,17,14,3,411.0
