Time,Miami,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:09.0,Defensive rebound by J. Jaquez,52-39, ,,2,52,39,13,1071.0
6:01.0,J. Jaquez makes 2-pt layup from 1 ft,54-39, ,,2,54,39,15,1079.0
5:42.0, ,54-41,B. Portis makes 2-pt jump shot from 8 ft,,2,54,41,13,1098.0
5:16.0,J. Jaquez misses 2-pt jump shot from 9 ft,54-41, ,,2,54,41,13,1124.0
5:14.0, ,54-41,Defensive rebound by G. Antetokounmpo,,2,54,41,13,1126.0
5:04.0, ,54-44,B. Portis makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,2,54,44,10,1136.0
4:48.0,N. Jović makes 3-pt jump shot from 26 ft (assist by K. Love),57-44, ,,2,57,44,13,1152.0
4:33.0, ,57-44,B. Lopez misses 2-pt jump shot from 8 ft,,2,57,44,13,1167.0
4:30.0,Defensive rebound by J. Jaquez,57-44, ,,2,57,44,13,1170.0
4:24.0,H. Highsmith misses 2-pt layup from 3 ft,57-44, ,,2,57,44,13,1176.0
4:24.0, ,57-44,Defensive rebound by G. Antetokounmpo,,2,57,44,13,1176.0
4:18.0, ,57-44,B. Portis misses 3-pt jump shot from 22 ft,,2,57,44,13,1182.0
4:15.0,Defensive rebound by K. Love,57-44, ,,2,57,44,13,1185.0
4:05.0,T. Herro misses 3-pt jump shot from 25 ft,57-44, ,,2,57,44,13,1195.0
4:01.0, ,57-44,Defensive rebound by B. Portis,,2,57,44,13,1199.0
3:56.0, ,57-46,D. Lillard makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,2,57,46,11,1204.0
3:56.0, ,57-46,Shooting foul by K. Love (drawn by D. Lillard),,2,57,46,11,1204.0
3:56.0,B. Adebayo enters the game for T. Herro,57-46, ,,2,57,46,11,1204.0
3:56.0,C. Martin enters the game for H. Highsmith,57-46, ,,2,57,46,11,1204.0
3:56.0,D. Robinson enters the game for K. Love,57-46, ,,2,57,46,11,1204.0
3:56.0, ,57-46,M. Beasley enters the game for P. Connaughton,,2,57,46,11,1204.0
3:56.0, ,57-46,J. Crowder enters the game for B. Portis,,2,57,46,11,1204.0
3:56.0, ,57-47,D. Lillard makes free throw 1 of 1,,2,57,47,10,1204.0
3:38.0,B. Adebayo makes 2-pt jump shot from 12 ft (assist by D. Robinson),59-47, ,,2,59,47,12,1222.0
3:24.0, ,59-49,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by D. Lillard),,2,59,49,10,1236.0
3:01.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),62-49, ,,2,62,49,13,1259.0
2:47.0, ,62-49,M. Beasley misses 3-pt jump shot from 29 ft,,2,62,49,13,1273.0
2:43.0,Defensive rebound by B. Adebayo,62-49, ,,2,62,49,13,1277.0
2:38.0,N. Jović misses 3-pt jump shot from 27 ft,62-49, ,,2,62,49,13,1282.0
2:34.0, ,62-49,Defensive rebound by M. Beasley,,2,62,49,13,1286.0
2:28.0, ,62-52,G. Antetokounmpo makes 3-pt jump shot from 28 ft,,2,62,52,10,1292.0
2:11.0,D. Robinson misses 2-pt jump shot from 16 ft,62-52, ,,2,62,52,10,1309.0
2:08.0, ,62-52,Defensive rebound by M. Beasley,,2,62,52,10,1312.0
