Time,Miami,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:36.0,Defensive rebound by K. Love,94-73, ,,3,94,73,21,2064.0
1:24.0,Turnover by J. Jaquez (bad pass; steal by P. Connaughton),94-73, ,,3,94,73,21,2076.0
1:21.0, ,94-73,Turnover by P. Connaughton (bad pass; steal by K. Love),,3,94,73,21,2079.0
1:20.0,Miami full timeout,94-73, ,,3,94,73,21,2080.0
1:20.0,Instant Replay (Challenge: Ruling Stands),94-73, ,,3,94,73,21,2080.0
1:20.0,Personal foul by P. Connaughton (drawn by K. Love),94-73, ,,3,94,73,21,2080.0
1:20.0,K. Love misses free throw 1 of 2,94-73, ,,3,94,73,21,2080.0
1:20.0,Offensive rebound by Team,94-73, ,,3,94,73,21,2080.0
1:20.0,T. Herro enters the game for D. Robinson,94-73, ,,3,94,73,21,2080.0
1:20.0,K. Love makes free throw 2 of 2,95-73, ,,3,95,73,22,2080.0
1:08.0, ,95-73,G. Antetokounmpo misses 2-pt hook shot from 10 ft,,3,95,73,22,2092.0
1:05.0,Defensive rebound by K. Love,95-73, ,,3,95,73,22,2095.0
0:45.0,K. Love makes 3-pt jump shot from 25 ft (assist by B. Adebayo),98-73, ,,3,98,73,25,2115.0
0:23.0, ,98-76,P. Beverley makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,3,98,76,22,2137.0
0:09.0,T. Herro misses 3-pt jump shot from 26 ft,98-76, ,,3,98,76,22,2151.0
0:07.0, ,98-76,Defensive rebound by G. Antetokounmpo,,3,98,76,22,2153.0
0:00.0, ,98-76,B. Portis misses 3-pt jump shot from 25 ft,,3,98,76,22,2160.0
0:00.0, ,98-76,Offensive rebound by Team,,3,98,76,22,2160.0
0:00.0,End of 3rd quarter,98-76,,,3,98,76,22,2160.0
12:00.0,Start of 4th quarter,98-76,,,4,98,76,22,2160.0
11:46.0, ,98-76,Personal foul by H. Highsmith (drawn by G. Antetokounmpo),,4,98,76,22,2174.0
11:41.0, ,98-76,Shooting foul by K. Love (drawn by B. Portis),,4,98,76,22,2179.0
11:41.0, ,98-77,B. Portis makes free throw 1 of 2,,4,98,77,21,2179.0
11:41.0, ,98-78,B. Portis makes free throw 2 of 2,,4,98,78,20,2179.0
11:22.0,B. Adebayo makes 2-pt jump shot from 11 ft,100-78, ,,4,100,78,22,2198.0
11:00.0, ,100-78,Turnover by G. Antetokounmpo (back court),,4,100,78,22,2220.0
10:45.0,K. Love makes 3-pt jump shot from 27 ft (assist by B. Adebayo),103-78, ,,4,103,78,25,2235.0
10:25.0,Jump ball: H. Highsmith vs. D. Lillard (K. Love gains possession),103-78,,,4,103,78,25,2255.0
10:25.0, ,103-78,Turnover by D. Lillard (bad pass; steal by H. Highsmith),,4,103,78,25,2255.0
10:12.0,K. Love makes 3-pt jump shot from 28 ft (assist by T. Herro),106-78, ,,4,106,78,28,2268.0
10:12.0, ,106-78,Milwaukee full timeout,,4,106,78,28,2268.0
10:12.0, ,106-78,M. Beasley enters the game for P. Beverley,,4,106,78,28,2268.0
10:00.0, ,106-78,M. Beasley misses 3-pt jump shot from 23 ft,,4,106,78,28,2280.0
9:57.0,Defensive rebound by K. Love,106-78, ,,4,106,78,28,2283.0
9:47.0,Shooting foul by B. Portis (drawn by T. Herro),106-78, ,,4,106,78,28,2293.0
9:47.0,T. Herro makes free throw 1 of 2,107-78, ,,4,107,78,29,2293.0
9:47.0,T. Herro makes free throw 2 of 2,108-78, ,,4,108,78,30,2293.0
9:33.0, ,108-81,M. Beasley makes 3-pt jump shot from 23 ft (assist by B. Portis),,4,108,81,27,2307.0
9:12.0,B. Adebayo misses 2-pt jump shot from 15 ft,108-81, ,,4,108,81,27,2328.0
9:10.0, ,108-81,Defensive rebound by P. Connaughton,,4,108,81,27,2330.0
8:59.0, ,108-81,P. Connaughton misses 3-pt jump shot from 23 ft,,4,108,81,27,2341.0
8:56.0,Defensive rebound by K. Love,108-81, ,,4,108,81,27,2344.0
8:47.0,K. Love misses 3-pt jump shot from 28 ft,108-81, ,,4,108,81,27,2353.0
8:44.0,Offensive rebound by B. Adebayo,108-81, ,,4,108,81,27,2356.0
8:42.0,J. Jaquez misses 2-pt layup from 2 ft,108-81, ,,4,108,81,27,2358.0
8:39.0, ,108-81,Defensive rebound by P. Connaughton,,4,108,81,27,2361.0
8:31.0, ,108-81,Turnover by G. Antetokounmpo (lost ball; steal by H. Highsmith),,4,108,81,27,2369.0
8:25.0,K. Love makes 2-pt layup from 3 ft (assist by B. Adebayo),110-81, ,,4,110,81,29,2375.0
8:13.0, ,110-81,D. Lillard misses 2-pt dunk from 3 ft,,4,110,81,29,2387.0
8:11.0, ,110-81,Offensive rebound by B. Portis,,4,110,81,29,2389.0
8:05.0, ,110-84,B. Portis makes 3-pt jump shot from 24 ft (assist by P. Connaughton),,4,110,84,26,2395.0
7:50.0,H. Highsmith misses 3-pt jump shot from 27 ft,110-84, ,,4,110,84,26,2410.0
7:48.0,Offensive rebound by B. Adebayo,110-84, ,,4,110,84,26,2412.0
7:41.0,K. Love makes 3-pt jump shot from 25 ft (assist by B. Adebayo),113-84, ,,4,113,84,29,2419.0
7:40.0, ,113-84,Milwaukee full timeout,,4,113,84,29,2420.0
7:40.0, ,113-84,T. Antetokounmpo enters the game for G. Antetokounmpo,,4,113,84,29,2420.0
7:40.0, ,113-84,M. Beauchamp enters the game for M. Beasley,,4,113,84,29,2420.0
7:40.0, ,113-84,P. Beverley enters the game for P. Connaughton,,4,113,84,29,2420.0
7:40.0, ,113-84,A. Green enters the game for D. Lillard,,4,113,84,29,2420.0
7:40.0, ,113-84,A. Jackson enters the game for B. Portis,,4,113,84,29,2420.0
7:28.0,Violation by Team (kicked ball),113-84, ,,4,113,84,29,2432.0
7:28.0,N. Jović enters the game for B. Adebayo,113-84, ,,4,113,84,29,2432.0
7:14.0, ,113-84,A. Green misses 2-pt jump shot from 14 ft,,4,113,84,29,2446.0
7:12.0,Defensive rebound by T. Herro,113-84, ,,4,113,84,29,2448.0
7:00.0,T. Herro makes 2-pt layup from 2 ft (assist by J. Jaquez),115-84, ,,4,115,84,31,2460.0
6:45.0, ,115-87,A. Green makes 3-pt jump shot from 27 ft (assist by P. Beverley),,4,115,87,28,2475.0
6:36.0,T. Herro misses 3-pt jump shot from 27 ft,115-87, ,,4,115,87,28,2484.0
6:33.0, ,115-87,Defensive rebound by P. Beverley,,4,115,87,28,2487.0
6:18.0, ,115-87,Turnover by M. Beauchamp (traveling),,4,115,87,28,2502.0
6:18.0,J. Cain enters the game for T. Herro,115-87, ,,4,115,87,28,2502.0
6:18.0,A. Williams enters the game for K. Love,115-87, ,,4,115,87,28,2502.0
6:03.0,J. Jaquez makes 2-pt layup from 6 ft,117-87, ,,4,117,87,30,2517.0
5:40.0, ,117-87,A. Green misses 3-pt jump shot from 23 ft,,4,117,87,30,2540.0
5:38.0, ,117-87,Offensive rebound by M. Beauchamp,,4,117,87,30,2542.0
5:34.0, ,117-87,Shooting foul by J. Jaquez (drawn by M. Beauchamp),,4,117,87,30,2546.0
5:34.0, ,117-87,M. Beauchamp misses free throw 1 of 2,,4,117,87,30,2546.0
5:34.0, ,117-87,Offensive rebound by Team,,4,117,87,30,2546.0
5:34.0,C. Swider enters the game for J. Jaquez,117-87, ,,4,117,87,30,2546.0
5:34.0, ,117-88,M. Beauchamp makes free throw 2 of 2,,4,117,88,29,2546.0
5:18.0,N. Jović misses 3-pt jump shot from 26 ft,117-88, ,,4,117,88,29,2562.0
5:16.0, ,117-88,Defensive rebound by A. Jackson,,4,117,88,29,2564.0
5:05.0, ,117-88,P. Beverley misses 2-pt jump shot from 11 ft,,4,117,88,29,2575.0
5:02.0,Defensive rebound by J. Cain,117-88, ,,4,117,88,29,2578.0
4:53.0,N. Jović misses 2-pt jump shot from 12 ft,117-88, ,,4,117,88,29,2587.0
4:51.0, ,117-88,Defensive rebound by A. Green,,4,117,88,29,2589.0
4:37.0, ,117-88,M. Beauchamp misses 3-pt jump shot from 25 ft,,4,117,88,29,2603.0
4:35.0,Defensive rebound by A. Williams,117-88, ,,4,117,88,29,2605.0
4:29.0,Turnover by C. Swider (out of bounds lost ball),117-88, ,,4,117,88,29,2611.0
4:29.0,O. Robinson enters the game for N. Jović,117-88, ,,4,117,88,29,2611.0
4:29.0, ,117-88,T. Washington enters the game for P. Beverley,,4,117,88,29,2611.0
4:17.0, ,117-88,Shooting foul by J. Cain (drawn by M. Beauchamp),,4,117,88,29,2623.0
4:17.0, ,117-89,M. Beauchamp makes free throw 1 of 2,,4,117,89,28,2623.0
4:17.0, ,117-90,M. Beauchamp makes free throw 2 of 2,,4,117,90,27,2623.0
4:05.0,Turnover by C. Swider (lost ball; steal by M. Beauchamp),117-90, ,,4,117,90,27,2635.0
4:00.0, ,117-90,M. Beauchamp misses 2-pt layup from 3 ft,,4,117,90,27,2640.0
3:57.0,Defensive rebound by C. Swider,117-90, ,,4,117,90,27,2643.0
3:53.0,C. Swider misses 3-pt jump shot from 27 ft,117-90, ,,4,117,90,27,2647.0
3:50.0, ,117-90,Defensive rebound by A. Green,,4,117,90,27,2650.0
3:41.0, ,117-90,A. Green misses 3-pt jump shot from 29 ft,,4,117,90,27,2659.0
3:38.0,Defensive rebound by H. Highsmith,117-90, ,,4,117,90,27,2662.0
3:31.0,A. Williams misses 3-pt jump shot from 28 ft,117-90, ,,4,117,90,27,2669.0
3:28.0, ,117-90,Defensive rebound by M. Beauchamp,,4,117,90,27,2672.0
3:24.0, ,117-90,Turnover by M. Beauchamp (lost ball; steal by O. Robinson),,4,117,90,27,2676.0
3:16.0,Shooting foul by T. Antetokounmpo (drawn by C. Swider),117-90, ,,4,117,90,27,2684.0
3:16.0,C. Swider makes free throw 1 of 2,118-90, ,,4,118,90,28,2684.0
3:16.0,C. Swider makes free throw 2 of 2,119-90, ,,4,119,90,29,2684.0
3:01.0, ,119-90,T. Washington misses 2-pt jump shot from 15 ft,,4,119,90,29,2699.0
2:59.0,Defensive rebound by O. Robinson,119-90, ,,4,119,90,29,2701.0
2:49.0,C. Swider misses 3-pt jump shot from 27 ft,119-90, ,,4,119,90,29,2711.0
2:46.0, ,119-90,Defensive rebound by A. Green,,4,119,90,29,2714.0
2:29.0, ,119-92,T. Antetokounmpo makes 2-pt layup from 1 ft (assist by A. Jackson),,4,119,92,27,2731.0
2:18.0,Turnover by O. Robinson (bad pass),119-92, ,,4,119,92,27,2742.0
2:01.0, ,119-95,M. Beauchamp makes 3-pt jump shot from 27 ft (assist by T. Antetokounmpo),,4,119,95,24,2759.0
1:43.0,J. Cain misses 2-pt jump shot from 12 ft,119-95, ,,4,119,95,24,2777.0
1:42.0,Offensive rebound by J. Cain,119-95, ,,4,119,95,24,2778.0
1:41.0,Shooting foul by M. Beauchamp (drawn by J. Cain),119-95, ,,4,119,95,24,2779.0
1:41.0,J. Cain makes free throw 1 of 2,120-95, ,,4,120,95,25,2779.0
1:41.0,J. Cain makes free throw 2 of 2,121-95, ,,4,121,95,26,2779.0
1:26.0, ,121-95,A. Jackson misses 3-pt jump shot from 24 ft,,4,121,95,26,2794.0
1:23.0,Defensive rebound by O. Robinson,121-95, ,,4,121,95,26,2797.0
1:16.0,Turnover by A. Williams (lost ball; steal by A. Green),121-95, ,,4,121,95,26,2804.0
1:14.0, ,121-97,M. Beauchamp makes 2-pt dunk from 1 ft (assist by A. Jackson),,4,121,97,24,2806.0
0:50.0,Turnover by C. Swider (lost ball; steal by T. Washington),121-97, ,,4,121,97,24,2830.0
0:47.0, ,121-97,Turnover by A. Green (bad pass),,4,121,97,24,2833.0
0:28.0,O. Robinson makes 2-pt dunk from 2 ft (assist by C. Swider),123-97, ,,4,123,97,26,2852.0
0:24.0, ,123-97,A. Green misses 3-pt jump shot from 31 ft,,4,123,97,26,2856.0
0:21.0,Defensive rebound by H. Highsmith,123-97, ,,4,123,97,26,2859.0
0:00.0,End of 4th quarter,123-97,,,4,123,97,26,2880.0
