Time,Miami,Score,New Orleans,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Valančiūnas (C. McCollum gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,J. Valančiūnas misses 2-pt layup from 3 ft,,1,0,0,0,22.0
11:36.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,24.0
11:26.0,B. Adebayo makes 2-pt layup from 5 ft (assist by T. Herro),2-0, ,,1,2,0,2,34.0
11:04.0, ,2-2,H. Jones makes 2-pt layup from 5 ft (assist by Z. Williamson),Tie,1,2,2,0,56.0
10:39.0,Turnover by C. Martin (out of bounds lost ball),2-2, ,,1,2,2,0,81.0
10:24.0, ,2-2,T. Murphy misses 2-pt jump shot from 16 ft,,1,2,2,0,96.0
10:21.0,Defensive rebound by J. Butler,2-2, ,,1,2,2,0,99.0
10:13.0,J. Butler makes 3-pt jump shot from 25 ft,5-2, ,,1,5,2,3,107.0
10:02.0, ,5-2,J. Valančiūnas misses 2-pt jump shot from 13 ft,,1,5,2,3,118.0
9:59.0,Defensive rebound by N. Jović,5-2, ,,1,5,2,3,121.0
9:56.0,Shooting foul by Z. Williamson (drawn by J. Butler),5-2, ,,1,5,2,3,124.0
9:56.0,J. Butler makes free throw 1 of 2,6-2, ,,1,6,2,4,124.0
9:56.0,J. Butler makes free throw 2 of 2,7-2, ,,1,7,2,5,124.0
9:47.0, ,7-2,C. McCollum misses 2-pt jump shot from 3 ft,,1,7,2,5,133.0
9:43.0,Defensive rebound by B. Adebayo,7-2, ,,1,7,2,5,137.0
9:40.0,Turnover by N. Jović (bad pass),7-2, ,,1,7,2,5,140.0
9:29.0, ,7-4,Z. Williamson makes 2-pt layup from 2 ft,,1,7,4,3,151.0
9:14.0,C. Martin makes 3-pt jump shot from 27 ft (assist by T. Herro),10-4, ,,1,10,4,6,166.0
9:01.0, ,10-4,Z. Williamson misses 2-pt layup from 6 ft,,1,10,4,6,179.0
8:59.0,Defensive rebound by T. Herro,10-4, ,,1,10,4,6,181.0
8:55.0,T. Herro makes 2-pt layup from 4 ft,12-4, ,,1,12,4,8,185.0
8:48.0, ,12-4,New Orleans full timeout,,1,12,4,8,192.0
8:34.0, ,12-4,J. Valančiūnas misses 2-pt jump shot from 6 ft,,1,12,4,8,206.0
8:32.0,Defensive rebound by J. Butler,12-4, ,,1,12,4,8,208.0
8:28.0,Turnover by T. Herro (lost ball),12-4, ,,1,12,4,8,212.0
8:28.0,Loose ball foul by T. Herro (drawn by T. Murphy),12-4, ,,1,12,4,8,212.0
8:14.0, ,12-4,C. McCollum misses 3-pt jump shot from 27 ft,,1,12,4,8,226.0
8:12.0, ,12-4,Offensive rebound by T. Murphy,,1,12,4,8,228.0
8:12.0, ,12-4,Personal foul by T. Herro (drawn by T. Murphy),,1,12,4,8,228.0
8:04.0, ,12-6,C. McCollum makes 2-pt jump shot from 16 ft,,1,12,6,6,236.0
7:45.0,T. Herro makes 2-pt jump shot from 20 ft (assist by N. Jović),14-6, ,,1,14,6,8,255.0
7:33.0, ,14-6,T. Murphy misses 3-pt jump shot from 25 ft,,1,14,6,8,267.0
7:31.0,Defensive rebound by C. Martin,14-6, ,,1,14,6,8,269.0
7:20.0,Def 3 sec tech foul by Team,14-6, ,,1,14,6,8,280.0
7:20.0,J. Butler makes technical free throw,15-6, ,,1,15,6,9,280.0
7:11.0,Offensive foul by B. Adebayo (drawn by T. Murphy),15-6, ,,1,15,6,9,289.0
7:11.0,Turnover by B. Adebayo (offensive foul),15-6, ,,1,15,6,9,289.0
7:00.0, ,15-8,J. Valančiūnas makes 2-pt layup from 3 ft (assist by Z. Williamson),,1,15,8,7,300.0
6:46.0,T. Herro makes 3-pt jump shot from 25 ft,18-8, ,,1,18,8,10,314.0
6:36.0, ,18-8,T. Murphy misses 2-pt jump shot from 11 ft,,1,18,8,10,324.0
6:35.0, ,18-8,Offensive rebound by J. Valančiūnas,,1,18,8,10,325.0
