Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Vučević (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:43.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by K. Lowry),2-0, ,,1,2,0,2,17.0
11:23.0, ,2-2,C. White makes 2-pt layup from 1 ft,Tie,1,2,2,0,37.0
11:14.0,H. Highsmith makes 2-pt layup from 1 ft (assist by K. Lowry),4-2, ,,1,4,2,2,46.0
11:04.0, ,4-2,Turnover by C. White (traveling),,1,4,2,2,56.0
10:53.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by H. Highsmith),7-2, ,,1,7,2,5,67.0
10:28.0, ,7-2,Z. LaVine misses 3-pt jump shot from 25 ft,,1,7,2,5,92.0
10:25.0,Defensive rebound by H. Highsmith,7-2, ,,1,7,2,5,95.0
10:12.0,J. Butler makes 2-pt jump shot from 11 ft,9-2, ,,1,9,2,7,108.0
9:55.0, ,9-2,Turnover by C. White (lost ball; steal by H. Highsmith),,1,9,2,7,125.0
9:33.0,D. Robinson makes 3-pt jump shot from 29 ft,12-2, ,,1,12,2,10,147.0
9:31.0, ,12-2,Chicago full timeout,,1,12,2,10,149.0
9:19.0, ,12-5,A. Caruso makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,1,12,5,7,161.0
8:51.0,B. Adebayo misses 2-pt jump shot from 16 ft,12-5, ,,1,12,5,7,189.0
8:47.0, ,12-5,Defensive rebound by C. White,,1,12,5,7,193.0
8:36.0, ,12-7,D. DeRozan makes 2-pt jump shot from 2 ft,,1,12,7,5,204.0
8:23.0,B. Adebayo misses 2-pt jump shot from 15 ft,12-7, ,,1,12,7,5,217.0
8:18.0, ,12-7,Defensive rebound by Z. LaVine,,1,12,7,5,222.0
8:13.0, ,12-10,C. White makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,1,12,10,2,227.0
7:52.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by H. Highsmith),15-10, ,,1,15,10,5,248.0
7:35.0, ,15-10,Turnover by Z. LaVine (bad pass; steal by B. Adebayo),,1,15,10,5,265.0
7:31.0,D. Robinson makes 2-pt layup from 1 ft (assist by H. Highsmith),17-10, ,,1,17,10,7,269.0
7:21.0, ,17-10,Turnover by N. Vučević (bad pass),,1,17,10,7,279.0
7:12.0,D. Robinson misses 3-pt jump shot from 27 ft,17-10, ,,1,17,10,7,288.0
7:08.0,Offensive rebound by B. Adebayo,17-10, ,,1,17,10,7,292.0
7:06.0,D. Robinson misses 3-pt jump shot from 25 ft,17-10, ,,1,17,10,7,294.0
7:03.0, ,17-10,Defensive rebound by A. Caruso,,1,17,10,7,297.0
6:45.0, ,17-12,N. Vučević makes 2-pt jump shot from 15 ft (assist by A. Caruso),,1,17,12,5,315.0
6:34.0,Personal foul by N. Vučević (drawn by B. Adebayo),17-12, ,,1,17,12,5,326.0
6:34.0, ,17-12,T. Craig enters the game for D. DeRozan,,1,17,12,5,326.0
6:25.0,K. Lowry misses 3-pt jump shot from 23 ft,17-12, ,,1,17,12,5,335.0
6:22.0, ,17-12,Defensive rebound by N. Vučević,,1,17,12,5,338.0
6:15.0, ,17-15,A. Caruso makes 3-pt jump shot from 24 ft,,1,17,15,2,345.0
6:08.0,Shooting foul by A. Caruso (drawn by B. Adebayo),17-15, ,,1,17,15,2,352.0
6:08.0,B. Adebayo makes free throw 1 of 2,18-15, ,,1,18,15,3,352.0
6:08.0,B. Adebayo makes free throw 2 of 2,19-15, ,,1,19,15,4,352.0
5:54.0, ,19-15,A. Caruso misses 2-pt jump shot from 12 ft,,1,19,15,4,366.0
5:52.0,Defensive rebound by K. Lowry,19-15, ,,1,19,15,4,368.0
5:48.0,K. Lowry makes 2-pt layup at rim,21-15, ,,1,21,15,6,372.0
5:34.0, ,21-15,Shooting foul by H. Highsmith (drawn by N. Vučević),,1,21,15,6,386.0
5:34.0, ,21-16,N. Vučević makes free throw 1 of 2,,1,21,16,5,386.0
5:34.0,J. Jaquez enters the game for B. Adebayo,21-16, ,,1,21,16,5,386.0
5:34.0,K. Love enters the game for D. Robinson,21-16, ,,1,21,16,5,386.0
5:34.0, ,21-16,A. Dosunmu enters the game for A. Caruso,,1,21,16,5,386.0
5:34.0, ,21-17,N. Vučević makes free throw 2 of 2,,1,21,17,4,386.0
5:11.0,K. Love makes 2-pt hook shot from 6 ft,23-17, ,,1,23,17,6,409.0
4:52.0, ,23-17,Personal foul by K. Love (drawn by C. White),,1,23,17,6,428.0
4:34.0, ,23-17,C. White misses 3-pt jump shot from 24 ft,,1,23,17,6,446.0
4:33.0, ,23-17,Offensive rebound by N. Vučević,,1,23,17,6,447.0
4:33.0, ,23-17,Personal foul by K. Lowry (drawn by Z. LaVine),,1,23,17,6,447.0
4:23.0, ,23-19,Z. LaVine makes 2-pt jump shot from 18 ft,,1,23,19,4,457.0
4:01.0,Shooting foul by A. Dosunmu (drawn by J. Butler),23-19, ,,1,23,19,4,479.0
4:01.0,J. Butler makes free throw 1 of 2,24-19, ,,1,24,19,5,479.0
4:01.0, ,24-19,J. Carter enters the game for C. White,,1,24,19,5,479.0
4:01.0,J. Butler makes free throw 2 of 2,25-19, ,,1,25,19,6,479.0
3:50.0, ,25-21,N. Vučević makes 2-pt jump shot from 18 ft (assist by Z. LaVine),,1,25,21,4,490.0
3:30.0,J. Butler misses 2-pt jump shot from 8 ft,25-21, ,,1,25,21,4,510.0
3:28.0, ,25-21,Defensive rebound by N. Vučević,,1,25,21,4,512.0
3:13.0, ,25-21,J. Carter misses 3-pt jump shot from 27 ft,,1,25,21,4,527.0
3:09.0,Defensive rebound by K. Love,25-21, ,,1,25,21,4,531.0
3:09.0, ,25-21,Clear path foul by J. Carter,,1,25,21,4,531.0
3:09.0, ,25-21,Instant Replay (Request: Ruling Stands),,1,25,21,4,531.0
3:09.0,J. Butler makes clear path free throw 1 of 2,26-21, ,,1,26,21,5,531.0
3:09.0,J. Butler makes clear path free throw 2 of 2,27-21, ,,1,27,21,6,531.0
3:09.0, ,27-21,D. DeRozan enters the game for Z. LaVine,,1,27,21,6,531.0
3:09.0, ,27-21,A. Drummond enters the game for N. Vučević,,1,27,21,6,531.0
2:49.0,J. Butler makes 2-pt hook shot from 5 ft (assist by K. Lowry),29-21, ,,1,29,21,8,551.0
2:27.0, ,29-21,A. Dosunmu misses 3-pt jump shot from 23 ft,,1,29,21,8,573.0
2:23.0,Defensive rebound by J. Butler,29-21, ,,1,29,21,8,577.0
2:09.0,Def 3 sec tech foul by Team,29-21, ,,1,29,21,8,591.0
