Time,Indiana,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:00.0,A. Nesmith enters the game for B. Brown,88-81, ,,3,81,88,-7,1860.0
5:00.0, ,88-81,J. Jaquez enters the game for C. Martin,,3,81,88,-7,1860.0
5:00.0, ,88-81,K. Love enters the game for D. Robinson,,3,81,88,-7,1860.0
5:00.0, ,88-81,J. Richardson enters the game for O. Robinson,,3,81,88,-7,1860.0
4:52.0,B. Mathurin makes 3-pt jump shot from 27 ft (assist by A. Nembhard),91-81, ,,3,81,91,-10,1868.0
4:37.0, ,91-83,J. Butler makes 2-pt layup from 5 ft (assist by J. Richardson),,3,83,91,-8,1883.0
4:37.0, ,91-83,Shooting foul by O. Toppin (drawn by J. Butler),,3,83,91,-8,1883.0
4:37.0, ,91-84,J. Butler makes free throw 1 of 1,,3,84,91,-7,1883.0
4:24.0,Offensive foul by M. Turner (drawn by K. Love),91-84, ,,3,84,91,-7,1896.0
4:24.0,Turnover by M. Turner (offensive foul),91-84, ,,3,84,91,-7,1896.0
4:24.0,B. Brown enters the game for M. Turner,91-84, ,,3,84,91,-7,1896.0
4:05.0, ,91-86,J. Butler makes 2-pt jump shot from 7 ft,,3,86,91,-5,1915.0
4:03.0,Indiana full timeout,91-86, ,,3,86,91,-5,1917.0
4:03.0,B. Hield enters the game for B. Mathurin,91-86, ,,3,86,91,-5,1917.0
4:03.0,T. McConnell enters the game for A. Nembhard,91-86, ,,3,86,91,-5,1917.0
3:54.0,Indiana full timeout,91-86, ,,3,86,91,-5,1926.0
3:54.0,B. Mathurin enters the game for B. Hield,91-86, ,,3,86,91,-5,1926.0
3:54.0,Instant Replay (Challenge: Ruling Stands),91-86, ,,3,86,91,-5,1926.0
3:52.0,O. Toppin makes 3-pt jump shot from 25 ft (assist by T. McConnell),94-86, ,,3,86,94,-8,1928.0
3:23.0, ,94-86,J. Butler misses 2-pt jump shot from 17 ft,,3,86,94,-8,1957.0
3:20.0, ,94-86,Offensive rebound by J. Butler,,3,86,94,-8,1960.0
3:13.0, ,94-88,K. Love makes 2-pt layup from 6 ft (assist by J. Butler),,3,88,94,-6,1967.0
3:00.0,Personal foul by K. Love (drawn by O. Toppin),94-88, ,,3,88,94,-6,1980.0
3:00.0, ,94-88,C. Martin enters the game for K. Lowry,,3,88,94,-6,1980.0
2:56.0,A. Nesmith makes 3-pt jump shot from 24 ft (assist by B. Mathurin),97-88, ,,3,88,97,-9,1984.0
2:41.0, ,97-90,C. Martin makes 2-pt layup from 3 ft,,3,90,97,-7,1999.0
2:30.0,T. McConnell makes 2-pt jump shot from 8 ft,99-90, ,,3,90,99,-9,2010.0
2:05.0, ,99-92,C. Martin makes 2-pt layup from 5 ft,,3,92,99,-7,2035.0
2:00.0,B. Brown makes 2-pt jump shot from 10 ft,101-92, ,,3,92,101,-9,2040.0
2:00.0,Shooting foul by K. Love (drawn by B. Brown),101-92, ,,3,92,101,-9,2040.0
2:00.0, ,101-92,O. Robinson enters the game for K. Love,,3,92,101,-9,2040.0
2:00.0,B. Brown makes free throw 1 of 1,102-92, ,,3,92,102,-10,2040.0
1:39.0, ,102-94,J. Butler makes 2-pt jump shot from 11 ft,,3,94,102,-8,2061.0
1:21.0,B. Brown misses 2-pt jump shot from 12 ft,102-94, ,,3,94,102,-8,2079.0
1:19.0, ,102-94,Defensive rebound by J. Richardson,,3,94,102,-8,2081.0
1:01.0, ,102-96,J. Richardson makes 2-pt layup from 5 ft,,3,96,102,-6,2099.0
0:47.0,A. Nesmith makes 2-pt layup from 4 ft,104-96, ,,3,96,104,-8,2113.0
0:38.0, ,104-96,C. Martin misses 2-pt layup from 5 ft,,3,96,104,-8,2122.0
0:35.0,Defensive rebound by B. Brown,104-96, ,,3,96,104,-8,2125.0
0:32.0,Personal foul by C. Martin (drawn by A. Nesmith),104-96, ,,3,96,104,-8,2128.0
0:32.0,A. Nesmith makes free throw 1 of 2,105-96, ,,3,96,105,-9,2128.0
0:32.0, ,105-96,D. Robinson enters the game for J. Butler,,3,96,105,-9,2128.0
0:32.0,A. Nesmith makes free throw 2 of 2,106-96, ,,3,96,106,-10,2128.0
0:32.0,M. Turner enters the game for O. Toppin,106-96, ,,3,96,106,-10,2128.0
0:22.0, ,106-98,J. Jaquez makes 2-pt jump shot from 6 ft (assist by J. Richardson),,3,98,106,-8,2138.0
0:22.0, ,106-98,Shooting foul by A. Nesmith (drawn by J. Jaquez),,3,98,106,-8,2138.0
0:22.0,B. Hield enters the game for B. Brown,106-98, ,,3,98,106,-8,2138.0
0:22.0, ,106-98,J. Jaquez misses free throw 1 of 1,,3,98,106,-8,2138.0
0:20.0,Defensive rebound by T. McConnell,106-98, ,,3,98,106,-8,2140.0
0:01.0,Turnover by T. McConnell (lost ball; steal by C. Martin),106-98, ,,3,98,106,-8,2159.0
0:00.0, ,106-98,C. Martin misses 3-pt jump shot from 52 ft,,3,98,106,-8,2160.0
0:00.0, ,106-98,Offensive rebound by Team,,3,98,106,-8,2160.0
0:00.0,End of 3rd quarter,106-98,,,3,98,106,-8,2160.0
12:00.0,Start of 4th quarter,106-98,,,4,98,106,-8,2160.0
11:41.0,Turnover by B. Mathurin (bad pass; steal by J. Jaquez),106-98, ,,4,98,106,-8,2179.0
11:29.0, ,106-100,C. Martin makes 2-pt hook shot from 8 ft (assist by J. Jaquez),,4,100,106,-6,2191.0
11:10.0,M. Turner makes 2-pt hook shot from 10 ft (assist by T. McConnell),108-100, ,,4,100,108,-8,2210.0
10:49.0, ,108-100,Shooting foul by A. Nesmith (drawn by J. Jaquez),,4,100,108,-8,2231.0
10:49.0, ,108-101,J. Jaquez makes free throw 1 of 2,,4,101,108,-7,2231.0
10:49.0,B. Brown enters the game for A. Nesmith,108-101, ,,4,101,108,-7,2231.0
10:49.0, ,108-101,J. Jaquez misses free throw 2 of 2,,4,101,108,-7,2231.0
10:44.0,Defensive rebound by B. Hield,108-101, ,,4,101,108,-7,2236.0
10:37.0,M. Turner makes 2-pt jump shot from 10 ft (assist by T. McConnell),110-101, ,,4,101,110,-9,2243.0
10:19.0, ,110-103,O. Robinson makes 2-pt dunk from 5 ft (assist by J. Jaquez),,4,103,110,-7,2261.0
10:03.0,T. McConnell makes 2-pt jump shot from 6 ft,112-103, ,,4,103,112,-9,2277.0
9:51.0, ,112-103,Offensive foul by D. Robinson (drawn by T. McConnell),,4,103,112,-9,2289.0
9:51.0, ,112-103,Turnover by D. Robinson (offensive foul),,4,103,112,-9,2289.0
9:34.0,B. Brown misses 2-pt jump shot from 8 ft,112-103, ,,4,103,112,-9,2306.0
9:32.0, ,112-103,Defensive rebound by Team,,4,103,112,-9,2308.0
9:08.0, ,112-103,D. Robinson misses 2-pt layup from 5 ft,,4,103,112,-9,2332.0
9:08.0,Defensive rebound by M. Turner,112-103, ,,4,103,112,-9,2332.0
9:03.0,Offensive foul by B. Mathurin (drawn by C. Martin),112-103, ,,4,103,112,-9,2337.0
9:03.0,Turnover by B. Mathurin (offensive foul),112-103, ,,4,103,112,-9,2337.0
9:03.0,O. Toppin enters the game for B. Mathurin,112-103, ,,4,103,112,-9,2337.0
9:03.0, ,112-103,J. Butler enters the game for C. Martin,,4,103,112,-9,2337.0
8:44.0, ,112-103,J. Richardson misses 3-pt jump shot from 28 ft,,4,103,112,-9,2356.0
8:41.0,Defensive rebound by M. Turner,112-103, ,,4,103,112,-9,2359.0
8:37.0,B. Brown makes 3-pt jump shot from 24 ft (assist by T. McConnell),115-103, ,,4,103,115,-12,2363.0
8:35.0, ,115-103,Miami full timeout,,4,103,115,-12,2365.0
8:35.0, ,115-103,C. Martin enters the game for J. Richardson,,4,103,115,-12,2365.0
8:19.0, ,115-105,J. Butler makes 2-pt jump shot from 10 ft,,4,105,115,-10,2381.0
8:19.0, ,115-105,Shooting foul by B. Hield (drawn by J. Butler),,4,105,115,-10,2381.0
8:19.0, ,115-106,J. Butler makes free throw 1 of 1,,4,106,115,-9,2381.0
7:57.0,M. Turner makes 3-pt jump shot from 27 ft (assist by T. McConnell),118-106, ,,4,106,118,-12,2403.0
7:34.0, ,118-108,J. Jaquez makes 2-pt hook shot from 5 ft (assist by D. Robinson),,4,108,118,-10,2426.0
7:23.0,T. McConnell makes 2-pt jump shot from 14 ft,120-108, ,,4,108,120,-12,2437.0
7:11.0, ,120-108,Shooting foul by O. Toppin (drawn by J. Butler),,4,108,120,-12,2449.0
7:11.0, ,120-109,J. Butler makes free throw 1 of 2,,4,109,120,-11,2449.0
7:11.0, ,120-110,J. Butler makes free throw 2 of 2,,4,110,120,-10,2449.0
6:59.0,Shooting foul by D. Robinson (drawn by B. Brown),120-110, ,,4,110,120,-10,2461.0
6:59.0,B. Brown makes free throw 1 of 2,121-110, ,,4,110,121,-11,2461.0
6:59.0,B. Brown makes free throw 2 of 2,122-110, ,,4,110,122,-12,2461.0
6:43.0, ,122-113,O. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),,4,113,122,-9,2477.0
6:22.0,O. Toppin makes 3-pt jump shot from 26 ft (assist by T. McConnell),125-113, ,,4,113,125,-12,2498.0
6:12.0, ,125-113,Personal foul by O. Toppin (drawn by J. Butler),,4,113,125,-12,2508.0
6:12.0,A. Nesmith enters the game for B. Hield,125-113, ,,4,113,125,-12,2508.0
5:57.0, ,125-116,C. Martin makes 3-pt jump shot from 25 ft,,4,116,125,-9,2523.0
5:39.0,Turnover by M. Turner (bad pass; steal by J. Jaquez),125-116, ,,4,116,125,-9,2541.0
5:33.0, ,125-118,J. Butler makes 2-pt layup from 5 ft,,4,118,125,-7,2547.0
5:33.0, ,125-118,Shooting foul by M. Turner (drawn by J. Butler),,4,118,125,-7,2547.0
5:33.0,Indiana full timeout,125-118, ,,4,118,125,-7,2547.0
5:33.0, ,125-119,J. Butler makes free throw 1 of 1,,4,119,125,-6,2547.0
5:24.0,Personal foul by D. Robinson (drawn by T. McConnell),125-119, ,,4,119,125,-6,2556.0
5:09.0,B. Brown makes 2-pt layup from 3 ft (assist by O. Toppin),127-119, ,,4,119,127,-8,2571.0
4:54.0, ,127-121,J. Butler makes 2-pt jump shot from 11 ft,,4,121,127,-6,2586.0
4:36.0,T. McConnell makes 2-pt jump shot from 7 ft (assist by B. Brown),129-121, ,,4,121,129,-8,2604.0
4:19.0, ,129-121,J. Butler misses 3-pt jump shot from 25 ft,,4,121,129,-8,2621.0
4:17.0,Defensive rebound by T. McConnell,129-121, ,,4,121,129,-8,2623.0
4:17.0,O. Toppin makes 2-pt layup from 3 ft (assist by T. McConnell),131-121, ,,4,121,131,-10,2623.0
4:17.0,Shooting foul by J. Jaquez (drawn by O. Toppin),131-121, ,,4,121,131,-10,2623.0
4:17.0,O. Toppin makes free throw 1 of 1,132-121, ,,4,121,132,-11,2623.0
4:12.0, ,132-121,Miami full timeout,,4,121,132,-11,2628.0
4:06.0, ,132-121,Turnover by O. Robinson (bad pass; steal by O. Toppin),,4,121,132,-11,2634.0
3:46.0,Shooting foul by D. Robinson (drawn by A. Nesmith),132-121, ,,4,121,132,-11,2654.0
3:46.0, ,132-121,K. Lowry enters the game for D. Robinson,,4,121,132,-11,2654.0
3:46.0,A. Nesmith makes free throw 1 of 2,133-121, ,,4,121,133,-12,2654.0
3:46.0, ,133-121,K. Love enters the game for O. Robinson,,4,121,133,-12,2654.0
3:46.0,A. Nesmith makes free throw 2 of 2,134-121, ,,4,121,134,-13,2654.0
3:31.0, ,134-123,J. Jaquez makes 2-pt hook shot from 7 ft,,4,123,134,-11,2669.0
3:15.0,O. Toppin makes 3-pt jump shot from 23 ft (assist by M. Turner),137-123, ,,4,123,137,-14,2685.0
3:02.0, ,137-123,Shooting foul by O. Toppin (drawn by J. Butler),,4,123,137,-14,2698.0
3:02.0, ,137-124,J. Butler makes free throw 1 of 2,,4,124,137,-13,2698.0
3:02.0, ,137-125,J. Butler makes free throw 2 of 2,,4,125,137,-12,2698.0
2:43.0,T. McConnell makes 2-pt jump shot from 11 ft,139-125, ,,4,125,139,-14,2717.0
2:29.0, ,139-127,J. Butler makes 2-pt jump shot from 10 ft,,4,127,139,-12,2731.0
2:09.0,M. Turner misses 3-pt jump shot from 27 ft,139-127, ,,4,127,139,-12,2751.0
2:05.0, ,139-127,Defensive rebound by J. Jaquez,,4,127,139,-12,2755.0
1:59.0, ,139-127,J. Butler misses 2-pt layup from 4 ft,,4,127,139,-12,2761.0
1:55.0,Defensive rebound by M. Turner,139-127, ,,4,127,139,-12,2765.0
1:39.0,B. Brown makes 2-pt layup from 3 ft,141-127, ,,4,127,141,-14,2781.0
1:27.0, ,141-127,J. Jaquez misses 2-pt layup from 5 ft,,4,127,141,-14,2793.0
1:23.0,Defensive rebound by A. Nesmith,141-127, ,,4,127,141,-14,2797.0
1:10.0,B. Brown makes 3-pt jump shot from 25 ft,144-127, ,,4,127,144,-17,2810.0
1:00.0, ,144-127,K. Love misses 3-pt jump shot from 29 ft,,4,127,144,-17,2820.0
0:57.0,Defensive rebound by A. Nesmith,144-127, ,,4,127,144,-17,2823.0
0:39.0,A. Nesmith misses 3-pt jump shot from 23 ft,144-127, ,,4,127,144,-17,2841.0
0:36.0, ,144-127,Defensive rebound by Team,,4,127,144,-17,2844.0
0:36.0,B. Sheppard enters the game for O. Toppin,144-127, ,,4,127,144,-17,2844.0
0:30.0, ,144-127,Shooting foul by B. Sheppard (drawn by K. Love),,4,127,144,-17,2850.0
0:30.0, ,144-128,K. Love makes free throw 1 of 2,,4,128,144,-16,2850.0
0:30.0, ,144-128,J. Cain enters the game for J. Butler,,4,128,144,-16,2850.0
0:30.0, ,144-129,K. Love makes free throw 2 of 2,,4,129,144,-15,2850.0
0:06.0,Turnover by Team (shot clock),144-129, ,,4,129,144,-15,2874.0
0:00.0,End of 4th quarter,144-129,,,4,129,144,-15,2880.0
