Time,Indiana,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:47.0,B. Hield misses 2-pt layup from 6 ft,5-6, ,,1,6,5,1,193.0
8:47.0,Offensive rebound by Team,5-6, ,,1,6,5,1,193.0
8:39.0,M. Turner misses 2-pt layup from 6 ft,5-6, ,,1,6,5,1,201.0
8:34.0, ,5-6,Defensive rebound by J. Butler,,1,6,5,1,206.0
8:27.0, ,5-6,Turnover by C. Martin (bad pass),,1,6,5,1,213.0
8:15.0,O. Toppin misses 3-pt jump shot from 27 ft,5-6, ,,1,6,5,1,225.0
8:11.0, ,5-6,Defensive rebound by O. Robinson,,1,6,5,1,229.0
8:02.0, ,5-6,D. Robinson misses 2-pt layup from 3 ft,,1,6,5,1,238.0
7:53.0, ,5-6,Offensive rebound by D. Robinson,,1,6,5,1,247.0
7:52.0, ,5-8,C. Martin makes 2-pt layup from 4 ft (assist by O. Robinson),,1,8,5,3,248.0
7:42.0,M. Turner misses 3-pt jump shot from 26 ft,5-8, ,,1,8,5,3,258.0
7:42.0, ,5-8,Defensive rebound by C. Martin,,1,8,5,3,258.0
7:19.0, ,5-8,J. Butler misses 2-pt layup from 3 ft,,1,8,5,3,281.0
7:18.0, ,5-8,Offensive rebound by K. Lowry,,1,8,5,3,282.0
7:17.0, ,5-8,Turnover by Team (shot clock),,1,8,5,3,283.0
7:07.0,M. Turner makes 2-pt layup from 4 ft (assist by A. Nembhard),7-8, ,,1,8,7,1,293.0
6:42.0, ,7-8,C. Martin misses 2-pt jump shot from 8 ft,,1,8,7,1,318.0
6:39.0,Defensive rebound by M. Turner,7-8, ,,1,8,7,1,321.0
6:36.0,Turnover by B. Brown (traveling),7-8, ,,1,8,7,1,324.0
6:36.0, ,7-8,Miami full timeout,,1,8,7,1,324.0
6:36.0,B. Mathurin enters the game for B. Hield,7-8, ,,1,8,7,1,324.0
6:20.0, ,7-11,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),,1,11,7,4,340.0
6:08.0,Personal foul by C. Martin (drawn by B. Mathurin),7-11, ,,1,11,7,4,352.0
6:08.0,I. Jackson enters the game for M. Turner,7-11, ,,1,11,7,4,352.0
6:08.0, ,7-11,J. Jaquez enters the game for D. Robinson,,1,11,7,4,352.0
6:08.0, ,7-11,K. Love enters the game for O. Robinson,,1,11,7,4,352.0
5:59.0,B. Brown misses 3-pt jump shot from 22 ft,7-11, ,,1,11,7,4,361.0
5:56.0, ,7-11,Defensive rebound by K. Lowry,,1,11,7,4,364.0
5:45.0, ,7-11,K. Lowry misses 3-pt jump shot from 28 ft,,1,11,7,4,375.0
5:42.0,Defensive rebound by B. Mathurin,7-11, ,,1,11,7,4,378.0
5:32.0,B. Mathurin misses 2-pt jump shot from 10 ft,7-11, ,,1,11,7,4,388.0
5:32.0,Offensive rebound by Team,7-11, ,,1,11,7,4,388.0
5:32.0, ,7-11,Loose ball foul by K. Lowry (drawn by I. Jackson),,1,11,7,4,388.0
5:32.0,A. Nesmith enters the game for B. Brown,7-11, ,,1,11,7,4,388.0
5:20.0,A. Nembhard misses 3-pt jump shot from 28 ft,7-11, ,,1,11,7,4,400.0
5:16.0, ,7-11,Defensive rebound by K. Lowry,,1,11,7,4,404.0
