Time,Miami,Score,Atlanta,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. C. Capela (C. Martin gains possession),0-0,,,1,0,0,0,0.0
11:34.0,J. Butler misses 2-pt jump shot from 9 ft,0-0, ,,1,0,0,0,26.0
11:32.0, ,0-0,Defensive rebound by D. Hunter,,1,0,0,0,28.0
11:26.0, ,0-0,D. Murray misses 2-pt jump shot from 14 ft,,1,0,0,0,34.0
11:23.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,37.0
11:05.0,T. Herro makes 2-pt jump shot from 11 ft,2-0, ,,1,2,0,2,55.0
10:42.0, ,2-0,Turnover by C. Capela (bad pass; steal by C. Martin),,1,2,0,2,78.0
10:30.0,C. Martin misses 3-pt jump shot from 23 ft,2-0, ,,1,2,0,2,90.0
10:27.0, ,2-0,Defensive rebound by D. Murray,,1,2,0,2,93.0
10:21.0, ,2-3,J. Johnson makes 3-pt jump shot from 25 ft (assist by D. Murray),Lead change,1,2,3,-1,99.0
9:59.0,B. Adebayo makes 3-pt jump shot from 23 ft (assist by C. Martin),5-3, ,Lead change,1,5,3,2,121.0
9:47.0, ,5-3,Turnover by D. Murray (bad pass),,1,5,3,2,133.0
9:34.0,N. Jović makes 3-pt jump shot from 25 ft (assist by T. Herro),8-3, ,,1,8,3,5,146.0
9:14.0, ,8-5,B. Bogdanović makes 2-pt layup from 2 ft (assist by J. Johnson),,1,8,5,3,166.0
8:56.0,T. Herro makes 3-pt jump shot from 25 ft (assist by B. Adebayo),11-5, ,,1,11,5,6,184.0
8:40.0, ,11-5,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,11,5,6,200.0
8:37.0,Defensive rebound by B. Adebayo,11-5, ,,1,11,5,6,203.0
8:30.0,C. Martin misses 2-pt layup from 2 ft,11-5, ,,1,11,5,6,210.0
8:27.0, ,11-5,Defensive rebound by C. Capela,,1,11,5,6,213.0
8:14.0, ,11-5,Personal foul by T. Herro (drawn by C. Capela),,1,11,5,6,226.0
8:00.0, ,11-7,D. Hunter makes 2-pt jump shot from 10 ft (assist by B. Bogdanović),,1,11,7,4,240.0
7:42.0,T. Herro misses 3-pt jump shot from 24 ft,11-7, ,,1,11,7,4,258.0
7:37.0, ,11-7,Defensive rebound by J. Johnson,,1,11,7,4,263.0
7:30.0, ,11-7,B. Bogdanović misses 3-pt jump shot from 23 ft,,1,11,7,4,270.0
