Time,Miami,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:34.0, ,74-92,P. Banchero makes 3-pt jump shot from 26 ft (assist by F. Wagner),,4,74,92,-18,2366.0
8:12.0,Offensive foul by B. Adebayo (drawn by J. Suggs),74-92, ,,4,74,92,-18,2388.0
8:12.0,Turnover by B. Adebayo (offensive foul),74-92, ,,4,74,92,-18,2388.0
7:57.0, ,74-92,Turnover by M. Fultz (bad pass; steal by D. Robinson),,4,74,92,-18,2403.0
7:49.0,D. Robinson makes 2-pt dunk from 3 ft (assist by B. Adebayo),76-92, ,,4,76,92,-16,2411.0
7:33.0, ,76-94,F. Wagner makes 2-pt layup from 2 ft (assist by M. Fultz),,4,76,94,-18,2427.0
7:33.0, ,76-94,Shooting foul by D. Robinson (drawn by F. Wagner),,4,76,94,-18,2427.0
7:33.0, ,76-95,F. Wagner makes free throw 1 of 1,,4,76,95,-19,2427.0
7:24.0,T. Herro misses 3-pt jump shot from 25 ft,76-95, ,,4,76,95,-19,2436.0
7:21.0, ,76-95,Defensive rebound by P. Banchero,,4,76,95,-19,2439.0
7:06.0, ,76-95,M. Fultz misses 2-pt jump shot from 3 ft,,4,76,95,-19,2454.0
7:04.0, ,76-95,Offensive rebound by W. Carter,,4,76,95,-19,2456.0
7:04.0, ,76-97,W. Carter makes 2-pt layup from 2 ft,,4,76,97,-21,2456.0
6:51.0,D. Robinson misses 2-pt jump shot from 6 ft,76-97, ,,4,76,97,-21,2469.0
6:40.0,Offensive rebound by B. Adebayo,76-97, ,,4,76,97,-21,2480.0
6:40.0,B. Adebayo makes 2-pt dunk at rim,78-97, ,,4,78,97,-19,2480.0
6:23.0, ,78-100,W. Carter makes 3-pt jump shot from 25 ft (assist by M. Fultz),,4,78,100,-22,2497.0
6:23.0,J. Butler enters the game for D. Robinson,78-100, ,,4,78,100,-22,2497.0
5:55.0,B. Adebayo makes 2-pt jump shot from 14 ft (assist by C. Martin),80-100, ,,4,80,100,-20,2525.0
5:38.0, ,80-100,Turnover by P. Banchero (traveling),,4,80,100,-20,2542.0
5:21.0,C. Martin misses 2-pt jump shot from 22 ft,80-100, ,,4,80,100,-20,2559.0
5:19.0, ,80-100,Defensive rebound by P. Banchero,,4,80,100,-20,2561.0
5:17.0, ,80-100,Turnover by P. Banchero (lost ball; steal by K. Lowry),,4,80,100,-20,2563.0
5:14.0,Personal foul by J. Suggs (drawn by B. Adebayo),80-100, ,,4,80,100,-20,2566.0
5:01.0,Turnover by T. Herro (bad pass),80-100, ,,4,80,100,-20,2579.0
4:39.0, ,80-100,F. Wagner misses 3-pt jump shot from 25 ft,,4,80,100,-20,2601.0
4:37.0, ,80-100,Offensive rebound by J. Suggs,,4,80,100,-20,2603.0
4:37.0, ,80-100,J. Suggs misses 2-pt jump shot from 4 ft (block by K. Lowry),,4,80,100,-20,2603.0
4:37.0, ,80-100,Offensive rebound by Team,,4,80,100,-20,2603.0
4:33.0, ,80-102,F. Wagner makes 2-pt layup from 3 ft (assist by M. Fultz),,4,80,102,-22,2607.0
4:33.0,Miami full timeout,80-102, ,,4,80,102,-22,2607.0
4:33.0,H. Highsmith enters the game for J. Butler,80-102, ,,4,80,102,-22,2607.0
4:20.0,Personal foul by F. Wagner (drawn by B. Adebayo),80-102, ,,4,80,102,-22,2620.0
4:11.0,T. Herro misses 2-pt jump shot from 11 ft,80-102, ,,4,80,102,-22,2629.0
4:09.0, ,80-102,Defensive rebound by W. Carter,,4,80,102,-22,2631.0
3:55.0, ,80-102,F. Wagner misses 2-pt layup from 2 ft,,4,80,102,-22,2645.0
3:54.0, ,80-102,Offensive rebound by F. Wagner,,4,80,102,-22,2646.0
3:54.0, ,80-102,Shooting foul by C. Martin (drawn by F. Wagner),,4,80,102,-22,2646.0
3:54.0, ,80-103,F. Wagner makes free throw 1 of 2,,4,80,103,-23,2646.0
3:54.0, ,80-104,F. Wagner makes free throw 2 of 2,,4,80,104,-24,2646.0
3:35.0,Shooting foul by P. Banchero (drawn by B. Adebayo),80-104, ,,4,80,104,-24,2665.0
3:35.0,B. Adebayo makes free throw 1 of 2,81-104, ,,4,81,104,-23,2665.0
3:35.0,N. Jović enters the game for T. Herro,81-104, ,,4,81,104,-23,2665.0
3:35.0,J. Richardson enters the game for C. Martin,81-104, ,,4,81,104,-23,2665.0
3:35.0,B. Adebayo makes free throw 2 of 2,82-104, ,,4,82,104,-22,2665.0
3:17.0, ,82-104,F. Wagner misses 2-pt jump shot from 8 ft,,4,82,104,-22,2683.0
3:14.0,Defensive rebound by H. Highsmith,82-104, ,,4,82,104,-22,2686.0
3:01.0,K. Lowry misses 3-pt jump shot from 26 ft,82-104, ,,4,82,104,-22,2699.0
3:01.0, ,82-104,Defensive rebound by P. Banchero,,4,82,104,-22,2699.0
3:01.0, ,82-104,Orlando full timeout,,4,82,104,-22,2699.0
3:01.0,O. Robinson enters the game for B. Adebayo,82-104, ,,4,82,104,-22,2699.0
3:01.0, ,82-104,A. Black enters the game for P. Banchero,,4,82,104,-22,2699.0
3:01.0, ,82-104,C. Houstan enters the game for W. Carter,,4,82,104,-22,2699.0
3:01.0, ,82-104,J. Howard enters the game for M. Fultz,,4,82,104,-22,2699.0
3:01.0, ,82-104,C. Okeke enters the game for J. Suggs,,4,82,104,-22,2699.0
3:01.0, ,82-104,T. Queen enters the game for F. Wagner,,4,82,104,-22,2699.0
2:40.0, ,82-104,Turnover by A. Black (traveling),,4,82,104,-22,2720.0
2:26.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by O. Robinson),85-104, ,,4,85,104,-19,2734.0
1:59.0, ,85-104,C. Okeke misses 3-pt jump shot from 27 ft,,4,85,104,-19,2761.0
1:57.0,Defensive rebound by J. Richardson,85-104, ,,4,85,104,-19,2763.0
1:43.0,N. Jović makes 2-pt jump shot from 4 ft (assist by O. Robinson),87-104, ,,4,87,104,-17,2777.0
1:43.0,Shooting foul by A. Black (drawn by N. Jović),87-104, ,,4,87,104,-17,2777.0
1:43.0,N. Jović misses free throw 1 of 1,87-104, ,,4,87,104,-17,2777.0
1:34.0, ,87-104,Defensive rebound by C. Okeke,,4,87,104,-17,2786.0
1:23.0, ,87-104,A. Black misses 2-pt jump shot from 22 ft,,4,87,104,-17,2797.0
1:21.0,Defensive rebound by N. Jović,87-104, ,,4,87,104,-17,2799.0
1:13.0,K. Lowry misses 3-pt jump shot from 23 ft,87-104, ,,4,87,104,-17,2807.0
1:10.0, ,87-104,Defensive rebound by J. Howard,,4,87,104,-17,2810.0
1:09.0, ,87-104,Personal foul by N. Jović (drawn by J. Howard),,4,87,104,-17,2811.0
1:09.0, ,87-104,J. Howard misses free throw 1 of 2,,4,87,104,-17,2811.0
1:09.0, ,87-104,Offensive rebound by Team,,4,87,104,-17,2811.0
1:09.0, ,87-105,J. Howard makes free throw 2 of 2,,4,87,105,-18,2811.0
0:59.0,J. Richardson misses 3-pt jump shot from 26 ft,87-105, ,,4,87,105,-18,2821.0
0:56.0, ,87-105,Defensive rebound by C. Okeke,,4,87,105,-18,2824.0
0:39.0, ,87-105,C. Okeke misses 3-pt jump shot from 29 ft,,4,87,105,-18,2841.0
0:34.0,Defensive rebound by J. Richardson,87-105, ,,4,87,105,-18,2846.0
0:20.0,J. Richardson misses 2-pt layup from 4 ft (block by J. Howard),87-105, ,,4,87,105,-18,2860.0
0:17.0, ,87-105,Defensive rebound by T. Queen,,4,87,105,-18,2863.0
0:00.0,End of 4th quarter,87-105,,,4,87,105,-18,2880.0
