Time,Miami,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:16.0, ,64-59,Personal foul by J. Butler (drawn by N. Batum),,3,64,59,5,1964.0
3:16.0,J. Jaquez enters the game for B. Adebayo,64-59, ,,3,64,59,5,1964.0
3:16.0,K. Love enters the game for T. Herro,64-59, ,,3,64,59,5,1964.0
3:16.0,D. Wright enters the game for C. Martin,64-59, ,,3,64,59,5,1964.0
3:16.0, ,64-59,P. Reed enters the game for J. Embiid,,3,64,59,5,1964.0
3:00.0, ,64-61,T. Maxey makes 2-pt layup from 2 ft,,3,64,61,3,1980.0
2:49.0,J. Butler misses 2-pt layup from 3 ft,64-61, ,,3,64,61,3,1991.0
2:47.0, ,64-61,Defensive rebound by P. Reed,,3,64,61,3,1993.0
2:43.0, ,64-61,T. Maxey misses 2-pt layup at rim,,3,64,61,3,1997.0
2:41.0,Defensive rebound by J. Jaquez,64-61, ,,3,64,61,3,1999.0
2:29.0,Shooting foul by K. Oubre (drawn by J. Jaquez),64-61, ,,3,64,61,3,2011.0
2:29.0, ,64-61,Violation by Team (delay of game),,3,64,61,3,2011.0
2:29.0,J. Jaquez makes free throw 1 of 2,65-61, ,,3,65,61,4,2011.0
2:29.0,J. Jaquez misses free throw 2 of 2,65-61, ,,3,65,61,4,2011.0
2:27.0,Offensive rebound by H. Highsmith,65-61, ,,3,65,61,4,2013.0
2:24.0,Offensive foul by K. Love (drawn by K. Oubre),65-61, ,,3,65,61,4,2016.0
2:24.0,Turnover by K. Love (offensive foul),65-61, ,,3,65,61,4,2016.0
2:24.0, ,65-61,J. Embiid enters the game for P. Reed,,3,65,61,4,2016.0
2:00.0, ,65-63,B. Hield makes 2-pt layup from 1 ft (assist by T. Maxey),,3,65,63,2,2040.0
1:58.0, ,65-63,Violation by Team (delay of game),,3,65,63,2,2042.0
1:58.0,J. Butler makes technical free throw,66-63, ,,3,66,63,3,2042.0
1:42.0,H. Highsmith makes 2-pt layup from 1 ft (assist by J. Butler),68-63, ,,3,68,63,5,2058.0
1:19.0, ,68-66,N. Batum makes 3-pt jump shot from 28 ft (assist by B. Hield),,3,68,66,2,2081.0
1:11.0,J. Jaquez misses 2-pt layup from 1 ft,68-66, ,,3,68,66,2,2089.0
1:08.0,Offensive rebound by J. Butler,68-66, ,,3,68,66,2,2092.0
1:08.0,J. Butler misses 2-pt layup at rim,68-66, ,,3,68,66,2,2092.0
1:08.0, ,68-66,Defensive rebound by N. Batum,,3,68,66,2,2092.0
1:08.0,T. Herro enters the game for J. Butler,68-66, ,,3,68,66,2,2092.0
1:08.0, ,68-66,C. Payne enters the game for K. Oubre,,3,68,66,2,2092.0
0:51.0, ,68-66,J. Embiid misses 2-pt jump shot from 10 ft,,3,68,66,2,2109.0
0:49.0, ,68-66,Offensive rebound by B. Hield,,3,68,66,2,2111.0
0:45.0, ,68-66,Turnover by J. Embiid (lost ball; steal by H. Highsmith),,3,68,66,2,2115.0
0:34.0,K. Love makes 3-pt jump shot from 26 ft (assist by J. Jaquez),71-66, ,,3,71,66,5,2126.0
0:12.0, ,71-69,C. Payne makes 3-pt jump shot from 23 ft (assist by T. Maxey),,3,71,69,2,2148.0
0:02.0,J. Jaquez makes 3-pt jump shot from 27 ft (assist by T. Herro),74-69, ,,3,74,69,5,2158.0
0:00.0,End of 3rd quarter,74-69,,,3,74,69,5,2160.0
12:00.0,Start of 4th quarter,74-69,,,4,74,69,5,2160.0
11:51.0, ,74-71,K. Oubre makes 2-pt layup from 4 ft (assist by T. Harris),,4,74,71,3,2169.0
11:24.0,T. Herro misses 2-pt layup from 2 ft,74-71, ,,4,74,71,3,2196.0
11:20.0,Offensive rebound by D. Wright,74-71, ,,4,74,71,3,2200.0
11:20.0,D. Wright misses 2-pt layup at rim,74-71, ,,4,74,71,3,2200.0
11:20.0, ,74-71,Defensive rebound by J. Embiid,,4,74,71,3,2200.0
11:06.0, ,74-74,J. Embiid makes 3-pt jump shot from 27 ft (assist by B. Hield),Tie,4,74,74,0,2214.0
10:50.0,Turnover by T. Herro (bad pass),74-74, ,,4,74,74,0,2230.0
10:37.0, ,74-74,Turnover by K. Oubre (lost ball; steal by H. Highsmith),,4,74,74,0,2243.0
10:16.0,K. Love misses 3-pt jump shot from 26 ft,74-74, ,,4,74,74,0,2264.0
10:12.0,Offensive rebound by D. Wright,74-74, ,,4,74,74,0,2268.0
10:10.0,T. Herro misses 3-pt jump shot from 27 ft,74-74, ,,4,74,74,0,2270.0
10:06.0, ,74-74,Defensive rebound by J. Embiid,,4,74,74,0,2274.0
10:00.0, ,74-74,B. Hield misses 2-pt layup from 3 ft,,4,74,74,0,2280.0
9:58.0,Defensive rebound by D. Wright,74-74, ,,4,74,74,0,2282.0
9:48.0,J. Jaquez misses 2-pt jump shot from 3 ft,74-74, ,,4,74,74,0,2292.0
9:44.0,Offensive rebound by D. Wright,74-74, ,,4,74,74,0,2296.0
9:44.0,D. Wright misses 2-pt layup at rim,74-74, ,,4,74,74,0,2296.0
9:43.0,Offensive rebound by K. Love,74-74, ,,4,74,74,0,2297.0
9:43.0,K. Love makes 2-pt layup at rim,76-74, ,,4,76,74,2,2297.0
9:39.0, ,76-74,Shooting foul by K. Love (drawn by K. Oubre),,4,76,74,2,2301.0
9:39.0, ,76-75,K. Oubre makes free throw 1 of 2,,4,76,75,1,2301.0
9:39.0,B. Adebayo enters the game for J. Jaquez,76-75, ,,4,76,75,1,2301.0
9:39.0,J. Butler enters the game for K. Love,76-75, ,,4,76,75,1,2301.0
9:39.0, ,76-75,N. Batum enters the game for B. Hield,,4,76,75,1,2301.0
9:39.0, ,76-75,T. Maxey enters the game for C. Payne,,4,76,75,1,2301.0
9:39.0, ,76-76,K. Oubre makes free throw 2 of 2,Tie,4,76,76,0,2301.0
9:28.0,Personal foul by K. Oubre (drawn by T. Herro),76-76, ,,4,76,76,0,2312.0
9:13.0,D. Wright misses 2-pt jump shot from 11 ft,76-76, ,,4,76,76,0,2327.0
9:12.0, ,76-76,Defensive rebound by T. Harris,,4,76,76,0,2328.0
8:58.0, ,76-79,N. Batum makes 3-pt jump shot from 26 ft (assist by J. Embiid),Lead change,4,76,79,-3,2342.0
8:43.0,Shooting foul by K. Oubre (drawn by T. Herro),76-79, ,,4,76,79,-3,2357.0
8:43.0,T. Herro makes free throw 1 of 2,77-79, ,,4,77,79,-2,2357.0
8:43.0, ,77-79,B. Hield enters the game for J. Embiid,,4,77,79,-2,2357.0
8:43.0, ,77-79,P. Reed enters the game for K. Oubre,,4,77,79,-2,2357.0
8:43.0,T. Herro makes free throw 2 of 2,78-79, ,,4,78,79,-1,2357.0
8:24.0, ,78-79,N. Batum misses 3-pt jump shot from 25 ft,,4,78,79,-1,2376.0
8:22.0, ,78-79,Offensive rebound by Team,,4,78,79,-1,2378.0
8:11.0, ,78-82,N. Batum makes 3-pt jump shot from 26 ft (assist by B. Hield),,4,78,82,-4,2389.0
7:55.0,B. Adebayo makes 2-pt jump shot from 6 ft,80-82, ,,4,80,82,-2,2405.0
7:30.0, ,80-84,P. Reed makes 2-pt dunk from 2 ft (assist by B. Hield),,4,80,84,-4,2430.0
7:10.0,H. Highsmith misses 3-pt jump shot from 23 ft,80-84, ,,4,80,84,-4,2450.0
7:07.0, ,80-84,Defensive rebound by N. Batum,,4,80,84,-4,2453.0
7:02.0, ,80-84,T. Maxey misses 2-pt layup from 3 ft (block by D. Wright),,4,80,84,-4,2458.0
7:02.0, ,80-84,Offensive rebound by Team,,4,80,84,-4,2458.0
7:02.0,J. Jaquez enters the game for D. Wright,80-84, ,,4,80,84,-4,2458.0
7:00.0, ,80-84,Turnover by B. Hield (bad pass; steal by J. Butler),,4,80,84,-4,2460.0
6:57.0,J. Butler makes 2-pt dunk from 1 ft,82-84, ,,4,82,84,-2,2463.0
6:37.0, ,82-86,T. Maxey makes 2-pt layup from 4 ft,,4,82,86,-4,2483.0
6:19.0,T. Herro makes 3-pt jump shot from 25 ft (assist by H. Highsmith),85-86, ,,4,85,86,-1,2501.0
6:06.0, ,85-86,Philadelphia full timeout,,4,85,86,-1,2514.0
6:06.0, ,85-86,J. Embiid enters the game for P. Reed,,4,85,86,-1,2514.0
5:54.0, ,85-86,N. Batum misses 3-pt jump shot from 27 ft,,4,85,86,-1,2526.0
5:51.0,Defensive rebound by J. Jaquez,85-86, ,,4,85,86,-1,2529.0
5:45.0,T. Herro misses 3-pt jump shot from 26 ft,85-86, ,,4,85,86,-1,2535.0
5:41.0,Offensive rebound by J. Butler,85-86, ,,4,85,86,-1,2539.0
5:36.0,J. Jaquez makes 2-pt dunk from 1 ft (assist by T. Herro),87-86, ,Lead change,4,87,86,1,2544.0
5:16.0, ,87-86,B. Hield misses 3-pt jump shot from 24 ft,,4,87,86,1,2564.0
5:13.0,Defensive rebound by J. Butler,87-86, ,,4,87,86,1,2567.0
5:01.0,J. Jaquez misses 2-pt hook shot from 3 ft,87-86, ,,4,87,86,1,2579.0
4:59.0,Offensive rebound by J. Jaquez,87-86, ,,4,87,86,1,2581.0
4:53.0,T. Herro makes 2-pt jump shot from 6 ft (assist by H. Highsmith),89-86, ,,4,89,86,3,2587.0
4:38.0, ,89-86,T. Harris misses 3-pt jump shot from 26 ft,,4,89,86,3,2602.0
4:36.0,Defensive rebound by H. Highsmith,89-86, ,,4,89,86,3,2604.0
4:23.0,J. Butler misses 2-pt jump shot from 17 ft,89-86, ,,4,89,86,3,2617.0
4:19.0, ,89-86,Defensive rebound by T. Maxey,,4,89,86,3,2621.0
4:13.0, ,89-86,T. Maxey misses 2-pt layup from 2 ft,,4,89,86,3,2627.0
4:12.0, ,89-86,Offensive rebound by N. Batum,,4,89,86,3,2628.0
4:12.0, ,89-88,N. Batum makes 2-pt layup at rim,,4,89,88,1,2628.0
4:12.0,Miami full timeout,89-88, ,,4,89,88,1,2628.0
4:12.0, ,89-88,K. Lowry enters the game for T. Harris,,4,89,88,1,2628.0
4:12.0, ,89-88,K. Oubre enters the game for B. Hield,,4,89,88,1,2628.0
3:48.0,T. Herro misses 2-pt jump shot from 19 ft,89-88, ,,4,89,88,1,2652.0
3:43.0, ,89-88,Defensive rebound by K. Lowry,,4,89,88,1,2657.0
3:37.0, ,89-88,Personal foul by B. Adebayo (drawn by N. Batum),,4,89,88,1,2663.0
3:23.0, ,89-88,K. Lowry misses 2-pt jump shot from 19 ft,,4,89,88,1,2677.0
3:18.0,Defensive rebound by J. Jaquez,89-88, ,,4,89,88,1,2682.0
3:09.0,T. Herro makes 2-pt jump shot from 16 ft,91-88, ,,4,91,88,3,2691.0
2:46.0, ,91-88,Shooting foul by J. Jaquez (drawn by J. Embiid),,4,91,88,3,2714.0
2:46.0, ,91-89,J. Embiid makes free throw 1 of 2,,4,91,89,2,2714.0
2:46.0, ,91-90,J. Embiid makes free throw 2 of 2,,4,91,90,1,2714.0
2:39.0,Turnover by J. Jaquez (lost ball; steal by K. Lowry),91-90, ,,4,91,90,1,2721.0
2:33.0, ,91-93,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. Maxey),Lead change,4,91,93,-2,2727.0
2:15.0,T. Herro makes 3-pt jump shot from 27 ft,94-93, ,Lead change,4,94,93,1,2745.0
1:50.0, ,94-93,N. Batum misses 2-pt jump shot from 19 ft,,4,94,93,1,2770.0
1:47.0, ,94-93,Offensive rebound by J. Embiid,,4,94,93,1,2773.0
1:47.0, ,94-95,J. Embiid makes 2-pt jump shot from 11 ft,Lead change,4,94,95,-1,2773.0
1:47.0, ,94-95,Shooting foul by H. Highsmith (drawn by J. Embiid),,4,94,95,-1,2773.0
1:47.0, ,94-96,J. Embiid makes free throw 1 of 1,,4,94,96,-2,2773.0
1:30.0,H. Highsmith makes 2-pt jump shot from 8 ft (assist by T. Herro),96-96, ,Tie,4,96,96,0,2790.0
1:10.0, ,96-96,J. Embiid misses 2-pt jump shot from 2 ft,,4,96,96,0,2810.0
1:07.0, ,96-96,Offensive rebound by J. Embiid,,4,96,96,0,2813.0
1:07.0, ,96-96,J. Embiid misses 2-pt layup at rim,,4,96,96,0,2813.0
1:07.0,Defensive rebound by B. Adebayo,96-96, ,,4,96,96,0,2813.0
0:58.0,Personal foul by N. Batum (drawn by B. Adebayo),96-96, ,,4,96,96,0,2822.0
0:55.0,Turnover by T. Herro (back court),96-96, ,,4,96,96,0,2825.0
0:36.0, ,96-98,K. Oubre makes 2-pt layup from 5 ft (assist by J. Embiid),,4,96,98,-2,2844.0
0:36.0, ,96-98,Shooting foul by J. Butler (drawn by K. Oubre),,4,96,98,-2,2844.0
0:36.0, ,96-99,K. Oubre makes free throw 1 of 1,,4,96,99,-3,2844.0
0:36.0,Miami full timeout,96-99, ,,4,96,99,-3,2844.0
0:26.0,T. Herro misses 3-pt jump shot from 29 ft (block by N. Batum),96-99, ,,4,96,99,-3,2854.0
0:24.0, ,96-99,Defensive rebound by Team,,4,96,99,-3,2856.0
0:24.0,Loose ball foul by H. Highsmith (drawn by T. Maxey),96-99, ,,4,96,99,-3,2856.0
0:24.0, ,96-100,T. Maxey makes free throw 1 of 2,,4,96,100,-4,2856.0
0:24.0, ,96-101,T. Maxey makes free throw 2 of 2,,4,96,101,-5,2856.0
0:19.0,H. Highsmith makes 2-pt layup from 3 ft,98-101, ,,4,98,101,-3,2861.0
0:19.0, ,98-101,Philadelphia full timeout,,4,98,101,-3,2861.0
0:19.0,C. Martin enters the game for J. Butler,98-101, ,,4,98,101,-3,2861.0
0:16.0, ,98-101,Shooting foul by C. Martin (drawn by K. Oubre),,4,98,101,-3,2864.0
0:16.0, ,98-102,K. Oubre makes free throw 1 of 2,,4,98,102,-4,2864.0
0:16.0, ,98-103,K. Oubre makes free throw 2 of 2,,4,98,103,-5,2864.0
0:09.0,J. Jaquez makes 2-pt jump shot from 9 ft,100-103, ,,4,100,103,-3,2871.0
0:08.0, ,100-103,Personal take foul by H. Highsmith (drawn by T. Maxey),,4,100,103,-3,2872.0
0:08.0, ,100-104,T. Maxey makes free throw 1 of 2,,4,100,104,-4,2872.0
0:08.0, ,100-105,T. Maxey makes free throw 2 of 2,,4,100,105,-5,2872.0
0:08.0,Miami full timeout,100-105, ,,4,100,105,-5,2872.0
0:08.0,K. Love enters the game for C. Martin,100-105, ,,4,100,105,-5,2872.0
0:08.0,Away from play foul by N. Batum (drawn by T. Herro),100-105, ,,4,100,105,-5,2872.0
0:08.0,T. Herro makes free throw 1 of 1,101-105, ,,4,101,105,-4,2872.0
0:07.0,J. Jaquez misses 3-pt jump shot from 25 ft,101-105, ,,4,101,105,-4,2873.0
0:03.0,Offensive rebound by H. Highsmith,101-105, ,,4,101,105,-4,2877.0
0:01.0,T. Herro makes 3-pt jump shot from 25 ft (assist by H. Highsmith),104-105, ,,4,104,105,-1,2879.0
0:00.0,End of 4th quarter,104-105,,,4,104,105,-1,2880.0
