Time,Golden State,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Green vs. B. Adebayo (T. Rozier gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-3,T. Rozier makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,1,3,0,3,15.0
11:28.0,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Wiggins),3-3, ,Tie,1,3,3,0,32.0
11:07.0, ,3-3,N. Jović misses 3-pt jump shot from 26 ft,,1,3,3,0,53.0
11:04.0,Defensive rebound by J. Kuminga,3-3, ,,1,3,3,0,56.0
10:55.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),5-3, ,Lead change,1,3,5,-2,65.0
10:39.0, ,5-5,N. Jović makes 2-pt jump shot from 23 ft (assist by T. Rozier),Tie,1,5,5,0,81.0
10:27.0,S. Curry misses 3-pt jump shot from 28 ft,5-5, ,,1,5,5,0,93.0
10:26.0,Offensive rebound by S. Curry,5-5, ,,1,5,5,0,94.0
10:22.0,K. Thompson misses 3-pt jump shot from 25 ft,5-5, ,,1,5,5,0,98.0
10:19.0, ,5-5,Defensive rebound by J. Jaquez,,1,5,5,0,101.0
10:09.0, ,5-5,P. Mills misses 3-pt jump shot from 26 ft,,1,5,5,0,111.0
10:07.0,Defensive rebound by D. Green,5-5, ,,1,5,5,0,113.0
10:04.0,Turnover by D. Green (bad pass),5-5, ,,1,5,5,0,116.0
9:47.0, ,5-5,Personal foul by J. Kuminga (drawn by N. Jović),,1,5,5,0,133.0
9:44.0, ,5-5,Personal foul by D. Green (drawn by P. Mills),,1,5,5,0,136.0
9:44.0, ,5-5,Instant Replay (Request: Ruling Stands),,1,5,5,0,136.0
9:35.0, ,5-5,T. Rozier misses 3-pt jump shot from 27 ft,,1,5,5,0,145.0
9:32.0,Defensive rebound by D. Green,5-5, ,,1,5,5,0,148.0
9:22.0,A. Wiggins misses 3-pt jump shot from 25 ft,5-5, ,,1,5,5,0,158.0
9:18.0, ,5-5,Defensive rebound by B. Adebayo,,1,5,5,0,162.0
9:07.0, ,5-5,Personal foul by S. Curry (drawn by N. Jović),,1,5,5,0,173.0
8:58.0, ,5-5,N. Jović misses 2-pt jump shot from 17 ft,,1,5,5,0,182.0
