Time,Toronto,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Olynyk vs. B. Adebayo (T. Herro gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-2,B. Adebayo makes 2-pt layup from 2 ft,,1,2,0,2,21.0
11:28.0, ,0-2,Violation by Team (kicked ball),,1,2,0,2,32.0
11:16.0,G. Trent makes 2-pt jump shot from 16 ft,2-2, ,Tie,1,2,2,0,44.0
11:04.0, ,2-2,Turnover by T. Herro (bad pass),,1,2,2,0,56.0
10:54.0,I. Quickley misses 3-pt jump shot from 24 ft,2-2, ,,1,2,2,0,66.0
10:51.0, ,2-2,Defensive rebound by C. Martin,,1,2,2,0,69.0
10:46.0, ,2-2,N. Jović misses 2-pt layup from 4 ft,,1,2,2,0,74.0
10:44.0,Defensive rebound by K. Olynyk,2-2, ,,1,2,2,0,76.0
10:40.0,G. Dick misses 3-pt jump shot from 23 ft,2-2, ,,1,2,2,0,80.0
10:36.0, ,2-2,Defensive rebound by B. Adebayo,,1,2,2,0,84.0
10:30.0, ,2-4,N. Jović makes 2-pt layup from 1 ft (assist by B. Adebayo),,1,4,2,2,90.0
10:10.0,Turnover by G. Trent (traveling),2-4, ,,1,4,2,2,110.0
9:52.0, ,2-7,J. Butler makes 3-pt jump shot from 23 ft (assist by C. Martin),,1,7,2,5,128.0
9:29.0,R. Barrett makes 2-pt layup at rim (assist by K. Olynyk),4-7, ,,1,7,4,3,151.0
9:07.0, ,4-7,N. Jović misses 3-pt jump shot from 26 ft,,1,7,4,3,173.0
9:03.0,Defensive rebound by R. Barrett,4-7, ,,1,7,4,3,177.0
8:57.0,K. Olynyk misses 2-pt layup from 4 ft,4-7, ,,1,7,4,3,183.0
8:56.0,Offensive rebound by K. Olynyk,4-7, ,,1,7,4,3,184.0
8:56.0,Shooting foul by B. Adebayo (drawn by K. Olynyk),4-7, ,,1,7,4,3,184.0
8:56.0,K. Olynyk makes free throw 1 of 2,5-7, ,,1,7,5,2,184.0
8:56.0,K. Olynyk makes free throw 2 of 2,6-7, ,,1,7,6,1,184.0
8:52.0, ,6-7,Shooting foul by K. Olynyk (drawn by B. Adebayo),,1,7,6,1,188.0
8:52.0, ,6-7,B. Adebayo misses free throw 1 of 2,,1,7,6,1,188.0
8:52.0, ,6-7,Offensive rebound by Team,,1,7,6,1,188.0
8:52.0, ,6-8,B. Adebayo makes free throw 2 of 2,,1,8,6,2,188.0
8:38.0,G. Trent misses 2-pt layup from 3 ft,6-8, ,,1,8,6,2,202.0
8:35.0, ,6-8,Defensive rebound by N. Jović,,1,8,6,2,205.0
8:19.0, ,6-10,N. Jović makes 2-pt layup from 3 ft (assist by T. Herro),,1,10,6,4,221.0
8:13.0,R. Barrett makes 2-pt layup from 2 ft (assist by I. Quickley),8-10, ,,1,10,8,2,227.0
7:57.0, ,8-10,T. Herro misses 2-pt jump shot from 14 ft,,1,10,8,2,243.0
7:55.0,Defensive rebound by I. Quickley,8-10, ,,1,10,8,2,245.0
7:52.0,G. Dick makes 2-pt dunk from 1 ft (assist by I. Quickley),10-10, ,Tie,1,10,10,0,248.0
7:37.0, ,10-12,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),,1,12,10,2,263.0
7:24.0,Toronto full timeout,10-12, ,,1,12,10,2,276.0
7:24.0,O. Agbaji enters the game for R. Barrett,10-12, ,,1,12,10,2,276.0
7:16.0,Personal foul by T. Herro (drawn by G. Trent),10-12, ,,1,12,10,2,284.0
7:01.0,G. Trent misses 3-pt jump shot from 28 ft,10-12, ,,1,12,10,2,299.0
6:59.0, ,10-12,Defensive rebound by N. Jović,,1,12,10,2,301.0
6:49.0, ,10-14,J. Butler makes 2-pt jump shot from 6 ft (assist by B. Adebayo),,1,14,10,4,311.0
6:38.0,I. Quickley makes 3-pt jump shot from 26 ft,13-14, ,,1,14,13,1,322.0
6:19.0, ,13-14,N. Jović misses 3-pt jump shot from 24 ft,,1,14,13,1,341.0
6:16.0, ,13-14,Offensive rebound by J. Butler,,1,14,13,1,344.0
