Time,Miami,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:47.0,Offensive rebound by B. Adebayo,30-33, ,,2,30,33,-3,913.0
8:47.0,B. Adebayo makes 2-pt layup at rim,32-33, ,,2,32,33,-1,913.0
8:33.0, ,32-33,I. Hartenstein misses 2-pt hook shot from 5 ft,,2,32,33,-1,927.0
8:31.0,Defensive rebound by B. Adebayo,32-33, ,,2,32,33,-1,929.0
8:24.0,C. Swider misses 3-pt jump shot from 26 ft,32-33, ,,2,32,33,-1,936.0
8:22.0, ,32-33,Defensive rebound by J. Hart,,2,32,33,-1,938.0
8:10.0, ,32-33,Shooting foul by J. Jaquez (drawn by D. DiVincenzo),,2,32,33,-1,950.0
8:10.0, ,32-33,D. DiVincenzo misses free throw 1 of 3,,2,32,33,-1,950.0
8:10.0, ,32-33,Offensive rebound by Team,,2,32,33,-1,950.0
8:10.0, ,32-34,D. DiVincenzo makes free throw 2 of 3,,2,32,34,-2,950.0
8:10.0, ,32-35,D. DiVincenzo makes free throw 3 of 3,,2,32,35,-3,950.0
7:56.0,Def 3 sec tech foul by Team,32-35, ,,2,32,35,-3,964.0
7:56.0,J. Richardson makes technical free throw,33-35, ,,2,33,35,-2,964.0
7:56.0, ,33-35,J. Brunson enters the game for R. Barrett,,2,33,35,-2,964.0
7:52.0,J. Jaquez misses 3-pt jump shot from 25 ft,33-35, ,,2,33,35,-2,968.0
7:50.0,Offensive rebound by J. Richardson,33-35, ,,2,33,35,-2,970.0
7:45.0,J. Richardson misses 2-pt jump shot from 7 ft,33-35, ,,2,33,35,-2,975.0
7:44.0, ,33-35,Defensive rebound by I. Quickley,,2,33,35,-2,976.0
7:33.0, ,33-35,I. Quickley misses 2-pt hook shot from 6 ft,,2,33,35,-2,987.0
7:31.0,Defensive rebound by B. Adebayo,33-35, ,,2,33,35,-2,989.0
7:19.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by C. Swider),35-35, ,Tie,2,35,35,0,1001.0
7:13.0, ,35-35,New York full timeout,,2,35,35,0,1007.0
7:13.0, ,35-35,J. Randle enters the game for I. Hartenstein,,2,35,35,0,1007.0
7:13.0, ,35-35,M. Robinson enters the game for I. Quickley,,2,35,35,0,1007.0
6:58.0, ,35-35,Turnover by D. DiVincenzo (bad pass; steal by C. Martin),,2,35,35,0,1022.0
6:36.0,J. Jaquez makes 2-pt layup from 2 ft (assist by C. Swider),37-35, ,Lead change,2,37,35,2,1044.0
6:11.0, ,37-35,Turnover by D. DiVincenzo (bad pass; steal by B. Adebayo),,2,37,35,2,1069.0
6:07.0,J. Richardson misses 3-pt jump shot from 23 ft,37-35, ,,2,37,35,2,1073.0
6:05.0, ,37-35,Defensive rebound by D. DiVincenzo,,2,37,35,2,1075.0
5:52.0, ,37-37,J. Randle makes 2-pt hook shot from 2 ft,Tie,2,37,37,0,1088.0
5:39.0,Offensive foul by B. Adebayo (drawn by M. Robinson),37-37, ,,2,37,37,0,1101.0
