Time,Miami,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:04.0,K. Lowry misses 2-pt layup from 5 ft,83-65, ,,3,83,65,18,1976.0
3:03.0,Offensive rebound by K. Lowry,83-65, ,,3,83,65,18,1977.0
3:03.0,K. Lowry misses 2-pt layup at rim,83-65, ,,3,83,65,18,1977.0
3:02.0, ,83-65,Defensive rebound by J. Brunson,,3,83,65,18,1978.0
2:54.0, ,83-65,I. Quickley misses 3-pt jump shot from 25 ft,,3,83,65,18,1986.0
2:52.0,Defensive rebound by K. Love,83-65, ,,3,83,65,18,1988.0
2:47.0,Personal foul by I. Quickley (drawn by J. Jaquez),83-65, ,,3,83,65,18,1993.0
2:47.0,J. Jaquez makes free throw 1 of 2,84-65, ,,3,84,65,19,1993.0
2:47.0,J. Jaquez makes free throw 2 of 2,85-65, ,,3,85,65,20,1993.0
2:25.0, ,85-67,J. Hart makes 2-pt layup from 2 ft (assist by I. Quickley),,3,85,67,18,2015.0
2:25.0, ,85-67,Shooting foul by K. Love (drawn by J. Hart),,3,85,67,18,2015.0
2:25.0, ,85-68,J. Hart makes free throw 1 of 1,,3,85,68,17,2015.0
2:04.0,K. Love misses 3-pt jump shot from 23 ft,85-68, ,,3,85,68,17,2036.0
2:02.0, ,85-68,Defensive rebound by I. Quickley,,3,85,68,17,2038.0
1:40.0, ,85-68,J. Brunson misses 2-pt layup from 10 ft,,3,85,68,17,2060.0
1:38.0,Defensive rebound by K. Love,85-68, ,,3,85,68,17,2062.0
1:34.0,Turnover by K. Love (bad pass; steal by J. Hart),85-68, ,,3,85,68,17,2066.0
1:27.0, ,85-68,J. Randle misses 3-pt jump shot from 25 ft,,3,85,68,17,2073.0
1:26.0,Defensive rebound by H. Highsmith,85-68, ,,3,85,68,17,2074.0
1:24.0,Turnover by H. Highsmith (bad pass),85-68, ,,3,85,68,17,2076.0
1:24.0,C. Martin enters the game for K. Lowry,85-68, ,,3,85,68,17,2076.0
1:24.0, ,85-68,D. DiVincenzo enters the game for J. Brunson,,3,85,68,17,2076.0
1:09.0, ,85-71,I. Quickley makes 3-pt jump shot from 26 ft (assist by J. Randle),,3,85,71,14,2091.0
0:57.0,J. Butler makes 2-pt layup from 1 ft (assist by J. Jaquez),87-71, ,,3,87,71,16,2103.0
0:37.0, ,87-71,I. Quickley misses 3-pt jump shot from 25 ft,,3,87,71,16,2123.0
0:34.0, ,87-71,Offensive rebound by D. DiVincenzo,,3,87,71,16,2126.0
0:34.0, ,87-71,D. DiVincenzo misses 2-pt layup from 3 ft,,3,87,71,16,2126.0
0:31.0,Defensive rebound by C. Martin,87-71, ,,3,87,71,16,2129.0
0:22.0,J. Jaquez misses 3-pt jump shot from 25 ft,87-71, ,,3,87,71,16,2138.0
0:20.0, ,87-71,Defensive rebound by J. Randle,,3,87,71,16,2140.0
0:20.0,B. Adebayo enters the game for K. Love,87-71, ,,3,87,71,16,2140.0
0:00.0, ,87-71,Turnover by I. Quickley (bad pass),,3,87,71,16,2160.0
0:00.0,End of 3rd quarter,87-71,,,3,87,71,16,2160.0
12:00.0,Start of 4th quarter,87-71,,,4,87,71,16,2160.0
11:35.0,J. Richardson makes 2-pt jump shot from 23 ft,89-71, ,,4,89,71,18,2185.0
11:13.0, ,89-71,Turnover by R. Barrett (traveling),,4,89,71,18,2207.0
10:58.0,C. Martin misses 3-pt jump shot from 25 ft,89-71, ,,4,89,71,18,2222.0
10:56.0, ,89-71,Defensive rebound by R. Barrett,,4,89,71,18,2224.0
10:52.0, ,89-71,Turnover by R. Barrett (bad pass),,4,89,71,18,2228.0
10:43.0,J. Jaquez misses 3-pt jump shot from 23 ft,89-71, ,,4,89,71,18,2237.0
10:41.0,Offensive rebound by J. Jaquez,89-71, ,,4,89,71,18,2239.0
10:33.0,B. Adebayo misses 2-pt jump shot from 19 ft,89-71, ,,4,89,71,18,2247.0
10:31.0, ,89-71,Defensive rebound by D. DiVincenzo,,4,89,71,18,2249.0
10:21.0, ,89-71,I. Quickley misses 2-pt jump shot from 13 ft,,4,89,71,18,2259.0
10:19.0,Defensive rebound by K. Love,89-71, ,,4,89,71,18,2261.0
10:09.0,J. Richardson misses 2-pt layup from 2 ft,89-71, ,,4,89,71,18,2271.0
10:07.0, ,89-71,Defensive rebound by I. Hartenstein,,4,89,71,18,2273.0
10:02.0, ,89-74,I. Quickley makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),,4,89,74,15,2278.0
9:44.0,J. Jaquez misses 3-pt jump shot from 25 ft,89-74, ,,4,89,74,15,2296.0
9:42.0, ,89-74,Defensive rebound by J. Hart,,4,89,74,15,2298.0
9:33.0, ,89-77,D. DiVincenzo makes 3-pt jump shot from 28 ft (assist by J. Hart),,4,89,77,12,2307.0
9:33.0,Miami full timeout,89-77, ,,4,89,77,12,2307.0
9:33.0,Instant Replay,89-77, ,,4,89,77,12,2307.0
9:17.0,Turnover by J. Richardson (bad pass; steal by D. DiVincenzo),89-77, ,,4,89,77,12,2323.0
9:16.0, ,89-77,Turnover by D. DiVincenzo (step out of bounds),,4,89,77,12,2324.0
9:16.0,H. Highsmith enters the game for K. Love,89-77, ,,4,89,77,12,2324.0
8:59.0,B. Adebayo misses 2-pt jump shot from 19 ft,89-77, ,,4,89,77,12,2341.0
8:57.0, ,89-77,Defensive rebound by R. Barrett,,4,89,77,12,2343.0
8:43.0, ,89-79,I. Quickley makes 2-pt jump shot from 14 ft,,4,89,79,10,2357.0
8:25.0,C. Martin misses 2-pt jump shot from 13 ft,89-79, ,,4,89,79,10,2375.0
8:23.0, ,89-79,Defensive rebound by Team,,4,89,79,10,2377.0
8:23.0,Loose ball foul by J. Jaquez (drawn by R. Barrett),89-79, ,,4,89,79,10,2377.0
8:12.0, ,89-79,Personal foul by C. Martin (drawn by I. Quickley),,4,89,79,10,2388.0
8:12.0,J. Butler enters the game for H. Highsmith,89-79, ,,4,89,79,10,2388.0
8:00.0, ,89-79,R. Barrett misses 3-pt jump shot from 23 ft,,4,89,79,10,2400.0
7:59.0,Defensive rebound by Team,89-79, ,,4,89,79,10,2401.0
7:59.0,K. Lowry enters the game for C. Martin,89-79, ,,4,89,79,10,2401.0
7:37.0,K. Lowry misses 3-pt jump shot from 27 ft (block by I. Quickley),89-79, ,,4,89,79,10,2423.0
7:35.0, ,89-79,Defensive rebound by J. Hart,,4,89,79,10,2425.0
7:23.0, ,89-79,Turnover by I. Quickley (lost ball; steal by K. Lowry),,4,89,79,10,2437.0
7:03.0,Turnover by J. Richardson (lost ball; steal by I. Hartenstein),89-79, ,,4,89,79,10,2457.0
6:58.0, ,89-82,R. Barrett makes 3-pt jump shot from 24 ft (assist by J. Hart),,4,89,82,7,2462.0
6:33.0,Shooting foul by I. Hartenstein (drawn by J. Butler),89-82, ,,4,89,82,7,2487.0
6:33.0,J. Butler makes free throw 1 of 2,90-82, ,,4,90,82,8,2487.0
6:33.0, ,90-82,J. Brunson enters the game for D. DiVincenzo,,4,90,82,8,2487.0
6:33.0,J. Butler makes free throw 2 of 2,91-82, ,,4,91,82,9,2487.0
6:13.0, ,91-82,I. Quickley misses 2-pt jump shot from 11 ft,,4,91,82,9,2507.0
6:11.0,Defensive rebound by K. Lowry,91-82, ,,4,91,82,9,2509.0
6:05.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Jaquez),93-82, ,,4,93,82,11,2515.0
5:42.0, ,93-82,I. Quickley misses 3-pt jump shot from 26 ft,,4,93,82,11,2538.0
5:40.0, ,93-82,Offensive rebound by J. Hart,,4,93,82,11,2540.0
5:40.0, ,93-84,J. Hart makes 2-pt layup at rim,,4,93,84,9,2540.0
5:20.0,J. Butler misses 2-pt jump shot from 15 ft,93-84, ,,4,93,84,9,2560.0
5:18.0, ,93-84,Defensive rebound by R. Barrett,,4,93,84,9,2562.0
5:12.0, ,93-87,I. Quickley makes 3-pt jump shot from 23 ft (assist by J. Brunson),,4,93,87,6,2568.0
4:54.0,B. Adebayo misses 2-pt jump shot from 6 ft,93-87, ,,4,93,87,6,2586.0
4:52.0, ,93-87,Defensive rebound by R. Barrett,,4,93,87,6,2588.0
4:35.0, ,93-87,J. Hart misses 3-pt jump shot from 25 ft,,4,93,87,6,2605.0
4:33.0,Defensive rebound by J. Jaquez,93-87, ,,4,93,87,6,2607.0
4:10.0,J. Jaquez misses 3-pt jump shot from 23 ft,93-87, ,,4,93,87,6,2630.0
4:08.0, ,93-87,Defensive rebound by J. Hart,,4,93,87,6,2632.0
4:01.0, ,93-87,I. Quickley misses 2-pt jump shot from 9 ft,,4,93,87,6,2639.0
3:59.0,Defensive rebound by K. Lowry,93-87, ,,4,93,87,6,2641.0
3:50.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by K. Lowry),96-87, ,,4,96,87,9,2650.0
3:50.0, ,96-87,New York full timeout,,4,96,87,9,2650.0
3:50.0, ,96-87,J. Randle enters the game for J. Hart,,4,96,87,9,2650.0
3:31.0, ,96-89,R. Barrett makes 2-pt jump shot from 9 ft,,4,96,89,7,2669.0
3:04.0,B. Adebayo misses 2-pt jump shot from 12 ft,96-89, ,,4,96,89,7,2696.0
3:02.0, ,96-89,Defensive rebound by I. Quickley,,4,96,89,7,2698.0
2:56.0, ,96-91,J. Brunson makes 2-pt layup from 2 ft,,4,96,91,5,2704.0
2:56.0, ,96-91,Shooting foul by B. Adebayo (drawn by J. Brunson),,4,96,91,5,2704.0
2:56.0, ,96-91,J. Brunson misses free throw 1 of 1,,4,96,91,5,2704.0
2:54.0,Defensive rebound by J. Jaquez,96-91, ,,4,96,91,5,2706.0
2:42.0,Personal foul by R. Barrett (drawn by K. Lowry),96-91, ,,4,96,91,5,2718.0
2:35.0,J. Butler misses 3-pt jump shot from 23 ft,96-91, ,,4,96,91,5,2725.0
2:33.0, ,96-91,Defensive rebound by Team,,4,96,91,5,2727.0
2:33.0,Loose ball foul by K. Lowry (drawn by I. Quickley),96-91, ,,4,96,91,5,2727.0
2:20.0, ,96-93,J. Brunson makes 2-pt jump shot from 11 ft,,4,96,93,3,2740.0
2:20.0, ,96-93,Shooting foul by J. Jaquez (drawn by J. Brunson),,4,96,93,3,2740.0
2:20.0, ,96-94,J. Brunson makes free throw 1 of 1,,4,96,94,2,2740.0
2:05.0,J. Butler misses 2-pt jump shot from 12 ft,96-94, ,,4,96,94,2,2755.0
2:03.0, ,96-94,Defensive rebound by R. Barrett,,4,96,94,2,2757.0
1:59.0, ,96-96,R. Barrett makes 2-pt layup from 1 ft,Tie,4,96,96,0,2761.0
1:59.0, ,96-96,Shooting foul by B. Adebayo (drawn by R. Barrett),,4,96,96,0,2761.0
1:59.0, ,96-97,R. Barrett makes free throw 1 of 1,Lead change,4,96,97,-1,2761.0
1:46.0,J. Jaquez misses 2-pt jump shot from 10 ft,96-97, ,,4,96,97,-1,2774.0
1:44.0, ,96-97,Defensive rebound by J. Brunson,,4,96,97,-1,2776.0
1:24.0, ,96-99,J. Brunson makes 2-pt jump shot from 20 ft,,4,96,99,-3,2796.0
1:24.0,Miami full timeout,96-99, ,,4,96,99,-3,2796.0
1:15.0,J. Butler misses 2-pt jump shot from 13 ft,96-99, ,,4,96,99,-3,2805.0
1:13.0, ,96-99,Defensive rebound by J. Randle,,4,96,99,-3,2807.0
0:52.0, ,96-99,R. Barrett misses 3-pt jump shot from 25 ft,,4,96,99,-3,2828.0
0:50.0,Defensive rebound by K. Lowry,96-99, ,,4,96,99,-3,2830.0
0:46.0,B. Adebayo misses 2-pt dunk at rim,96-99, ,,4,96,99,-3,2834.0
0:44.0, ,96-99,Defensive rebound by J. Randle,,4,96,99,-3,2836.0
0:23.0, ,96-99,J. Brunson misses 3-pt jump shot from 29 ft,,4,96,99,-3,2857.0
0:21.0,Defensive rebound by Team,96-99, ,,4,96,99,-3,2859.0
0:15.0,Shooting foul by I. Hartenstein (drawn by B. Adebayo),96-99, ,,4,96,99,-3,2865.0
0:15.0,B. Adebayo makes free throw 1 of 2,97-99, ,,4,97,99,-2,2865.0
0:15.0, ,97-99,M. Robinson enters the game for I. Quickley,,4,97,99,-2,2865.0
0:15.0,B. Adebayo makes free throw 2 of 2,98-99, ,,4,98,99,-1,2865.0
0:15.0, ,98-99,New York full timeout,,4,98,99,-1,2865.0
0:15.0, ,98-99,D. DiVincenzo enters the game for I. Hartenstein,,4,98,99,-1,2865.0
0:15.0, ,98-99,I. Quickley enters the game for M. Robinson,,4,98,99,-1,2865.0
0:11.0, ,98-99,Personal foul by K. Lowry (drawn by J. Brunson),,4,98,99,-1,2869.0
0:11.0, ,98-100,J. Brunson makes free throw 1 of 2,,4,98,100,-2,2869.0
0:11.0, ,98-100,J. Brunson misses free throw 2 of 2,,4,98,100,-2,2869.0
0:09.0,Defensive rebound by J. Richardson,98-100, ,,4,98,100,-2,2871.0
0:00.0,J. Butler misses 3-pt jump shot from 26 ft,98-100, ,,4,98,100,-2,2880.0
0:00.0, ,98-100,Defensive rebound by J. Randle,,4,98,100,-2,2880.0
0:00.0,End of 4th quarter,98-100,,,4,98,100,-2,2880.0
