Time,Miami,Score,Charlotte,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Robinson vs. N. Richards (T. Rozier gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-2,N. Richards makes 2-pt layup from 2 ft (assist by T. Rozier),,1,0,2,-2,18.0
11:25.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by O. Robinson),3-2, ,Lead change,1,3,2,1,35.0
11:08.0, ,3-2,Offensive foul by T. Rozier (drawn by C. Martin),,1,3,2,1,52.0
11:08.0, ,3-2,Turnover by T. Rozier (offensive foul),,1,3,2,1,52.0
10:56.0,Personal foul by G. Hayward (drawn by O. Robinson),3-2, ,,1,3,2,1,64.0
10:42.0,J. Butler misses 2-pt jump shot from 13 ft,3-2, ,,1,3,2,1,78.0
10:41.0,Offensive rebound by O. Robinson,3-2, ,,1,3,2,1,79.0
10:40.0,O. Robinson misses 2-pt layup from 2 ft,3-2, ,,1,3,2,1,80.0
10:40.0, ,3-2,Defensive rebound by G. Hayward,,1,3,2,1,80.0
10:32.0, ,3-2,G. Hayward misses 2-pt jump shot from 8 ft,,1,3,2,1,88.0
10:29.0,Defensive rebound by C. Martin,3-2, ,,1,3,2,1,91.0
10:21.0,Offensive foul by J. Butler (drawn by T. Rozier),3-2, ,,1,3,2,1,99.0
10:21.0,Turnover by J. Butler (offensive foul),3-2, ,,1,3,2,1,99.0
10:07.0, ,3-4,M. Bridges makes 2-pt layup from 3 ft (assist by N. Richards),Lead change,1,3,4,-1,113.0
9:49.0,C. Martin makes 2-pt layup from 2 ft (assist by K. Lowry),5-4, ,Lead change,1,5,4,1,131.0
9:37.0, ,5-4,M. Bridges misses 3-pt jump shot from 24 ft,,1,5,4,1,143.0
9:37.0,Defensive rebound by D. Robinson,5-4, ,,1,5,4,1,143.0
9:24.0,K. Lowry misses 3-pt jump shot from 23 ft,5-4, ,,1,5,4,1,156.0
9:20.0, ,5-4,Defensive rebound by G. Hayward,,1,5,4,1,160.0
9:15.0, ,5-4,B. Miller misses 2-pt layup from 4 ft,,1,5,4,1,165.0
9:13.0,Defensive rebound by O. Robinson,5-4, ,,1,5,4,1,167.0
9:08.0,D. Robinson misses 3-pt jump shot from 24 ft,5-4, ,,1,5,4,1,172.0
9:06.0, ,5-4,Defensive rebound by N. Richards,,1,5,4,1,174.0
8:53.0, ,5-4,Turnover by M. Bridges (bad pass; steal by K. Lowry),,1,5,4,1,187.0
8:48.0,D. Robinson misses 2-pt layup from 2 ft,5-4, ,,1,5,4,1,192.0
8:44.0,Offensive rebound by C. Martin,5-4, ,,1,5,4,1,196.0
8:44.0,C. Martin misses 2-pt layup at rim,5-4, ,,1,5,4,1,196.0
8:43.0, ,5-4,Defensive rebound by G. Hayward,,1,5,4,1,197.0
8:41.0, ,5-4,T. Rozier misses 3-pt jump shot from 25 ft,,1,5,4,1,199.0
8:38.0,Defensive rebound by D. Robinson,5-4, ,,1,5,4,1,202.0
8:19.0,C. Martin makes 3-pt jump shot from 25 ft (assist by D. Robinson),8-4, ,,1,8,4,4,221.0
8:00.0, ,8-4,Turnover by T. Rozier (bad pass; steal by D. Robinson),,1,8,4,4,240.0
7:55.0,Shooting foul by B. Miller (drawn by O. Robinson),8-4, ,,1,8,4,4,245.0
7:55.0,O. Robinson misses free throw 1 of 2,8-4, ,,1,8,4,4,245.0
7:55.0,Offensive rebound by Team,8-4, ,,1,8,4,4,245.0
7:55.0,O. Robinson makes free throw 2 of 2,9-4, ,,1,9,4,5,245.0
7:31.0, ,9-4,Turnover by M. Bridges (bad pass; steal by J. Butler),,1,9,4,5,269.0
7:12.0,D. Robinson misses 3-pt jump shot from 25 ft,9-4, ,,1,9,4,5,288.0
7:09.0, ,9-4,Defensive rebound by N. Richards,,1,9,4,5,291.0
7:04.0, ,9-6,M. Bridges makes 2-pt dunk from 3 ft (assist by T. Rozier),,1,9,6,3,296.0
6:48.0,O. Robinson makes 3-pt jump shot from 23 ft (assist by C. Martin),12-6, ,,1,12,6,6,312.0
6:36.0, ,12-6,G. Hayward misses 3-pt jump shot from 24 ft,,1,12,6,6,324.0
6:36.0, ,12-6,Offensive rebound by Team,,1,12,6,6,324.0
6:36.0, ,12-6,Charlotte full timeout,,1,12,6,6,324.0
6:36.0, ,12-6,P. Washington enters the game for M. Bridges,,1,12,6,6,324.0
6:23.0, ,12-6,P. Washington misses 3-pt jump shot from 26 ft,,1,12,6,6,337.0
6:19.0, ,12-6,Offensive rebound by N. Richards,,1,12,6,6,341.0
6:18.0, ,12-6,N. Richards misses 2-pt layup from 2 ft,,1,12,6,6,342.0
6:15.0,Defensive rebound by K. Lowry,12-6, ,,1,12,6,6,345.0
6:07.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Butler),15-6, ,,1,15,6,9,353.0
5:48.0, ,15-8,G. Hayward makes 2-pt layup from 2 ft,,1,15,8,7,372.0
5:25.0,J. Butler makes 2-pt jump shot from 9 ft,17-8, ,,1,17,8,9,395.0
5:08.0, ,17-10,P. Washington makes 2-pt hook shot from 2 ft (assist by T. Rozier),,1,17,10,7,412.0
5:08.0, ,17-10,Shooting foul by K. Lowry (drawn by P. Washington),,1,17,10,7,412.0
5:08.0,J. Jaquez enters the game for C. Martin,17-10, ,,1,17,10,7,412.0
5:08.0,K. Love enters the game for D. Robinson,17-10, ,,1,17,10,7,412.0
5:08.0,J. Richardson enters the game for O. Robinson,17-10, ,,1,17,10,7,412.0
5:08.0, ,17-10,I. Smith enters the game for T. Rozier,,1,17,10,7,412.0
5:08.0, ,17-11,P. Washington makes free throw 1 of 1,,1,17,11,6,412.0
4:44.0,J. Richardson misses 3-pt jump shot from 26 ft,17-11, ,,1,17,11,6,436.0
4:44.0, ,17-11,Defensive rebound by Team,,1,17,11,6,436.0
4:27.0, ,17-11,B. Miller misses 3-pt jump shot from 23 ft,,1,17,11,6,453.0
4:24.0,Defensive rebound by J. Richardson,17-11, ,,1,17,11,6,456.0
4:06.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by J. Butler),20-11, ,,1,20,11,9,474.0
3:53.0, ,20-13,G. Hayward makes 2-pt jump shot from 4 ft,,1,20,13,7,487.0
3:53.0, ,20-13,Shooting foul by K. Lowry (drawn by G. Hayward),,1,20,13,7,487.0
3:53.0, ,20-13,M. Bridges enters the game for N. Richards,,1,20,13,7,487.0
3:53.0, ,20-13,G. Hayward misses free throw 1 of 1,,1,20,13,7,487.0
3:50.0,Defensive rebound by K. Love,20-13, ,,1,20,13,7,490.0
3:33.0,J. Jaquez misses 2-pt jump shot from 8 ft,20-13, ,,1,20,13,7,507.0
3:30.0, ,20-13,Defensive rebound by B. Miller,,1,20,13,7,510.0
3:21.0, ,20-16,G. Hayward makes 3-pt jump shot from 23 ft (assist by I. Smith),,1,20,16,4,519.0
3:10.0,Shooting foul by P. Washington (drawn by J. Butler),20-16, ,,1,20,16,4,530.0
3:10.0,J. Butler makes free throw 1 of 2,21-16, ,,1,21,16,5,530.0
3:10.0, ,21-16,B. McGowens enters the game for G. Hayward,,1,21,16,5,530.0
3:10.0, ,21-16,T. Rozier enters the game for B. Miller,,1,21,16,5,530.0
3:10.0,J. Butler makes free throw 2 of 2,22-16, ,,1,22,16,6,530.0
2:50.0, ,22-16,M. Bridges misses 3-pt jump shot from 26 ft,,1,22,16,6,550.0
