Time,Miami,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:04.0, ,75-74,Turnover by V. Wembanyama (back court),,3,75,74,1,2036.0
1:56.0,K. Love makes 2-pt layup from 3 ft (assist by J. Butler),77-74, ,,3,77,74,3,2044.0
1:34.0, ,77-74,V. Wembanyama misses 2-pt jump shot from 3 ft,,3,77,74,3,2066.0
1:34.0, ,77-74,Offensive rebound by Team,,3,77,74,3,2066.0
1:26.0, ,77-77,C. Osman makes 3-pt jump shot from 23 ft (assist by D. McDermott),Tie,3,77,77,0,2074.0
1:13.0,K. Love makes 3-pt jump shot from 27 ft (assist by J. Jaquez),80-77, ,,3,80,77,3,2087.0
0:57.0, ,80-79,K. Johnson makes 2-pt layup from 2 ft (assist by V. Wembanyama),,3,80,79,1,2103.0
0:57.0, ,80-79,Shooting foul by K. Love (drawn by K. Johnson),,3,80,79,1,2103.0
0:57.0, ,80-80,K. Johnson makes free throw 1 of 1,Tie,3,80,80,0,2103.0
0:47.0,J. Jaquez misses 2-pt layup from 2 ft (block by C. Osman),80-80, ,,3,80,80,0,2113.0
0:44.0, ,80-80,Defensive rebound by D. McDermott,,3,80,80,0,2116.0
0:41.0, ,80-80,K. Johnson misses 3-pt jump shot from 26 ft,,3,80,80,0,2119.0
0:39.0,Defensive rebound by Team,80-80, ,,3,80,80,0,2121.0
0:39.0, ,80-80,Loose ball foul by V. Wembanyama (drawn by K. Love),,3,80,80,0,2121.0
0:39.0,K. Love makes free throw 1 of 2,81-80, ,,3,81,80,1,2121.0
0:39.0,B. Adebayo enters the game for J. Butler,81-80, ,,3,81,80,1,2121.0
0:39.0,H. Highsmith enters the game for D. Robinson,81-80, ,,3,81,80,1,2121.0
0:39.0,K. Love makes free throw 2 of 2,82-80, ,,3,82,80,2,2121.0
0:30.0, ,82-83,M. Branham makes 3-pt jump shot from 25 ft (assist by D. McDermott),Lead change,3,82,83,-1,2130.0
0:30.0, ,82-83,Shooting foul by H. Highsmith (drawn by M. Branham),,3,82,83,-1,2130.0
0:30.0, ,82-84,M. Branham makes free throw 1 of 1,,3,82,84,-2,2130.0
0:30.0, ,82-84,J. Sochan enters the game for D. McDermott,,3,82,84,-2,2130.0
0:05.0,K. Love misses 3-pt jump shot from 23 ft,82-84, ,,3,82,84,-2,2155.0
0:03.0, ,82-84,Defensive rebound by K. Johnson,,3,82,84,-2,2157.0
0:00.0, ,82-84,J. Sochan misses 3-pt jump shot from 25 ft,,3,82,84,-2,2160.0
0:00.0, ,82-84,Offensive rebound by Team,,3,82,84,-2,2160.0
0:00.0,End of 3rd quarter,82-84,,,3,82,84,-2,2160.0
12:00.0,Start of 4th quarter,82-84,,,4,82,84,-2,2160.0
11:41.0,J. Jaquez misses 2-pt jump shot from 7 ft,82-84, ,,4,82,84,-2,2179.0
11:38.0, ,82-84,Defensive rebound by V. Wembanyama,,4,82,84,-2,2182.0
11:28.0, ,82-86,V. Wembanyama makes 2-pt hook shot from 6 ft (assist by K. Johnson),,4,82,86,-4,2192.0
11:16.0,B. Adebayo misses 2-pt jump shot from 14 ft,82-86, ,,4,82,86,-4,2204.0
11:14.0, ,82-86,Defensive rebound by K. Johnson,,4,82,86,-4,2206.0
11:03.0, ,82-88,Z. Collins makes 2-pt layup from 4 ft (assist by M. Branham),,4,82,88,-6,2217.0
10:51.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Richardson),84-88, ,,4,84,88,-4,2229.0
10:35.0, ,84-90,V. Wembanyama makes 2-pt dunk from 2 ft (assist by M. Branham),,4,84,90,-6,2245.0
10:17.0,H. Highsmith misses 2-pt jump shot from 22 ft,84-90, ,,4,84,90,-6,2263.0
10:14.0, ,84-90,Defensive rebound by K. Johnson,,4,84,90,-6,2266.0
10:08.0, ,84-92,K. Johnson makes 2-pt jump shot from 6 ft (assist by M. Branham),,4,84,92,-8,2272.0
10:08.0,Miami full timeout,84-92, ,,4,84,92,-8,2272.0
10:08.0,D. Robinson enters the game for H. Highsmith,84-92, ,,4,84,92,-8,2272.0
10:08.0,D. Smith enters the game for K. Love,84-92, ,,4,84,92,-8,2272.0
9:51.0,D. Robinson misses 2-pt layup from 3 ft,84-92, ,,4,84,92,-8,2289.0
9:49.0, ,84-92,Defensive rebound by K. Johnson,,4,84,92,-8,2291.0
9:41.0, ,84-92,M. Branham misses 2-pt jump shot from 9 ft,,4,84,92,-8,2299.0
9:40.0, ,84-92,Offensive rebound by Z. Collins,,4,84,92,-8,2300.0
9:36.0, ,84-95,V. Wembanyama makes 3-pt jump shot from 25 ft (assist by M. Branham),,4,84,95,-11,2304.0
9:28.0,B. Adebayo makes 2-pt jump shot from 14 ft (assist by D. Smith),86-95, ,,4,86,95,-9,2312.0
9:10.0, ,86-98,M. Branham makes 3-pt jump shot from 26 ft (assist by V. Wembanyama),,4,86,98,-12,2330.0
8:54.0,B. Adebayo makes 2-pt jump shot from 12 ft,88-98, ,,4,88,98,-10,2346.0
8:39.0, ,88-98,M. Branham misses 2-pt jump shot from 6 ft,,4,88,98,-10,2361.0
8:37.0,Defensive rebound by J. Richardson,88-98, ,,4,88,98,-10,2363.0
8:26.0,B. Adebayo misses 2-pt jump shot from 19 ft,88-98, ,,4,88,98,-10,2374.0
8:22.0, ,88-98,Defensive rebound by V. Wembanyama,,4,88,98,-10,2378.0
8:17.0, ,88-98,Turnover by V. Wembanyama (bad pass; steal by J. Jaquez),,4,88,98,-10,2383.0
8:09.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Richardson),91-98, ,,4,91,98,-7,2391.0
8:08.0, ,91-98,San Antonio full timeout,,4,91,98,-7,2392.0
8:08.0, ,91-98,C. Osman enters the game for K. Johnson,,4,91,98,-7,2392.0
8:08.0, ,91-98,J. Sochan enters the game for V. Wembanyama,,4,91,98,-7,2392.0
7:56.0, ,91-98,Personal foul by J. Jaquez (drawn by J. Sochan),,4,91,98,-7,2404.0
7:44.0, ,91-98,Turnover by Z. Collins (bad pass),,4,91,98,-7,2416.0
7:26.0,B. Adebayo misses 2-pt jump shot from 11 ft,91-98, ,,4,91,98,-7,2434.0
7:23.0, ,91-98,Defensive rebound by Z. Collins,,4,91,98,-7,2437.0
7:20.0, ,91-101,D. McDermott makes 3-pt jump shot from 25 ft (assist by M. Branham),,4,91,101,-10,2440.0
7:07.0,Shooting foul by M. Branham (drawn by D. Smith),91-101, ,,4,91,101,-10,2453.0
7:07.0,D. Smith makes free throw 1 of 2,92-101, ,,4,92,101,-9,2453.0
7:07.0,J. Butler enters the game for J. Richardson,92-101, ,,4,92,101,-9,2453.0
7:07.0, ,92-101,D. Vassell enters the game for M. Branham,,4,92,101,-9,2453.0
7:07.0,D. Smith makes free throw 2 of 2,93-101, ,,4,93,101,-8,2453.0
6:46.0, ,93-103,J. Sochan makes 2-pt jump shot from 8 ft,,4,93,103,-10,2474.0
6:25.0,D. Smith makes 3-pt jump shot from 24 ft (assist by D. Robinson),96-103, ,,4,96,103,-7,2495.0
6:08.0, ,96-103,Z. Collins misses 3-pt jump shot from 25 ft,,4,96,103,-7,2512.0
6:06.0,Defensive rebound by J. Jaquez,96-103, ,,4,96,103,-7,2514.0
5:51.0,B. Adebayo misses 2-pt hook shot from 4 ft,96-103, ,,4,96,103,-7,2529.0
5:47.0,Offensive rebound by B. Adebayo,96-103, ,,4,96,103,-7,2533.0
5:47.0,B. Adebayo makes 2-pt layup at rim,98-103, ,,4,98,103,-5,2533.0
5:38.0, ,98-103,Turnover by J. Sochan (bad pass),,4,98,103,-5,2542.0
5:38.0,J. Richardson enters the game for D. Smith,98-103, ,,4,98,103,-5,2542.0
5:17.0,D. Robinson makes 3-pt jump shot from 23 ft,101-103, ,,4,101,103,-2,2563.0
5:17.0, ,101-103,San Antonio full timeout,,4,101,103,-2,2563.0
5:17.0, ,101-103,K. Johnson enters the game for Z. Collins,,4,101,103,-2,2563.0
5:17.0, ,101-103,V. Wembanyama enters the game for C. Osman,,4,101,103,-2,2563.0
4:56.0, ,101-103,K. Johnson misses 3-pt jump shot from 23 ft (block by J. Butler),,4,101,103,-2,2584.0
4:52.0,Defensive rebound by J. Jaquez,101-103, ,,4,101,103,-2,2588.0
4:49.0, ,101-103,Violation by Team (kicked ball),,4,101,103,-2,2591.0
4:37.0,B. Adebayo makes 2-pt hook shot from 6 ft (assist by D. Robinson),103-103, ,Tie,4,103,103,0,2603.0
4:18.0, ,103-103,K. Johnson misses 3-pt jump shot from 22 ft,,4,103,103,0,2622.0
4:16.0,Defensive rebound by J. Jaquez,103-103, ,,4,103,103,0,2624.0
4:14.0,J. Richardson misses 3-pt jump shot from 25 ft,103-103, ,,4,103,103,0,2626.0
4:11.0, ,103-103,Defensive rebound by D. McDermott,,4,103,103,0,2629.0
4:00.0, ,103-103,Turnover by V. Wembanyama (lost ball; steal by B. Adebayo),,4,103,103,0,2640.0
3:55.0,D. Robinson makes 2-pt layup from 1 ft (assist by B. Adebayo),105-103, ,Lead change,4,105,103,2,2645.0
3:29.0, ,105-106,D. Vassell makes 3-pt jump shot from 26 ft (assist by D. McDermott),Lead change,4,105,106,-1,2671.0
3:29.0,Miami full timeout,105-106, ,,4,105,106,-1,2671.0
3:29.0, ,105-106,Z. Collins enters the game for D. McDermott,,4,105,106,-1,2671.0
3:14.0,J. Butler makes 2-pt jump shot from 11 ft (assist by D. Robinson),107-106, ,Lead change,4,107,106,1,2686.0
3:01.0, ,107-106,Shooting foul by D. Robinson (drawn by J. Sochan),,4,107,106,1,2699.0
3:01.0, ,107-107,J. Sochan makes free throw 1 of 2,Tie,4,107,107,0,2699.0
3:01.0, ,107-108,J. Sochan makes free throw 2 of 2,Lead change,4,107,108,-1,2699.0
2:48.0,Shooting foul by Z. Collins (drawn by D. Robinson),107-108, ,,4,107,108,-1,2712.0
2:48.0,D. Robinson makes free throw 1 of 2,108-108, ,Tie,4,108,108,0,2712.0
2:48.0,D. Robinson makes free throw 2 of 2,109-108, ,Lead change,4,109,108,1,2712.0
2:25.0, ,109-108,K. Johnson misses 3-pt jump shot from 23 ft,,4,109,108,1,2735.0
2:23.0, ,109-108,Offensive rebound by Team,,4,109,108,1,2737.0
2:23.0,Loose ball foul by J. Richardson (drawn by V. Wembanyama),109-108, ,,4,109,108,1,2737.0
2:18.0, ,109-110,J. Sochan makes 2-pt layup from 1 ft (assist by V. Wembanyama),Lead change,4,109,110,-1,2742.0
2:18.0,Violation by Team (def goaltending),109-110, ,,4,109,110,-1,2742.0
1:58.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Jaquez),112-110, ,Lead change,4,112,110,2,2762.0
1:40.0, ,112-110,Turnover by Z. Collins (bad pass; steal by B. Adebayo),,4,112,110,2,2780.0
1:24.0,J. Richardson makes 2-pt jump shot from 17 ft (assist by B. Adebayo),114-110, ,,4,114,110,4,2796.0
1:06.0, ,114-110,D. Vassell misses 2-pt jump shot from 12 ft,,4,114,110,4,2814.0
1:04.0,Defensive rebound by B. Adebayo,114-110, ,,4,114,110,4,2816.0
0:50.0,J. Butler misses 2-pt layup from 3 ft,114-110, ,,4,114,110,4,2830.0
0:48.0, ,114-110,Defensive rebound by K. Johnson,,4,114,110,4,2832.0
0:41.0, ,114-110,Turnover by K. Johnson (lost ball),,4,114,110,4,2839.0
0:41.0,Personal foul by K. Johnson (drawn by J. Butler),114-110, ,,4,114,110,4,2839.0
0:31.0,Personal take foul by K. Johnson (drawn by J. Butler),114-110, ,,4,114,110,4,2849.0
0:31.0,J. Butler makes free throw 1 of 2,115-110, ,,4,115,110,5,2849.0
0:31.0,J. Butler makes free throw 2 of 2,116-110, ,,4,116,110,6,2849.0
0:25.0, ,116-113,K. Johnson makes 3-pt jump shot from 26 ft,,4,116,113,3,2855.0
0:13.0,Personal take foul by J. Sochan (drawn by J. Richardson),116-113, ,,4,116,113,3,2867.0
0:13.0,J. Richardson makes free throw 1 of 2,117-113, ,,4,117,113,4,2867.0
0:13.0,J. Richardson makes free throw 2 of 2,118-113, ,,4,118,113,5,2867.0
0:06.0, ,118-113,K. Johnson misses 3-pt jump shot from 32 ft,,4,118,113,5,2874.0
0:05.0,Defensive rebound by Team,118-113, ,,4,118,113,5,2875.0
0:00.0,End of 4th quarter,118-113,,,4,118,113,5,2880.0
