Time,Brooklyn,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:43.0,M. Bridges misses 2-pt layup from 3 ft (block by B. Adebayo),5-11, ,,1,11,5,6,317.0
6:43.0,Offensive rebound by Team,5-11, ,,1,11,5,6,317.0
6:43.0,L. Walker enters the game for R. O'Neale,5-11, ,,1,11,5,6,317.0
6:40.0,Turnover by D. Finney-Smith (lost ball; steal by J. Jaquez),5-11, ,,1,11,5,6,320.0
6:34.0, ,5-11,Turnover by K. Lowry (bad pass; steal by C. Thomas),,1,11,5,6,326.0
6:29.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by B. Simmons),8-11, ,,1,11,8,3,331.0
6:13.0, ,8-13,J. Butler makes 2-pt layup from 2 ft,,1,13,8,5,347.0
6:13.0, ,8-13,Shooting foul by M. Bridges (drawn by J. Butler),,1,13,8,5,347.0
6:13.0, ,8-13,J. Richardson enters the game for T. Herro,,1,13,8,5,347.0
6:13.0, ,8-14,J. Butler makes free throw 1 of 1,,1,14,8,6,347.0
5:59.0,C. Thomas misses 2-pt jump shot from 9 ft,8-14, ,,1,14,8,6,361.0
5:57.0, ,8-14,Defensive rebound by B. Adebayo,,1,14,8,6,363.0
5:46.0, ,8-14,Turnover by J. Jaquez (lost ball; steal by C. Thomas),,1,14,8,6,374.0
5:41.0,L. Walker makes 2-pt layup from 2 ft (assist by B. Simmons),10-14, ,,1,14,10,4,379.0
5:33.0, ,10-14,Shooting foul by B. Simmons (drawn by B. Adebayo),,1,14,10,4,387.0
5:33.0, ,10-15,B. Adebayo makes free throw 1 of 2,,1,15,10,5,387.0
5:33.0, ,10-16,B. Adebayo makes free throw 2 of 2,,1,16,10,6,387.0
5:18.0,L. Walker makes 2-pt jump shot from 21 ft,12-16, ,,1,16,12,4,402.0
5:04.0, ,12-16,J. Richardson misses 2-pt jump shot from 12 ft (block by C. Thomas),,1,16,12,4,416.0
5:00.0, ,12-16,Offensive rebound by J. Butler,,1,16,12,4,420.0
4:59.0, ,12-18,J. Butler makes 2-pt layup from 1 ft,,1,18,12,6,421.0
4:46.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith),15-18, ,,1,18,15,3,434.0
4:36.0, ,15-18,Shooting foul by L. Walker (drawn by J. Butler),,1,18,15,3,444.0
4:36.0, ,15-19,J. Butler makes free throw 1 of 2,,1,19,15,4,444.0
4:36.0,T. Watford enters the game for B. Simmons,15-19, ,,1,19,15,4,444.0
4:36.0, ,15-19,H. Highsmith enters the game for J. Jaquez,,1,19,15,4,444.0
4:36.0, ,15-20,J. Butler makes free throw 2 of 2,,1,20,15,5,444.0
4:22.0,Turnover by M. Bridges (lost ball; steal by H. Highsmith),15-20, ,,1,20,15,5,458.0
4:17.0, ,15-22,B. Adebayo makes 2-pt dunk at rim (assist by K. Lowry),,1,22,15,7,463.0
4:06.0,T. Watford makes 2-pt layup from 1 ft,17-22, ,,1,22,17,5,474.0
3:49.0, ,17-25,H. Highsmith makes 3-pt jump shot from 25 ft (assist by J. Butler),,1,25,17,8,491.0
3:34.0,L. Walker misses 3-pt jump shot from 26 ft,17-25, ,,1,25,17,8,506.0
3:32.0, ,17-25,Defensive rebound by Team,,1,25,17,8,508.0
3:32.0, ,17-25,Miami full timeout,,1,25,17,8,508.0
3:32.0,A. Brooks enters the game for M. Bridges,17-25, ,,1,25,17,8,508.0
3:32.0,R. O'Neale enters the game for D. Finney-Smith,17-25, ,,1,25,17,8,508.0
3:32.0,D. Sharpe enters the game for C. Thomas,17-25, ,,1,25,17,8,508.0
3:32.0, ,17-25,D. Robinson enters the game for K. Lowry,,1,25,17,8,508.0
3:16.0, ,17-25,Shooting foul by R. O'Neale (drawn by J. Butler),,1,25,17,8,524.0
3:16.0, ,17-25,J. Butler misses free throw 1 of 2,,1,25,17,8,524.0
3:16.0, ,17-25,Offensive rebound by Team,,1,25,17,8,524.0
3:16.0, ,17-25,T. Bryant enters the game for B. Adebayo,,1,25,17,8,524.0
3:16.0, ,17-26,J. Butler makes free throw 2 of 2,,1,26,17,9,524.0
