Time,Brooklyn,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:57.0, ,57-69,H. Highsmith enters the game for T. Herro,,3,69,57,12,1803.0
5:57.0, ,57-69,J. Richardson enters the game for J. Jaquez,,3,69,57,12,1803.0
5:57.0,D. Sharpe makes free throw 2 of 2,58-69, ,,3,69,58,11,1803.0
5:39.0, ,58-71,J. Butler makes 2-pt layup from 3 ft (assist by H. Highsmith),,3,71,58,13,1821.0
5:22.0,M. Bridges misses 3-pt jump shot from 23 ft,58-71, ,,3,71,58,13,1838.0
5:18.0, ,58-71,Defensive rebound by H. Highsmith,,3,71,58,13,1842.0
5:10.0, ,58-71,Shooting foul by C. Thomas (drawn by J. Butler),,3,71,58,13,1850.0
5:10.0, ,58-71,J. Butler misses free throw 1 of 2,,3,71,58,13,1850.0
5:10.0, ,58-71,Offensive rebound by Team,,3,71,58,13,1850.0
5:10.0,A. Brooks enters the game for R. O'Neale,58-71, ,,3,71,58,13,1850.0
5:10.0, ,58-72,J. Butler makes free throw 2 of 2,,3,72,58,14,1850.0
4:51.0,C. Thomas makes 2-pt jump shot from 9 ft (assist by M. Bridges),60-72, ,,3,72,60,12,1869.0
4:37.0, ,60-75,H. Highsmith makes 3-pt jump shot from 28 ft (assist by J. Richardson),,3,75,60,15,1883.0
4:22.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Sharpe),63-75, ,,3,75,63,12,1898.0
4:05.0, ,63-75,K. Lowry misses 3-pt jump shot from 25 ft,,3,75,63,12,1915.0
4:03.0,Defensive rebound by D. Sharpe,63-75, ,,3,75,63,12,1917.0
3:58.0,Turnover by C. Thomas (bad pass; steal by K. Lowry),63-75, ,,3,75,63,12,1922.0
3:53.0, ,63-77,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),,3,77,63,14,1927.0
3:37.0,D. Sharpe makes 2-pt layup from 2 ft (assist by M. Bridges),65-77, ,,3,77,65,12,1943.0
3:22.0, ,65-77,B. Adebayo misses 2-pt jump shot from 9 ft,,3,77,65,12,1958.0
3:21.0,Defensive rebound by M. Bridges,65-77, ,,3,77,65,12,1959.0
3:18.0,C. Thomas misses 2-pt layup from 8 ft (block by K. Lowry),65-77, ,,3,77,65,12,1962.0
3:16.0,Offensive rebound by Team,65-77, ,,3,77,65,12,1964.0
3:16.0,T. Watford enters the game for D. Finney-Smith,65-77, ,,3,77,65,12,1964.0
3:16.0, ,65-77,T. Bryant enters the game for B. Adebayo,,3,77,65,12,1964.0
3:10.0,D. Sharpe makes 2-pt layup from 1 ft (assist by T. Watford),67-77, ,,3,77,67,10,1970.0
2:59.0, ,67-77,Offensive foul by T. Bryant (drawn by T. Watford),,3,77,67,10,1981.0
2:59.0, ,67-77,Turnover by T. Bryant (offensive foul),,3,77,67,10,1981.0
2:59.0, ,67-77,Miami full timeout,,3,77,67,10,1981.0
2:59.0, ,67-77,D. Robinson enters the game for K. Lowry,,3,77,67,10,1981.0
2:43.0,Shooting foul by D. Robinson (drawn by T. Watford),67-77, ,,3,77,67,10,1997.0
2:43.0,T. Watford makes free throw 1 of 2,68-77, ,,3,77,68,9,1997.0
2:43.0,T. Watford makes free throw 2 of 2,69-77, ,,3,77,69,8,1997.0
2:18.0, ,69-77,H. Highsmith misses 2-pt jump shot from 9 ft,,3,77,69,8,2022.0
2:15.0,Defensive rebound by M. Bridges,69-77, ,,3,77,69,8,2025.0
2:03.0,C. Thomas makes 2-pt jump shot from 7 ft,71-77, ,,3,77,71,6,2037.0
2:02.0,Technical foul by C. Thomas,71-77, ,,3,77,71,6,2038.0
2:02.0, ,71-78,J. Butler makes technical free throw,,3,78,71,7,2038.0
2:02.0, ,71-78,T. Herro enters the game for J. Butler,,3,78,71,7,2038.0
1:54.0, ,71-78,Personal foul by C. Thomas (drawn by J. Richardson),,3,78,71,7,2046.0
1:50.0, ,71-78,D. Robinson misses 3-pt jump shot from 25 ft,,3,78,71,7,2050.0
1:45.0,Defensive rebound by T. Watford,71-78, ,,3,78,71,7,2055.0
1:35.0,Shooting foul by D. Robinson (drawn by C. Thomas),71-78, ,,3,78,71,7,2065.0
1:35.0,C. Thomas makes free throw 1 of 2,72-78, ,,3,78,72,6,2065.0
1:35.0,C. Thomas makes free throw 2 of 2,73-78, ,,3,78,73,5,2065.0
1:26.0, ,73-78,T. Herro misses 2-pt jump shot from 16 ft,,3,78,73,5,2074.0
1:21.0,Defensive rebound by D. Sharpe,73-78, ,,3,78,73,5,2079.0
1:07.0,C. Thomas misses 2-pt jump shot from 7 ft,73-78, ,,3,78,73,5,2093.0
1:01.0, ,73-78,Defensive rebound by T. Herro,,3,78,73,5,2099.0
0:56.0, ,73-80,D. Robinson makes 2-pt layup from 5 ft (assist by T. Herro),,3,80,73,7,2104.0
0:46.0,M. Bridges makes 2-pt layup from 2 ft (assist by T. Watford),75-80, ,,3,80,75,5,2114.0
0:31.0, ,75-80,J. Richardson misses 3-pt jump shot from 27 ft,,3,80,75,5,2129.0
0:28.0,Defensive rebound by A. Brooks,75-80, ,,3,80,75,5,2132.0
0:22.0,Turnover by C. Thomas (dbl dribble),75-80, ,,3,80,75,5,2138.0
0:22.0,D. Finney-Smith enters the game for A. Brooks,75-80, ,,3,80,75,5,2138.0
0:22.0,R. O'Neale enters the game for C. Thomas,75-80, ,,3,80,75,5,2138.0
0:02.0, ,75-83,J. Richardson makes 3-pt jump shot from 23 ft (assist by T. Herro),,3,83,75,8,2158.0
0:00.0,R. O'Neale misses 3-pt jump shot from 65 ft,75-83, ,,3,83,75,8,2160.0
0:00.0,Offensive rebound by Team,75-83, ,,3,83,75,8,2160.0
0:00.0,End of 3rd quarter,75-83,,,3,83,75,8,2160.0
12:00.0,Start of 4th quarter,75-83,,,4,83,75,8,2160.0
11:43.0, ,75-83,D. Robinson misses 3-pt jump shot from 25 ft,,4,83,75,8,2177.0
11:39.0,Defensive rebound by A. Brooks,75-83, ,,4,83,75,8,2181.0
11:34.0,A. Brooks makes 3-pt jump shot from 28 ft (assist by B. Simmons),78-83, ,,4,83,78,5,2186.0
11:13.0, ,78-86,H. Highsmith makes 3-pt jump shot from 24 ft (assist by T. Herro),,4,86,78,8,2207.0
10:57.0,A. Brooks misses 3-pt jump shot from 23 ft,78-86, ,,4,86,78,8,2223.0
10:54.0, ,78-86,Defensive rebound by T. Bryant,,4,86,78,8,2226.0
10:40.0, ,78-86,Turnover by T. Herro (out of bounds lost ball),,4,86,78,8,2240.0
10:31.0, ,78-86,Loose ball foul by J. Richardson (drawn by T. Watford),,4,86,78,8,2249.0
10:22.0,A. Brooks makes 3-pt jump shot from 25 ft (assist by L. Walker),81-86, ,,4,86,81,5,2258.0
10:04.0, ,81-86,H. Highsmith misses 3-pt jump shot from 25 ft,,4,86,81,5,2276.0
10:01.0,Defensive rebound by T. Watford,81-86, ,,4,86,81,5,2279.0
9:57.0,T. Watford makes 2-pt layup from 1 ft,83-86, ,,4,86,83,3,2283.0
9:57.0, ,83-86,Miami full timeout,,4,86,83,3,2283.0
9:57.0, ,83-86,B. Adebayo enters the game for T. Bryant,,4,86,83,3,2283.0
9:40.0, ,83-86,Personal foul by T. Watford (drawn by B. Adebayo),,4,86,83,3,2300.0
9:28.0, ,83-86,Turnover by B. Adebayo (lost ball; steal by T. Watford),,4,86,83,3,2312.0
9:23.0,L. Walker makes 3-pt jump shot from 22 ft (assist by B. Simmons),86-86, ,Tie,4,86,86,0,2317.0
9:06.0, ,86-86,T. Herro misses 3-pt jump shot from 25 ft,,4,86,86,0,2334.0
9:04.0,Defensive rebound by T. Watford,86-86, ,,4,86,86,0,2336.0
8:58.0,B. Simmons misses 2-pt layup from 4 ft,86-86, ,,4,86,86,0,2342.0
8:55.0, ,86-86,Defensive rebound by H. Highsmith,,4,86,86,0,2345.0
8:53.0, ,86-86,J. Richardson misses 3-pt jump shot from 25 ft,,4,86,86,0,2347.0
8:47.0,Defensive rebound by B. Simmons,86-86, ,,4,86,86,0,2353.0
8:47.0,Turnover by B. Simmons (bad pass; steal by J. Richardson),86-86, ,,4,86,86,0,2353.0
8:44.0, ,86-86,T. Herro misses 2-pt jump shot from 2 ft (block by B. Simmons),,4,86,86,0,2356.0
8:41.0,Defensive rebound by L. Walker,86-86, ,,4,86,86,0,2359.0
8:38.0,T. Watford makes 3-pt jump shot from 24 ft (assist by R. O'Neale),89-86, ,Lead change,4,86,89,-3,2362.0
8:15.0, ,89-86,Personal foul by R. O'Neale (drawn by B. Adebayo),,4,86,89,-3,2385.0
8:09.0, ,89-88,T. Herro makes 2-pt jump shot from 16 ft,,4,88,89,-1,2391.0
7:52.0,Offensive foul by T. Watford (drawn by J. Richardson),89-88, ,,4,88,89,-1,2408.0
7:52.0,Turnover by T. Watford (offensive foul),89-88, ,,4,88,89,-1,2408.0
7:38.0, ,89-90,B. Adebayo makes 2-pt layup from 2 ft,Lead change,4,90,89,1,2422.0
7:33.0,R. O'Neale makes 3-pt jump shot from 25 ft (assist by B. Simmons),92-90, ,Lead change,4,90,92,-2,2427.0
7:07.0, ,92-90,T. Herro misses 2-pt jump shot from 19 ft,,4,90,92,-2,2453.0
7:04.0,Defensive rebound by B. Simmons,92-90, ,,4,90,92,-2,2456.0
7:03.0,Turnover by B. Simmons (bad pass),92-90, ,,4,90,92,-2,2457.0
7:03.0, ,92-90,J. Butler enters the game for H. Highsmith,,4,90,92,-2,2457.0
6:38.0, ,92-90,J. Richardson misses 2-pt jump shot from 3 ft,,4,90,92,-2,2482.0
6:37.0, ,92-90,Offensive rebound by B. Adebayo,,4,90,92,-2,2483.0
6:35.0, ,92-90,Turnover by B. Adebayo (lost ball; steal by L. Walker),,4,90,92,-2,2485.0
6:29.0,Brooklyn full timeout,92-90, ,,4,90,92,-2,2491.0
6:29.0, ,92-90,K. Lowry enters the game for D. Robinson,,4,90,92,-2,2491.0
6:22.0,T. Watford misses 2-pt jump shot from 7 ft,92-90, ,,4,90,92,-2,2498.0
6:20.0,Offensive rebound by T. Watford,92-90, ,,4,90,92,-2,2500.0
6:20.0,T. Watford makes 2-pt layup at rim,94-90, ,,4,90,94,-4,2500.0
5:53.0, ,94-90,K. Lowry misses 3-pt jump shot from 43 ft,,4,90,94,-4,2527.0
5:52.0, ,94-90,Offensive rebound by Team,,4,90,94,-4,2528.0
5:52.0, ,94-90,Turnover by Team (shot clock),,4,90,94,-4,2528.0
5:52.0,M. Bridges enters the game for A. Brooks,94-90, ,,4,90,94,-4,2528.0
5:52.0,D. Finney-Smith enters the game for T. Watford,94-90, ,,4,90,94,-4,2528.0
5:37.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Walker),97-90, ,,4,90,97,-7,2543.0
5:18.0, ,97-92,J. Butler makes 2-pt layup from 4 ft,,4,92,97,-5,2562.0
5:03.0,Shooting foul by T. Herro (drawn by L. Walker),97-92, ,,4,92,97,-5,2577.0
5:03.0,L. Walker makes free throw 1 of 2,98-92, ,,4,92,98,-6,2577.0
5:03.0,L. Walker misses free throw 2 of 2,98-92, ,,4,92,98,-6,2577.0
5:00.0, ,98-92,Defensive rebound by K. Lowry,,4,92,98,-6,2580.0
4:54.0, ,98-92,Personal foul by R. O'Neale (drawn by B. Adebayo),,4,92,98,-6,2586.0
4:54.0,C. Thomas enters the game for L. Walker,98-92, ,,4,92,98,-6,2586.0
4:39.0, ,98-92,J. Butler misses 2-pt jump shot from 11 ft,,4,92,98,-6,2601.0
4:38.0, ,98-92,Offensive rebound by B. Adebayo,,4,92,98,-6,2602.0
4:37.0, ,98-94,B. Adebayo makes 2-pt layup from 1 ft,,4,94,98,-4,2603.0
4:37.0, ,98-94,Shooting foul by R. O'Neale (drawn by B. Adebayo),,4,94,98,-4,2603.0
4:37.0, ,98-95,B. Adebayo makes free throw 1 of 1,,4,95,98,-3,2603.0
4:21.0,Turnover by B. Simmons (bad pass; steal by J. Butler),98-95, ,,4,95,98,-3,2619.0
4:16.0, ,98-97,J. Butler makes 2-pt dunk from 1 ft,,4,97,98,-1,2624.0
3:57.0,Offensive foul by R. O'Neale (drawn by B. Adebayo),98-97, ,,4,97,98,-1,2643.0
3:57.0,Turnover by R. O'Neale (offensive foul),98-97, ,,4,97,98,-1,2643.0
3:42.0, ,98-97,J. Butler misses 2-pt layup from 2 ft,,4,97,98,-1,2658.0
3:39.0,Defensive rebound by C. Thomas,98-97, ,,4,97,98,-1,2661.0
3:24.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,98-97, ,,4,97,98,-1,2676.0
3:22.0,Offensive rebound by M. Bridges,98-97, ,,4,97,98,-1,2678.0
3:22.0,M. Bridges makes 2-pt layup from 2 ft,100-97, ,,4,97,100,-3,2678.0
3:22.0,Shooting foul by K. Lowry (drawn by M. Bridges),100-97, ,,4,97,100,-3,2678.0
3:22.0,M. Bridges makes free throw 1 of 1,101-97, ,,4,97,101,-4,2678.0
3:19.0, ,101-97,Miami full timeout,,4,97,101,-4,2681.0
3:06.0, ,101-99,T. Herro makes 2-pt jump shot from 6 ft,,4,99,101,-2,2694.0
3:06.0, ,101-99,Shooting foul by D. Finney-Smith (drawn by T. Herro),,4,99,101,-2,2694.0
3:06.0, ,101-99,T. Herro misses free throw 1 of 1,,4,99,101,-2,2694.0
3:02.0,Defensive rebound by B. Simmons,101-99, ,,4,99,101,-2,2698.0
2:51.0,M. Bridges misses 2-pt jump shot from 8 ft,101-99, ,,4,99,101,-2,2709.0
2:47.0, ,101-99,Defensive rebound by B. Adebayo,,4,99,101,-2,2713.0
2:43.0, ,101-99,J. Butler misses 3-pt jump shot from 26 ft,,4,99,101,-2,2717.0
2:39.0,Defensive rebound by M. Bridges,101-99, ,,4,99,101,-2,2721.0
2:17.0,C. Thomas misses 3-pt jump shot from 26 ft,101-99, ,,4,99,101,-2,2743.0
2:14.0, ,101-99,Defensive rebound by J. Richardson,,4,99,101,-2,2746.0
2:08.0, ,101-99,J. Richardson misses 3-pt jump shot from 25 ft,,4,99,101,-2,2752.0
2:04.0,Defensive rebound by R. O'Neale,101-99, ,,4,99,101,-2,2756.0
1:51.0,Personal foul by K. Lowry (drawn by M. Bridges),101-99, ,,4,99,101,-2,2769.0
1:40.0,C. Thomas misses 3-pt jump shot from 24 ft,101-99, ,,4,99,101,-2,2780.0
1:36.0,Offensive rebound by B. Simmons,101-99, ,,4,99,101,-2,2784.0
1:26.0,M. Bridges misses 2-pt jump shot from 14 ft,101-99, ,,4,99,101,-2,2794.0
1:23.0, ,101-99,Defensive rebound by J. Butler,,4,99,101,-2,2797.0
1:18.0, ,101-99,T. Herro misses 2-pt layup from 6 ft,,4,99,101,-2,2802.0
1:14.0,Defensive rebound by B. Simmons,101-99, ,,4,99,101,-2,2806.0
0:59.0,D. Finney-Smith makes 2-pt layup from 2 ft (assist by M. Bridges),103-99, ,,4,99,103,-4,2821.0
0:44.0, ,103-99,B. Adebayo misses 2-pt jump shot from 6 ft,,4,99,103,-4,2836.0
0:41.0,Defensive rebound by B. Simmons,103-99, ,,4,99,103,-4,2839.0
0:36.0,Brooklyn full timeout,103-99, ,,4,99,103,-4,2844.0
0:36.0,L. Walker enters the game for B. Simmons,103-99, ,,4,99,103,-4,2844.0
0:32.0,M. Bridges makes 2-pt layup from 4 ft,105-99, ,,4,99,105,-6,2848.0
0:24.0, ,105-102,T. Herro makes 3-pt jump shot from 24 ft (assist by J. Richardson),,4,102,105,-3,2856.0
0:11.0,Personal foul by J. Richardson (drawn by M. Bridges),105-102, ,,4,102,105,-3,2869.0
0:11.0,M. Bridges makes free throw 1 of 2,106-102, ,,4,102,106,-4,2869.0
0:11.0,M. Bridges makes free throw 2 of 2,107-102, ,,4,102,107,-5,2869.0
0:11.0, ,107-102,Miami full timeout,,4,102,107,-5,2869.0
0:11.0,B. Simmons enters the game for L. Walker,107-102, ,,4,102,107,-5,2869.0
0:11.0, ,107-102,D. Robinson enters the game for J. Richardson,,4,102,107,-5,2869.0
0:08.0, ,107-105,T. Herro makes 3-pt jump shot from 25 ft (assist by K. Lowry),,4,105,107,-2,2872.0
0:06.0,Personal foul by D. Robinson (drawn by M. Bridges),107-105, ,,4,105,107,-2,2874.0
0:06.0,M. Bridges makes free throw 1 of 2,108-105, ,,4,105,108,-3,2874.0
0:06.0, ,108-105,H. Highsmith enters the game for D. Robinson,,4,105,108,-3,2874.0
0:06.0,M. Bridges makes free throw 2 of 2,109-105, ,,4,105,109,-4,2874.0
0:06.0, ,109-105,Miami full timeout,,4,105,109,-4,2874.0
0:06.0, ,109-105,D. Robinson enters the game for H. Highsmith,,4,105,109,-4,2874.0
0:05.0, ,109-105,D. Robinson misses 3-pt jump shot from 26 ft,,4,105,109,-4,2875.0
0:01.0,Defensive rebound by C. Thomas,109-105, ,,4,105,109,-4,2879.0
0:00.0,End of 4th quarter,109-105,,,4,105,109,-4,2880.0
