Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:41.0, ,64-73,T. Herro misses 3-pt jump shot from 27 ft,,3,73,64,9,1819.0
5:38.0,Defensive rebound by A. Edwards,64-73, ,,3,73,64,9,1822.0
5:30.0,A. Edwards makes 2-pt layup from 2 ft,66-73, ,,3,73,66,7,1830.0
5:19.0, ,66-73,Offensive foul by J. Jaquez (drawn by N. Alexander-Walker),,3,73,66,7,1841.0
5:19.0, ,66-73,Turnover by J. Jaquez (offensive foul),,3,73,66,7,1841.0
5:19.0,K. Anderson enters the game for J. McDaniels,66-73, ,,3,73,66,7,1841.0
5:03.0,N. Reid makes 2-pt layup from 1 ft,68-73, ,,3,73,68,5,1857.0
4:38.0, ,68-75,T. Herro makes 2-pt jump shot from 14 ft,,3,75,68,7,1882.0
4:25.0,K. Towns makes 2-pt layup from 3 ft (assist by N. Alexander-Walker),70-75, ,,3,75,70,5,1895.0
4:01.0, ,70-75,C. Martin misses 2-pt layup from 2 ft,,3,75,70,5,1919.0
3:59.0, ,70-75,Offensive rebound by C. Martin,,3,75,70,5,1921.0
3:55.0, ,70-75,J. Butler misses 3-pt jump shot from 26 ft,,3,75,70,5,1925.0
3:53.0,Defensive rebound by K. Towns,70-75, ,,3,75,70,5,1927.0
