Time,Miami,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:15.0,Turnover by J. Jaquez (bad pass),92-88, ,,4,92,88,4,2505.0
6:13.0,Loose ball foul by N. Jović (drawn by J. Allen),92-88, ,,4,92,88,4,2507.0
5:53.0, ,92-91,G. Niang makes 3-pt jump shot from 24 ft (assist by C. LeVert),,4,92,91,1,2527.0
5:53.0,Miami full timeout,92-91, ,,4,92,91,1,2527.0
5:53.0,J. Butler enters the game for H. Highsmith,92-91, ,,4,92,91,1,2527.0
5:29.0,T. Rozier makes 2-pt jump shot from 8 ft,94-91, ,,4,94,91,3,2551.0
5:05.0, ,94-93,C. LeVert makes 2-pt layup from 1 ft,,4,94,93,1,2575.0
4:49.0,Personal foul by J. Allen (drawn by T. Rozier),94-93, ,,4,94,93,1,2591.0
4:34.0,J. Jaquez misses 2-pt jump shot from 20 ft,94-93, ,,4,94,93,1,2606.0
4:31.0, ,94-93,Defensive rebound by J. Allen,,4,94,93,1,2609.0
4:19.0, ,94-95,G. Niang makes 2-pt jump shot from 12 ft (assist by C. LeVert),Lead change,4,94,95,-1,2621.0
4:19.0, ,94-95,Shooting foul by C. Martin (drawn by G. Niang),,4,94,95,-1,2621.0
4:19.0, ,94-96,G. Niang makes free throw 1 of 1,,4,94,96,-2,2621.0
3:54.0,J. Butler misses 2-pt jump shot from 12 ft,94-96, ,,4,94,96,-2,2646.0
3:51.0,Offensive rebound by C. Martin,94-96, ,,4,94,96,-2,2649.0
3:51.0,C. Martin misses 2-pt layup at rim,94-96, ,,4,94,96,-2,2649.0
3:50.0, ,94-96,Defensive rebound by J. Allen,,4,94,96,-2,2650.0
3:30.0, ,94-96,G. Niang misses 3-pt jump shot from 24 ft,,4,94,96,-2,2670.0
3:27.0,Defensive rebound by N. Jović,94-96, ,,4,94,96,-2,2673.0
3:17.0,C. Martin misses 3-pt jump shot from 22 ft,94-96, ,,4,94,96,-2,2683.0
3:15.0, ,94-96,Defensive rebound by I. Okoro,,4,94,96,-2,2685.0
3:10.0, ,94-96,Cleveland full timeout,,4,94,96,-2,2690.0
2:58.0, ,94-96,D. Garland misses 3-pt jump shot from 29 ft,,4,94,96,-2,2702.0
2:56.0,Defensive rebound by T. Rozier,94-96, ,,4,94,96,-2,2704.0
2:33.0,N. Jović misses 3-pt jump shot from 23 ft,94-96, ,,4,94,96,-2,2727.0
2:30.0, ,94-96,Defensive rebound by J. Allen,,4,94,96,-2,2730.0
2:17.0, ,94-96,Shooting foul by T. Rozier (drawn by C. LeVert),,4,94,96,-2,2743.0
2:17.0, ,94-97,C. LeVert makes free throw 1 of 2,,4,94,97,-3,2743.0
2:17.0, ,94-98,C. LeVert makes free throw 2 of 2,,4,94,98,-4,2743.0
2:04.0,Shooting foul by G. Niang (drawn by C. Martin),94-98, ,,4,94,98,-4,2756.0
2:04.0,C. Martin makes free throw 1 of 2,95-98, ,,4,95,98,-3,2756.0
2:04.0,C. Martin makes free throw 2 of 2,96-98, ,,4,96,98,-2,2756.0
1:44.0, ,96-98,G. Niang misses 3-pt jump shot from 25 ft,,4,96,98,-2,2776.0
1:42.0, ,96-98,Offensive rebound by D. Garland,,4,96,98,-2,2778.0
1:34.0, ,96-98,Shooting foul by J. Jaquez (drawn by G. Niang),,4,96,98,-2,2786.0
1:34.0, ,96-99,G. Niang makes free throw 1 of 2,,4,96,99,-3,2786.0
1:34.0, ,96-100,G. Niang makes free throw 2 of 2,,4,96,100,-4,2786.0
1:24.0,T. Rozier makes 3-pt jump shot from 26 ft,99-100, ,,4,99,100,-1,2796.0
1:24.0,Shooting foul by I. Okoro (drawn by T. Rozier),99-100, ,,4,99,100,-1,2796.0
1:24.0,Instant Replay (Challenge: Stands),99-100, ,,4,99,100,-1,2796.0
1:24.0, ,99-100,Cleveland full timeout,,4,99,100,-1,2796.0
1:24.0,T. Rozier makes free throw 1 of 1,100-100, ,Tie,4,100,100,0,2796.0
1:00.0, ,100-100,Turnover by Team (shot clock),,4,100,100,0,2820.0
0:39.0,J. Butler makes 2-pt jump shot from 10 ft,102-100, ,Lead change,4,102,100,2,2841.0
0:31.0, ,102-102,J. Allen makes 2-pt dunk from 1 ft (assist by D. Garland),Tie,4,102,102,0,2849.0
0:14.0,T. Rozier makes 3-pt jump shot from 26 ft,105-102, ,,4,105,102,3,2866.0
0:14.0, ,105-102,Cleveland full timeout,,4,105,102,3,2866.0
0:14.0,H. Highsmith enters the game for N. Jović,105-102, ,,4,105,102,3,2866.0
0:14.0, ,105-102,S. Merrill enters the game for I. Okoro,,4,105,102,3,2866.0
0:03.0, ,105-104,G. Niang makes 2-pt layup from 2 ft (assist by C. LeVert),,4,105,104,1,2877.0
0:03.0,Miami full timeout,105-104, ,,4,105,104,1,2877.0
0:03.0,N. Jović enters the game for H. Highsmith,105-104, ,,4,105,104,1,2877.0
0:03.0,P. Mills enters the game for J. Jaquez,105-104, ,,4,105,104,1,2877.0
0:03.0, ,105-104,I. Okoro enters the game for S. Merrill,,4,105,104,1,2877.0
0:02.0,Personal foul by I. Okoro (drawn by T. Rozier),105-104, ,,4,105,104,1,2878.0
0:02.0,T. Rozier makes free throw 1 of 2,106-104, ,,4,106,104,2,2878.0
0:02.0,H. Highsmith enters the game for N. Jović,106-104, ,,4,106,104,2,2878.0
0:02.0,D. Wright enters the game for P. Mills,106-104, ,,4,106,104,2,2878.0
0:02.0, ,106-104,S. Merrill enters the game for I. Okoro,,4,106,104,2,2878.0
0:02.0,T. Rozier makes free throw 2 of 2,107-104, ,,4,107,104,3,2878.0
0:00.0, ,107-104,D. Garland misses 3-pt jump shot from 35 ft,,4,107,104,3,2880.0
0:00.0, ,107-104,Offensive rebound by Team,,4,107,104,3,2880.0
0:00.0,End of 4th quarter,107-104,,,4,107,104,3,2880.0
