Time,Miami,Score,Detroit,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. J. Duren (T. Rozier gains possession),0-0,,,1,0,0,0,0.0
11:39.0,D. Robinson misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,21.0
11:36.0, ,0-0,Defensive rebound by C. Cunningham,,1,0,0,0,24.0
11:26.0, ,0-0,S. Fontecchio misses 3-pt jump shot from 27 ft,,1,0,0,0,34.0
11:22.0,Defensive rebound by B. Adebayo,0-0, ,,1,0,0,0,38.0
11:09.0,B. Adebayo makes 2-pt hook shot from 4 ft (assist by D. Robinson),2-0, ,,1,2,0,2,51.0
10:54.0, ,2-0,J. Duren misses 2-pt layup from 4 ft (block by J. Jaquez),,1,2,0,2,66.0
10:52.0,Defensive rebound by T. Rozier,2-0, ,,1,2,0,2,68.0
10:48.0,T. Rozier misses 2-pt layup from 5 ft (block by J. Duren),2-0, ,,1,2,0,2,72.0
10:46.0,Offensive rebound by J. Jaquez,2-0, ,,1,2,0,2,74.0
10:35.0,D. Robinson makes 3-pt jump shot from 25 ft,5-0, ,,1,5,0,5,85.0
10:19.0, ,5-0,S. Fontecchio misses 3-pt jump shot from 28 ft,,1,5,0,5,101.0
10:15.0,Defensive rebound by T. Rozier,5-0, ,,1,5,0,5,105.0
10:04.0,J. Jaquez misses 2-pt jump shot from 6 ft,5-0, ,,1,5,0,5,116.0
10:03.0,Offensive rebound by J. Jaquez,5-0, ,,1,5,0,5,117.0
10:02.0,J. Jaquez makes 2-pt layup from 1 ft,7-0, ,,1,7,0,7,118.0
9:54.0, ,7-2,I. Stewart makes 2-pt dunk from 2 ft (assist by J. Ivey),,1,7,2,5,126.0
9:43.0,T. Rozier makes 2-pt layup from 3 ft,9-2, ,,1,9,2,7,137.0
9:31.0, ,9-2,S. Fontecchio misses 2-pt jump shot from 7 ft,,1,9,2,7,149.0
9:28.0,Defensive rebound by D. Robinson,9-2, ,,1,9,2,7,152.0
9:21.0,T. Rozier misses 2-pt layup from 3 ft,9-2, ,,1,9,2,7,159.0
9:19.0, ,9-2,Defensive rebound by J. Duren,,1,9,2,7,161.0
9:14.0, ,9-4,I. Stewart makes 2-pt layup from 1 ft (assist by J. Duren),,1,9,4,5,166.0
8:54.0,J. Jaquez misses 3-pt jump shot from 24 ft (block by I. Stewart),9-4, ,,1,9,4,5,186.0
8:54.0,Offensive rebound by Team,9-4, ,,1,9,4,5,186.0
8:47.0,B. Adebayo makes 2-pt layup from 3 ft (assist by D. Robinson),11-4, ,,1,11,4,7,193.0
8:31.0, ,11-4,Turnover by C. Cunningham (bad pass; steal by J. Jaquez),,1,11,4,7,209.0
8:27.0,T. Rozier makes 2-pt layup from 4 ft,13-4, ,,1,13,4,9,213.0
8:27.0, ,13-4,Detroit full timeout,,1,13,4,9,213.0
8:07.0, ,13-6,S. Fontecchio makes 2-pt layup from 5 ft (assist by C. Cunningham),,1,13,6,7,233.0
7:41.0,J. Jaquez misses 2-pt hook shot from 9 ft,13-6, ,,1,13,6,7,259.0
7:39.0, ,13-6,Defensive rebound by J. Duren,,1,13,6,7,261.0
7:37.0, ,13-6,Shooting foul by H. Highsmith (drawn by J. Ivey),,1,13,6,7,263.0
7:37.0, ,13-6,J. Ivey misses free throw 1 of 2,,1,13,6,7,263.0
7:37.0, ,13-6,Offensive rebound by Team,,1,13,6,7,263.0
7:37.0, ,13-7,J. Ivey makes free throw 2 of 2,,1,13,7,6,263.0
7:17.0,T. Rozier misses 2-pt layup from 5 ft (block by J. Ivey),13-7, ,,1,13,7,6,283.0
7:15.0, ,13-7,Defensive rebound by S. Fontecchio,,1,13,7,6,285.0
7:08.0, ,13-7,S. Fontecchio misses 2-pt layup from 4 ft,,1,13,7,6,292.0
7:04.0, ,13-7,Offensive rebound by J. Duren,,1,13,7,6,296.0
7:03.0, ,13-7,J. Duren misses 2-pt layup from 4 ft,,1,13,7,6,297.0
7:02.0,Defensive rebound by Team,13-7, ,,1,13,7,6,298.0
6:47.0,Turnover by J. Jaquez (traveling),13-7, ,,1,13,7,6,313.0
6:29.0, ,13-7,I. Stewart misses 3-pt jump shot from 23 ft,,1,13,7,6,331.0
6:26.0,Defensive rebound by B. Adebayo,13-7, ,,1,13,7,6,334.0
6:23.0,Turnover by B. Adebayo (lost ball; steal by C. Cunningham),13-7, ,,1,13,7,6,337.0
6:14.0, ,13-9,J. Duren makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,13,9,4,346.0
5:56.0,T. Rozier misses 3-pt jump shot from 23 ft,13-9, ,,1,13,9,4,364.0
5:54.0, ,13-9,Defensive rebound by S. Fontecchio,,1,13,9,4,366.0
5:42.0, ,13-11,J. Ivey makes 2-pt layup from 4 ft,,1,13,11,2,378.0
5:42.0,Miami full timeout,13-11, ,,1,13,11,2,378.0
5:42.0,C. Martin enters the game for J. Jaquez,13-11, ,,1,13,11,2,378.0
5:27.0,H. Highsmith misses 3-pt jump shot from 30 ft,13-11, ,,1,13,11,2,393.0
5:25.0, ,13-11,Defensive rebound by J. Duren,,1,13,11,2,395.0
5:12.0, ,13-11,I. Stewart misses 3-pt jump shot from 23 ft,,1,13,11,2,408.0
5:10.0, ,13-11,Offensive rebound by S. Fontecchio,,1,13,11,2,410.0
5:10.0, ,13-11,Personal foul by B. Adebayo (drawn by S. Fontecchio),,1,13,11,2,410.0
5:10.0, ,13-11,E. Fournier enters the game for J. Ivey,,1,13,11,2,410.0
5:05.0, ,13-14,S. Fontecchio makes 3-pt jump shot from 25 ft (assist by C. Cunningham),Lead change,1,13,14,-1,415.0
4:43.0,D. Robinson misses 3-pt jump shot from 24 ft,13-14, ,,1,13,14,-1,437.0
4:40.0, ,13-14,Defensive rebound by I. Stewart,,1,13,14,-1,440.0
4:25.0, ,13-14,C. Cunningham misses 2-pt layup from 4 ft,,1,13,14,-1,455.0
4:22.0, ,13-14,Offensive rebound by J. Duren,,1,13,14,-1,458.0
