Time,Sacramento,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:05.0, ,93-101,Defensive rebound by K. Love,,4,101,93,8,2575.0
5:04.0, ,93-101,Shooting foul by K. Murray (drawn by J. Butler),,4,101,93,8,2576.0
5:04.0, ,93-102,J. Butler makes free throw 1 of 2,,4,102,93,9,2576.0
5:04.0, ,93-102,B. Adebayo enters the game for K. Love,,4,102,93,9,2576.0
5:04.0, ,93-103,J. Butler makes free throw 2 of 2,,4,103,93,10,2576.0
4:43.0,K. Huerter misses 3-pt jump shot from 24 ft,93-103, ,,4,103,93,10,2597.0
4:40.0, ,93-103,Defensive rebound by J. Butler,,4,103,93,10,2600.0
4:28.0, ,93-106,J. Richardson makes 3-pt jump shot from 26 ft (assist by T. Rozier),,4,106,93,13,2612.0
4:14.0,Shooting foul by C. Martin (drawn by D. Sabonis),93-106, ,,4,106,93,13,2626.0
4:14.0,D. Sabonis makes free throw 1 of 2,94-106, ,,4,106,94,12,2626.0
4:14.0,D. Sabonis makes free throw 2 of 2,95-106, ,,4,106,95,11,2626.0
3:59.0, ,95-106,T. Rozier misses 3-pt jump shot from 23 ft,,4,106,95,11,2641.0
3:56.0,Defensive rebound by D. Fox,95-106, ,,4,106,95,11,2644.0
3:51.0,Shooting foul by C. Martin (drawn by D. Fox),95-106, ,,4,106,95,11,2649.0
3:51.0,D. Fox makes free throw 1 of 2,96-106, ,,4,106,96,10,2649.0
3:51.0,D. Fox misses free throw 2 of 2,96-106, ,,4,106,96,10,2649.0
3:48.0, ,96-106,Defensive rebound by B. Adebayo,,4,106,96,10,2652.0
3:44.0, ,96-106,Miami full timeout,,4,106,96,10,2656.0
3:33.0, ,96-106,T. Rozier misses 3-pt jump shot from 26 ft,,4,106,96,10,2667.0
3:31.0, ,96-106,Offensive rebound by B. Adebayo,,4,106,96,10,2669.0
3:20.0, ,96-106,J. Butler misses 3-pt jump shot from 30 ft,,4,106,96,10,2680.0
3:19.0, ,96-106,Offensive rebound by Team,,4,106,96,10,2681.0
3:18.0, ,96-106,Turnover by Team (shot clock),,4,106,96,10,2682.0
3:08.0,H. Barnes misses 3-pt jump shot from 25 ft,96-106, ,,4,106,96,10,2692.0
3:04.0, ,96-106,Defensive rebound by B. Adebayo,,4,106,96,10,2696.0
2:51.0, ,96-108,J. Richardson makes 2-pt jump shot from 6 ft (assist by J. Butler),,4,108,96,12,2709.0
2:45.0,Turnover by D. Fox (lost ball; steal by T. Rozier),96-108, ,,4,108,96,12,2715.0
2:41.0, ,96-108,J. Richardson misses 3-pt jump shot from 26 ft,,4,108,96,12,2719.0
2:37.0, ,96-108,Offensive rebound by T. Rozier,,4,108,96,12,2723.0
2:29.0, ,96-111,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Butler),,4,111,96,15,2731.0
2:12.0,K. Murray makes 3-pt jump shot from 25 ft (assist by D. Sabonis),99-111, ,,4,111,99,12,2748.0
1:49.0, ,99-111,J. Richardson misses 3-pt jump shot from 24 ft,,4,111,99,12,2771.0
1:46.0,Defensive rebound by D. Sabonis,99-111, ,,4,111,99,12,2774.0
1:40.0,K. Murray makes 3-pt jump shot from 29 ft (assist by K. Huerter),102-111, ,,4,111,102,9,2780.0
1:28.0, ,102-111,Personal foul by K. Huerter (drawn by J. Butler),,4,111,102,9,2792.0
1:28.0, ,102-112,J. Butler makes free throw 1 of 2,,4,112,102,10,2792.0
1:28.0, ,102-112,T. Herro enters the game for T. Rozier,,4,112,102,10,2792.0
1:28.0, ,102-113,J. Butler makes free throw 2 of 2,,4,113,102,11,2792.0
1:17.0,D. Fox misses 2-pt layup from 7 ft,102-113, ,,4,113,102,11,2803.0
1:15.0, ,102-113,Defensive rebound by B. Adebayo,,4,113,102,11,2805.0
1:08.0, ,102-115,J. Butler makes 2-pt dunk from 5 ft,,4,115,102,13,2812.0
0:58.0,H. Barnes makes 2-pt layup from 5 ft (assist by D. Sabonis),104-115, ,,4,115,104,11,2822.0
0:33.0, ,104-115,C. Martin misses 2-pt layup from 7 ft,,4,115,104,11,2847.0
0:30.0,Defensive rebound by D. Sabonis,104-115, ,,4,115,104,11,2850.0
0:29.0,H. Barnes makes 2-pt dunk from 5 ft (assist by D. Sabonis),106-115, ,,4,115,106,9,2851.0
0:10.0, ,106-115,Turnover by Team (shot clock),,4,115,106,9,2870.0
0:00.0,End of 4th quarter,106-115,,,4,115,106,9,2880.0
