Time,Miami,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:42.0,B. Adebayo misses 2-pt jump shot from 17 ft,90-84, ,,4,90,84,6,2598.0
4:37.0, ,90-84,Defensive rebound by C. White,,4,90,84,6,2603.0
4:32.0, ,90-87,Z. LaVine makes 3-pt jump shot from 26 ft (assist by C. White),,4,90,87,3,2608.0
4:07.0,J. Butler misses 2-pt jump shot from 20 ft,90-87, ,,4,90,87,3,2633.0
4:05.0, ,90-87,Defensive rebound by N. Vučević,,4,90,87,3,2635.0
3:48.0, ,90-87,Turnover by C. White (lost ball; steal by K. Lowry),,4,90,87,3,2652.0
3:45.0,K. Lowry misses 2-pt layup from 2 ft (block by Z. LaVine),90-87, ,,4,90,87,3,2655.0
3:45.0,Offensive rebound by Team,90-87, ,,4,90,87,3,2655.0
3:37.0,Turnover by D. Robinson (lost ball; steal by A. Caruso),90-87, ,,4,90,87,3,2663.0
3:33.0,Jump ball: C. White vs. D. Robinson (A. Caruso gains possession),90-87,,,4,90,87,3,2667.0
3:26.0, ,90-89,D. DeRozan makes 2-pt layup at rim,,4,90,89,1,2674.0
3:26.0,Miami full timeout,90-89, ,,4,90,89,1,2674.0
3:26.0,J. Richardson enters the game for J. Jaquez,90-89, ,,4,90,89,1,2674.0
3:04.0,K. Lowry misses 3-pt jump shot from 26 ft,90-89, ,,4,90,89,1,2696.0
3:00.0, ,90-89,Defensive rebound by N. Vučević,,4,90,89,1,2700.0
2:48.0, ,90-89,C. White misses 3-pt jump shot from 26 ft,,4,90,89,1,2712.0
2:46.0,Defensive rebound by K. Lowry,90-89, ,,4,90,89,1,2714.0
2:38.0,Shooting foul by Z. LaVine (drawn by J. Butler),90-89, ,,4,90,89,1,2722.0
2:38.0,J. Butler makes free throw 1 of 2,91-89, ,,4,91,89,2,2722.0
2:38.0,J. Butler makes free throw 2 of 2,92-89, ,,4,92,89,3,2722.0
2:18.0, ,92-91,N. Vučević makes 2-pt dunk at rim (assist by C. White),,4,92,91,1,2742.0
1:54.0,J. Butler makes 2-pt jump shot from 19 ft (assist by B. Adebayo),94-91, ,,4,94,91,3,2766.0
1:39.0, ,94-94,D. DeRozan makes 3-pt jump shot from 23 ft (assist by C. White),Tie,4,94,94,0,2781.0
1:39.0, ,94-94,Instant Replay (Request: Ruling Stands),,4,94,94,0,2781.0
1:27.0,Personal foul by C. White (drawn by J. Butler),94-94, ,,4,94,94,0,2793.0
1:13.0,J. Butler misses 2-pt jump shot from 14 ft,94-94, ,,4,94,94,0,2807.0
1:11.0, ,94-94,Defensive rebound by Z. LaVine,,4,94,94,0,2809.0
0:57.0, ,94-94,Personal foul by D. Robinson (drawn by A. Caruso),,4,94,94,0,2823.0
0:57.0,J. Jaquez enters the game for D. Robinson,94-94, ,,4,94,94,0,2823.0
0:51.0, ,94-97,A. Caruso makes 3-pt jump shot from 25 ft (assist by Z. LaVine),Lead change,4,94,97,-3,2829.0
0:51.0,Miami full timeout,94-97, ,,4,94,97,-3,2829.0
0:51.0,D. Robinson enters the game for J. Richardson,94-97, ,,4,94,97,-3,2829.0
0:42.0,J. Butler makes 3-pt jump shot from 23 ft,97-97, ,Tie,4,97,97,0,2838.0
0:21.0, ,97-99,D. DeRozan makes 2-pt jump shot from 18 ft,,4,97,99,-2,2859.0
0:12.0,J. Butler misses 3-pt jump shot from 26 ft,97-99, ,,4,97,99,-2,2868.0
0:10.0, ,97-99,Defensive rebound by D. DeRozan,,4,97,99,-2,2870.0
0:10.0, ,97-99,Personal take foul by J. Butler (drawn by D. DeRozan),,4,97,99,-2,2870.0
0:10.0, ,97-99,D. DeRozan misses free throw 1 of 2,,4,97,99,-2,2870.0
0:10.0, ,97-99,Offensive rebound by Team,,4,97,99,-2,2870.0
0:10.0, ,97-100,D. DeRozan makes free throw 2 of 2,,4,97,100,-3,2870.0
0:10.0,Miami full timeout,97-100, ,,4,97,100,-3,2870.0
0:10.0, ,97-100,T. Craig enters the game for C. White,,4,97,100,-3,2870.0
0:06.0,J. Butler misses 3-pt jump shot from 23 ft,97-100, ,,4,97,100,-3,2874.0
0:05.0, ,97-100,Defensive rebound by D. DeRozan,,4,97,100,-3,2875.0
0:05.0, ,97-100,Personal foul by K. Lowry (drawn by D. DeRozan),,4,97,100,-3,2875.0
0:05.0, ,97-101,D. DeRozan makes free throw 1 of 2,,4,97,101,-4,2875.0
0:05.0, ,97-102,D. DeRozan makes free throw 2 of 2,,4,97,102,-5,2875.0
0:01.0,K. Lowry misses 3-pt jump shot from 27 ft,97-102, ,,4,97,102,-5,2879.0
0:01.0, ,97-102,Defensive rebound by N. Vučević,,4,97,102,-5,2879.0
0:00.0,End of 4th quarter,97-102,,,4,97,102,-5,2880.0
