Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Embiid vs. B. Adebayo (N. Jović gains possession),0-0,,,1,0,0,0,0.0
11:32.0, ,0-0,J. Butler misses 2-pt jump shot from 15 ft,,1,0,0,0,28.0
11:30.0,Defensive rebound by K. Oubre,0-0, ,,1,0,0,0,30.0
11:16.0,T. Maxey makes 2-pt layup from 7 ft (assist by J. Embiid),2-0, ,,1,0,2,-2,44.0
11:02.0, ,2-0,N. Jović misses 3-pt jump shot from 28 ft,,1,0,2,-2,58.0
11:00.0, ,2-0,Offensive rebound by J. Butler,,1,0,2,-2,60.0
10:53.0, ,2-0,D. Robinson misses 3-pt jump shot from 23 ft,,1,0,2,-2,67.0
10:52.0,Defensive rebound by Team,2-0, ,,1,0,2,-2,68.0
10:41.0,K. Oubre makes 2-pt dunk from 1 ft (assist by N. Batum),4-0, ,,1,0,4,-4,79.0
10:27.0, ,4-0,Turnover by T. Rozier (lost ball; steal by K. Lowry),,1,0,4,-4,93.0
10:21.0,T. Maxey makes 3-pt jump shot from 27 ft,7-0, ,,1,0,7,-7,99.0
10:09.0, ,7-0,T. Rozier misses 2-pt layup from 3 ft (block by J. Embiid),,1,0,7,-7,111.0
10:08.0,Defensive rebound by Team,7-0, ,,1,0,7,-7,112.0
9:53.0,T. Maxey makes 3-pt jump shot from 25 ft,10-0, ,,1,0,10,-10,127.0
9:45.0, ,10-0,Miami full timeout,,1,0,10,-10,135.0
9:35.0, ,10-0,N. Jović misses 2-pt layup from 5 ft,,1,0,10,-10,145.0
9:33.0,Defensive rebound by J. Embiid,10-0, ,,1,0,10,-10,147.0
9:20.0,J. Embiid makes 2-pt jump shot from 12 ft (assist by K. Lowry),12-0, ,,1,0,12,-12,160.0
9:08.0, ,12-2,B. Adebayo makes 2-pt jump shot from 5 ft (assist by J. Butler),,1,2,12,-10,172.0
8:44.0,J. Embiid makes 2-pt jump shot from 17 ft,14-2, ,,1,2,14,-12,196.0
8:25.0, ,14-2,N. Jović misses 3-pt jump shot from 22 ft,,1,2,14,-12,215.0
8:23.0,Defensive rebound by J. Embiid,14-2, ,,1,2,14,-12,217.0
8:10.0,N. Batum misses 3-pt jump shot from 25 ft,14-2, ,,1,2,14,-12,230.0
8:07.0, ,14-2,Defensive rebound by B. Adebayo,,1,2,14,-12,233.0
8:05.0, ,14-2,Turnover by B. Adebayo (bad pass),,1,2,14,-12,235.0
7:54.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. Maxey),17-2, ,,1,2,17,-15,246.0
7:36.0, ,17-2,B. Adebayo misses 2-pt jump shot from 12 ft,,1,2,17,-15,264.0
7:34.0,Defensive rebound by K. Lowry,17-2, ,,1,2,17,-15,266.0
7:23.0,T. Maxey misses 3-pt jump shot from 26 ft,17-2, ,,1,2,17,-15,277.0
7:20.0,Offensive rebound by T. Maxey,17-2, ,,1,2,17,-15,280.0
7:14.0,J. Embiid misses 2-pt jump shot from 10 ft,17-2, ,,1,2,17,-15,286.0
7:12.0, ,17-2,Defensive rebound by N. Jović,,1,2,17,-15,288.0
7:08.0, ,17-2,Shooting foul by J. Embiid (drawn by N. Jović),,1,2,17,-15,292.0
7:08.0, ,17-3,N. Jović makes free throw 1 of 2,,1,3,17,-14,292.0
7:08.0, ,17-4,N. Jović makes free throw 2 of 2,,1,4,17,-13,292.0
6:52.0,Turnover by K. Oubre (bad pass; steal by D. Robinson),17-4, ,,1,4,17,-13,308.0
6:47.0, ,17-7,T. Rozier makes 3-pt jump shot from 24 ft (assist by D. Robinson),,1,7,17,-10,313.0
6:35.0,J. Embiid makes 2-pt layup from 4 ft (assist by N. Batum),19-7, ,,1,7,19,-12,325.0
6:23.0, ,19-7,B. Adebayo misses 2-pt jump shot from 11 ft,,1,7,19,-12,337.0
6:20.0,Defensive rebound by T. Maxey,19-7, ,,1,7,19,-12,340.0
6:15.0,T. Maxey misses 3-pt jump shot from 26 ft,19-7, ,,1,7,19,-12,345.0
6:11.0, ,19-7,Defensive rebound by B. Adebayo,,1,7,19,-12,349.0
6:08.0, ,19-7,Shooting foul by T. Maxey (drawn by T. Rozier),,1,7,19,-12,352.0
6:08.0,P. Reed enters the game for J. Embiid,19-7, ,,1,7,19,-12,352.0
6:08.0, ,19-8,T. Rozier makes free throw 1 of 2,,1,8,19,-11,352.0
6:08.0, ,19-9,T. Rozier makes free throw 2 of 2,,1,9,19,-10,352.0
5:53.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by T. Maxey),22-9, ,,1,9,22,-13,367.0
5:36.0, ,22-11,J. Butler makes 2-pt jump shot from 5 ft,,1,11,22,-11,384.0
