Time,San Antonio,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: V. Wembanyama vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-2,B. Adebayo makes 2-pt jump shot from 7 ft (assist by J. Butler),,1,2,0,2,18.0
11:26.0,D. Vassell misses 2-pt jump shot from 16 ft,0-2, ,,1,2,0,2,34.0
11:25.0,Offensive rebound by J. Champagnie,0-2, ,,1,2,0,2,35.0
11:25.0,J. Champagnie misses 2-pt layup at rim,0-2, ,,1,2,0,2,35.0
11:24.0,Offensive rebound by J. Champagnie,0-2, ,,1,2,0,2,36.0
11:18.0,V. Wembanyama makes 3-pt jump shot from 26 ft (assist by J. Champagnie),3-2, ,Lead change,1,2,3,-1,42.0
11:04.0, ,3-4,B. Adebayo makes 2-pt layup from 6 ft (assist by T. Herro),Lead change,1,4,3,1,56.0
10:45.0,D. Vassell misses 2-pt jump shot from 21 ft,3-4, ,,1,4,3,1,75.0
10:41.0, ,3-4,Defensive rebound by J. Butler,,1,4,3,1,79.0
10:31.0, ,3-4,B. Adebayo misses 2-pt layup from 5 ft (block by V. Wembanyama),,1,4,3,1,89.0
10:28.0,Defensive rebound by J. Champagnie,3-4, ,,1,4,3,1,92.0
10:21.0,T. Jones makes 2-pt layup from 6 ft,5-4, ,Lead change,1,4,5,-1,99.0
10:04.0, ,5-7,T. Herro makes 3-pt jump shot from 28 ft (assist by T. Rozier),Lead change,1,7,5,2,116.0
9:56.0,T. Jones makes 2-pt layup from 4 ft (assist by J. Champagnie),7-7, ,Tie,1,7,7,0,124.0
9:29.0, ,7-7,T. Rozier misses 2-pt layup from 8 ft,,1,7,7,0,151.0
9:28.0,Defensive rebound by V. Wembanyama,7-7, ,,1,7,7,0,152.0
9:23.0,Personal foul by T. Rozier (drawn by J. Sochan),7-7, ,,1,7,7,0,157.0
9:14.0,J. Champagnie makes 3-pt jump shot from 24 ft (assist by T. Jones),10-7, ,Lead change,1,7,10,-3,166.0
9:02.0, ,10-7,Turnover by T. Herro (lost ball; steal by J. Champagnie),,1,7,10,-3,178.0
8:53.0,J. Champagnie misses 3-pt jump shot from 25 ft,10-7, ,,1,7,10,-3,187.0
8:50.0, ,10-7,Defensive rebound by B. Adebayo,,1,7,10,-3,190.0
8:33.0, ,10-9,J. Butler makes 2-pt jump shot from 9 ft,,1,9,10,-1,207.0
8:22.0,T. Jones misses 2-pt jump shot from 13 ft,10-9, ,,1,9,10,-1,218.0
8:22.0, ,10-9,Defensive rebound by T. Herro,,1,9,10,-1,218.0
8:15.0, ,10-11,B. Adebayo makes 2-pt layup from 7 ft (assist by T. Herro),Lead change,1,11,10,1,225.0
8:15.0, ,10-11,Shooting foul by J. Champagnie (drawn by B. Adebayo),,1,11,10,1,225.0
8:15.0, ,10-11,B. Adebayo misses free throw 1 of 1,,1,11,10,1,225.0
8:13.0,Defensive rebound by V. Wembanyama,10-11, ,,1,11,10,1,227.0
8:01.0,Personal foul by B. Adebayo (drawn by V. Wembanyama),10-11, ,,1,11,10,1,239.0
7:50.0,D. Vassell makes 2-pt jump shot from 13 ft (assist by V. Wembanyama),12-11, ,Lead change,1,11,12,-1,250.0
7:36.0, ,12-13,T. Rozier makes 2-pt jump shot from 18 ft (assist by B. Adebayo),Lead change,1,13,12,1,264.0
7:24.0,J. Sochan makes 2-pt dunk from 4 ft (assist by T. Jones),14-13, ,Lead change,1,13,14,-1,276.0
7:07.0, ,14-13,T. Herro misses 3-pt jump shot from 26 ft,,1,13,14,-1,293.0
7:04.0,Defensive rebound by V. Wembanyama,14-13, ,,1,13,14,-1,296.0
6:57.0,Turnover by V. Wembanyama (lost ball; steal by C. Martin),14-13, ,,1,13,14,-1,303.0
6:50.0, ,14-16,T. Herro makes 3-pt jump shot from 26 ft (assist by C. Martin),Lead change,1,16,14,2,310.0
6:48.0,San Antonio full timeout,14-16, ,,1,16,14,2,312.0
6:48.0, ,14-16,J. Jaquez enters the game for J. Butler,,1,16,14,2,312.0
6:30.0,V. Wembanyama makes 2-pt jump shot from 6 ft (assist by J. Sochan),16-16, ,Tie,1,16,16,0,330.0
6:17.0, ,16-16,T. Rozier misses 2-pt jump shot from 5 ft,,1,16,16,0,343.0
6:17.0, ,16-16,Offensive rebound by Team,,1,16,16,0,343.0
6:17.0,Jump ball: B. Adebayo vs. V. Wembanyama (T. Herro gains possession),16-16,,,1,16,16,0,343.0
6:17.0,K. Johnson enters the game for J. Champagnie,16-16, ,,1,16,16,0,343.0
6:04.0, ,16-18,B. Adebayo makes 2-pt jump shot from 6 ft (assist by T. Rozier),,1,18,16,2,356.0
5:41.0,J. Sochan misses 2-pt jump shot from 12 ft,16-18, ,,1,18,16,2,379.0
5:38.0, ,16-18,Defensive rebound by B. Adebayo,,1,18,16,2,382.0
5:19.0, ,16-20,T. Herro makes 2-pt jump shot from 17 ft,,1,20,16,4,401.0
5:18.0,San Antonio full timeout,16-20, ,,1,20,16,4,402.0
5:18.0,Z. Collins enters the game for T. Jones,16-20, ,,1,20,16,4,402.0
5:18.0,B. Wesley enters the game for V. Wembanyama,16-20, ,,1,20,16,4,402.0
5:02.0,Turnover by J. Sochan (lost ball; steal by B. Adebayo),16-20, ,,1,20,16,4,418.0
4:46.0, ,16-20,Personal foul by K. Johnson (drawn by C. Martin),,1,20,16,4,434.0
4:46.0,C. Osman enters the game for J. Sochan,16-20, ,,1,20,16,4,434.0
4:40.0, ,16-22,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),,1,22,16,6,440.0
4:26.0,D. Vassell misses 3-pt jump shot from 24 ft,16-22, ,,1,22,16,6,454.0
4:22.0, ,16-22,Defensive rebound by J. Jaquez,,1,22,16,6,458.0
4:09.0, ,16-24,C. Martin makes 2-pt jump shot from 23 ft (assist by T. Rozier),,1,24,16,8,471.0
3:47.0,D. Vassell misses 3-pt jump shot from 26 ft,16-24, ,,1,24,16,8,493.0
3:43.0, ,16-24,Defensive rebound by C. Martin,,1,24,16,8,497.0
3:34.0, ,16-24,Offensive foul by B. Adebayo (drawn by D. Vassell),,1,24,16,8,506.0
3:34.0, ,16-24,Turnover by B. Adebayo (offensive foul),,1,24,16,8,506.0
3:34.0, ,16-24,K. Love enters the game for B. Adebayo,,1,24,16,8,506.0
3:34.0, ,16-24,J. Richardson enters the game for T. Rozier,,1,24,16,8,506.0
3:20.0,K. Johnson misses 3-pt jump shot from 25 ft,16-24, ,,1,24,16,8,520.0
3:16.0, ,16-24,Defensive rebound by T. Herro,,1,24,16,8,524.0
3:07.0, ,16-24,K. Love misses 2-pt jump shot from 8 ft,,1,24,16,8,533.0
3:04.0,Defensive rebound by C. Osman,16-24, ,,1,24,16,8,536.0
2:58.0,C. Osman makes 2-pt jump shot from 7 ft (assist by B. Wesley),18-24, ,,1,24,18,6,542.0
2:45.0, ,18-24,J. Richardson misses 3-pt jump shot from 27 ft,,1,24,18,6,555.0
2:42.0,Defensive rebound by Z. Collins,18-24, ,,1,24,18,6,558.0
2:34.0,D. Vassell makes 2-pt jump shot from 7 ft (assist by B. Wesley),20-24, ,,1,24,20,4,566.0
2:34.0,Shooting foul by C. Martin (drawn by D. Vassell),20-24, ,,1,24,20,4,566.0
2:34.0, ,20-24,J. Butler enters the game for T. Herro,,1,24,20,4,566.0
2:34.0, ,20-24,D. Robinson enters the game for C. Martin,,1,24,20,4,566.0
2:34.0,D. Vassell makes free throw 1 of 1,21-24, ,,1,24,21,3,566.0
2:26.0, ,21-26,J. Jaquez makes 2-pt layup from 6 ft (assist by D. Robinson),,1,26,21,5,574.0
2:26.0, ,21-26,Shooting foul by K. Johnson (drawn by J. Jaquez),,1,26,21,5,574.0
2:26.0,J. Champagnie enters the game for D. Vassell,21-26, ,,1,26,21,5,574.0
2:26.0, ,21-27,J. Jaquez makes free throw 1 of 1,,1,27,21,6,574.0
2:15.0,Z. Collins makes 2-pt jump shot from 18 ft (assist by B. Wesley),23-27, ,,1,27,23,4,585.0
1:55.0, ,23-27,K. Love misses 3-pt jump shot from 28 ft,,1,27,23,4,605.0
1:52.0,Defensive rebound by Z. Collins,23-27, ,,1,27,23,4,608.0
1:50.0,Turnover by B. Wesley (dbl dribble),23-27, ,,1,27,23,4,610.0
1:35.0, ,23-30,K. Love makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,30,23,7,625.0
1:25.0,K. Johnson makes 2-pt layup from 8 ft,25-30, ,,1,30,25,5,635.0
1:25.0,Shooting foul by K. Love (drawn by K. Johnson),25-30, ,,1,30,25,5,635.0
1:25.0,K. Johnson makes free throw 1 of 1,26-30, ,,1,30,26,4,635.0
1:16.0, ,26-30,D. Robinson misses 3-pt jump shot from 27 ft,,1,30,26,4,644.0
1:12.0,Defensive rebound by C. Osman,26-30, ,,1,30,26,4,648.0
1:02.0,K. Johnson misses 2-pt jump shot from 7 ft,26-30, ,,1,30,26,4,658.0
0:58.0, ,26-30,Defensive rebound by D. Robinson,,1,30,26,4,662.0
0:48.0, ,26-30,K. Love misses 3-pt jump shot from 27 ft,,1,30,26,4,672.0
0:44.0,Defensive rebound by Z. Collins,26-30, ,,1,30,26,4,676.0
0:33.0,B. Wesley makes 2-pt layup from 2 ft (assist by J. Champagnie),28-30, ,,1,30,28,2,687.0
0:17.0, ,28-30,Personal foul by Z. Collins (drawn by J. Butler),,1,30,28,2,703.0
0:06.0, ,28-30,Shooting foul by J. Champagnie (drawn by J. Butler),,1,30,28,2,714.0
0:06.0, ,28-31,J. Butler makes free throw 1 of 2,,1,31,28,3,714.0
0:06.0, ,28-31,C. Martin enters the game for J. Jaquez,,1,31,28,3,714.0
0:06.0, ,28-32,J. Butler makes free throw 2 of 2,,1,32,28,4,714.0
0:00.0,C. Osman makes 3-pt jump shot from 28 ft (assist by Z. Collins),31-32, ,,1,32,31,1,720.0
0:00.0, ,31-32,C. Martin misses 3-pt jump shot from 51 ft,,1,32,31,1,720.0
0:00.0, ,31-32,Offensive rebound by Team,,1,32,31,1,720.0
0:00.0,End of 1st quarter,31-32,,,1,32,31,1,720.0
12:00.0,Start of 2nd quarter,31-32,,,2,32,31,1,720.0
11:49.0,K. Johnson misses 2-pt layup from 3 ft,31-32, ,,2,32,31,1,731.0
11:47.0, ,31-32,Defensive rebound by J. Butler,,2,32,31,1,733.0
11:40.0, ,31-32,J. Butler misses 2-pt jump shot from 7 ft,,2,32,31,1,740.0
11:40.0,Defensive rebound by V. Wembanyama,31-32, ,,2,32,31,1,740.0
11:30.0,V. Wembanyama misses 3-pt jump shot from 29 ft,31-32, ,,2,32,31,1,750.0
11:25.0, ,31-32,Defensive rebound by J. Butler,,2,32,31,1,755.0
11:19.0, ,31-32,J. Richardson misses 3-pt jump shot from 28 ft,,2,32,31,1,761.0
11:15.0,Defensive rebound by V. Wembanyama,31-32, ,,2,32,31,1,765.0
11:07.0,V. Wembanyama misses 2-pt jump shot from 11 ft,31-32, ,,2,32,31,1,773.0
11:04.0, ,31-32,Defensive rebound by J. Butler,,2,32,31,1,776.0
10:51.0, ,31-32,Personal foul by D. McDermott (drawn by J. Butler),,2,32,31,1,789.0
10:51.0,Z. Collins enters the game for V. Wembanyama,31-32, ,,2,32,31,1,789.0
10:43.0, ,31-32,Shooting foul by Z. Collins (drawn by J. Butler),,2,32,31,1,797.0
10:43.0, ,31-33,J. Butler makes free throw 1 of 2,,2,33,31,2,797.0
10:43.0,V. Wembanyama enters the game for Z. Collins,31-33, ,,2,33,31,2,797.0
10:43.0, ,31-34,J. Butler makes free throw 2 of 2,,2,34,31,3,797.0
10:25.0, ,31-34,Loose ball foul by J. Richardson (drawn by K. Johnson),,2,34,31,3,815.0
10:16.0,C. Osman misses 3-pt jump shot from 23 ft,31-34, ,,2,34,31,3,824.0
10:15.0, ,31-34,Defensive rebound by Team,,2,34,31,3,825.0
9:52.0, ,31-34,K. Love misses 3-pt jump shot from 27 ft,,2,34,31,3,848.0
9:49.0,Defensive rebound by V. Wembanyama,31-34, ,,2,34,31,3,851.0
9:44.0,V. Wembanyama makes 2-pt dunk from 4 ft (assist by B. Wesley),33-34, ,,2,34,33,1,856.0
9:25.0, ,33-34,D. Robinson misses 3-pt jump shot from 26 ft,,2,34,33,1,875.0
9:21.0, ,33-34,Offensive rebound by J. Butler,,2,34,33,1,879.0
9:17.0, ,33-34,J. Jaquez misses 3-pt jump shot from 24 ft,,2,34,33,1,883.0
9:14.0,Defensive rebound by B. Wesley,33-34, ,,2,34,33,1,886.0
9:02.0,K. Johnson misses 3-pt jump shot from 23 ft,33-34, ,,2,34,33,1,898.0
8:59.0, ,33-34,Defensive rebound by K. Love,,2,34,33,1,901.0
8:57.0, ,33-34,Turnover by K. Love (bad pass),,2,34,33,1,903.0
8:57.0,T. Jones enters the game for B. Wesley,33-34, ,,2,34,33,1,903.0
8:42.0,V. Wembanyama misses 2-pt jump shot from 9 ft,33-34, ,,2,34,33,1,918.0
8:38.0, ,33-34,Defensive rebound by J. Butler,,2,34,33,1,922.0
8:26.0, ,33-36,J. Butler makes 2-pt layup from 4 ft,,2,36,33,3,934.0
8:16.0,D. McDermott misses 3-pt jump shot from 26 ft,33-36, ,,2,36,33,3,944.0
8:11.0, ,33-36,Defensive rebound by K. Love,,2,36,33,3,949.0
8:11.0,J. Sochan enters the game for K. Johnson,33-36, ,,2,36,33,3,949.0
8:11.0, ,33-36,B. Adebayo enters the game for K. Love,,2,36,33,3,949.0
8:02.0, ,33-36,Turnover by D. Robinson (bad pass; steal by V. Wembanyama),,2,36,33,3,958.0
7:51.0,V. Wembanyama misses 2-pt hook shot from 12 ft,33-36, ,,2,36,33,3,969.0
7:49.0, ,33-36,Defensive rebound by B. Adebayo,,2,36,33,3,971.0
7:37.0, ,33-36,D. Robinson misses 3-pt jump shot from 22 ft,,2,36,33,3,983.0
7:33.0,Defensive rebound by D. McDermott,33-36, ,,2,36,33,3,987.0
7:21.0,Offensive foul by J. Sochan (drawn by J. Butler),33-36, ,,2,36,33,3,999.0
7:21.0,Turnover by J. Sochan (offensive foul),33-36, ,,2,36,33,3,999.0
7:21.0,D. Vassell enters the game for C. Osman,33-36, ,,2,36,33,3,999.0
7:21.0, ,33-36,T. Rozier enters the game for J. Butler,,2,36,33,3,999.0
7:09.0, ,33-36,D. Robinson misses 3-pt jump shot from 27 ft,,2,36,33,3,1011.0
7:06.0,Defensive rebound by J. Sochan,33-36, ,,2,36,33,3,1014.0
6:51.0,D. Vassell makes 2-pt jump shot from 11 ft,35-36, ,,2,36,35,1,1029.0
6:39.0, ,35-36,Turnover by J. Jaquez (lost ball; steal by J. Sochan),,2,36,35,1,1041.0
6:35.0,V. Wembanyama makes 2-pt jump shot from 6 ft (assist by J. Sochan),37-36, ,Lead change,2,36,37,-1,1045.0
6:35.0,Shooting foul by D. Robinson (drawn by V. Wembanyama),37-36, ,,2,36,37,-1,1045.0
6:35.0, ,37-36,Miami full timeout,,2,36,37,-1,1045.0
6:35.0, ,37-36,T. Herro enters the game for D. Robinson,,2,36,37,-1,1045.0
6:35.0,V. Wembanyama makes free throw 1 of 1,38-36, ,,2,36,38,-2,1045.0
6:13.0, ,38-36,T. Rozier misses 3-pt jump shot from 26 ft,,2,36,38,-2,1067.0
6:09.0,Defensive rebound by D. Vassell,38-36, ,,2,36,38,-2,1071.0
6:01.0,D. Vassell makes 2-pt layup from 6 ft (assist by T. Jones),40-36, ,,2,36,40,-4,1079.0
