Time,Miami,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:55.0, ,31-24,Defensive rebound by Team,,1,31,24,7,665.0
0:55.0,Loose ball foul by T. Herro (drawn by S. Aldama),31-24, ,,1,31,24,7,665.0
0:55.0,K. Lowry enters the game for T. Herro,31-24, ,,1,31,24,7,665.0
0:43.0, ,31-24,J. Jackson misses 3-pt jump shot from 25 ft,,1,31,24,7,677.0
0:40.0,Defensive rebound by T. Bryant,31-24, ,,1,31,24,7,680.0
0:30.0,T. Bryant makes 2-pt dunk from 2 ft (assist by J. Jaquez),33-24, ,,1,33,24,9,690.0
0:13.0, ,33-24,S. Aldama misses 2-pt jump shot from 9 ft,,1,33,24,9,707.0
0:13.0, ,33-24,Offensive rebound by Team,,1,33,24,9,707.0
0:13.0,Loose ball foul by D. Robinson (drawn by J. Jackson),33-24, ,,1,33,24,9,707.0
0:13.0, ,33-25,J. Jackson makes free throw 1 of 2,,1,33,25,8,707.0
0:13.0, ,33-26,J. Jackson makes free throw 2 of 2,,1,33,26,7,707.0
0:01.0,Offensive foul by J. Richardson (drawn by J. Gilyard),33-26, ,,1,33,26,7,719.0
0:01.0,Turnover by J. Richardson (offensive foul),33-26, ,,1,33,26,7,719.0
0:00.0,Instant Replay (Request: Ruling Stands),33-26, ,,1,33,26,7,720.0
0:00.0,End of 1st quarter,33-26,,,1,33,26,7,720.0
12:00.0,Start of 2nd quarter,33-26,,,2,33,26,7,720.0
11:46.0, ,33-26,L. Kennard misses 3-pt jump shot from 31 ft,,2,33,26,7,734.0
11:37.0,Defensive rebound by B. Adebayo,33-26, ,,2,33,26,7,743.0
11:29.0,B. Adebayo makes 2-pt dunk from 5 ft (assist by J. Richardson),35-26, ,,2,35,26,9,751.0
11:11.0, ,35-29,J. Gilyard makes 3-pt jump shot from 25 ft (assist by J. Jackson),,2,35,29,6,769.0
10:48.0,D. Robinson misses 2-pt layup from 2 ft,35-29, ,,2,35,29,6,792.0
10:46.0, ,35-29,Defensive rebound by D. Roddy,,2,35,29,6,794.0
10:39.0, ,35-29,J. Jackson misses 3-pt jump shot from 25 ft,,2,35,29,6,801.0
10:35.0, ,35-29,Offensive rebound by J. Jackson,,2,35,29,6,805.0
10:25.0, ,35-29,L. Kennard misses 3-pt jump shot from 26 ft,,2,35,29,6,815.0
10:22.0,Defensive rebound by J. Jaquez,35-29, ,,2,35,29,6,818.0
10:15.0,Turnover by D. Robinson (bad pass; steal by D. Roddy),35-29, ,,2,35,29,6,825.0
10:00.0, ,35-31,K. Lofton makes 2-pt dunk from 1 ft,,2,35,31,4,840.0
9:37.0,Personal foul by J. Jackson (drawn by B. Adebayo),35-31, ,,2,35,31,4,863.0
9:26.0,D. Robinson makes 3-pt jump shot from 26 ft,38-31, ,,2,38,31,7,874.0
9:10.0, ,38-34,J. Gilyard makes 3-pt jump shot from 26 ft (assist by L. Kennard),,2,38,34,4,890.0
8:56.0,J. Jaquez misses 2-pt jump shot from 4 ft,38-34, ,,2,38,34,4,904.0
8:56.0, ,38-34,Defensive rebound by Team,,2,38,34,4,904.0
8:56.0,Loose ball foul by J. Jaquez (drawn by J. Jackson),38-34, ,,2,38,34,4,904.0
8:56.0, ,38-34,Z. Williams enters the game for L. Kennard,,2,38,34,4,904.0
8:33.0, ,38-34,Z. Williams misses 3-pt jump shot from 25 ft (block by J. Richardson),,2,38,34,4,927.0
8:33.0, ,38-34,Offensive rebound by Z. Williams,,2,38,34,4,927.0
8:33.0, ,38-34,Z. Williams misses 3-pt jump shot from 23 ft,,2,38,34,4,927.0
8:32.0, ,38-34,Offensive rebound by Team,,2,38,34,4,928.0
8:32.0, ,38-34,Turnover by Team (shot clock),,2,38,34,4,928.0
8:15.0,Turnover by B. Adebayo (traveling),38-34, ,,2,38,34,4,945.0
7:57.0, ,38-34,K. Lofton misses 2-pt layup from 1 ft (block by D. Smith),,2,38,34,4,963.0
7:54.0,Defensive rebound by D. Smith,38-34, ,,2,38,34,4,966.0
7:49.0,Turnover by D. Robinson (step out of bounds),38-34, ,,2,38,34,4,971.0
7:49.0, ,38-34,B. Biyombo enters the game for K. Lofton,,2,38,34,4,971.0
7:35.0, ,38-34,Shooting foul by D. Robinson (drawn by D. Roddy),,2,38,34,4,985.0
7:35.0, ,38-35,D. Roddy makes free throw 1 of 2,,2,38,35,3,985.0
7:35.0, ,38-36,D. Roddy makes free throw 2 of 2,,2,38,36,2,985.0
7:24.0,J. Richardson makes 2-pt layup from 3 ft (assist by B. Adebayo),40-36, ,,2,40,36,4,996.0
7:09.0, ,40-38,D. Roddy makes 2-pt jump shot from 9 ft,,2,40,38,2,1011.0
6:58.0,B. Adebayo misses 2-pt jump shot from 19 ft,40-38, ,,2,40,38,2,1022.0
6:55.0, ,40-38,Defensive rebound by J. Jackson,,2,40,38,2,1025.0
6:48.0, ,40-38,J. Jackson misses 2-pt jump shot from 9 ft,,2,40,38,2,1032.0
6:46.0,Defensive rebound by D. Smith,40-38, ,,2,40,38,2,1034.0
6:45.0,Shooting foul by D. Roddy (drawn by J. Jaquez),40-38, ,,2,40,38,2,1035.0
6:45.0, ,40-38,Memphis full timeout,,2,40,38,2,1035.0
6:45.0, ,40-38,S. Aldama enters the game for J. Gilyard,,2,40,38,2,1035.0
6:45.0, ,40-38,D. Bane enters the game for J. Jackson,,2,40,38,2,1035.0
6:45.0,J. Jaquez misses free throw 1 of 2,40-38, ,,2,40,38,2,1035.0
6:45.0,Offensive rebound by Team,40-38, ,,2,40,38,2,1035.0
6:45.0,J. Jaquez makes free throw 2 of 2,41-38, ,,2,41,38,3,1035.0
6:32.0, ,41-38,Turnover by S. Aldama (bad pass; steal by D. Smith),,2,41,38,3,1048.0
6:24.0,J. Jaquez makes 2-pt layup from 3 ft (assist by D. Smith),43-38, ,,2,43,38,5,1056.0
6:02.0, ,43-38,Turnover by D. Roddy (bad pass; steal by J. Jaquez),,2,43,38,5,1078.0
5:54.0,J. Richardson misses 3-pt jump shot from 23 ft,43-38, ,,2,43,38,5,1086.0
5:52.0,Offensive rebound by D. Smith,43-38, ,,2,43,38,5,1088.0
5:52.0,T. Bryant enters the game for B. Adebayo,43-38, ,,2,43,38,5,1088.0
