Time,Miami,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:00.0,Loose ball foul by B. Adebayo (drawn by J. Jackson),71-64, ,,3,71,64,7,1800.0
6:00.0,Instant Replay (Request: Stands),71-64, ,,3,71,64,7,1800.0
6:00.0, ,71-64,S. Aldama enters the game for J. Jackson,,3,71,64,7,1800.0
5:47.0, ,71-64,S. Aldama misses 2-pt layup from 4 ft,,3,71,64,7,1813.0
5:44.0,Defensive rebound by B. Adebayo,71-64, ,,3,71,64,7,1816.0
5:35.0,B. Adebayo misses 2-pt dunk from 2 ft (block by S. Aldama),71-64, ,,3,71,64,7,1825.0
5:32.0,Offensive rebound by H. Highsmith,71-64, ,,3,71,64,7,1828.0
5:28.0,H. Highsmith makes 2-pt jump shot from 4 ft,73-64, ,,3,73,64,9,1832.0
5:07.0, ,73-64,S. Aldama misses 3-pt jump shot from 26 ft,,3,73,64,9,1853.0
5:04.0,Defensive rebound by D. Robinson,73-64, ,,3,73,64,9,1856.0
4:59.0,Personal foul by S. Aldama (drawn by B. Adebayo),73-64, ,,3,73,64,9,1861.0
4:59.0,T. Bryant enters the game for B. Adebayo,73-64, ,,3,73,64,9,1861.0
4:59.0,J. Richardson enters the game for D. Robinson,73-64, ,,3,73,64,9,1861.0
4:50.0,Personal foul by M. Smart (drawn by J. Butler),73-64, ,,3,73,64,9,1870.0
4:50.0, ,73-64,J. Gilyard enters the game for M. Smart,,3,73,64,9,1870.0
4:42.0,H. Highsmith misses 3-pt jump shot from 27 ft,73-64, ,,3,73,64,9,1878.0
4:38.0, ,73-64,Defensive rebound by D. Bane,,3,73,64,9,1882.0
4:26.0, ,73-64,S. Aldama misses 2-pt jump shot from 3 ft,,3,73,64,9,1894.0
4:24.0, ,73-64,Offensive rebound by Team,,3,73,64,9,1896.0
4:24.0,Loose ball foul by K. Lowry (drawn by B. Biyombo),73-64, ,,3,73,64,9,1896.0
4:24.0, ,73-64,B. Biyombo misses free throw 1 of 2,,3,73,64,9,1896.0
4:24.0, ,73-65,B. Biyombo makes free throw 2 of 2,,3,73,65,8,1896.0
4:10.0,J. Richardson misses 3-pt jump shot from 27 ft,73-65, ,,3,73,65,8,1910.0
4:06.0,Offensive rebound by K. Lowry,73-65, ,,3,73,65,8,1914.0
4:05.0,Turnover by K. Lowry (bad pass; steal by B. Biyombo),73-65, ,,3,73,65,8,1915.0
3:45.0, ,73-67,B. Biyombo makes 2-pt hook shot from 6 ft (assist by L. Kennard),,3,73,67,6,1935.0
3:28.0,T. Bryant misses 2-pt jump shot from 4 ft,73-67, ,,3,73,67,6,1952.0
3:25.0, ,73-67,Defensive rebound by D. Bane,,3,73,67,6,1955.0
3:23.0, ,73-69,S. Aldama makes 2-pt dunk from 1 ft (assist by D. Bane),,3,73,69,4,1957.0
3:23.0,Miami full timeout,73-69, ,,3,73,69,4,1957.0
3:23.0,D. Smith enters the game for K. Lowry,73-69, ,,3,73,69,4,1957.0
2:59.0,D. Smith makes 2-pt layup from 4 ft (assist by J. Richardson),75-69, ,,3,75,69,6,1981.0
2:38.0, ,75-71,S. Aldama makes 2-pt layup from 3 ft (assist by J. Gilyard),,3,75,71,4,2002.0
2:12.0,H. Highsmith makes 2-pt jump shot from 9 ft,77-71, ,,3,77,71,6,2028.0
1:57.0, ,77-71,D. Bane misses 3-pt jump shot from 26 ft,,3,77,71,6,2043.0
1:53.0,Defensive rebound by T. Bryant,77-71, ,,3,77,71,6,2047.0
1:41.0,J. Richardson misses 2-pt jump shot from 17 ft,77-71, ,,3,77,71,6,2059.0
1:37.0, ,77-71,Defensive rebound by D. Bane,,3,77,71,6,2063.0
1:31.0, ,77-71,J. Gilyard misses 3-pt jump shot from 23 ft,,3,77,71,6,2069.0
1:30.0, ,77-71,Offensive rebound by B. Biyombo,,3,77,71,6,2070.0
1:29.0, ,77-73,B. Biyombo makes 2-pt layup at rim,,3,77,73,4,2071.0
1:09.0,H. Highsmith misses 3-pt jump shot from 25 ft,77-73, ,,3,77,73,4,2091.0
1:06.0, ,77-73,Defensive rebound by S. Aldama,,3,77,73,4,2094.0
0:52.0, ,77-73,Offensive foul by B. Biyombo (drawn by D. Smith),,3,77,73,4,2108.0
0:52.0, ,77-73,Turnover by B. Biyombo (offensive foul),,3,77,73,4,2108.0
0:52.0,B. Adebayo enters the game for T. Bryant,77-73, ,,3,77,73,4,2108.0
0:52.0,J. Jaquez enters the game for J. Butler,77-73, ,,3,77,73,4,2108.0
0:52.0,D. Robinson enters the game for H. Highsmith,77-73, ,,3,77,73,4,2108.0
0:52.0, ,77-73,J. Jackson enters the game for D. Bane,,3,77,73,4,2108.0
0:52.0, ,77-73,D. Roddy enters the game for B. Biyombo,,3,77,73,4,2108.0
0:42.0,Turnover by J. Richardson (bad pass),77-73, ,,3,77,73,4,2118.0
0:36.0, ,77-73,Offensive foul by D. Roddy (drawn by J. Jaquez),,3,77,73,4,2124.0
0:36.0, ,77-73,Turnover by D. Roddy (offensive foul),,3,77,73,4,2124.0
0:23.0,D. Robinson misses 3-pt jump shot from 26 ft,77-73, ,,3,77,73,4,2137.0
0:20.0,Offensive rebound by D. Smith,77-73, ,,3,77,73,4,2140.0
0:17.0,J. Richardson misses 3-pt jump shot from 25 ft,77-73, ,,3,77,73,4,2143.0
0:17.0, ,77-73,Defensive rebound by Team,,3,77,73,4,2143.0
0:15.0,Loose ball foul by B. Adebayo (drawn by S. Aldama),77-73, ,,3,77,73,4,2145.0
0:15.0, ,77-73,Z. Williams enters the game for J. Gilyard,,3,77,73,4,2145.0
0:15.0, ,77-73,S. Aldama misses free throw 1 of 2,,3,77,73,4,2145.0
0:15.0, ,77-73,Offensive rebound by Team,,3,77,73,4,2145.0
0:15.0,T. Bryant enters the game for B. Adebayo,77-73, ,,3,77,73,4,2145.0
0:15.0, ,77-73,S. Aldama misses free throw 2 of 2,,3,77,73,4,2145.0
0:15.0, ,77-73,Offensive rebound by D. Roddy,,3,77,73,4,2145.0
0:14.0, ,77-73,D. Roddy misses 2-pt layup at rim,,3,77,73,4,2146.0
0:13.0, ,77-73,Offensive rebound by D. Roddy,,3,77,73,4,2147.0
0:09.0, ,77-73,Z. Williams misses 3-pt jump shot from 25 ft,,3,77,73,4,2151.0
0:09.0, ,77-73,Offensive rebound by J. Jackson,,3,77,73,4,2151.0
0:05.0, ,77-75,J. Jackson makes 2-pt layup at rim,,3,77,75,2,2155.0
0:05.0, ,77-75,Shooting foul by T. Bryant (drawn by J. Jackson),,3,77,75,2,2155.0
0:05.0, ,77-76,J. Jackson makes free throw 1 of 1,,3,77,76,1,2155.0
0:00.0,J. Richardson misses 2-pt jump shot from 4 ft,77-76, ,,3,77,76,1,2160.0
0:00.0,Offensive rebound by Team,77-76, ,,3,77,76,1,2160.0
0:00.0,End of 3rd quarter,77-76,,,3,77,76,1,2160.0
12:00.0,Start of 4th quarter,77-76,,,4,77,76,1,2160.0
11:58.0,Turnover by J. Richardson (bad pass; steal by S. Aldama),77-76, ,,4,77,76,1,2162.0
11:58.0, ,77-76,Personal foul by J. Jaquez (drawn by S. Aldama),,4,77,76,1,2162.0
11:46.0, ,77-79,S. Aldama makes 3-pt jump shot from 26 ft (assist by J. Gilyard),Lead change,4,77,79,-2,2174.0
11:28.0,Personal foul by J. Jackson (drawn by D. Smith),77-79, ,,4,77,79,-2,2192.0
11:28.0,K. Lowry enters the game for J. Richardson,77-79, ,,4,77,79,-2,2192.0
11:23.0,B. Adebayo misses 2-pt jump shot from 13 ft,77-79, ,,4,77,79,-2,2197.0
11:20.0, ,77-79,Defensive rebound by S. Aldama,,4,77,79,-2,2200.0
10:58.0, ,77-81,J. Jackson makes 2-pt jump shot from 8 ft,,4,77,81,-4,2222.0
10:43.0,Shooting foul by S. Aldama (drawn by B. Adebayo),77-81, ,,4,77,81,-4,2237.0
10:43.0,B. Adebayo makes free throw 1 of 2,78-81, ,,4,78,81,-3,2237.0
10:43.0,B. Adebayo makes free throw 2 of 2,79-81, ,,4,79,81,-2,2237.0
10:26.0, ,79-81,J. Jackson misses 2-pt layup from 3 ft (block by B. Adebayo),,4,79,81,-2,2254.0
10:26.0, ,79-81,Offensive rebound by Team,,4,79,81,-2,2254.0
10:20.0, ,79-81,S. Aldama misses 3-pt jump shot from 26 ft,,4,79,81,-2,2260.0
10:17.0,Defensive rebound by B. Adebayo,79-81, ,,4,79,81,-2,2263.0
10:00.0,K. Lowry misses 2-pt layup from 4 ft (block by J. Jackson),79-81, ,,4,79,81,-2,2280.0
10:00.0,Offensive rebound by Team,79-81, ,,4,79,81,-2,2280.0
9:58.0,B. Adebayo makes 2-pt jump shot from 14 ft (assist by K. Lowry),81-81, ,Tie,4,81,81,0,2282.0
9:44.0, ,81-81,Personal foul by J. Jaquez (drawn by S. Aldama),,4,81,81,0,2296.0
9:35.0, ,81-81,L. Kennard misses 3-pt jump shot from 26 ft,,4,81,81,0,2305.0
9:32.0,Defensive rebound by B. Adebayo,81-81, ,,4,81,81,0,2308.0
9:28.0,Shooting foul by J. Gilyard (drawn by B. Adebayo),81-81, ,,4,81,81,0,2312.0
9:28.0,B. Adebayo makes free throw 1 of 2,82-81, ,Lead change,4,82,81,1,2312.0
9:28.0,B. Adebayo makes free throw 2 of 2,83-81, ,,4,83,81,2,2312.0
9:11.0, ,83-83,J. Jackson makes 2-pt jump shot from 6 ft (assist by J. Gilyard),Tie,4,83,83,0,2329.0
8:51.0,K. Lowry makes 3-pt jump shot from 25 ft,86-83, ,,4,86,83,3,2349.0
8:34.0, ,86-83,S. Aldama misses 2-pt jump shot from 6 ft,,4,86,83,3,2366.0
8:32.0,Defensive rebound by J. Jaquez,86-83, ,,4,86,83,3,2368.0
8:27.0,D. Smith misses 3-pt jump shot from 26 ft,86-83, ,,4,86,83,3,2373.0
8:26.0, ,86-83,Defensive rebound by S. Aldama,,4,86,83,3,2374.0
8:26.0, ,86-83,M. Smart enters the game for J. Gilyard,,4,86,83,3,2374.0
8:26.0, ,86-83,Z. Williams enters the game for L. Kennard,,4,86,83,3,2374.0
8:18.0, ,86-85,S. Aldama makes 2-pt dunk from 4 ft (assist by M. Smart),,4,86,85,1,2382.0
8:01.0,Miami full timeout,86-85, ,,4,86,85,1,2399.0
8:01.0, ,86-85,D. Bane enters the game for D. Roddy,,4,86,85,1,2399.0
7:53.0,D. Smith misses 3-pt jump shot from 26 ft,86-85, ,,4,86,85,1,2407.0
7:48.0, ,86-85,Defensive rebound by D. Bane,,4,86,85,1,2412.0
7:33.0, ,86-85,M. Smart misses 2-pt jump shot from 10 ft,,4,86,85,1,2427.0
7:31.0,Defensive rebound by J. Jaquez,86-85, ,,4,86,85,1,2429.0
7:21.0,J. Jaquez makes 2-pt layup from 2 ft (assist by D. Robinson),88-85, ,,4,88,85,3,2439.0
7:21.0,Shooting foul by S. Aldama (drawn by J. Jaquez),88-85, ,,4,88,85,3,2439.0
7:21.0,J. Jaquez makes free throw 1 of 1,89-85, ,,4,89,85,4,2439.0
7:00.0, ,89-85,Shooting foul by K. Lowry (drawn by J. Jackson),,4,89,85,4,2460.0
7:00.0, ,89-86,J. Jackson makes free throw 1 of 2,,4,89,86,3,2460.0
7:00.0,J. Butler enters the game for D. Smith,89-86, ,,4,89,86,3,2460.0
7:00.0, ,89-86,B. Biyombo enters the game for S. Aldama,,4,89,86,3,2460.0
7:00.0, ,89-86,J. Jackson misses free throw 2 of 2,,4,89,86,3,2460.0
6:57.0,Defensive rebound by K. Lowry,89-86, ,,4,89,86,3,2463.0
6:48.0,B. Adebayo makes 2-pt jump shot from 9 ft,91-86, ,,4,91,86,5,2472.0
6:34.0, ,91-86,M. Smart misses 2-pt jump shot from 8 ft,,4,91,86,5,2486.0
6:32.0, ,91-86,Offensive rebound by B. Biyombo,,4,91,86,5,2488.0
6:32.0, ,91-86,Memphis full timeout,,4,91,86,5,2488.0
6:22.0, ,91-86,D. Bane misses 2-pt jump shot from 20 ft (block by B. Adebayo),,4,91,86,5,2498.0
6:19.0,Defensive rebound by K. Lowry,91-86, ,,4,91,86,5,2501.0
6:11.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Jaquez),94-86, ,,4,94,86,8,2509.0
5:42.0, ,94-86,M. Smart misses 3-pt jump shot from 27 ft,,4,94,86,8,2538.0
5:40.0,Defensive rebound by K. Lowry,94-86, ,,4,94,86,8,2540.0
5:27.0,Turnover by D. Robinson (bad pass; steal by Z. Williams),94-86, ,,4,94,86,8,2553.0
5:15.0, ,94-86,Z. Williams misses 2-pt jump shot from 5 ft,,4,94,86,8,2565.0
5:15.0, ,94-86,Offensive rebound by Team,,4,94,86,8,2565.0
5:15.0,Loose ball foul by J. Jaquez (drawn by B. Biyombo),94-86, ,,4,94,86,8,2565.0
5:15.0, ,94-86,L. Kennard enters the game for Z. Williams,,4,94,86,8,2565.0
5:03.0, ,94-86,D. Bane misses 2-pt jump shot from 11 ft,,4,94,86,8,2577.0
5:01.0,Defensive rebound by K. Lowry,94-86, ,,4,94,86,8,2579.0
4:51.0,Personal foul by J. Jackson (drawn by B. Adebayo),94-86, ,,4,94,86,8,2589.0
4:51.0,B. Adebayo misses free throw 1 of 2,94-86, ,,4,94,86,8,2589.0
4:51.0,Offensive rebound by Team,94-86, ,,4,94,86,8,2589.0
4:51.0,B. Adebayo makes free throw 2 of 2,95-86, ,,4,95,86,9,2589.0
4:44.0, ,95-86,J. Jackson misses 3-pt jump shot from 25 ft,,4,95,86,9,2596.0
4:40.0, ,95-86,Offensive rebound by B. Biyombo,,4,95,86,9,2600.0
4:32.0, ,95-88,M. Smart makes 2-pt jump shot from 8 ft (assist by L. Kennard),,4,95,88,7,2608.0
4:13.0,Shooting foul by B. Biyombo (drawn by B. Adebayo),95-88, ,,4,95,88,7,2627.0
4:13.0,B. Adebayo makes free throw 1 of 2,96-88, ,,4,96,88,8,2627.0
4:13.0,B. Adebayo misses free throw 2 of 2,96-88, ,,4,96,88,8,2627.0
4:10.0, ,96-88,Defensive rebound by B. Biyombo,,4,96,88,8,2630.0
3:57.0, ,96-88,Turnover by J. Jackson (lost ball; steal by J. Jaquez),,4,96,88,8,2643.0
3:54.0,J. Jaquez makes 2-pt layup from 1 ft (assist by K. Lowry),98-88, ,,4,98,88,10,2646.0
3:54.0, ,98-88,Memphis full timeout,,4,98,88,10,2646.0
3:54.0, ,98-88,S. Aldama enters the game for B. Biyombo,,4,98,88,10,2646.0
3:54.0, ,98-88,Technical foul by M. Smart,,4,98,88,10,2646.0
3:54.0,K. Lowry makes technical free throw,99-88, ,,4,99,88,11,2646.0
3:44.0, ,99-88,Personal foul by B. Adebayo (drawn by M. Smart),,4,99,88,11,2656.0
3:44.0, ,99-89,M. Smart makes free throw 1 of 2,,4,99,89,10,2656.0
3:44.0, ,99-90,M. Smart makes free throw 2 of 2,,4,99,90,9,2656.0
3:36.0,Personal foul by J. Jackson (drawn by B. Adebayo),99-90, ,,4,99,90,9,2664.0
3:36.0,B. Adebayo makes free throw 1 of 2,100-90, ,,4,100,90,10,2664.0
3:36.0,B. Adebayo makes free throw 2 of 2,101-90, ,,4,101,90,11,2664.0
3:27.0, ,101-90,Shooting foul by J. Jaquez (drawn by D. Bane),,4,101,90,11,2673.0
3:27.0, ,101-91,D. Bane makes free throw 1 of 2,,4,101,91,10,2673.0
3:27.0, ,101-92,D. Bane makes free throw 2 of 2,,4,101,92,9,2673.0
3:06.0,B. Adebayo makes 2-pt jump shot from 8 ft,103-92, ,,4,103,92,11,2694.0
2:56.0, ,103-92,D. Bane misses 2-pt jump shot from 21 ft,,4,103,92,11,2704.0
2:51.0,Defensive rebound by B. Adebayo,103-92, ,,4,103,92,11,2709.0
2:43.0,D. Robinson misses 3-pt jump shot from 29 ft,103-92, ,,4,103,92,11,2717.0
2:42.0, ,103-92,Defensive rebound by Team,,4,103,92,11,2718.0
2:22.0, ,103-94,J. Jackson makes 2-pt layup from 2 ft (assist by M. Smart),,4,103,94,9,2738.0
2:03.0,J. Butler misses 3-pt jump shot from 23 ft,103-94, ,,4,103,94,9,2757.0
2:01.0, ,103-94,Defensive rebound by S. Aldama,,4,103,94,9,2759.0
1:57.0, ,103-94,D. Bane misses 3-pt jump shot from 27 ft,,4,103,94,9,2763.0
1:55.0,Defensive rebound by Team,103-94, ,,4,103,94,9,2765.0
1:55.0, ,103-94,Loose ball foul by S. Aldama (drawn by B. Adebayo),,4,103,94,9,2765.0
1:55.0,B. Adebayo makes free throw 1 of 2,104-94, ,,4,104,94,10,2765.0
1:55.0,B. Adebayo makes free throw 2 of 2,105-94, ,,4,105,94,11,2765.0
1:50.0, ,105-94,Personal foul by D. Robinson (drawn by L. Kennard),,4,105,94,11,2770.0
1:50.0, ,105-95,L. Kennard makes free throw 1 of 2,,4,105,95,10,2770.0
1:50.0, ,105-96,L. Kennard makes free throw 2 of 2,,4,105,96,9,2770.0
1:32.0,D. Robinson misses 3-pt jump shot from 26 ft,105-96, ,,4,105,96,9,2788.0
1:29.0, ,105-96,Defensive rebound by M. Smart,,4,105,96,9,2791.0
1:14.0, ,105-96,Shooting foul by J. Butler (drawn by J. Jackson),,4,105,96,9,2806.0
1:14.0, ,105-96,J. Jackson misses free throw 1 of 2,,4,105,96,9,2806.0
1:14.0, ,105-96,Offensive rebound by Team,,4,105,96,9,2806.0
1:14.0, ,105-97,J. Jackson makes free throw 2 of 2,,4,105,97,8,2806.0
0:55.0,Turnover by D. Robinson (traveling),105-97, ,,4,105,97,8,2825.0
0:46.0, ,105-99,D. Bane makes 2-pt layup from 1 ft,,4,105,99,6,2834.0
0:38.0,Turnover by K. Lowry (bad pass; steal by S. Aldama),105-99, ,,4,105,99,6,2842.0
0:35.0, ,105-102,S. Aldama makes 3-pt jump shot from 26 ft,,4,105,102,3,2845.0
0:35.0,Miami full timeout,105-102, ,,4,105,102,3,2845.0
0:18.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by D. Robinson),108-102, ,,4,108,102,6,2862.0
0:09.0, ,108-102,J. Jackson misses 3-pt jump shot from 27 ft,,4,108,102,6,2871.0
0:07.0,Defensive rebound by K. Lowry,108-102, ,,4,108,102,6,2873.0
0:00.0,End of 4th quarter,108-102,,,4,108,102,6,2880.0
