Time,Utah,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Collins vs. B. Adebayo (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-0,D. Robinson misses 3-pt jump shot from 26 ft,,1,0,0,0,23.0
11:34.0, ,0-0,Offensive rebound by T. Rozier,,1,0,0,0,26.0
11:32.0, ,0-0,D. Robinson misses 3-pt jump shot from 25 ft,,1,0,0,0,28.0
11:29.0,Defensive rebound by T. Hendricks,0-0, ,,1,0,0,0,31.0
11:12.0,J. Collins misses 2-pt hook shot from 8 ft (block by J. Butler),0-0, ,,1,0,0,0,48.0
11:08.0, ,0-0,Defensive rebound by N. Jović,,1,0,0,0,52.0
11:04.0, ,0-0,T. Rozier misses 2-pt jump shot from 19 ft,,1,0,0,0,56.0
11:02.0,Defensive rebound by Team,0-0, ,,1,0,0,0,58.0
10:48.0,C. Sexton makes 2-pt jump shot from 14 ft (assist by J. Collins),2-0, ,,1,0,2,-2,72.0
10:32.0, ,2-0,B. Adebayo misses 2-pt dunk at rim (block by T. Hendricks),,1,0,2,-2,88.0
10:31.0, ,2-0,Offensive rebound by B. Adebayo,,1,0,2,-2,89.0
10:30.0, ,2-0,B. Adebayo misses 2-pt layup from 1 ft (block by L. Markkanen),,1,0,2,-2,90.0
10:29.0,Defensive rebound by J. Collins,2-0, ,,1,0,2,-2,91.0
10:21.0,J. Collins makes 2-pt dunk from 2 ft (assist by C. Sexton),4-0, ,,1,0,4,-4,99.0
9:58.0, ,4-3,J. Butler makes 3-pt jump shot from 24 ft (assist by D. Robinson),,1,3,4,-1,122.0
9:35.0,K. George makes 3-pt jump shot from 25 ft (assist by J. Collins),7-3, ,,1,3,7,-4,145.0
9:18.0, ,7-6,N. Jović makes 3-pt jump shot from 27 ft (assist by J. Butler),,1,6,7,-1,162.0
9:01.0,L. Markkanen misses 3-pt jump shot from 27 ft,7-6, ,,1,6,7,-1,179.0
8:59.0, ,7-6,Defensive rebound by D. Robinson,,1,6,7,-1,181.0
8:47.0, ,7-8,B. Adebayo makes 2-pt jump shot from 14 ft (assist by J. Butler),Lead change,1,8,7,1,193.0
8:35.0,J. Collins misses 3-pt jump shot from 26 ft,7-8, ,,1,8,7,1,205.0
8:35.0, ,7-8,Defensive rebound by D. Robinson,,1,8,7,1,205.0
8:25.0, ,7-11,D. Robinson makes 3-pt jump shot from 25 ft (assist by N. Jović),,1,11,7,4,215.0
8:03.0,K. George makes 2-pt layup from 2 ft,9-11, ,,1,11,9,2,237.0
7:52.0, ,9-13,D. Robinson makes 2-pt layup from 1 ft (assist by J. Butler),,1,13,9,4,248.0
7:35.0,C. Sexton misses 3-pt jump shot from 23 ft,9-13, ,,1,13,9,4,265.0
7:32.0, ,9-13,Defensive rebound by J. Butler,,1,13,9,4,268.0
7:22.0, ,9-13,B. Adebayo misses 2-pt layup from 6 ft,,1,13,9,4,278.0
7:18.0,Defensive rebound by K. George,9-13, ,,1,13,9,4,282.0
7:15.0,T. Hendricks misses 3-pt jump shot from 26 ft,9-13, ,,1,13,9,4,285.0
7:11.0,Offensive rebound by J. Collins,9-13, ,,1,13,9,4,289.0
7:09.0,J. Collins makes 2-pt layup from 1 ft,11-13, ,,1,13,11,2,291.0
6:56.0, ,11-15,T. Rozier makes 2-pt jump shot from 22 ft,,1,15,11,4,304.0
6:44.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by J. Collins),14-15, ,,1,15,14,1,316.0
6:33.0, ,14-18,N. Jović makes 3-pt jump shot from 26 ft (assist by T. Rozier),,1,18,14,4,327.0
6:09.0,T. Hendricks makes 2-pt layup from 3 ft (assist by C. Sexton),16-18, ,,1,18,16,2,351.0
5:55.0, ,16-18,N. Jović misses 3-pt jump shot from 26 ft,,1,18,16,2,365.0
5:52.0,Defensive rebound by C. Sexton,16-18, ,,1,18,16,2,368.0
5:47.0,C. Sexton misses 2-pt layup from 2 ft,16-18, ,,1,18,16,2,373.0
5:44.0, ,16-18,Defensive rebound by B. Adebayo,,1,18,16,2,376.0
5:40.0, ,16-20,J. Butler makes 2-pt layup from 4 ft (assist by T. Rozier),,1,20,16,4,380.0
5:28.0,L. Markkanen misses 3-pt jump shot from 26 ft,16-20, ,,1,20,16,4,392.0
5:24.0, ,16-20,Defensive rebound by B. Adebayo,,1,20,16,4,396.0
5:20.0, ,16-20,Offensive foul by J. Butler (drawn by L. Markkanen),,1,20,16,4,400.0
5:20.0, ,16-20,Turnover by J. Butler (offensive foul),,1,20,16,4,400.0
5:20.0, ,16-20,Miami full timeout,,1,20,16,4,400.0
5:20.0,K. Dunn enters the game for J. Collins,16-20, ,,1,20,16,4,400.0
5:20.0,O. Yurtseven enters the game for T. Hendricks,16-20, ,,1,20,16,4,400.0
5:20.0, ,16-20,J. Jaquez enters the game for J. Butler,,1,20,16,4,400.0
5:05.0,Shooting foul by N. Jović (drawn by O. Yurtseven),16-20, ,,1,20,16,4,415.0
5:05.0,O. Yurtseven misses free throw 1 of 2,16-20, ,,1,20,16,4,415.0
5:05.0,Offensive rebound by Team,16-20, ,,1,20,16,4,415.0
5:05.0,O. Yurtseven makes free throw 2 of 2,17-20, ,,1,20,17,3,415.0
4:46.0, ,17-22,B. Adebayo makes 2-pt hook shot from 5 ft,,1,22,17,5,434.0
4:36.0,C. Sexton makes 2-pt layup from 1 ft,19-22, ,,1,22,19,3,444.0
4:31.0, ,19-22,Turnover by J. Jaquez (bad pass; steal by K. Dunn),,1,22,19,3,449.0
4:31.0,Shooting foul by N. Jović (drawn by C. Sexton),19-22, ,,1,22,19,3,449.0
4:31.0,C. Sexton makes free throw 1 of 2,20-22, ,,1,22,20,2,449.0
4:31.0, ,20-22,C. Martin enters the game for N. Jović,,1,22,20,2,449.0
4:31.0,C. Sexton makes free throw 2 of 2,21-22, ,,1,22,21,1,449.0
4:14.0, ,21-24,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),,1,24,21,3,466.0
3:51.0,K. George makes 3-pt jump shot from 26 ft (assist by K. Dunn),24-24, ,Tie,1,24,24,0,489.0
3:42.0,Violation by Team (kicked ball),24-24, ,,1,24,24,0,498.0
3:42.0,T. Horton-Tucker enters the game for C. Sexton,24-24, ,,1,24,24,0,498.0
3:29.0, ,24-24,Turnover by D. Robinson (bad pass; steal by L. Markkanen),,1,24,24,0,511.0
3:26.0,K. George misses 3-pt jump shot from 23 ft (block by C. Martin),24-24, ,,1,24,24,0,514.0
3:26.0,Offensive rebound by Team,24-24, ,,1,24,24,0,514.0
3:26.0, ,24-24,H. Highsmith enters the game for T. Rozier,,1,24,24,0,514.0
3:22.0,K. George misses 3-pt jump shot from 26 ft,24-24, ,,1,24,24,0,518.0
3:16.0, ,24-24,Defensive rebound by C. Martin,,1,24,24,0,524.0
3:01.0, ,24-24,D. Robinson misses 2-pt jump shot from 9 ft,,1,24,24,0,539.0
2:58.0,Defensive rebound by T. Horton-Tucker,24-24, ,,1,24,24,0,542.0
2:46.0,L. Markkanen misses 3-pt jump shot from 26 ft,24-24, ,,1,24,24,0,554.0
2:45.0,Offensive rebound by O. Yurtseven,24-24, ,,1,24,24,0,555.0
2:44.0,O. Yurtseven makes 2-pt jump shot from 7 ft,26-24, ,Lead change,1,24,26,-2,556.0
2:44.0, ,26-24,Miami full timeout,,1,24,26,-2,556.0
2:44.0,B. Sensabaugh enters the game for K. George,26-24, ,,1,24,26,-2,556.0
2:36.0, ,26-24,Personal foul by K. Dunn (drawn by B. Adebayo),,1,24,26,-2,564.0
2:36.0, ,26-24,J. Butler enters the game for B. Adebayo,,1,24,26,-2,564.0
2:36.0, ,26-24,O. Robinson enters the game for D. Robinson,,1,24,26,-2,564.0
2:26.0, ,26-24,H. Highsmith misses 3-pt jump shot from 26 ft,,1,24,26,-2,574.0
2:23.0,Defensive rebound by T. Horton-Tucker,26-24, ,,1,24,26,-2,577.0
2:21.0,T. Horton-Tucker misses 2-pt layup from 2 ft,26-24, ,,1,24,26,-2,579.0
2:21.0,Offensive rebound by Team,26-24, ,,1,24,26,-2,579.0
2:17.0,Personal foul by J. Jaquez (drawn by O. Yurtseven),26-24, ,,1,24,26,-2,583.0
2:08.0,L. Markkanen misses 2-pt layup from 3 ft,26-24, ,,1,24,26,-2,592.0
2:07.0,Offensive rebound by O. Yurtseven,26-24, ,,1,24,26,-2,593.0
2:07.0,O. Yurtseven makes 2-pt layup at rim,28-24, ,,1,24,28,-4,593.0
1:58.0, ,28-24,Personal foul by B. Sensabaugh (drawn by H. Highsmith),,1,24,28,-4,602.0
1:50.0, ,28-24,Personal foul by K. Dunn (drawn by J. Butler),,1,24,28,-4,610.0
1:50.0, ,28-25,J. Butler makes free throw 1 of 2,,1,25,28,-3,610.0
1:50.0, ,28-26,J. Butler makes free throw 2 of 2,,1,26,28,-2,610.0
