Time,Toronto,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:46.0,Shooting foul by C. Swider (drawn by J. McDaniels),99-116, ,,4,116,99,17,2834.0
0:46.0,J. McDaniels makes free throw 1 of 2,100-116, ,,4,116,100,16,2834.0
0:46.0,J. McDaniels makes free throw 2 of 2,101-116, ,,4,116,101,15,2834.0
0:32.0, ,101-116,A. Williams misses 3-pt jump shot from 27 ft,,4,116,101,15,2848.0
0:29.0,Defensive rebound by J. Nwora,101-116, ,,4,116,101,15,2851.0
0:28.0,J. Nwora misses 2-pt layup from 2 ft (block by A. Williams),101-116, ,,4,116,101,15,2852.0
0:28.0,Offensive rebound by Team,101-116, ,,4,116,101,15,2852.0
0:27.0,Shooting foul by J. Cain (drawn by J. Freeman-Liberty),101-116, ,,4,116,101,15,2853.0
0:27.0,J. Freeman-Liberty makes free throw 1 of 2,102-116, ,,4,116,102,14,2853.0
0:27.0,J. Freeman-Liberty makes free throw 2 of 2,103-116, ,,4,116,103,13,2853.0
0:06.0, ,103-118,A. Williams makes 2-pt layup from 3 ft,,4,118,103,15,2874.0
0:00.0,G. Temple misses 3-pt jump shot from 27 ft,103-118, ,,4,118,103,15,2880.0
0:00.0,Offensive rebound by Team,103-118, ,,4,118,103,15,2880.0
0:00.0,End of 4th quarter,103-118,,,4,118,103,15,2880.0
