Time,Miami,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:45.0,D. Robinson enters the game for J. Jaquez,12-16, ,,1,12,16,-4,375.0
5:45.0, ,12-16,B. Bol enters the game for B. Beal,,1,12,16,-4,375.0
5:45.0, ,12-16,J. Okogie enters the game for C. Metu,,1,12,16,-4,375.0
5:31.0, ,12-16,G. Allen misses 3-pt jump shot from 24 ft,,1,12,16,-4,389.0
5:28.0,Defensive rebound by T. Herro,12-16, ,,1,12,16,-4,392.0
5:16.0,K. Love makes 3-pt jump shot from 25 ft (assist by T. Herro),15-16, ,,1,15,16,-1,404.0
4:49.0, ,15-16,G. Allen misses 2-pt layup from 5 ft (block by D. Robinson),,1,15,16,-1,431.0
4:49.0, ,15-16,Offensive rebound by G. Allen,,1,15,16,-1,431.0
4:49.0, ,15-16,Turnover by Team (shot clock),,1,15,16,-1,431.0
4:35.0,K. Lowry misses 3-pt jump shot from 25 ft,15-16, ,,1,15,16,-1,445.0
4:32.0, ,15-16,Defensive rebound by B. Bol,,1,15,16,-1,448.0
4:29.0, ,15-19,D. Booker makes 3-pt jump shot from 31 ft,,1,15,19,-4,451.0
4:11.0,Shooting foul by B. Bol (drawn by K. Love),15-19, ,,1,15,19,-4,469.0
4:11.0,K. Love makes free throw 1 of 2,16-19, ,,1,16,19,-3,469.0
4:11.0, ,16-19,D. Eubanks enters the game for J. Nurkić,,1,16,19,-3,469.0
4:11.0,K. Love makes free throw 2 of 2,17-19, ,,1,17,19,-2,469.0
4:02.0, ,17-21,D. Eubanks makes 2-pt dunk from 1 ft (assist by J. Okogie),,1,17,21,-4,478.0
3:51.0,K. Love makes 3-pt jump shot from 26 ft (assist by K. Lowry),20-21, ,,1,20,21,-1,489.0
3:27.0, ,20-21,D. Eubanks misses 2-pt jump shot from 10 ft,,1,20,21,-1,513.0
3:25.0,Defensive rebound by K. Love,20-21, ,,1,20,21,-1,515.0
3:17.0,D. Robinson misses 3-pt jump shot from 23 ft,20-21, ,,1,20,21,-1,523.0
3:13.0, ,20-21,Defensive rebound by D. Eubanks,,1,20,21,-1,527.0
3:06.0, ,20-21,D. Booker misses 3-pt jump shot from 31 ft,,1,20,21,-1,534.0
3:02.0, ,20-21,Offensive rebound by B. Bol,,1,20,21,-1,538.0
2:57.0, ,20-24,G. Allen makes 3-pt jump shot from 25 ft (assist by B. Bol),,1,20,24,-4,543.0
2:32.0,K. Love makes 2-pt jump shot from 14 ft,22-24, ,,1,22,24,-2,568.0
2:22.0, ,22-26,D. Booker makes 2-pt jump shot from 13 ft,,1,22,26,-4,578.0
2:20.0,Miami full timeout,22-26, ,,1,22,26,-4,580.0
2:20.0,J. Jaquez enters the game for T. Herro,22-26, ,,1,22,26,-4,580.0
2:20.0,J. Richardson enters the game for K. Lowry,22-26, ,,1,22,26,-4,580.0
2:20.0, ,22-26,B. Beal enters the game for G. Allen,,1,22,26,-4,580.0
2:09.0,K. Love makes 2-pt hook shot from 4 ft (assist by J. Richardson),24-26, ,,1,24,26,-2,591.0
1:50.0, ,24-26,Personal foul by D. Robinson (drawn by J. Okogie),,1,24,26,-2,610.0
1:37.0, ,24-26,D. Eubanks misses 2-pt hook shot from 12 ft,,1,24,26,-2,623.0
1:34.0, ,24-26,Offensive rebound by J. Okogie,,1,24,26,-2,626.0
1:34.0, ,24-26,J. Okogie misses 2-pt layup from 1 ft,,1,24,26,-2,626.0
1:32.0,Defensive rebound by N. Jović,24-26, ,,1,24,26,-2,628.0
1:19.0,K. Love makes 3-pt jump shot from 23 ft (assist by D. Robinson),27-26, ,Lead change,1,27,26,1,641.0
1:01.0, ,27-26,Shooting foul by J. Jaquez (drawn by J. Okogie),,1,27,26,1,659.0
1:01.0, ,27-27,J. Okogie makes free throw 1 of 2,Tie,1,27,27,0,659.0
1:01.0, ,27-28,J. Okogie makes free throw 2 of 2,Lead change,1,27,28,-1,659.0
0:49.0,N. Jović misses 3-pt jump shot from 26 ft,27-28, ,,1,27,28,-1,671.0
0:47.0, ,27-28,Defensive rebound by D. Booker,,1,27,28,-1,673.0
0:39.0, ,27-30,B. Beal makes 2-pt layup from 4 ft (assist by D. Booker),,1,27,30,-3,681.0
0:30.0,J. Jaquez makes 2-pt layup from 3 ft (assist by K. Love),29-30, ,,1,29,30,-1,690.0
0:09.0, ,29-33,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Okogie),,1,29,33,-4,711.0
0:00.0,End of 1st quarter,29-33,,,1,29,33,-4,720.0
12:00.0,Start of 2nd quarter,29-33,,,2,29,33,-4,720.0
12:00.0, ,29-33,Violation by Team (delay of game),,2,29,33,-4,720.0
11:47.0, ,29-33,B. Beal misses 2-pt jump shot from 23 ft,,2,29,33,-4,733.0
11:46.0, ,29-33,Offensive rebound by Team,,2,29,33,-4,734.0
11:46.0,Loose ball foul by K. Love (drawn by D. Eubanks),29-33, ,,2,29,33,-4,734.0
11:32.0, ,29-33,G. Allen misses 3-pt jump shot from 31 ft,,2,29,33,-4,748.0
11:28.0,Defensive rebound by J. Richardson,29-33, ,,2,29,33,-4,752.0
11:17.0,Shooting foul by B. Beal (drawn by J. Richardson),29-33, ,,2,29,33,-4,763.0
11:17.0,J. Richardson makes free throw 1 of 3,30-33, ,,2,30,33,-3,763.0
11:17.0,J. Richardson makes free throw 2 of 3,31-33, ,,2,31,33,-2,763.0
11:17.0,J. Richardson makes free throw 3 of 3,32-33, ,,2,32,33,-1,763.0
10:55.0, ,32-33,D. Eubanks misses 2-pt hook shot from 8 ft,,2,32,33,-1,785.0
10:53.0,Defensive rebound by J. Richardson,32-33, ,,2,32,33,-1,787.0
10:39.0,B. Adebayo makes 2-pt layup from 2 ft,34-33, ,Lead change,2,34,33,1,801.0
10:21.0, ,34-35,B. Beal makes 2-pt jump shot from 6 ft,Lead change,2,34,35,-1,819.0
10:07.0,Turnover by J. Jaquez (bad pass),34-35, ,,2,34,35,-1,833.0
9:58.0, ,34-35,Y. Watanabe misses 3-pt jump shot from 23 ft,,2,34,35,-1,842.0
9:54.0,Defensive rebound by J. Richardson,34-35, ,,2,34,35,-1,846.0
9:33.0,J. Richardson misses 2-pt jump shot from 18 ft,34-35, ,,2,34,35,-1,867.0
9:30.0,Offensive rebound by K. Love,34-35, ,,2,34,35,-1,870.0
9:29.0,Shooting foul by K. Bates-Diop (drawn by J. Richardson),34-35, ,,2,34,35,-1,871.0
9:29.0,J. Richardson makes free throw 1 of 2,35-35, ,Tie,2,35,35,0,871.0
9:29.0,N. Jović enters the game for K. Love,35-35, ,,2,35,35,0,871.0
9:29.0,J. Richardson makes free throw 2 of 2,36-35, ,Lead change,2,36,35,1,871.0
9:11.0, ,36-35,Personal foul by D. Robinson (drawn by Y. Watanabe),,2,36,35,1,889.0
9:01.0, ,36-35,Y. Watanabe misses 2-pt jump shot from 9 ft,,2,36,35,1,899.0
8:58.0,Defensive rebound by N. Jović,36-35, ,,2,36,35,1,902.0
8:52.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Jaquez),38-35, ,,2,38,35,3,908.0
8:52.0,Shooting foul by D. Eubanks (drawn by B. Adebayo),38-35, ,,2,38,35,3,908.0
8:52.0, ,38-35,J. Nurkić enters the game for D. Eubanks,,2,38,35,3,908.0
8:52.0,B. Adebayo makes free throw 1 of 1,39-35, ,,2,39,35,4,908.0
8:33.0, ,39-38,G. Allen makes 3-pt jump shot from 29 ft (assist by B. Beal),,2,39,38,1,927.0
8:19.0,B. Adebayo makes 2-pt jump shot from 16 ft (assist by J. Richardson),41-38, ,,2,41,38,3,941.0
8:01.0, ,41-41,G. Allen makes 3-pt jump shot from 27 ft (assist by B. Beal),Tie,2,41,41,0,959.0
7:47.0,D. Robinson misses 3-pt jump shot from 26 ft,41-41, ,,2,41,41,0,973.0
7:44.0, ,41-41,Defensive rebound by K. Bates-Diop,,2,41,41,0,976.0
7:40.0, ,41-41,B. Beal misses 3-pt jump shot from 26 ft,,2,41,41,0,980.0
7:36.0,Defensive rebound by B. Adebayo,41-41, ,,2,41,41,0,984.0
7:29.0,Turnover by B. Adebayo (lost ball; steal by K. Bates-Diop),41-41, ,,2,41,41,0,991.0
7:27.0, ,41-41,K. Bates-Diop misses 2-pt layup from 3 ft,,2,41,41,0,993.0
7:26.0, ,41-41,Offensive rebound by Y. Watanabe,,2,41,41,0,994.0
7:25.0, ,41-43,Y. Watanabe makes 2-pt layup at rim,Lead change,2,41,43,-2,995.0
7:25.0,Miami full timeout,41-43, ,,2,41,43,-2,995.0
7:25.0,T. Herro enters the game for J. Jaquez,41-43, ,,2,41,43,-2,995.0
7:24.0,Personal foul by J. Nurkić (drawn by D. Robinson),41-43, ,,2,41,43,-2,996.0
7:11.0,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Robinson),43-43, ,Tie,2,43,43,0,1009.0
6:53.0, ,43-46,G. Allen makes 3-pt jump shot from 27 ft (assist by J. Nurkić),,2,43,46,-3,1027.0
6:35.0,D. Robinson misses 2-pt jump shot from 5 ft,43-46, ,,2,43,46,-3,1045.0
6:34.0,Offensive rebound by J. Richardson,43-46, ,,2,43,46,-3,1046.0
6:23.0,B. Adebayo misses 2-pt jump shot from 13 ft,43-46, ,,2,43,46,-3,1057.0
6:21.0, ,43-46,Defensive rebound by K. Bates-Diop,,2,43,46,-3,1059.0
6:07.0, ,43-46,J. Nurkić misses 3-pt jump shot from 22 ft,,2,43,46,-3,1073.0
6:04.0,Defensive rebound by N. Jović,43-46, ,,2,43,46,-3,1076.0
6:00.0,J. Richardson misses 3-pt jump shot from 25 ft,43-46, ,,2,43,46,-3,1080.0
5:57.0, ,43-46,Defensive rebound by B. Beal,,2,43,46,-3,1083.0
5:47.0, ,43-46,B. Beal misses 3-pt jump shot from 24 ft,,2,43,46,-3,1093.0
5:44.0,Defensive rebound by J. Richardson,43-46, ,,2,43,46,-3,1096.0
5:26.0,T. Herro misses 3-pt jump shot from 26 ft,43-46, ,,2,43,46,-3,1114.0
5:22.0, ,43-46,Defensive rebound by B. Beal,,2,43,46,-3,1118.0
5:15.0, ,43-48,B. Beal makes 2-pt layup from 1 ft,,2,43,48,-5,1125.0
5:02.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by T. Herro),46-48, ,,2,46,48,-2,1138.0
5:01.0, ,46-48,Phoenix full timeout,,2,46,48,-2,1139.0
5:01.0,K. Lowry enters the game for D. Robinson,46-48, ,,2,46,48,-2,1139.0
5:01.0, ,46-48,D. Booker enters the game for K. Bates-Diop,,2,46,48,-2,1139.0
5:01.0, ,46-48,C. Metu enters the game for B. Beal,,2,46,48,-2,1139.0
5:01.0, ,46-48,J. Okogie enters the game for Y. Watanabe,,2,46,48,-2,1139.0
4:46.0, ,46-50,J. Nurkić makes 2-pt hook shot from 10 ft,,2,46,50,-4,1154.0
4:26.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by J. Richardson),48-50, ,,2,48,50,-2,1174.0
4:15.0, ,48-50,J. Okogie misses 3-pt jump shot from 23 ft,,2,48,50,-2,1185.0
4:13.0,Defensive rebound by T. Herro,48-50, ,,2,48,50,-2,1187.0
4:05.0,Personal foul by J. Okogie (drawn by B. Adebayo),48-50, ,,2,48,50,-2,1195.0
4:05.0,B. Adebayo makes free throw 1 of 2,49-50, ,,2,49,50,-1,1195.0
4:05.0,K. Love enters the game for N. Jović,49-50, ,,2,49,50,-1,1195.0
4:05.0,B. Adebayo makes free throw 2 of 2,50-50, ,Tie,2,50,50,0,1195.0
3:46.0, ,50-52,D. Booker makes 2-pt jump shot from 15 ft (assist by J. Okogie),,2,50,52,-2,1214.0
3:32.0,Turnover by K. Lowry (lost ball; steal by J. Okogie),50-52, ,,2,50,52,-2,1228.0
3:13.0, ,50-54,G. Allen makes 2-pt layup at rim (assist by D. Booker),,2,50,54,-4,1247.0
3:00.0,Personal foul by D. Booker (drawn by B. Adebayo),50-54, ,,2,50,54,-4,1260.0
3:00.0,B. Adebayo makes free throw 1 of 2,51-54, ,,2,51,54,-3,1260.0
3:00.0,J. Jaquez enters the game for J. Richardson,51-54, ,,2,51,54,-3,1260.0
3:00.0, ,51-54,B. Beal enters the game for G. Allen,,2,51,54,-3,1260.0
3:00.0,B. Adebayo makes free throw 2 of 2,52-54, ,,2,52,54,-2,1260.0
2:50.0, ,52-54,Personal foul by K. Love (drawn by J. Nurkić),,2,52,54,-2,1270.0
2:42.0, ,52-54,D. Booker misses 2-pt jump shot from 8 ft,,2,52,54,-2,1278.0
2:40.0,Defensive rebound by B. Adebayo,52-54, ,,2,52,54,-2,1280.0
2:33.0,Personal foul by J. Okogie (drawn by K. Love),52-54, ,,2,52,54,-2,1287.0
2:33.0,K. Love makes free throw 1 of 2,53-54, ,,2,53,54,-1,1287.0
2:33.0,K. Love misses free throw 2 of 2,53-54, ,,2,53,54,-1,1287.0
2:31.0, ,53-54,Defensive rebound by J. Nurkić,,2,53,54,-1,1289.0
2:17.0, ,53-54,Turnover by B. Beal (bad pass),,2,53,54,-1,1303.0
2:08.0,B. Adebayo makes 2-pt dunk at rim (assist by T. Herro),55-54, ,Lead change,2,55,54,1,1312.0
1:51.0, ,55-56,D. Booker makes 2-pt jump shot from 10 ft (assist by B. Beal),Lead change,2,55,56,-1,1329.0
1:40.0,Turnover by K. Lowry (bad pass; steal by J. Nurkić),55-56, ,,2,55,56,-1,1340.0
1:30.0, ,55-56,B. Beal misses 2-pt jump shot from 5 ft,,2,55,56,-1,1350.0
1:27.0, ,55-56,Offensive rebound by B. Beal,,2,55,56,-1,1353.0
1:27.0, ,55-58,B. Beal makes 2-pt layup from 2 ft,,2,55,58,-3,1353.0
1:14.0,K. Love misses 3-pt jump shot from 25 ft,55-58, ,,2,55,58,-3,1366.0
1:09.0, ,55-58,Defensive rebound by J. Nurkić,,2,55,58,-3,1371.0
1:06.0, ,55-60,D. Booker makes 2-pt jump shot from 17 ft,,2,55,60,-5,1374.0
0:44.0,B. Adebayo misses 2-pt jump shot from 10 ft,55-60, ,,2,55,60,-5,1396.0
0:41.0,Offensive rebound by K. Lowry,55-60, ,,2,55,60,-5,1399.0
0:38.0,K. Love misses 3-pt jump shot from 25 ft,55-60, ,,2,55,60,-5,1402.0
0:36.0, ,55-60,Defensive rebound by D. Booker,,2,55,60,-5,1404.0
0:31.0, ,55-60,Personal foul by K. Lowry (drawn by D. Booker),,2,55,60,-5,1409.0
0:31.0,J. Richardson enters the game for B. Adebayo,55-60, ,,2,55,60,-5,1409.0
0:31.0, ,55-60,G. Allen enters the game for C. Metu,,2,55,60,-5,1409.0
0:31.0, ,55-60,B. Bol enters the game for J. Okogie,,2,55,60,-5,1409.0
0:27.0, ,55-62,B. Beal makes 2-pt jump shot from 18 ft (assist by D. Booker),,2,55,62,-7,1413.0
