Time,Miami,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:34.0, ,69-87,J. Okogie makes free throw 2 of 2,,3,69,87,-18,2006.0
2:21.0,T. Herro misses 2-pt jump shot from 13 ft,69-87, ,,3,69,87,-18,2019.0
2:15.0,Offensive rebound by K. Love,69-87, ,,3,69,87,-18,2025.0
2:15.0,K. Love makes 2-pt layup at rim,71-87, ,,3,71,87,-16,2025.0
2:02.0, ,71-89,B. Bol makes 2-pt jump shot from 5 ft (assist by B. Beal),,3,71,89,-18,2038.0
2:02.0, ,71-89,Shooting foul by J. Richardson (drawn by B. Bol),,3,71,89,-18,2038.0
2:02.0, ,71-89,B. Bol misses free throw 1 of 1,,3,71,89,-18,2038.0
2:00.0,Defensive rebound by J. Richardson,71-89, ,,3,71,89,-18,2040.0
1:55.0,K. Love misses 3-pt jump shot from 27 ft,71-89, ,,3,71,89,-18,2045.0
1:51.0,Offensive rebound by J. Cain,71-89, ,,3,71,89,-18,2049.0
1:51.0,J. Cain misses 2-pt layup from 3 ft (block by J. Okogie),71-89, ,,3,71,89,-18,2049.0
1:51.0,Shooting foul by J. Okogie (drawn by J. Cain),71-89, ,,3,71,89,-18,2049.0
1:51.0,J. Cain makes free throw 1 of 2,72-89, ,,3,72,89,-17,2049.0
1:51.0, ,72-89,K. Bates-Diop enters the game for B. Bol,,3,72,89,-17,2049.0
1:51.0,J. Cain makes free throw 2 of 2,73-89, ,,3,73,89,-16,2049.0
1:36.0, ,73-89,Shooting foul by K. Love (drawn by D. Eubanks),,3,73,89,-16,2064.0
1:36.0, ,73-90,D. Eubanks makes free throw 1 of 2,,3,73,90,-17,2064.0
1:36.0, ,73-90,D. Eubanks misses free throw 2 of 2,,3,73,90,-17,2064.0
1:34.0,Defensive rebound by K. Love,73-90, ,,3,73,90,-17,2066.0
1:23.0,Shooting foul by J. Okogie (drawn by K. Love),73-90, ,,3,73,90,-17,2077.0
1:23.0,K. Love makes free throw 1 of 2,74-90, ,,3,74,90,-16,2077.0
1:23.0,K. Love makes free throw 2 of 2,75-90, ,,3,75,90,-15,2077.0
0:58.0, ,75-92,D. Eubanks makes 2-pt jump shot from 10 ft (assist by D. Booker),,3,75,92,-17,2102.0
0:46.0,Turnover by T. Herro (bad pass; steal by J. Okogie),75-92, ,,3,75,92,-17,2114.0
0:45.0, ,75-92,Shooting foul by J. Richardson (drawn by J. Okogie),,3,75,92,-17,2115.0
0:45.0, ,75-93,J. Okogie makes free throw 1 of 2,,3,75,93,-18,2115.0
0:45.0, ,75-93,J. Okogie misses free throw 2 of 2,,3,75,93,-18,2115.0
0:41.0, ,75-93,Offensive rebound by Team,,3,75,93,-18,2119.0
0:32.0, ,75-93,D. Booker misses 2-pt jump shot from 24 ft,,3,75,93,-18,2128.0
0:29.0, ,75-93,Offensive rebound by D. Eubanks,,3,75,93,-18,2131.0
0:25.0, ,75-93,D. Booker misses 2-pt jump shot from 3 ft,,3,75,93,-18,2135.0
0:24.0, ,75-93,Offensive rebound by D. Eubanks,,3,75,93,-18,2136.0
0:24.0, ,75-93,Shooting foul by K. Love (drawn by D. Eubanks),,3,75,93,-18,2136.0
0:24.0, ,75-93,D. Eubanks misses free throw 1 of 2,,3,75,93,-18,2136.0
0:24.0, ,75-93,Offensive rebound by Team,,3,75,93,-18,2136.0
0:24.0, ,75-93,C. Metu enters the game for D. Booker,,3,75,93,-18,2136.0
0:24.0, ,75-94,D. Eubanks makes free throw 2 of 2,,3,75,94,-19,2136.0
0:07.0,D. Robinson misses 3-pt jump shot from 27 ft,75-94, ,,3,75,94,-19,2153.0
0:04.0,Offensive rebound by K. Love,75-94, ,,3,75,94,-19,2156.0
0:02.0,Turnover by K. Love (bad pass; steal by J. Okogie),75-94, ,,3,75,94,-19,2158.0
0:00.0, ,75-94,K. Bates-Diop misses 3-pt jump shot from 25 ft,,3,75,94,-19,2160.0
0:00.0, ,75-94,Offensive rebound by Team,,3,75,94,-19,2160.0
0:00.0,End of 3rd quarter,75-94,,,3,75,94,-19,2160.0
12:00.0,Start of 4th quarter,75-94,,,4,75,94,-19,2160.0
11:48.0,D. Robinson misses 3-pt jump shot from 23 ft,75-94, ,,4,75,94,-19,2172.0
11:46.0,Offensive rebound by Team,75-94, ,,4,75,94,-19,2174.0
11:46.0, ,75-94,Loose ball foul by J. Okogie (drawn by K. Love),,4,75,94,-19,2174.0
11:35.0,J. Richardson misses 3-pt jump shot from 26 ft,75-94, ,,4,75,94,-19,2185.0
11:35.0, ,75-94,Defensive rebound by G. Allen,,4,75,94,-19,2185.0
11:29.0, ,75-94,B. Beal misses 3-pt jump shot from 28 ft,,4,75,94,-19,2191.0
11:26.0,Defensive rebound by J. Jaquez,75-94, ,,4,75,94,-19,2194.0
11:12.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Love),77-94, ,,4,77,94,-17,2208.0
10:51.0, ,77-94,Personal foul by J. Richardson (drawn by G. Allen),,4,77,94,-17,2229.0
10:39.0, ,77-96,D. Eubanks makes 2-pt dunk from 1 ft (assist by J. Okogie),,4,77,96,-19,2241.0
10:20.0,D. Robinson misses 3-pt jump shot from 25 ft,77-96, ,,4,77,96,-19,2260.0
10:18.0, ,77-96,Defensive rebound by D. Eubanks,,4,77,96,-19,2262.0
10:18.0, ,77-96,Personal foul by J. Jaquez (drawn by D. Eubanks),,4,77,96,-19,2262.0
9:59.0, ,77-96,G. Allen misses 3-pt jump shot from 25 ft,,4,77,96,-19,2281.0
9:57.0,Defensive rebound by B. Adebayo,77-96, ,,4,77,96,-19,2283.0
9:48.0,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Richardson),79-96, ,,4,79,96,-17,2292.0
9:48.0,Shooting foul by G. Allen (drawn by B. Adebayo),79-96, ,,4,79,96,-17,2292.0
9:48.0,B. Adebayo misses free throw 1 of 1,79-96, ,,4,79,96,-17,2292.0
9:46.0, ,79-96,Defensive rebound by B. Beal,,4,79,96,-17,2294.0
9:29.0, ,79-96,K. Bates-Diop misses 3-pt jump shot from 24 ft,,4,79,96,-17,2311.0
9:26.0,Defensive rebound by K. Love,79-96, ,,4,79,96,-17,2314.0
9:15.0,Turnover by K. Love (bad pass; steal by K. Bates-Diop),79-96, ,,4,79,96,-17,2325.0
9:09.0, ,79-96,K. Bates-Diop misses 2-pt layup from 3 ft,,4,79,96,-17,2331.0
9:07.0,Defensive rebound by K. Love,79-96, ,,4,79,96,-17,2333.0
9:03.0,J. Richardson misses 3-pt jump shot from 25 ft,79-96, ,,4,79,96,-17,2337.0
9:01.0, ,79-96,Defensive rebound by B. Beal,,4,79,96,-17,2339.0
8:52.0, ,79-98,B. Beal makes 2-pt jump shot from 13 ft,,4,79,98,-19,2348.0
8:52.0, ,79-98,Shooting foul by J. Jaquez (drawn by B. Beal),,4,79,98,-19,2348.0
8:52.0, ,79-99,B. Beal makes free throw 1 of 1,,4,79,99,-20,2348.0
8:31.0,J. Richardson misses 3-pt jump shot from 25 ft,79-99, ,,4,79,99,-20,2369.0
8:28.0, ,79-99,Defensive rebound by B. Beal,,4,79,99,-20,2372.0
8:07.0, ,79-99,K. Bates-Diop misses 3-pt jump shot from 23 ft,,4,79,99,-20,2393.0
8:03.0,Defensive rebound by D. Robinson,79-99, ,,4,79,99,-20,2397.0
7:59.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by D. Robinson),81-99, ,,4,81,99,-18,2401.0
7:59.0,Shooting foul by G. Allen (drawn by B. Adebayo),81-99, ,,4,81,99,-18,2401.0
7:59.0,T. Herro enters the game for K. Love,81-99, ,,4,81,99,-18,2401.0
7:59.0, ,81-99,D. Booker enters the game for B. Beal,,4,81,99,-18,2401.0
7:59.0, ,81-99,J. Nurkić enters the game for D. Eubanks,,4,81,99,-18,2401.0
7:59.0,B. Adebayo makes free throw 1 of 1,82-99, ,,4,82,99,-17,2401.0
7:43.0, ,82-99,Personal foul by T. Herro (drawn by G. Allen),,4,82,99,-17,2417.0
7:38.0, ,82-99,Turnover by D. Booker (lost ball),,4,82,99,-17,2422.0
7:38.0, ,82-99,Loose ball foul by G. Allen (drawn by J. Richardson),,4,82,99,-17,2422.0
7:23.0,J. Jaquez makes 2-pt layup from 4 ft,84-99, ,,4,84,99,-15,2437.0
7:07.0, ,84-99,Phoenix full timeout,,4,84,99,-15,2453.0
7:07.0, ,84-99,B. Beal enters the game for J. Okogie,,4,84,99,-15,2453.0
6:57.0, ,84-99,J. Nurkić misses 2-pt layup from 5 ft,,4,84,99,-15,2463.0
6:56.0, ,84-99,Offensive rebound by J. Nurkić,,4,84,99,-15,2464.0
6:54.0, ,84-101,J. Nurkić makes 2-pt layup from 1 ft,,4,84,101,-17,2466.0
6:40.0,Personal foul by D. Booker (drawn by D. Robinson),84-101, ,,4,84,101,-17,2480.0
6:40.0,D. Robinson misses free throw 1 of 2,84-101, ,,4,84,101,-17,2480.0
6:40.0,Offensive rebound by Team,84-101, ,,4,84,101,-17,2480.0
6:40.0, ,84-101,D. Eubanks enters the game for J. Nurkić,,4,84,101,-17,2480.0
6:40.0,D. Robinson makes free throw 2 of 2,85-101, ,,4,85,101,-16,2480.0
6:28.0, ,85-101,D. Booker misses 3-pt jump shot from 25 ft,,4,85,101,-16,2492.0
6:24.0,Defensive rebound by J. Richardson,85-101, ,,4,85,101,-16,2496.0
6:13.0,Turnover by D. Robinson (lost ball; steal by D. Eubanks),85-101, ,,4,85,101,-16,2507.0
6:06.0, ,85-101,G. Allen misses 2-pt layup from 2 ft,,4,85,101,-16,2514.0
6:04.0,Defensive rebound by T. Herro,85-101, ,,4,85,101,-16,2516.0
5:56.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Richardson),88-101, ,,4,88,101,-13,2524.0
5:33.0, ,88-103,B. Beal makes 2-pt jump shot from 18 ft (assist by G. Allen),,4,88,103,-15,2547.0
5:23.0,T. Herro misses 3-pt jump shot from 26 ft,88-103, ,,4,88,103,-15,2557.0
5:21.0, ,88-103,Defensive rebound by D. Eubanks,,4,88,103,-15,2559.0
5:09.0, ,88-103,Turnover by B. Beal (lost ball; steal by D. Robinson),,4,88,103,-15,2571.0
5:05.0,T. Herro misses 3-pt jump shot from 26 ft,88-103, ,,4,88,103,-15,2575.0
5:02.0, ,88-103,Defensive rebound by K. Bates-Diop,,4,88,103,-15,2578.0
4:55.0, ,88-105,D. Booker makes 2-pt jump shot from 12 ft (assist by G. Allen),,4,88,105,-17,2585.0
4:54.0,Miami full timeout,88-105, ,,4,88,105,-17,2586.0
4:54.0, ,88-105,J. Okogie enters the game for G. Allen,,4,88,105,-17,2586.0
4:41.0,T. Herro makes 2-pt jump shot from 16 ft,90-105, ,,4,90,105,-15,2599.0
4:22.0, ,90-105,D. Booker misses 2-pt jump shot from 13 ft,,4,90,105,-15,2618.0
4:18.0, ,90-105,Offensive rebound by K. Bates-Diop,,4,90,105,-15,2622.0
4:18.0, ,90-105,K. Bates-Diop misses 2-pt layup at rim,,4,90,105,-15,2622.0
4:17.0,Defensive rebound by B. Adebayo,90-105, ,,4,90,105,-15,2623.0
4:05.0,Turnover by D. Robinson (bad pass; steal by K. Bates-Diop),90-105, ,,4,90,105,-15,2635.0
3:44.0, ,90-105,Personal foul by J. Jaquez (drawn by J. Okogie),,4,90,105,-15,2656.0
3:44.0, ,90-106,J. Okogie makes free throw 1 of 2,,4,90,106,-16,2656.0
3:44.0, ,90-106,G. Allen enters the game for K. Bates-Diop,,4,90,106,-16,2656.0
3:44.0, ,90-107,J. Okogie makes free throw 2 of 2,,4,90,107,-17,2656.0
3:35.0,J. Jaquez misses 3-pt jump shot from 23 ft,90-107, ,,4,90,107,-17,2665.0
3:33.0, ,90-107,Defensive rebound by D. Eubanks,,4,90,107,-17,2667.0
3:14.0, ,90-107,B. Beal misses 3-pt jump shot from 25 ft,,4,90,107,-17,2686.0
3:11.0,Defensive rebound by J. Richardson,90-107, ,,4,90,107,-17,2689.0
3:01.0,T. Herro makes 2-pt jump shot from 9 ft (assist by J. Richardson),92-107, ,,4,92,107,-15,2699.0
2:33.0, ,92-110,G. Allen makes 3-pt jump shot from 23 ft (assist by B. Beal),,4,92,110,-18,2727.0
2:17.0,T. Herro misses 2-pt jump shot from 11 ft,92-110, ,,4,92,110,-18,2743.0
2:14.0, ,92-110,Defensive rebound by J. Okogie,,4,92,110,-18,2746.0
1:55.0, ,92-113,D. Eubanks makes 3-pt jump shot from 23 ft (assist by D. Booker),,4,92,113,-21,2765.0
1:55.0,Miami full timeout,92-113, ,,4,92,113,-21,2765.0
1:55.0,T. Bryant enters the game for B. Adebayo,92-113, ,,4,92,113,-21,2765.0
1:55.0,J. Cain enters the game for T. Herro,92-113, ,,4,92,113,-21,2765.0
1:55.0,R. Hampton enters the game for J. Jaquez,92-113, ,,4,92,113,-21,2765.0
1:55.0,N. Jović enters the game for J. Richardson,92-113, ,,4,92,113,-21,2765.0
1:55.0,C. Swider enters the game for D. Robinson,92-113, ,,4,92,113,-21,2765.0
1:55.0, ,92-113,J. Goodwin enters the game for G. Allen,,4,92,113,-21,2765.0
1:55.0, ,92-113,S. Lee enters the game for B. Beal,,4,92,113,-21,2765.0
1:55.0, ,92-113,Y. Watanabe enters the game for D. Booker,,4,92,113,-21,2765.0
1:31.0,J. Cain misses 2-pt jump shot from 11 ft (block by J. Okogie),92-113, ,,4,92,113,-21,2789.0
1:31.0,Offensive rebound by Team,92-113, ,,4,92,113,-21,2789.0
1:31.0, ,92-113,K. Bates-Diop enters the game for J. Okogie,,4,92,113,-21,2789.0
1:29.0,J. Cain misses 2-pt jump shot from 18 ft,92-113, ,,4,92,113,-21,2791.0
1:29.0,Offensive rebound by Team,92-113, ,,4,92,113,-21,2791.0
1:29.0,Turnover by Team (shot clock),92-113, ,,4,92,113,-21,2791.0
1:13.0, ,92-113,D. Eubanks misses 2-pt jump shot from 14 ft,,4,92,113,-21,2807.0
1:10.0,Defensive rebound by T. Bryant,92-113, ,,4,92,113,-21,2810.0
1:00.0,J. Cain makes 3-pt jump shot from 25 ft (assist by R. Hampton),95-113, ,,4,95,113,-18,2820.0
0:42.0, ,95-113,Shooting foul by R. Hampton (drawn by S. Lee),,4,95,113,-18,2838.0
0:42.0, ,95-113,S. Lee misses free throw 1 of 2,,4,95,113,-18,2838.0
0:42.0, ,95-113,Offensive rebound by Team,,4,95,113,-18,2838.0
0:42.0, ,95-113,S. Lee misses free throw 2 of 2,,4,95,113,-18,2838.0
0:41.0,Defensive rebound by T. Bryant,95-113, ,,4,95,113,-18,2839.0
0:33.0,Turnover by C. Swider (lost ball; steal by S. Lee),95-113, ,,4,95,113,-18,2847.0
0:26.0, ,95-113,J. Goodwin misses 3-pt jump shot from 27 ft,,4,95,113,-18,2854.0
0:23.0,Defensive rebound by Team,95-113, ,,4,95,113,-18,2857.0
0:16.0,J. Cain makes 2-pt jump shot from 17 ft,97-113, ,,4,97,113,-16,2864.0
0:00.0,End of 4th quarter,97-113,,,4,97,113,-16,2880.0
