Time,Miami,Score,Washington,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. D. Gafford (T. Rozier gains possession),0-0,,,1,0,0,0,0.0
11:38.0,Turnover by H. Highsmith (step out of bounds),0-0, ,,1,0,0,0,22.0
11:26.0, ,0-0,Shooting foul by H. Highsmith (drawn by K. Kuzma),,1,0,0,0,34.0
11:26.0, ,0-1,K. Kuzma makes free throw 1 of 2,,1,0,1,-1,34.0
11:26.0, ,0-2,K. Kuzma makes free throw 2 of 2,,1,0,2,-2,34.0
11:11.0,T. Herro makes 2-pt jump shot from 13 ft,2-2, ,Tie,1,2,2,0,49.0
10:55.0, ,2-2,J. Poole misses 3-pt jump shot from 26 ft,,1,2,2,0,65.0
10:52.0,Defensive rebound by H. Highsmith,2-2, ,,1,2,2,0,68.0
10:36.0,H. Highsmith misses 3-pt jump shot from 26 ft,2-2, ,,1,2,2,0,84.0
10:33.0, ,2-2,Defensive rebound by J. Poole,,1,2,2,0,87.0
10:27.0, ,2-2,K. Kuzma misses 3-pt jump shot from 25 ft,,1,2,2,0,93.0
10:23.0,Defensive rebound by T. Herro,2-2, ,,1,2,2,0,97.0
10:19.0,T. Herro misses 2-pt layup from 7 ft,2-2, ,,1,2,2,0,101.0
10:17.0, ,2-2,Defensive rebound by K. Kuzma,,1,2,2,0,103.0
10:05.0, ,2-4,J. Poole makes 2-pt layup from 4 ft (assist by D. Gafford),,1,2,4,-2,115.0
9:45.0,Turnover by T. Herro (bad pass),2-4, ,,1,2,4,-2,135.0
9:31.0, ,2-7,K. Kuzma makes 3-pt jump shot from 24 ft (assist by T. Jones),,1,2,7,-5,149.0
9:15.0,H. Highsmith misses 3-pt jump shot from 24 ft,2-7, ,,1,2,7,-5,165.0
9:12.0,Offensive rebound by H. Highsmith,2-7, ,,1,2,7,-5,168.0
9:11.0,H. Highsmith makes 2-pt hook shot from 6 ft,4-7, ,,1,4,7,-3,169.0
8:50.0, ,4-7,J. Poole misses 3-pt jump shot from 26 ft,,1,4,7,-3,190.0
8:47.0,Defensive rebound by B. Adebayo,4-7, ,,1,4,7,-3,193.0
8:41.0,Turnover by J. Butler (bad pass),4-7, ,,1,4,7,-3,199.0
8:32.0, ,4-7,T. Jones misses 3-pt jump shot from 29 ft,,1,4,7,-3,208.0
8:30.0,Defensive rebound by Team,4-7, ,,1,4,7,-3,210.0
8:18.0,J. Butler makes 2-pt layup from 6 ft,6-7, ,,1,6,7,-1,222.0
8:13.0, ,6-9,D. Avdija makes 2-pt layup from 3 ft (assist by J. Poole),,1,6,9,-3,227.0
8:13.0,Violation by Team (def goaltending),6-9, ,,1,6,9,-3,227.0
8:01.0,T. Herro misses 2-pt jump shot from 15 ft,6-9, ,,1,6,9,-3,239.0
7:58.0, ,6-9,Defensive rebound by D. Avdija,,1,6,9,-3,242.0
7:54.0, ,6-9,Turnover by T. Jones (bad pass; steal by J. Butler),,1,6,9,-3,246.0
7:49.0,Shooting foul by K. Kuzma (drawn by J. Butler),6-9, ,,1,6,9,-3,251.0
7:49.0,J. Butler makes free throw 1 of 2,7-9, ,,1,7,9,-2,251.0
7:49.0,J. Butler makes free throw 2 of 2,8-9, ,,1,8,9,-1,251.0
7:32.0, ,8-11,J. Poole makes 2-pt jump shot from 20 ft (assist by T. Jones),,1,8,11,-3,268.0
7:16.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),10-11, ,,1,10,11,-1,284.0
6:54.0, ,10-13,D. Avdija makes 2-pt layup from 1 ft (assist by T. Jones),,1,10,13,-3,306.0
6:46.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Rozier),12-13, ,,1,12,13,-1,314.0
6:46.0,Shooting foul by D. Gafford (drawn by B. Adebayo),12-13, ,,1,12,13,-1,314.0
6:46.0, ,12-13,Washington full timeout,,1,12,13,-1,314.0
6:46.0,J. Jaquez enters the game for T. Herro,12-13, ,,1,12,13,-1,314.0
6:46.0, ,12-13,B. Coulibaly enters the game for D. Gafford,,1,12,13,-1,314.0
6:46.0, ,12-13,C. Kispert enters the game for J. Poole,,1,12,13,-1,314.0
6:46.0,B. Adebayo makes free throw 1 of 1,13-13, ,Tie,1,13,13,0,314.0
6:35.0, ,13-15,K. Kuzma makes 2-pt dunk at rim,,1,13,15,-2,325.0
6:14.0,Shooting foul by K. Kuzma (drawn by T. Rozier),13-15, ,,1,13,15,-2,346.0
6:14.0,T. Rozier makes free throw 1 of 2,14-15, ,,1,14,15,-1,346.0
6:14.0,T. Rozier makes free throw 2 of 2,15-15, ,Tie,1,15,15,0,346.0
6:14.0,K. Love enters the game for B. Adebayo,15-15, ,,1,15,15,0,346.0
6:07.0, ,15-18,C. Kispert makes 3-pt jump shot from 23 ft (assist by T. Jones),,1,15,18,-3,353.0
5:55.0,J. Butler misses 2-pt layup from 4 ft,15-18, ,,1,15,18,-3,365.0
5:51.0, ,15-18,Defensive rebound by C. Kispert,,1,15,18,-3,369.0
5:33.0, ,15-18,Shooting foul by H. Highsmith (drawn by T. Jones),,1,15,18,-3,387.0
5:33.0, ,15-19,T. Jones makes free throw 1 of 2,,1,15,19,-4,387.0
5:33.0,C. Martin enters the game for H. Highsmith,15-19, ,,1,15,19,-4,387.0
5:33.0, ,15-20,T. Jones makes free throw 2 of 2,,1,15,20,-5,387.0
5:22.0,T. Rozier misses 2-pt jump shot from 16 ft,15-20, ,,1,15,20,-5,398.0
5:19.0,Offensive rebound by K. Love,15-20, ,,1,15,20,-5,401.0
5:19.0,Shooting foul by D. Avdija (drawn by K. Love),15-20, ,,1,15,20,-5,401.0
5:19.0,K. Love makes free throw 1 of 2,16-20, ,,1,16,20,-4,401.0
5:19.0,K. Love makes free throw 2 of 2,17-20, ,,1,17,20,-3,401.0
5:09.0, ,17-20,T. Jones misses 2-pt jump shot from 13 ft,,1,17,20,-3,411.0
5:06.0,Defensive rebound by K. Love,17-20, ,,1,17,20,-3,414.0
4:51.0,C. Martin misses 3-pt jump shot from 27 ft,17-20, ,,1,17,20,-3,429.0
4:46.0,Offensive rebound by T. Rozier,17-20, ,,1,17,20,-3,434.0
4:44.0,K. Love misses 3-pt jump shot from 23 ft,17-20, ,,1,17,20,-3,436.0
4:40.0,Offensive rebound by J. Jaquez,17-20, ,,1,17,20,-3,440.0
4:37.0,J. Butler makes 2-pt dunk from 1 ft (assist by C. Martin),19-20, ,,1,19,20,-1,443.0
4:25.0, ,19-20,Turnover by D. Avdija (bad pass),,1,19,20,-1,455.0
4:05.0,Offensive foul by C. Martin (drawn by T. Jones),19-20, ,,1,19,20,-1,475.0
4:05.0,Turnover by C. Martin (offensive foul),19-20, ,,1,19,20,-1,475.0
3:54.0, ,19-22,B. Coulibaly makes 2-pt jump shot from 4 ft,,1,19,22,-3,486.0
3:54.0, ,19-22,Shooting foul by K. Love (drawn by B. Coulibaly),,1,19,22,-3,486.0
3:54.0, ,19-23,B. Coulibaly makes free throw 1 of 1,,1,19,23,-4,486.0
3:37.0,J. Butler makes 2-pt layup from 6 ft,21-23, ,,1,21,23,-2,503.0
3:25.0, ,21-26,C. Kispert makes 3-pt jump shot from 27 ft (assist by T. Jones),,1,21,26,-5,515.0
3:13.0,J. Butler makes 2-pt layup from 5 ft,23-26, ,,1,23,26,-3,527.0
3:03.0, ,23-26,K. Kuzma misses 3-pt jump shot from 24 ft,,1,23,26,-3,537.0
2:59.0,Defensive rebound by J. Butler,23-26, ,,1,23,26,-3,541.0
2:54.0,T. Rozier misses 3-pt jump shot from 24 ft,23-26, ,,1,23,26,-3,546.0
2:49.0, ,23-26,Defensive rebound by D. Avdija,,1,23,26,-3,551.0
2:44.0, ,23-26,C. Kispert misses 3-pt jump shot from 26 ft,,1,23,26,-3,556.0
2:41.0,Defensive rebound by K. Love,23-26, ,,1,23,26,-3,559.0
2:28.0,Miami full timeout,23-26, ,,1,23,26,-3,572.0
2:28.0,J. Richardson enters the game for T. Rozier,23-26, ,,1,23,26,-3,572.0
2:28.0, ,23-26,J. Davis enters the game for D. Avdija,,1,23,26,-3,572.0
2:28.0, ,23-26,D. Gafford enters the game for T. Jones,,1,23,26,-3,572.0
2:28.0, ,23-26,J. Poole enters the game for K. Kuzma,,1,23,26,-3,572.0
2:22.0,Turnover by K. Love (bad pass; steal by B. Coulibaly),23-26, ,,1,23,26,-3,578.0
2:14.0, ,23-28,J. Davis makes 2-pt layup from 1 ft (assist by J. Poole),,1,23,28,-5,586.0
1:59.0,Turnover by J. Butler (bad pass; steal by J. Poole),23-28, ,,1,23,28,-5,601.0
1:55.0, ,23-31,C. Kispert makes 3-pt jump shot from 27 ft (assist by J. Poole),,1,23,31,-8,605.0
1:42.0,K. Love makes 3-pt jump shot from 27 ft (assist by J. Richardson),26-31, ,,1,26,31,-5,618.0
1:16.0, ,26-31,J. Poole misses 3-pt jump shot from 27 ft,,1,26,31,-5,644.0
1:13.0,Defensive rebound by K. Love,26-31, ,,1,26,31,-5,647.0
0:56.0,C. Martin makes 2-pt layup from 3 ft (assist by K. Love),28-31, ,,1,28,31,-3,664.0
0:48.0, ,28-31,Shooting foul by J. Richardson (drawn by B. Coulibaly),,1,28,31,-3,672.0
0:48.0, ,28-32,B. Coulibaly makes free throw 1 of 2,,1,28,32,-4,672.0
0:48.0,T. Herro enters the game for J. Butler,28-32, ,,1,28,32,-4,672.0
0:48.0, ,28-32,D. Avdija enters the game for D. Gafford,,1,28,32,-4,672.0
0:48.0, ,28-33,B. Coulibaly makes free throw 2 of 2,,1,28,33,-5,672.0
0:29.0,Personal foul by B. Coulibaly (drawn by K. Love),28-33, ,,1,28,33,-5,691.0
0:29.0,K. Love misses free throw 1 of 2,28-33, ,,1,28,33,-5,691.0
0:29.0,Offensive rebound by Team,28-33, ,,1,28,33,-5,691.0
0:29.0, ,28-33,L. Shamet enters the game for J. Davis,,1,28,33,-5,691.0
0:29.0,K. Love makes free throw 2 of 2,29-33, ,,1,29,33,-4,691.0
0:22.0, ,29-33,Turnover by D. Avdija (lost ball; steal by C. Martin),,1,29,33,-4,698.0
