Time,Charlotte,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Richards vs. B. Adebayo (N. Jović gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,N. Jović misses 3-pt jump shot from 26 ft,,1,0,0,0,22.0
11:35.0,Defensive rebound by L. Ball,0-0, ,,1,0,0,0,25.0
11:26.0,C. Martin misses 2-pt layup from 4 ft,0-0, ,,1,0,0,0,34.0
11:22.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,38.0
11:13.0, ,0-0,B. Adebayo misses 3-pt jump shot from 25 ft,,1,0,0,0,47.0
11:10.0,Defensive rebound by N. Richards,0-0, ,,1,0,0,0,50.0
11:00.0,L. Ball misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,60.0
10:55.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,65.0
10:51.0, ,0-0,J. Jaquez misses 2-pt layup from 2 ft (block by C. Martin),,1,0,0,0,69.0
10:48.0, ,0-0,Offensive rebound by T. Herro,,1,0,0,0,72.0
10:42.0, ,0-0,T. Herro misses 3-pt jump shot from 27 ft,,1,0,0,0,78.0
10:39.0,Defensive rebound by L. Ball,0-0, ,,1,0,0,0,81.0
10:33.0,M. Bridges misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,87.0
10:28.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,92.0
10:27.0, ,0-0,Personal foul by T. Rozier (drawn by K. Lowry),,1,0,0,0,93.0
10:16.0, ,0-0,B. Adebayo misses 2-pt jump shot from 7 ft,,1,0,0,0,104.0
10:12.0, ,0-0,Offensive rebound by N. Jović,,1,0,0,0,108.0
10:09.0, ,0-0,J. Jaquez misses 2-pt layup from 2 ft,,1,0,0,0,111.0
10:09.0, ,0-0,Offensive rebound by J. Jaquez,,1,0,0,0,111.0
10:03.0, ,0-2,J. Jaquez makes 2-pt layup at rim,,1,2,0,2,117.0
