Time,Atlanta,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. B. Adebayo (D. Murray gains possession),0-0,,,1,0,0,0,0.0
11:43.0,Turnover by B. Bogdanović (bad pass),0-0, ,,1,0,0,0,17.0
11:27.0, ,0-0,N. Jović misses 3-pt jump shot from 25 ft,,1,0,0,0,33.0
11:23.0,Defensive rebound by D. Murray,0-0, ,,1,0,0,0,37.0
11:18.0,D. Murray makes 3-pt jump shot from 26 ft,3-0, ,,1,0,3,-3,42.0
11:08.0, ,3-0,C. Martin misses 2-pt layup from 3 ft,,1,0,3,-3,52.0
11:08.0, ,3-0,Offensive rebound by C. Martin,,1,0,3,-3,52.0
11:07.0, ,3-0,C. Martin misses 2-pt layup from 1 ft,,1,0,3,-3,53.0
11:07.0, ,3-0,Offensive rebound by C. Martin,,1,0,3,-3,53.0
11:02.0, ,3-3,C. Martin makes 3-pt jump shot from 24 ft (assist by T. Herro),Tie,1,3,3,0,58.0
10:43.0,J. Johnson misses 2-pt jump shot from 7 ft,3-3, ,,1,3,3,0,77.0
10:43.0,Offensive rebound by J. Johnson,3-3, ,,1,3,3,0,77.0
10:39.0,J. Johnson makes 2-pt layup from 1 ft,5-3, ,,1,3,5,-2,81.0
10:24.0, ,5-5,C. Martin makes 2-pt jump shot from 6 ft (assist by B. Adebayo),Tie,1,5,5,0,96.0
10:09.0,S. Bey makes 2-pt jump shot from 6 ft,7-5, ,,1,5,7,-2,111.0
9:51.0, ,7-5,B. Adebayo misses 2-pt jump shot from 11 ft,,1,5,7,-2,129.0
9:49.0,Defensive rebound by C. Capela,7-5, ,,1,5,7,-2,131.0
9:42.0,D. Murray makes 2-pt layup from 2 ft,9-5, ,,1,5,9,-4,138.0
9:28.0, ,9-5,N. Jović misses 2-pt layup from 1 ft,,1,5,9,-4,152.0
9:26.0, ,9-5,Offensive rebound by N. Jović,,1,5,9,-4,154.0
9:25.0, ,9-5,N. Jović misses 2-pt layup from 2 ft,,1,5,9,-4,155.0
9:22.0,Defensive rebound by J. Johnson,9-5, ,,1,5,9,-4,158.0
9:17.0,J. Johnson misses 2-pt jump shot from 7 ft,9-5, ,,1,5,9,-4,163.0
9:14.0, ,9-5,Defensive rebound by B. Adebayo,,1,5,9,-4,166.0
9:14.0,Loose ball foul by D. Murray (drawn by J. Butler),9-5, ,,1,5,9,-4,166.0
9:03.0, ,9-5,J. Butler misses 2-pt layup from 2 ft,,1,5,9,-4,177.0
9:01.0, ,9-5,Offensive rebound by J. Butler,,1,5,9,-4,179.0
9:00.0, ,9-7,J. Butler makes 2-pt layup from 1 ft,,1,7,9,-2,180.0
8:48.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by D. Murray),11-7, ,,1,7,11,-4,192.0
8:31.0, ,11-7,C. Martin misses 3-pt jump shot from 22 ft,,1,7,11,-4,209.0
8:28.0,Defensive rebound by C. Capela,11-7, ,,1,7,11,-4,212.0
8:14.0,S. Bey misses 2-pt layup from 1 ft,11-7, ,,1,7,11,-4,226.0
8:11.0,Offensive rebound by C. Capela,11-7, ,,1,7,11,-4,229.0
8:08.0,B. Bogdanović misses 2-pt jump shot from 2 ft,11-7, ,,1,7,11,-4,232.0
8:03.0,Offensive rebound by C. Capela,11-7, ,,1,7,11,-4,237.0
8:00.0,C. Capela makes 2-pt layup at rim,13-7, ,,1,7,13,-6,240.0
7:52.0, ,13-9,T. Herro makes 2-pt layup from 1 ft,,1,9,13,-4,248.0
7:37.0,J. Johnson misses 2-pt jump shot from 13 ft,13-9, ,,1,9,13,-4,263.0
7:34.0, ,13-9,Defensive rebound by N. Jović,,1,9,13,-4,266.0
7:26.0, ,13-9,Turnover by J. Butler (lost ball; steal by J. Johnson),,1,9,13,-4,274.0
7:22.0,J. Johnson makes 2-pt dunk from 2 ft (assist by D. Murray),15-9, ,,1,9,15,-6,278.0
6:59.0, ,15-9,B. Adebayo misses 2-pt jump shot from 17 ft,,1,9,15,-6,301.0
6:56.0,Defensive rebound by C. Capela,15-9, ,,1,9,15,-6,304.0
6:47.0,S. Bey misses 3-pt jump shot from 25 ft,15-9, ,,1,9,15,-6,313.0
6:44.0,Offensive rebound by C. Capela,15-9, ,,1,9,15,-6,316.0
6:42.0,C. Capela misses 2-pt hook shot from 7 ft,15-9, ,,1,9,15,-6,318.0
6:42.0,Offensive rebound by Team,15-9, ,,1,9,15,-6,318.0
6:42.0, ,15-9,Loose ball foul by N. Jović (drawn by S. Bey),,1,9,15,-6,318.0
6:42.0, ,15-9,Miami full timeout,,1,9,15,-6,318.0
6:42.0,G. Mathews enters the game for B. Bogdanović,15-9, ,,1,9,15,-6,318.0
6:42.0,P. Mills enters the game for J. Johnson,15-9, ,,1,9,15,-6,318.0
6:31.0,D. Murray misses 2-pt jump shot from 16 ft,15-9, ,,1,9,15,-6,329.0
6:27.0, ,15-9,Defensive rebound by C. Martin,,1,9,15,-6,333.0
6:06.0, ,15-11,B. Adebayo makes 2-pt jump shot from 8 ft,,1,11,15,-4,354.0
5:48.0,S. Bey misses 3-pt jump shot from 26 ft,15-11, ,,1,11,15,-4,372.0
5:46.0, ,15-11,Defensive rebound by C. Martin,,1,11,15,-4,374.0
5:39.0, ,15-13,T. Herro makes 2-pt jump shot from 10 ft (assist by J. Butler),,1,13,15,-2,381.0
5:39.0, ,15-13,Shooting foul by P. Mills (drawn by T. Herro),,1,13,15,-2,381.0
5:39.0, ,15-13,K. Love enters the game for B. Adebayo,,1,13,15,-2,381.0
5:39.0, ,15-14,T. Herro makes free throw 1 of 1,,1,14,15,-1,381.0
5:25.0,P. Mills makes 3-pt jump shot from 25 ft (assist by D. Murray),18-14, ,,1,14,18,-4,395.0
5:10.0, ,18-14,T. Herro misses 3-pt jump shot from 27 ft,,1,14,18,-4,410.0
5:07.0,Defensive rebound by C. Capela,18-14, ,,1,14,18,-4,413.0
4:56.0,D. Murray misses 2-pt layup from 3 ft,18-14, ,,1,14,18,-4,424.0
4:56.0,Offensive rebound by C. Capela,18-14, ,,1,14,18,-4,424.0
4:56.0,Shooting foul by C. Martin (drawn by C. Capela),18-14, ,,1,14,18,-4,424.0
4:56.0,C. Capela misses free throw 1 of 2,18-14, ,,1,14,18,-4,424.0
4:56.0,Offensive rebound by Team,18-14, ,,1,14,18,-4,424.0
4:56.0,C. Capela makes free throw 2 of 2,19-14, ,,1,14,19,-5,424.0
4:46.0, ,19-14,Offensive foul by J. Butler (drawn by G. Mathews),,1,14,19,-5,434.0
4:46.0, ,19-14,Turnover by J. Butler (offensive foul),,1,14,19,-5,434.0
4:46.0,O. Okongwu enters the game for C. Capela,19-14, ,,1,14,19,-5,434.0
4:28.0,P. Mills makes 3-pt jump shot from 24 ft (assist by G. Mathews),22-14, ,,1,14,22,-8,452.0
