Time,Miami,Score,LA Lakers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. A. Davis (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:44.0,Shooting foul by A. Reaves (drawn by K. Lowry),0-0, ,,1,0,0,0,16.0
11:44.0,K. Lowry makes free throw 1 of 2,1-0, ,,1,1,0,1,16.0
11:44.0,K. Lowry makes free throw 2 of 2,2-0, ,,1,2,0,2,16.0
11:25.0, ,2-2,L. James makes 2-pt layup from 1 ft (assist by A. Reaves),Tie,1,2,2,0,35.0
11:09.0,Turnover by T. Herro (bad pass),2-2, ,,1,2,2,0,51.0
10:52.0, ,2-2,L. James misses 3-pt jump shot from 28 ft,,1,2,2,0,68.0
10:49.0,Defensive rebound by T. Herro,2-2, ,,1,2,2,0,71.0
10:34.0,N. Jović misses 3-pt jump shot from 26 ft,2-2, ,,1,2,2,0,86.0
10:31.0, ,2-2,Defensive rebound by A. Davis,,1,2,2,0,89.0
10:26.0, ,2-2,Turnover by C. Reddish (bad pass; steal by B. Adebayo),,1,2,2,0,94.0
10:19.0,T. Herro misses 2-pt jump shot from 20 ft,2-2, ,,1,2,2,0,101.0
10:17.0, ,2-2,Defensive rebound by T. Prince,,1,2,2,0,103.0
10:02.0, ,2-4,A. Reaves makes 2-pt jump shot from 9 ft (assist by A. Davis),Lead change,1,2,4,-2,118.0
9:49.0,N. Jović makes 3-pt jump shot from 26 ft (assist by K. Lowry),5-4, ,Lead change,1,5,4,1,131.0
9:42.0, ,5-4,Turnover by A. Reaves (bad pass; steal by T. Herro),,1,5,4,1,138.0
9:38.0,J. Jaquez misses 2-pt layup from 2 ft,5-4, ,,1,5,4,1,142.0
9:38.0, ,5-4,Defensive rebound by L. James,,1,5,4,1,142.0
9:32.0, ,5-4,C. Reddish misses 3-pt jump shot from 27 ft,,1,5,4,1,148.0
9:29.0, ,5-4,Offensive rebound by A. Davis,,1,5,4,1,151.0
