Time,Memphis,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:37.0,G. Jackson enters the game for J. Gilyard,14-20, ,,1,20,14,6,503.0
3:37.0,S. Pippen  enters the game for J. Konchar,14-20, ,,1,20,14,6,503.0
3:37.0,Z. Williams enters the game for D. Roddy,14-20, ,,1,20,14,6,503.0
3:37.0, ,14-20,K. Love enters the game for B. Adebayo,,1,20,14,6,503.0
3:37.0, ,14-20,T. Rozier enters the game for J. Richardson,,1,20,14,6,503.0
3:26.0,J. Jackson makes 2-pt layup from 3 ft (assist by S. Pippen ),16-20, ,,1,20,16,4,514.0
3:09.0, ,16-20,K. Love misses 3-pt jump shot from 24 ft,,1,20,16,4,531.0
3:07.0,Defensive rebound by Z. Williams,16-20, ,,1,20,16,4,533.0
2:52.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by G. Jackson),19-20, ,,1,20,19,1,548.0
2:36.0, ,19-20,J. Butler misses 2-pt hook shot from 2 ft,,1,20,19,1,564.0
2:34.0,Defensive rebound by S. Pippen ,19-20, ,,1,20,19,1,566.0
2:30.0,Z. Williams misses 3-pt jump shot from 26 ft,19-20, ,,1,20,19,1,570.0
2:26.0, ,19-20,Defensive rebound by T. Rozier,,1,20,19,1,574.0
2:21.0, ,19-20,J. Butler misses 2-pt layup from 1 ft (block by J. Jackson),,1,20,19,1,579.0
2:18.0,Defensive rebound by V. Williams,19-20, ,,1,20,19,1,582.0
2:16.0,G. Jackson misses 3-pt jump shot from 27 ft,19-20, ,,1,20,19,1,584.0
2:12.0, ,19-20,Defensive rebound by T. Herro,,1,20,19,1,588.0
2:01.0, ,19-20,K. Love misses 3-pt jump shot from 25 ft,,1,20,19,1,599.0
1:56.0,Defensive rebound by Z. Williams,19-20, ,,1,20,19,1,604.0
1:54.0,Memphis full timeout,19-20, ,,1,20,19,1,606.0
1:54.0,X. Tillman enters the game for V. Williams,19-20, ,,1,20,19,1,606.0
1:54.0, ,19-20,B. Adebayo enters the game for J. Butler,,1,20,19,1,606.0
1:54.0, ,19-20,C. Martin enters the game for T. Herro,,1,20,19,1,606.0
1:54.0, ,19-20,D. Robinson enters the game for H. Highsmith,,1,20,19,1,606.0
1:39.0,J. Jackson misses 2-pt hook shot from 3 ft,19-20, ,,1,20,19,1,621.0
1:36.0, ,19-20,Defensive rebound by D. Robinson,,1,20,19,1,624.0
1:35.0, ,19-20,Shooting foul by S. Pippen  (drawn by T. Rozier),,1,20,19,1,625.0
1:35.0, ,19-21,T. Rozier makes free throw 1 of 2,,1,21,19,2,625.0
1:35.0,D. Roddy enters the game for J. Jackson,19-21, ,,1,21,19,2,625.0
1:35.0, ,19-22,T. Rozier makes free throw 2 of 2,,1,22,19,3,625.0
1:17.0,Z. Williams misses 2-pt jump shot from 18 ft,19-22, ,,1,22,19,3,643.0
1:13.0, ,19-22,Defensive rebound by B. Adebayo,,1,22,19,3,647.0
1:02.0, ,19-22,K. Love misses 2-pt hook shot from 4 ft,,1,22,19,3,658.0
1:00.0,Defensive rebound by Z. Williams,19-22, ,,1,22,19,3,660.0
0:58.0,Personal foul by D. Robinson (drawn by D. Roddy),19-22, ,,1,22,19,3,662.0
0:52.0,Turnover by S. Pippen  (step out of bounds),19-22, ,,1,22,19,3,668.0
0:33.0, ,19-22,T. Rozier misses 2-pt layup from 2 ft,,1,22,19,3,687.0
0:31.0, ,19-22,Offensive rebound by B. Adebayo,,1,22,19,3,689.0
0:29.0, ,19-22,B. Adebayo misses 2-pt layup from 2 ft,,1,22,19,3,691.0
0:28.0,Defensive rebound by D. Roddy,19-22, ,,1,22,19,3,692.0
0:25.0,Shooting foul by D. Robinson (drawn by G. Jackson),19-22, ,,1,22,19,3,695.0
0:25.0,G. Jackson makes free throw 1 of 2,20-22, ,,1,22,20,2,695.0
0:25.0,G. Jackson makes free throw 2 of 2,21-22, ,,1,22,21,1,695.0
