Time,Memphis,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:45.0, ,66-58,Offensive rebound by Team,,3,58,66,-8,1815.0
5:45.0, ,66-58,T. Bryant enters the game for B. Adebayo,,3,58,66,-8,1815.0
5:45.0, ,66-59,J. Butler makes free throw 2 of 2,,3,59,66,-7,1815.0
5:29.0,D. Roddy misses 2-pt hook shot from 4 ft,66-59, ,,3,59,66,-7,1831.0
5:25.0, ,66-59,Defensive rebound by H. Highsmith,,3,59,66,-7,1835.0
5:16.0, ,66-59,Shooting foul by J. Konchar (drawn by J. Butler),,3,59,66,-7,1844.0
5:16.0, ,66-60,J. Butler makes free throw 1 of 2,,3,60,66,-6,1844.0
5:16.0, ,66-60,T. Rozier enters the game for J. Richardson,,3,60,66,-6,1844.0
5:16.0,Memphis full timeout,66-60, ,,3,60,66,-6,1844.0
5:16.0,J. Jackson enters the game for J. Gilyard,66-60, ,,3,60,66,-6,1844.0
5:16.0,S. Pippen  enters the game for J. Konchar,66-60, ,,3,60,66,-6,1844.0
5:16.0, ,66-60,J. Butler misses free throw 2 of 2,,3,60,66,-6,1844.0
5:13.0,Defensive rebound by J. Jackson,66-60, ,,3,60,66,-6,1847.0
4:59.0,V. Williams misses 3-pt jump shot from 25 ft,66-60, ,,3,60,66,-6,1861.0
4:56.0, ,66-60,Defensive rebound by H. Highsmith,,3,60,66,-6,1864.0
4:39.0, ,66-60,H. Highsmith misses 2-pt jump shot from 11 ft,,3,60,66,-6,1881.0
4:36.0,Defensive rebound by V. Williams,66-60, ,,3,60,66,-6,1884.0
4:35.0,Shooting foul by T. Rozier (drawn by X. Tillman),66-60, ,,3,60,66,-6,1885.0
4:35.0,X. Tillman misses free throw 1 of 2,66-60, ,,3,60,66,-6,1885.0
4:35.0,Offensive rebound by Team,66-60, ,,3,60,66,-6,1885.0
4:35.0,G. Jackson enters the game for D. Roddy,66-60, ,,3,60,66,-6,1885.0
4:35.0,X. Tillman makes free throw 2 of 2,67-60, ,,3,60,67,-7,1885.0
4:09.0, ,67-62,T. Herro makes 2-pt jump shot from 9 ft (assist by T. Rozier),,3,62,67,-5,1911.0
3:45.0,G. Jackson misses 3-pt jump shot from 26 ft,67-62, ,,3,62,67,-5,1935.0
3:42.0,Offensive rebound by X. Tillman,67-62, ,,3,62,67,-5,1938.0
3:40.0,S. Pippen  makes 3-pt jump shot from 23 ft (assist by J. Jackson),70-62, ,,3,62,70,-8,1940.0
3:24.0, ,70-64,T. Herro makes 2-pt layup from 2 ft (assist by H. Highsmith),,3,64,70,-6,1956.0
3:07.0,G. Jackson makes 3-pt jump shot from 26 ft (assist by V. Williams),73-64, ,,3,64,73,-9,1973.0
2:52.0, ,73-64,J. Butler misses 2-pt jump shot from 16 ft (block by X. Tillman),,3,64,73,-9,1988.0
2:49.0,Defensive rebound by G. Jackson,73-64, ,,3,64,73,-9,1991.0
2:47.0,J. Jackson misses 3-pt jump shot from 24 ft,73-64, ,,3,64,73,-9,1993.0
2:46.0, ,73-64,Defensive rebound by Team,,3,64,73,-9,1994.0
2:46.0, ,73-64,B. Adebayo enters the game for T. Bryant,,3,64,73,-9,1994.0
2:46.0, ,73-64,C. Martin enters the game for J. Butler,,3,64,73,-9,1994.0
2:32.0, ,73-64,Turnover by T. Rozier (lost ball; steal by V. Williams),,3,64,73,-9,2008.0
2:27.0,G. Jackson makes 3-pt jump shot from 24 ft (assist by S. Pippen ),76-64, ,,3,64,76,-12,2013.0
2:13.0, ,76-64,T. Herro misses 3-pt jump shot from 26 ft,,3,64,76,-12,2027.0
2:09.0,Defensive rebound by S. Pippen ,76-64, ,,3,64,76,-12,2031.0
2:02.0,V. Williams makes 2-pt layup from 2 ft,78-64, ,,3,64,78,-14,2038.0
1:35.0, ,78-66,T. Herro makes 2-pt jump shot from 7 ft (assist by T. Rozier),,3,66,78,-12,2065.0
1:12.0,Shooting foul by H. Highsmith (drawn by S. Pippen ),78-66, ,,3,66,78,-12,2088.0
1:12.0,S. Pippen  makes free throw 1 of 2,79-66, ,,3,66,79,-13,2088.0
1:12.0,Z. Williams enters the game for V. Williams,79-66, ,,3,66,79,-13,2088.0
1:12.0, ,79-66,D. Robinson enters the game for H. Highsmith,,3,66,79,-13,2088.0
1:12.0,S. Pippen  makes free throw 2 of 2,80-66, ,,3,66,80,-14,2088.0
1:01.0, ,80-66,T. Rozier misses 2-pt layup from 2 ft,,3,66,80,-14,2099.0
0:58.0, ,80-66,Offensive rebound by B. Adebayo,,3,66,80,-14,2102.0
0:58.0, ,80-68,B. Adebayo makes 2-pt dunk at rim,,3,68,80,-12,2102.0
0:51.0,Shooting foul by B. Adebayo (drawn by S. Pippen ),80-68, ,,3,68,80,-12,2109.0
0:51.0,S. Pippen  makes free throw 1 of 2,81-68, ,,3,68,81,-13,2109.0
0:51.0,S. Pippen  makes free throw 2 of 2,82-68, ,,3,68,82,-14,2109.0
0:39.0, ,82-68,C. Martin misses 2-pt jump shot from 2 ft,,3,68,82,-14,2121.0
0:38.0, ,82-68,Offensive rebound by C. Martin,,3,68,82,-14,2122.0
0:37.0, ,82-68,C. Martin misses 2-pt layup from 1 ft (block by X. Tillman),,3,68,82,-14,2123.0
0:36.0, ,82-68,Offensive rebound by T. Rozier,,3,68,82,-14,2124.0
0:26.0, ,82-68,B. Adebayo misses 2-pt jump shot from 13 ft,,3,68,82,-14,2134.0
0:24.0,Defensive rebound by S. Pippen ,82-68, ,,3,68,82,-14,2136.0
0:03.0,G. Jackson misses 2-pt layup from 3 ft,82-68, ,,3,68,82,-14,2157.0
0:00.0, ,82-68,Defensive rebound by D. Robinson,,3,68,82,-14,2160.0
0:00.0, ,82-68,D. Robinson misses 3-pt jump shot from 55 ft,,3,68,82,-14,2160.0
0:00.0, ,82-68,Offensive rebound by Team,,3,68,82,-14,2160.0
0:00.0,End of 3rd quarter,82-68,,,3,68,82,-14,2160.0
12:00.0,Start of 4th quarter,82-68,,,4,68,82,-14,2160.0
11:49.0,Personal foul by D. Robinson (drawn by G. Jackson),82-68, ,,4,68,82,-14,2171.0
11:40.0,S. Pippen  misses 2-pt jump shot from 11 ft,82-68, ,,4,68,82,-14,2180.0
11:38.0, ,82-68,Defensive rebound by B. Adebayo,,4,68,82,-14,2182.0
11:23.0, ,82-68,T. Herro misses 2-pt jump shot from 11 ft,,4,68,82,-14,2197.0
11:21.0,Defensive rebound by G. Jackson,82-68, ,,4,68,82,-14,2199.0
11:09.0,G. Jackson misses 2-pt layup from 2 ft,82-68, ,,4,68,82,-14,2211.0
11:06.0, ,82-68,Defensive rebound by B. Adebayo,,4,68,82,-14,2214.0
11:02.0, ,82-71,C. Martin makes 3-pt jump shot from 22 ft (assist by B. Adebayo),,4,71,82,-11,2218.0
10:37.0,D. Roddy misses 2-pt layup from 2 ft (block by B. Adebayo),82-71, ,,4,71,82,-11,2243.0
10:34.0,Offensive rebound by D. Roddy,82-71, ,,4,71,82,-11,2246.0
10:33.0,D. Roddy misses 2-pt hook shot from 5 ft,82-71, ,,4,71,82,-11,2247.0
10:30.0, ,82-71,Defensive rebound by B. Adebayo,,4,71,82,-11,2250.0
10:23.0, ,82-71,T. Rozier misses 3-pt jump shot from 23 ft,,4,71,82,-11,2257.0
10:19.0,Defensive rebound by S. Pippen ,82-71, ,,4,71,82,-11,2261.0
10:14.0,Z. Williams misses 3-pt jump shot from 25 ft,82-71, ,,4,71,82,-11,2266.0
10:10.0, ,82-71,Defensive rebound by C. Martin,,4,71,82,-11,2270.0
9:59.0, ,82-73,T. Rozier makes 2-pt layup from 3 ft,,4,73,82,-9,2281.0
9:59.0,Memphis full timeout,82-73, ,,4,73,82,-9,2281.0
9:40.0,S. Pippen  makes 2-pt layup from 2 ft (assist by D. Roddy),84-73, ,,4,73,84,-11,2300.0
9:23.0, ,84-73,Personal foul by G. Jackson (drawn by T. Herro),,4,73,84,-11,2317.0
9:15.0, ,84-73,T. Herro misses 2-pt layup from 2 ft,,4,73,84,-11,2325.0
9:12.0,Defensive rebound by Z. Williams,84-73, ,,4,73,84,-11,2328.0
9:09.0,S. Pippen  makes 2-pt layup from 2 ft (assist by D. Roddy),86-73, ,,4,73,86,-13,2331.0
8:57.0, ,86-76,C. Martin makes 3-pt jump shot from 25 ft,,4,76,86,-10,2343.0
8:32.0,Turnover by Z. Williams (traveling),86-76, ,,4,76,86,-10,2368.0
8:32.0,J. Konchar enters the game for G. Jackson,86-76, ,,4,76,86,-10,2368.0
8:19.0, ,86-76,B. Adebayo misses 2-pt jump shot from 12 ft,,4,76,86,-10,2381.0
8:16.0,Defensive rebound by J. Konchar,86-76, ,,4,76,86,-10,2384.0
8:00.0,D. Roddy makes 2-pt layup from 2 ft (assist by Z. Williams),88-76, ,,4,76,88,-12,2400.0
7:43.0, ,88-78,B. Adebayo makes 2-pt layup from 1 ft (assist by C. Martin),,4,78,88,-10,2417.0
7:43.0, ,88-78,Shooting foul by X. Tillman (drawn by B. Adebayo),,4,78,88,-10,2417.0
7:43.0,V. Williams enters the game for Z. Williams,88-78, ,,4,78,88,-10,2417.0
7:43.0, ,88-78,J. Butler enters the game for T. Herro,,4,78,88,-10,2417.0
7:43.0, ,88-79,B. Adebayo makes free throw 1 of 1,,4,79,88,-9,2417.0
7:26.0,Personal foul by C. Martin (drawn by D. Roddy),88-79, ,,4,79,88,-9,2434.0
7:26.0,J. Jackson enters the game for X. Tillman,88-79, ,,4,79,88,-9,2434.0
7:19.0,J. Jackson misses 3-pt jump shot from 27 ft,88-79, ,,4,79,88,-9,2441.0
7:16.0, ,88-79,Defensive rebound by D. Robinson,,4,79,88,-9,2444.0
7:09.0, ,88-79,Turnover by C. Martin (bad pass),,4,79,88,-9,2451.0
6:54.0,S. Pippen  misses 2-pt jump shot from 5 ft,88-79, ,,4,79,88,-9,2466.0
6:51.0, ,88-79,Defensive rebound by B. Adebayo,,4,79,88,-9,2469.0
6:49.0, ,88-81,C. Martin makes 2-pt layup from 2 ft (assist by B. Adebayo),,4,81,88,-7,2471.0
6:32.0,J. Jackson makes 2-pt layup from 4 ft (assist by V. Williams),90-81, ,,4,81,90,-9,2488.0
6:11.0, ,90-83,D. Robinson makes 2-pt jump shot from 11 ft (assist by T. Rozier),,4,83,90,-7,2509.0
5:58.0,Turnover by J. Jackson (lost ball; steal by B. Adebayo),90-83, ,,4,83,90,-7,2522.0
5:51.0, ,90-83,D. Robinson misses 3-pt jump shot from 25 ft,,4,83,90,-7,2529.0
5:49.0, ,90-83,Offensive rebound by J. Butler,,4,83,90,-7,2531.0
5:41.0, ,90-85,T. Rozier makes 2-pt layup from 4 ft,,4,85,90,-5,2539.0
5:41.0,Memphis full timeout,90-85, ,,4,85,90,-5,2539.0
5:41.0,J. Gilyard enters the game for S. Pippen ,90-85, ,,4,85,90,-5,2539.0
5:41.0,G. Jackson enters the game for D. Roddy,90-85, ,,4,85,90,-5,2539.0
5:25.0,Shooting foul by D. Robinson (drawn by J. Jackson),90-85, ,,4,85,90,-5,2555.0
5:25.0,J. Jackson makes free throw 1 of 2,91-85, ,,4,85,91,-6,2555.0
5:25.0,J. Jackson makes free throw 2 of 2,92-85, ,,4,85,92,-7,2555.0
5:13.0, ,92-87,D. Robinson makes 2-pt layup from 1 ft (assist by B. Adebayo),,4,87,92,-5,2567.0
4:53.0,J. Gilyard misses 2-pt jump shot from 13 ft,92-87, ,,4,87,92,-5,2587.0
4:52.0, ,92-87,Defensive rebound by Team,,4,87,92,-5,2588.0
4:33.0, ,92-87,T. Rozier misses 3-pt jump shot from 27 ft,,4,87,92,-5,2607.0
4:31.0, ,92-87,Offensive rebound by C. Martin,,4,87,92,-5,2609.0
4:31.0, ,92-87,Turnover by C. Martin (bad pass),,4,87,92,-5,2609.0
4:14.0,V. Williams makes 2-pt jump shot from 4 ft (assist by J. Gilyard),94-87, ,,4,87,94,-7,2626.0
3:58.0, ,94-90,D. Robinson makes 3-pt jump shot from 27 ft,,4,90,94,-4,2642.0
3:39.0,Turnover by J. Jackson (bad pass; steal by J. Butler),94-90, ,,4,90,94,-4,2661.0
3:33.0, ,94-90,Turnover by T. Rozier (bad pass),,4,90,94,-4,2667.0
3:33.0, ,94-90,Miami full timeout,,4,90,94,-4,2667.0
3:33.0,S. Pippen  enters the game for J. Gilyard,94-90, ,,4,90,94,-4,2667.0
3:33.0, ,94-90,T. Herro enters the game for D. Robinson,,4,90,94,-4,2667.0
3:33.0, ,94-90,Instant Replay (Challenge: Ruling Stands),,4,90,94,-4,2667.0
3:17.0,J. Jackson makes 2-pt jump shot from 8 ft (assist by S. Pippen ),96-90, ,,4,90,96,-6,2683.0
3:00.0, ,96-90,J. Butler misses 2-pt layup from 3 ft,,4,90,96,-6,2700.0
2:57.0,Defensive rebound by S. Pippen ,96-90, ,,4,90,96,-6,2703.0
2:48.0,Personal foul by T. Herro (drawn by J. Jackson),96-90, ,,4,90,96,-6,2712.0
2:41.0,Turnover by V. Williams (traveling),96-90, ,,4,90,96,-6,2719.0
2:41.0,Instant Replay (Request: Ruling Stands),96-90, ,,4,90,96,-6,2719.0
2:27.0, ,96-93,C. Martin makes 3-pt jump shot from 25 ft (assist by T. Rozier),,4,93,96,-3,2733.0
2:13.0,S. Pippen  makes 2-pt layup from 1 ft,98-93, ,,4,93,98,-5,2747.0
2:01.0, ,98-96,T. Herro makes 3-pt jump shot from 27 ft,,4,96,98,-2,2759.0
1:36.0,Turnover by J. Jackson (lost ball; steal by C. Martin),98-96, ,,4,96,98,-2,2784.0
1:25.0, ,98-96,T. Rozier misses 3-pt jump shot from 23 ft,,4,96,98,-2,2795.0
1:22.0,Defensive rebound by V. Williams,98-96, ,,4,96,98,-2,2798.0
1:05.0,V. Williams makes 3-pt jump shot from 24 ft (assist by S. Pippen ),101-96, ,,4,96,101,-5,2815.0
0:54.0, ,101-96,B. Adebayo misses 2-pt jump shot from 10 ft,,4,96,101,-5,2826.0
0:54.0,Defensive rebound by V. Williams,101-96, ,,4,96,101,-5,2826.0
0:47.0,J. Konchar makes 2-pt layup from 1 ft (assist by V. Williams),103-96, ,,4,96,103,-7,2833.0
0:47.0, ,103-96,Miami full timeout,,4,96,103,-7,2833.0
0:47.0, ,103-96,D. Robinson enters the game for T. Rozier,,4,96,103,-7,2833.0
0:43.0, ,103-96,D. Robinson misses 3-pt jump shot from 27 ft,,4,96,103,-7,2837.0
0:42.0,Defensive rebound by Team,103-96, ,,4,96,103,-7,2838.0
0:42.0, ,103-96,Loose ball foul by J. Butler (drawn by V. Williams),,4,96,103,-7,2838.0
0:42.0,V. Williams makes free throw 1 of 2,104-96, ,,4,96,104,-8,2838.0
0:42.0, ,104-96,T. Rozier enters the game for D. Robinson,,4,96,104,-8,2838.0
0:42.0,V. Williams makes free throw 2 of 2,105-96, ,,4,96,105,-9,2838.0
0:23.0, ,105-96,T. Herro misses 3-pt jump shot from 24 ft,,4,96,105,-9,2857.0
0:20.0,Defensive rebound by G. Jackson,105-96, ,,4,96,105,-9,2860.0
0:00.0,End of 4th quarter,105-96,,,4,96,105,-9,2880.0
