Time,Miami,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:39.0,T. Rozier misses 3-pt jump shot from 28 ft,116-106, ,,4,116,106,10,2841.0
0:38.0, ,116-106,Defensive rebound by J. Bernard,,4,116,106,10,2842.0
0:32.0, ,116-106,Shooting foul by D. Robinson (drawn by J. Bernard),,4,116,106,10,2848.0
0:32.0, ,116-106,J. Bernard misses free throw 1 of 2,,4,116,106,10,2848.0
0:32.0, ,116-106,Offensive rebound by Team,,4,116,106,10,2848.0
0:32.0,J. Cain enters the game for B. Adebayo,116-106, ,,4,116,106,10,2848.0
0:32.0,O. Robinson enters the game for J. Butler,116-106, ,,4,116,106,10,2848.0
0:32.0,C. Swider enters the game for H. Highsmith,116-106, ,,4,116,106,10,2848.0
0:32.0,A. Williams enters the game for D. Robinson,116-106, ,,4,116,106,10,2848.0
0:32.0, ,116-107,J. Bernard makes free throw 2 of 2,,4,116,107,9,2848.0
0:12.0,J. Cain makes 3-pt jump shot from 26 ft,119-107, ,,4,119,107,12,2868.0
0:03.0, ,119-107,P. Baldwin misses 3-pt jump shot from 31 ft,,4,119,107,12,2877.0
0:02.0,Defensive rebound by J. Cain,119-107, ,,4,119,107,12,2878.0
0:00.0,End of 4th quarter,119-107,,,4,119,107,12,2880.0
